	MG1655-1	HEXA1-1_1	HEXA2-9_1	HEXA4-10_1	HEXA6-9_1	ompR-1	proQ-1	ompR_proQ-1	MG1655-2	HEXA1-1_2	HEXA2-9_2	HEXA4-10_2	HEXA6-9_2	ompR-2	proQ-2	ompR_proQ-2	MG1655-3	HEXA1-1_3	HEXA2-9_3	HEXA4-10_3	HEXA6-9_3	ompR-3	proQ-3	ompR_proQ-3
22.34007	12.649	20.351	14.532	17.177	10.186	9.364	6.919	15.711	11.981	20.201	11.419	16.828	9.493	8.238	7.51	16.519	12.188	19.538	13.831	16.623	9.315	9.149	6.091	16.394
22.50666	12.947	21.012	14.117	17.093	10.437	9.441	7.141	15.755	12.312	20.978	11.206	16.831	9.891	8.997	7.467	16.849	12.746	18.607	13.416	16.891	9.48	9.283	6.194	16.543
22.67327	12.394	20.732	14.488	17.04	10.53	9.853	7.145	15.74	11.137	20.555	10.939	16.632	9.983	8.811	7.328	16.203	12.785	18.664	13.29	17.597	9.541	8.293	5.851	16.784
22.83993	12.356	20.879	14.503	16.913	10.156	9.305	6.919	16.767	12.421	20.524	10.275	16.388	9.845	8.649	7.07	14.759	12.598	20.125	13.333	17.004	9.667	8.504	5.886	16.306
23.00674	13.051	20.981	14.557	17.609	10.451	9.453	7.418	16.458	11.56	20.071	10.832	17.054	9.817	8.881	7.044	14.986	12.065	18.882	13.798	16.878	9.961	8.389	5.86	16.357
23.1734	11.652	21.143	13.711	17.265	10.567	10.068	7.652	15.359	11.805	19.908	10.539	17.092	9.786	9.177	7.276	16.314	12.246	20.125	14.183	17.356	10.078	8.885	6.179	16.834
23.33998	12.002	21.545	13.977	16.97	10.544	9.721	7.159	15.557	12.71	21.28	10.134	17.412	9.91	8.739	6.872	15.344	12.217	19.973	13.042	17.002	9.848	8.687	5.571	15.22
23.50672	11.845	21.392	14.521	17.634	10.616	9.648	7.203	15.491	11.44	20.979	10.031	17.079	10.187	9.342	7.267	16.066	12.293	19.759	13.439	17.548	10.068	8.788	5.701	15.883
23.67339	11.827	21.868	14.153	17.351	10.28	9.721	7.159	15.294	12.387	21.045	10.661	17.06	9.939	9.15	6.609	14.787	12.217	19.211	13.628	17.705	10.053	8.658	5.688	15.66
23.84002	11.861	21.427	14.219	17.736	10.759	9.79	6.965	15.03	11.98	21.514	9.968	17.68	10.418	9.128	6.855	16.519	11.96	19.448	13.606	18.586	10.561	8.815	5.29	15.812
24.00671	11.673	21.91	14.559	17.724	10.779	9.517	6.81	15.718	11.557	21.675	10.631	17.023	10.321	8.854	6.788	14.926	12.446	19.639	13.596	18.28	10.142	8.28	5.867	15.888
24.17339	11.86	21.653	14.162	17.88	11.116	9.678	6.65	15.082	11.976	21.068	10.529	16.946	10.745	9.013	7.301	16.252	10.732	19.824	13.696	18.085	10.273	8.354	5.503	15.694
24.34013	11.947	21.799	14.337	18.319	10.941	9.942	6.708	14.965	11.157	21.653	10.032	17.443	10.657	9.1	6.599	15.258	12.399	19.941	14.72	18.407	10.302	8.647	5.182	15.343
24.50686	11.228	22.507	15.315	18.767	10.839	9.664	6.636	15.061	11.693	21.602	10.602	17.804	10.555	9.259	6.937	15.269	11.797	20.183	13.417	18.299	10.463	8.78	5.315	15.939
24.67345	11.527	22.437	14.354	18.543	11.043	9.4	6.663	15.104	12.084	21.587	10.573	17.93	10.877	9.029	6.7	14.575	11.831	20.195	13.596	19.041	10.551	8.455	5.457	15.449
24.8401	12.445	21.799	14.688	18.933	11.262	9.386	6.386	15.082	11.157	22.004	10.997	18.35	10.774	9.305	6.95	15.697	11.639	19.941	13.755	19.255	10.536	8.647	5.152	15.519
25.00675	11.627	21.867	14.306	18.38	11.111	9.234	6.526	15.089	10.955	21.953	10.554	18.382	10.945	8.952	6.679	14.704	12.018	20.502	14.69	19.142	10.942	8.493	5.203	15.987
25.17353	11.491	21.864	14.35	18.942	11.54	9.576	6.782	15.207	11.927	22.332	10.426	18.126	11.023	9.026	6.557	15.678	12.498	20.621	14.089	18.562	10.814	8.195	5.052	16.202
25.34016	11.613	22.126	14.737	18.537	11.433	9.645	6.034	15.091	11.287	21.689	10.699	18.976	11.003	8.8	6.569	15.215	12.446	20.564	13.979	19.12	10.882	8.499	5.123	15.565
25.5068	11.714	22.745	14.277	19.141	11.55	9.263	6.35	15.44	11.482	22.363	10.319	18.382	11.208	8.454	6.679	15.231	12.692	21.438	13.987	19.904	10.766	8.23	5.173	15.548
25.67345	11.619	22.981	14.246	19.156	11.584	9.036	6.476	14.835	11.557	23.157	10.324	18.369	11.008	9.097	6.369	15.571	11.721	20.571	14.014	19.039	10.887	8.094	5.127	15.425
25.84012	12.338	22.946	14.789	19.381	11.599	8.875	6.11	15.149	11.079	22.829	10.193	18.681	11.344	8.85	6.382	15.444	11.739	21.352	14.264	19.497	11.223	8.166	5.257	15.676
26.00687	13.176	22.94	15.068	19.108	11.789	9.474	6.591	15.141	11.625	22.238	10.178	19.11	11.213	9.364	6.336	15.346	12.574	21.666	14.632	19.898	11.18	8.471	5.094	15.723
26.17358	11.649	23.224	14.946	19.482	12.047	9.118	6.499	15.514	11.502	22.844	10.524	19.103	11.442	8.598	6.215	14.813	11.925	21.191	14.568	19.891	11.175	7.941	5.148	14.928
26.34034	12.269	23.291	15.215	19.576	11.789	9.21	6.211	14.351	10.923	22.589	10.032	18.759	11.476	8.136	6.248	15.024	12.341	21.578	14.223	19.693	11.238	8.384	5.415	15.343
26.50693	11.93	23.219	15.168	19.853	12.062	9.571	6.337	15.067	11.346	23.13	10.451	18.948	11.574	8.936	6.081	14.569	11.592	21.505	14.409	20.146	11.424	7.895	5.073	15.209
26.67367	11.358	24.153	15.002	19.959	12.126	9.165	5.753	14.532	10.981	22.862	10.31	19.434	11.58	9.267	6.199	15.051	11.778	21.467	14.419	20.517	11.372	8.306	5.19	15.045
26.84028	12.055	22.915	15.553	19.864	12.004	9.277	6.247	14.964	10.857	23.176	11.037	18.753	11.985	8.822	6.253	15.308	11.801	21.782	14.267	20.598	11.718	7.892	4.951	14.599
27.00702	11.645	23.823	15.026	19.981	12.121	8.809	5.895	14.525	11.736	23.206	10.773	19.368	11.985	8.734	6.253	14.547	12.827	21.694	15.029	20.598	11.806	7.892	5.039	14.629
27.17369	11.146	23.578	14.998	19.86	12.535	9.342	6.4	14.226	10.767	22.728	10.485	20.213	11.667	8.795	6.144	14.516	11.685	21.073	14.503	20.592	11.634	7.812	5.019	14.249
27.34037	11.228	24.038	15.255	20.555	12.354	9.161	6.337	14.453	11.112	23.16	10.217	19.065	11.866	8.702	5.789	14.92	11.65	22.178	14.234	20.76	11.921	8.392	5.278	14.741
27.50702	12.084	23.998	15.377	20.362	12.531	9.277	6.247	14.525	10.77	23.176	10.51	19.515	12.102	9.086	6.253	14.517	12.212	22.573	14.15	20.979	11.953	7.716	4.864	13.926
27.67376	10.836	24.413	16.121	20.869	12.604	9.234	6.145	14.386	10.194	23.68	10.29	19.846	12.057	8.864	6.006	14.353	11.404	22.551	15.041	20.87	12.054	8.113	5.261	14.436
27.84043	12.106	24.038	15.402	20.497	12.793	9.395	6.512	13.634	10.175	23.598	10.831	20.528	12.422	8.877	6.081	14.247	11.738	22.09	15.024	21.199	12.185	7.954	5.161	14.916
28.00699	11.193	24.136	15.63	21.127	12.821	9.192	5.843	14.791	10.313	24.136	10.977	20.574	12.479	8.845	5.793	14.883	12.142	22.893	14.697	20.893	11.978	8.366	5.165	13.596
28.17366	10.521	24.515	15.572	21.039	12.587	9.046	6.047	14.703	9.787	23.961	10.451	20.924	12.391	9.254	5.852	14.269	11.616	23.069	15.223	21.477	12.503	8.249	5.428	14.268
28.34046	11.076	24.773	15.6	21.285	12.609	9.092	5.974	13.954	10.435	23.542	10.412	20.321	12.443	8.46	5.981	14.183	11.702	22.88	15.164	21.638	12.586	8.381	5.353	14.354
28.50706	11.264	23.969	15.875	21.651	12.824	9.072	5.983	13.675	10.125	24.582	10.393	21.419	12.512	8.91	6.077	14.107	11.421	23.335	14.619	21.594	12.568	7.892	5.479	14.424
28.67367	10.472	24.608	16.815	21.488	12.67	9.588	5.704	14.214	10.276	24.486	10.207	20.551	12.681	8.876	5.796	14.167	11.477	22.324	15.497	21.843	12.534	8.023	5.169	13.982
28.8405	10.76	25.094	16.075	21.905	13.01	9.102	5.92	13.101	10.038	24.911	10.515	20.614	12.994	8.807	6.157	13.869	11.911	23.509	15.285	21.969	12.759	8.003	5.178	13.768
29.00712	11.007	25.064	16.116	22.133	13.223	9.135	6.04	13.855	10.082	24.968	10.521	20.516	12.854	8.58	5.951	13.557	11.244	22.679	14.855	21.844	13.062	7.503	5.384	13.571
29.17378	10.66	24.665	16.357	21.95	13.264	9.152	6.352	13.469	9.967	24.307	10.476	20.865	12.806	8.385	5.972	13.739	11.105	23.464	15.744	22.219	13.1	8.494	5.64	14.197
29.34051	10.713	24.927	16.614	21.811	13.119	9.041	6.303	13.57	9.957	24.63	10.539	20.875	12.719	8.561	5.75	13.439	11.719	23.556	15.327	22.225	13.245	7.653	5.651	13.989
29.50719	10.719	24.595	17.208	21.649	13.032	9.246	6.154	13.406	10.083	25.559	10.393	20.741	13.015	8.593	5.805	13.269	11.401	23.866	15.861	22.152	13.073	8.119	5.53	14.169
29.67385	10.56	25.413	16.757	21.935	13.4	9.583	6.255	13.456	9.073	25.29	10.554	21.174	13.06	8.903	6.14	13.463	11.094	23.654	17.378	22.468	13.383	7.897	5.513	14.01
29.84057	10.649	25.639	16.93	21.827	13.498	9.424	5.749	13.441	9.949	25.461	10.217	21.331	13.068	8.705	5.813	13.111	11.245	23.598	15.995	22.414	13.388	7.921	5.449	14.131
30.00722	10.385	26.108	16.578	22.471	13.41	9.365	6.276	13.089	9.598	25.08	10.012	21.507	13.596	8.705	5.931	13.551	10.864	24.096	15.79	22.502	13.739	7.716	5.86	13.603
30.17394	10.666	26.09	16.947	22.691	13.487	9.326	6.413	13.047	9.82	25.855	10.558	21.258	13.321	8.548	6.098	12.953	11.702	24.696	16.159	23.102	13.64	8.205	5.88	13.739
30.34065	10.227	25.886	16.771	22.339	13.751	9.239	6.062	13.076	9.673	25.24	10.324	21.609	13.497	8.196	6.01	13.568	11.439	24.52	16.481	23.014	13.845	7.824	5.968	14.354
30.50728	10.666	25.739	17.533	22.544	13.751	8.624	6.267	13.808	9.205	25.855	10.149	22.4	13.585	8.284	5.981	13.656	10.648	25.047	16.979	23.131	14.138	7.795	6.056	14.266
30.67387	10.361	26.481	18.404	22.486	13.734	8.924	6.274	13.834	9.077	25.95	10.099	22.518	13.775	8.15	6.22	13.234	11.132	24.583	16.53	22.899	14.067	8.005	6.091	13.901
30.84059	9.705	26.112	17.482	23.116	14.046	9.443	5.942	13.703	9.359	25.64	10.412	21.799	13.764	8.55	5.83	13.662	11.121	24.772	16.84	23.236	14.084	7.645	5.877	14.388
31.00733	9.751	26.05	17.882	23.021	14.18	8.929	6.542	14.017	9.611	25.87	10.456	22.349	13.869	8.508	5.843	13.973	10.345	24.972	16.624	23.112	13.926	7.687	5.978	14.464
31.17402	10.315	26.221	17.652	22.845	14.158	9.643	6.436	13.696	9.792	26.687	9.938	22.408	14.052	8.223	6.266	13.686	10.705	25.175	17.362	23.638	14.225	8.08	6.224	14.793
31.34057	10.029	26.32	18.356	23.451	14.139	9.395	6.571	13.371	9.181	26.173	10.305	22.429	13.973	8.087	6.403	14.335	11.211	24.957	17.51	23.686	14.466	7.954	6.214	14.302
31.50731	9.272	27.162	17.721	23.057	14.347	9.072	6.335	13.705	9.393	26.604	9.924	22.825	14.182	8.968	6.106	13.551	10.981	24.829	17.255	23.381	14.56	7.54	6.299	14.541
31.67406	10.684	26.335	18.433	23.366	14.35	9.041	6.743	13.717	9.605	26.742	10.422	22.547	14.244	8.414	6.396	13.527	10.281	25.316	17.85	24.102	14.976	7.917	6.414	14.839
31.84063	9.759	27.057	18.704	23.511	14.424	9.092	6.736	13.896	9.205	27.436	10.822	22.634	14.288	8.518	6.274	13.656	10.765	25.925	17.067	23.893	14.665	7.912	6.554	14.588
32.00734	9.841	27.311	18.639	23.21	14.418	9.234	6.702	13.801	8.584	26.461	9.822	22.451	14.897	8.454	6.152	13.387	10.818	25.742	17.88	23.621	14.923	7.82	6.491	14.875
32.17409	9.232	26.969	18.557	23.657	14.775	9.18	6.882	13.866	9.146	26.997	10.149	22.576	14.785	8.108	6.596	13.978	10.15	26.013	17.77	23.775	15.017	8.059	6.846	14.529
32.34084	9.569	26.745	19.489	23.718	14.79	9.305	6.655	14.215	8.549	27.329	10.363	23.779	14.831	8.121	6.572	14.202	11.132	26.137	18.084	24.219	14.946	8.152	6.678	14.575
32.50746	9.474	27.3	18.412	23.53	14.784	9.372	6.753	13.746	8.8	27.125	10.368	22.772	14.676	7.798	6.674	14.041	10.774	25.823	18.239	23.706	15.197	8.195	7.039	14.712
32.67418	9.875	27.188	18.941	23.959	14.95	9.438	6.934	14.253	9.411	27.655	10.525	23.639	14.931	8.105	6.793	14.008	10.089	25.614	18.768	24.283	15.486	7.729	7.192	14.265
32.84077	9.458	27.223	19.319	23.931	14.825	9.046	7.011	13.87	8.585	27.367	10.456	23.17	14.925	8.038	6.664	13.797	10.903	25.969	18.765	24.022	15.246	8.039	7.034	14.728
33.00747	9.52	27.981	19.682	24.212	15.094	9.338	6.951	14.088	8.532	27.918	10.456	23.274	14.959	8.158	6.484	13.892	10.672	26.312	19.186	24.803	15.516	7.977	7.179	14.968
33.1741	9.399	28.015	19.759	24.283	15.06	8.958	7.129	14.545	8.907	27.103	10.632	23.581	15.189	8.332	7.016	14.296	10.551	26.615	19.029	24.286	15.656	7.951	7.151	15.696
33.34083	9.305	27.537	19.577	24.158	15.26	9.188	7.271	14.274	8.667	27.827	10.774	23.603	15.359	8.297	6.63	13.703	10.193	26.9	19.111	24.483	15.65	7.947	7.469	15.602
33.50761	9.251	27.532	19.881	24.468	15.352	9.158	7.123	14.874	8.174	27.556	10.393	23.384	15.394	8.358	6.862	14.62	10.725	26.304	19.239	24.854	15.863	8.178	7.321	15.403
33.67422	9.26	28.123	20.104	24.199	15.48	9.19	7.42	13.924	8.626	27.852	10.692	23.761	15.376	8.131	6.628	15.104	10.175	27.097	20.05	25.204	16.053	7.709	7.472	14.709
33.84099	8.973	28.175	20.224	24.521	15.457	9.407	6.96	14.954	8.25	27.994	10.29	24.083	15.441	8.257	7.228	14.462	10.213	26.387	19.347	24.995	15.793	8.044	7.512	15.391
34.00746	8.915	28.146	20.401	24.168	15.487	8.966	7.519	14.807	8.368	27.494	10.672	23.642	15.676	8.374	7.11	14.521	10.33	26.916	19.17	24.702	16.204	7.986	7.277	15.332
34.1743	8.81	28.031	20.292	24.821	15.822	9.04	8.004	14.668	8.35	27.968	11.068	23.913	15.834	8.358	7.038	14.767	10.402	26.744	19.62	24.589	16.215	8.442	7.968	15.138
34.3409	9.083	27.594	20.428	24.817	15.833	9.014	8.067	14.924	8.215	28.382	10.486	23.967	15.964	7.954	7.393	14.751	10.234	27.185	20.756	24.763	16.259	8.091	7.884	15.415
34.50763	8.551	28.833	20.916	24.682	16.063	9.133	7.744	15.204	7.857	27.888	10.809	24.273	15.87	8.07	7.571	14.979	9.614	27.311	20.215	24.862	16.456	8.183	7.855	15.144
34.67416	8.799	28.13	20.132	25.069	15.781	9.765	7.759	15.476	7.839	27.95	10.706	24.338	16.087	8.348	7.528	14.578	10.098	27.197	20.077	25.014	16.467	7.758	7.694	16.066
34.84094	8.706	28.268	21.005	25.003	15.981	9.408	8.077	14.911	7.745	27.765	11.053	24.77	16.022	8.489	7.553	14.778	10.356	27.394	19.395	24.947	16.344	7.842	7.865	15.737
35.00756	8.231	28.564	21.134	24.876	16.039	9.72	7.95	14.895	7.685	28.852	10.868	24.114	16.082	8.748	7.834	15.163	10.323	27.362	20.168	25.116	16.67	8.062	8.148	16.385
35.17427	7.974	28.675	21.106	24.962	16.28	9.26	8.136	15.307	8.279	28.288	11.26	24.465	16.205	8.697	7.757	15.314	10.154	27.769	20.405	24.819	16.91	7.897	8.217	16.126
35.34099	8.135	28.413	22.054	25.085	16.057	9.422	8.268	15.021	7.586	28.408	10.481	24.588	16.275	8.417	7.655	15.589	10.02	27.655	20.883	25.382	16.715	8.208	7.968	15.843
35.50763	8.142	28.711	21.751	24.788	16.304	9.455	8.126	15.071	7.509	28.205	10.839	25.114	16.494	8.543	8.275	15.281	9.823	27.45	20.168	25.616	16.847	8.326	8.001	15.856
35.67431	7.779	28.458	22.002	25.331	16.615	9.681	8.381	15.439	7.762	28.805	10.947	24.834	16.511	8.62	7.825	15.503	9.371	27.286	20.565	25.511	16.864	8.2	8.139	15.697
35.84101	7.821	29.031	22.059	25.365	16.751	9.366	8.597	15.409	7.396	28.111	10.957	24.779	16.648	8.251	8.068	15.201	9.678	27.53	21.328	25.577	16.826	8.176	8.384	16.599
36.00772	7.642	28.711	22.487	25.405	16.657	9.632	8.656	15.689	7.097	29.029	11.221	24.732	16.788	8.307	8.187	15.251	9.558	27.744	21.138	25.381	17.141	8.738	8.325	17.209
36.17444	8.089	29.22	22.641	25.354	16.839	9.342	8.602	15.461	7.014	28.949	11.138	24.946	16.706	8.224	8.456	15.522	9.769	27.458	21.204	25.506	17.118	8.419	8.741	16.686
36.34102	8.3	28.483	22.128	25.598	16.867	9.647	8.875	15.711	6.694	28.655	10.911	24.925	16.703	8.436	8.791	15.459	9.863	27.315	21.075	25.278	17.172	8.199	8.428	16.712
36.50774	7.385	29.295	22.209	25.619	16.92	9.466	8.87	15.557	6.836	28.763	11.082	25.034	16.961	8.577	8.404	15.922	9.358	27.923	21.801	25.446	17.165	8.547	8.54	16.706
36.6745	7.839	28.974	22.392	25.683	17.107	9.716	9.148	15.359	6.848	29.704	11.067	25.099	16.943	8.59	8.595	15.434	9.079	28.22	21.604	25.48	17.117	8.357	8.496	16.687
36.84105	7.751	29.238	23.096	25.712	17.107	9.804	8.767	15.858	7.083	29.176	11.39	24.805	16.796	8.326	8.742	15.434	8.962	27.985	20.871	25.92	17.293	8.592	8.525	17.303
37.00778	7.478	29.216	22.597	25.744	17.014	9.999	9.168	15.799	6.929	29.124	10.882	25.042	17.32	8.436	8.497	15.929	9.099	27.638	21.309	25.865	17.436	8.698	8.809	17.24
37.17453	7.715	28.86	23.259	25.558	17.139	9.852	9.199	16.078	6.728	29.149	11.382	25.443	17.122	8.556	8.731	16.114	9.395	28.042	21.293	25.856	17.357	8.313	8.927	17.337
37.34122	7.473	29.09	23.617	25.883	17.126	9.466	9.222	16.467	6.836	29.468	11.317	25.269	17.431	8.959	9.109	16.275	9.094	28.774	21.244	25.945	17.488	8.517	8.863	17.645
37.50788	7.297	29.471	23.295	26.059	17.36	9.818	9.134	16.731	6.66	29.35	11.082	25.123	17.343	8.43	8.844	16.597	8.889	28.422	21.889	26.209	17.4	8.723	8.804	17.557
37.67445	7.502	29.453	23.569	26.846	17.494	10.254	9.25	16.153	7.019	29.327	11.257	25.141	17.273	8.934	8.867	16.798	9.006	28.305	21.6	25.644	17.451	8.888	8.889	17.312
37.84109	7.435	29.567	24.206	26.65	17.385	9.838	9.242	16.761	6.593	29.298	11.338	25.243	17.632	8.628	8.717	16.771	9.174	28.045	22.006	25.802	17.631	8.652	8.795	17.758
38.00795	7.596	29.921	23.302	26.449	17.924	9.911	9.168	16.386	6.959	29.447	11.322	25.395	17.584	8.582	9.113	16.604	8.982	28.871	21.985	26.041	17.583	8.903	8.985	17.798
38.17459	7.487	29.708	23.683	26.035	17.371	10.156	9.353	16.532	6.995	29.411	11.595	25.363	17.471	8.649	9.006	16.431	8.903	28.66	21.428	26.008	17.498	8.944	8.877	17.86
38.34127	7.649	29.53	23.383	26.001	17.977	10.083	9.897	17.142	7.012	29.526	11.317	25.533	17.695	8.871	8.844	16.597	8.625	28.51	21.801	26.238	17.899	8.957	8.863	18.173
38.5079	7.243	29.569	24.007	26.332	17.836	9.999	9.609	16.915	6.959	29.711	11.352	25.365	17.877	8.964	9.143	16.428	8.424	28.577	22.366	26.335	18.111	8.903	9.132	18.414
38.67456	7.405	29.685	24.646	26.562	17.855	10.043	9.742	16.908	6.77	29.915	11.25	25.742	17.808	8.599	9.334	16.859	8.322	28.545	22.124	26.154	17.72	9.328	9.147	18.375
38.84134	7.082	29.832	23.501	26.62	17.855	10.22	9.918	17.701	6.975	29.651	11.514	25.654	17.896	8.804	9.128	16.653	9.086	29.132	22.653	26.242	17.925	9.152	9.059	18.552
39.0079	7.502	29.706	23.735	26.588	17.977	10.347	9.369	16.878	7.041	30.143	11.611	26.091	18.047	8.695	9.197	16.979	8.331	28.862	23.034	26.385	18.104	8.899	9.509	18.349
39.17462	7.54	29.592	23.656	26.253	17.97	9.97	9.848	16.976	6.937	30.086	11.678	26.198	17.954	8.647	9.201	17.536	8.455	28.093	22.189	26.082	18.014	9.017	9.105	18.699
39.34131	7.507	29.921	24.153	26.537	18.276	10.176	10.254	18.03	7.047	29.477	11.88	25.835	17.848	8.788	9.378	17.338	8.571	28.577	21.985	26.129	18.17	9.314	9.25	18.708
39.50799	7.737	30.146	23.97	26.617	17.977	10.112	9.809	17.318	7.276	29.908	11.875	25.739	18.135	8.489	9.637	17.067	8.742	28.833	21.977	26.473	17.987	8.869	9.039	18.701
39.67474	7.934	29.685	24.382	26.65	18.295	10.455	9.83	17.789	7.298	29.856	11.514	26.094	18.161	8.775	9.598	17.094	8.498	28.633	22.212	26.419	18.278	9.328	9.177	19.08
39.84134	7.544	30.251	24.324	26.742	18.144	10.563	9.733	17.585	7.174	29.511	11.652	26.127	18.275	8.885	9.589	17.561	9.018	28.638	22.124	26.481	18.304	9.435	9.197	19.989
40.00797	7.737	30.264	24.527	26.617	18.27	10.552	9.985	18.14	7.54	30.319	12.022	26.678	18.37	8.783	9.725	17.507	8.742	28.774	21.977	26.297	18.369	9.515	9.332	18.965
40.17471	7.68	29.968	24.838	26.931	18.484	10.67	10.369	17.981	7.31	30.286	12.141	26.199	18.35	9.344	9.579	17.724	8.685	29.238	22.227	26.465	18.291	9.279	9.422	19.094
40.34141	7.907	30.182	24.428	26.67	18.451	10.22	10.185	17.659	7.009	29.97	11.81	26.467	18.376	8.837	9.598	17.84	8.528	29.097	22.491	26.469	18.494	9.65	9.531	19.209
40.50798	8.222	30.383	24.013	27.06	18.517	10.559	10.442	18.691	7.27	29.931	11.829	26.68	18.355	9.361	9.673	17.795	8.604	28.64	21.746	26.536	18.417	9.691	9.372	20.077
40.67476	7.685	29.801	24.669	26.939	18.696	10.146	10.727	18.459	7.227	29.59	12.176	26.442	18.503	9.085	9.525	17.672	8.66	28.806	22.557	26.179	18.415	9.342	9.545	19.865
40.8415	7.912	29.985	23.906	27.296	18.369	10.313	10.573	18.785	7.603	30.067	12.168	26.564	18.471	9.548	10.045	18.111	8.622	29.459	22.057	26.301	18.412	9.566	9.565	19.892
41.00802	7.722	30.043	24.959	27.086	18.712	10.269	10.147	18.515	7.532	30.301	12.007	26.206	18.49	9.359	10.148	17.985	9.049	29.338	22.344	26.973	18.285	9.463	9.728	19.913
41.1748	7.691	30.045	23.678	26.918	18.791	10.651	10.292	17.938	7.321	30.157	12.416	26.392	18.539	9.267	10.118	18.384	8.46	28.932	21.506	26.57	18.686	9.817	9.52	19.901
41.34153	7.762	30.209	24.445	26.749	18.577	10.338	10.482	18.914	7.19	30.231	11.87	26.605	18.857	9.547	9.923	18.411	9.089	29.238	22.712	27.138	18.534	9.56	9.414	19.927
41.50807	8.313	30.512	24.063	27.107	18.839	10.623	10.062	18.592	7.654	30.681	11.95	26.491	18.706	9.746	10.002	18.173	8.844	29.392	22.3	26.464	18.472	9.697	9.523	19.777
41.67478	8.268	30.425	23.863	27.199	19.173	10.726	10.664	18.391	7.726	30.417	12.288	26.702	18.686	9.729	10.075	18.977	8.799	29.277	23.161	26.645	18.629	9.506	9.567	20.022
41.84153	7.941	30.177	24.432	26.858	18.793	10.633	10.102	19.227	7.695	30.257	12.167	26.065	18.719	9.344	10.042	18.983	9.002	29.764	22.403	26.599	18.663	9.618	9.887	19.968
42.00821	8.193	30.455	24.547	27.41	19.065	10.799	11.001	18.868	7.561	30.625	12.537	26.765	18.755	9.271	10.148	19.133	8.872	28.897	22.432	27.15	18.727	9.728	9.728	20.56
42.17494	8.311	30.644	23.816	27.611	18.994	10.714	10.852	18.985	7.322	30.376	12.39	26.497	19.035	9.709	10.21	18.878	8.992	29.74	22.029	26.528	18.653	9.94	9.788	20.189
42.34158	8.404	30.625	24.206	27.149	19.088	10.631	10.711	19.228	7.328	30.385	12.513	26.535	18.954	9.48	10.45	19.238	8.674	29.514	21.948	26.683	18.718	9.681	9.617	20.285
42.50829	8.236	30.338	23.994	27.208	19.251	11.019	11.161	19.315	7.72	31.009	12.521	26.828	19.088	9.519	10.398	20.229	9.122	29.282	22.263	26.86	19.059	9.625	9.977	21.628
42.6749	8.183	30.332	24.095	27.594	18.981	10.998	10.93	19.556	7.634	30.24	12.496	26.393	18.993	9.903	10.611	19.539	9.422	29.399	21.985	26.658	18.816	9.784	10.101	21.144
42.8416	8.233	30.442	24.276	27.183	19.229	10.845	10.891	19.324	7.623	30.205	12.635	26.951	18.888	10.04	10.486	18.991	9.122	29.718	22.11	26.804	19.032	10.103	9.83	20.831
43.0082	8.793	31.004	24.651	27.603	19.166	11.427	10.865	19.326	7.749	30.378	12.754	26.605	18.945	9.959	10.63	19.235	9.089	29.621	22.035	26.725	19.005	10.032	10.121	20.898
43.175	8.546	30.484	23.988	27.616	19.33	11.417	10.766	19.839	7.797	30.448	12.89	26.971	19.079	10.065	10.178	19.633	9.402	29.162	21.078	27.15	18.962	9.551	9.904	20.737
43.34171	8.461	30.954	24.417	27.726	19.222	10.976	10.975	19.182	7.684	30.74	12.746	26.815	19.119	9.657	10.356	19.853	9.434	29.362	22.211	26.759	19.18	10.316	10.142	21.34
43.50831	8.428	31.191	23.841	27.527	19.448	11.034	11.089	19.663	7.561	30.595	13.008	27.236	19.256	9.977	10.59	20.281	9.255	29.25	22.285	27.032	18.962	10.199	10.11	20.737
43.67501	8.38	31.034	24.268	27.633	19.52	11.221	11.1	20.239	8.309	30.879	13.284	26.811	19.181	10.253	10.512	19.677	9.324	29.415	22.094	27.138	19.093	10.032	10.209	21.252
43.84172	8.284	31.072	23.945	27.726	19.369	11.094	10.798	19.624	7.949	30.681	12.864	26.668	19.325	9.569	10.208	19.853	9.64	29.451	22.476	27.113	19.209	10.404	10.555	21.251
44.00836	8.693	30.897	24.164	28.057	19.507	11.152	11.119	20.134	7.885	30.978	12.92	26.942	19.285	9.889	10.708	20.958	9.697	29.427	21.549	26.944	19.168	10.434	10.287	21.738
44.17511	9.034	30.866	24.482	27.435	19.379	11.491	11.194	19.717	8.02	30.741	13.201	27.144	19.452	10.318	10.988	20.568	9.595	29.836	22.13	27.146	19.424	10.36	10.303	21.701
44.34169	8.533	30.837	24.659	27.612	19.615	11.491	11.194	20.807	7.814	31.065	13.172	27.085	19.217	10.171	10.988	20.038	9.536	29.424	21.954	26.616	19.189	9.948	10.303	21.495
44.50841	8.759	31.041	23.666	27.777	19.497	11.125	11.422	20.234	8.073	30.973	13.31	26.718	19.601	10.016	10.829	20.458	9.554	29.8	21.901	27.135	19.427	10.227	10.174	21.501
44.67501	8.638	31.178	23.852	27.849	19.826	11.328	11.538	20.364	7.895	30.754	12.451	26.848	19.635	10.428	10.619	20.2	9.344	29.549	21.878	27.089	19.521	10.369	10.201	21.508
44.84164	8.305	31.306	23.793	27.587	19.852	11.526	11.324	20.96	8.007	30.733	13.124	27.207	19.515	10.185	10.877	20.525	9.365	29.704	21.996	27.034	19.223	10.389	10.31	21.064
