	MG1655-1	IBUA8-3_1	IBUA8-3_ilvH-revert-1	pykF-1	ilvH-1	pykF_ilvH-1	glyQ-1	pykF_glyQ-1	MG1655-2	IBUA8-3_2	IBUA8-3_ilvH-revert-2	pykF-2	ilvH-2	pykF_ilvH-2	glyQ-2	pykF_glyQ-2	MG1655-3	IBUA8-3_3	IBUA8-3_ilvH-revert-3	pykF-3	ilvH-3	pykF_ilvH-3	glyQ-3	pykF_glyQ-3	ilvH_glyQ-1	pykF_ilvH_glyQ-1	ilvH_glyQ-2	pykF_ilvH_glyQ-2	ilvH_glyQ-3	pykF_ilvH_glyQ-3
1.67186	0.164	0.15	0.244	0.116	0.196	0.133	0.13	0.163	0.283	0.146	0.197	0.181	0.225	0.27	0.324	0.111	0.294	0.151	0.171	0.36	0.415	0.326	0.437	0.334	0.231	0.301	0.175	0.21	0.221	0.129
1.8386	0.224	0.181	0.229	0.103	0.212	0.087	0.177	0.13	0.245	0.17	0.188	0.298	0.213	0.233	0.376	0.163	0.363	0.118	0.263	0.407	0.42	0.297	0.345	0.272	0.236	0.34	0.23	0.269	0.216	0.154
2.00531	0.161	0.212	0.16	0.035	0.174	0.203	0.293	0.19	0.179	0.197	0.184	0.233	0.299	0.292	0.341	0.189	0.367	0.209	0.171	0.292	0.36	0.329	0.284	0.303	0.331	0.282	0.443	0.298	0.182	0.027
2.17187	0.116	0.136	0.142	0.048	0.249	0.123	0.213	0.145	0.194	0.212	0.106	0.155	0.22	0.276	0.262	0.11	0.386	0.164	0.187	0.375	0.564	0.191	0.362	0.164	0.35	0.239	0.335	0.191	0.198	0.135
2.33851	0.205	0.227	0.163	0.133	0.209	0.113	0.204	0.109	0.312	0.175	0.161	0.18	0.274	0.208	0.348	0.103	0.355	0.097	0.091	0.318	0.47	0.282	0.329	0.285	0.319	0.27	0.205	0.217	0.192	0.036
2.5052	0.085	0.108	0.191	0.1	0.238	0.171	0.264	0.207	0.251	2.014	0.1	0.213	0.304	0.334	0.317	0.165	0.397	0.132	0.19	0.395	0.416	0.351	0.334	0.228	0.328	0.218	0.238	0.284	0.164	0.1
2.6719	0.087	0.142	0.154	0.096	0.264	0.01	0.259	0.177	0.219	1.987	0.192	0.181	0.3	0.365	0.345	0.162	0.435	0.228	0.162	0.407	0.453	0.386	0.4	0.262	0.365	0.35	0.237	0.316	0.195	0.193
2.83869	0.129	0.06	0.069	0.136	0.21	0.08	0.205	0.0	0.229	1.967	0.108	0.16	0.247	0.282	0.418	0.203	0.417	0.082	0.079	0.422	0.559	0.398	0.38	0.273	0.377	0.269	0.247	0.296	0.174	0.047
3.00536	0.228	0.065	0.136	0.109	0.277	0.179	0.272	0.193	0.296	1.942	0.019	0.196	0.314	0.318	0.36	0.177	0.517	0.15	0.179	0.335	0.409	0.279	0.292	0.185	0.383	0.338	0.284	0.239	0.21	0.115
3.17191	0.146	0.045	0.175	0.118	0.255	0.125	0.281	0.016	0.212	1.86	0.154	0.081	0.261	0.329	0.276	0.124	0.436	0.067	0.096	0.287	0.421	0.322	0.303	0.196	0.427	0.288	0.263	0.25	0.377	0.156
3.33861	0.068	0.0	0.0	0.069	0.268	0.137	0.2	0.095	0.165	1.877	0.137	0.19	0.369	0.25	0.353	0.107	0.361	0.115	0.113	0.277	0.408	0.245	0.414	0.369	0.258	0.213	0.466	0.266	0.236	0.046
3.50539	0.145	0.108	0.105	0.175	0.279	0.148	0.336	0.14	0.334	1.892	0.087	0.234	0.286	0.326	0.365	0.056	0.471	0.034	0.127	0.389	0.423	0.322	0.366	0.289	0.368	0.229	0.385	0.248	0.218	0.059
3.67203	0.184	0.211	0.111	0.056	0.286	0.154	0.343	0.054	0.248	1.9	0.0	0.147	0.262	0.239	0.403	0.158	0.512	0.042	0.073	0.306	0.558	0.268	0.468	0.298	0.44	0.302	0.33	0.256	0.226	0.098
3.83882	0.178	0.111	0.099	0.076	0.337	0.142	0.269	0.173	0.302	1.927	0.179	0.265	0.314	0.357	0.488	0.242	0.447	0.13	0.098	0.307	0.397	0.295	0.4	0.323	0.405	0.268	0.416	0.281	0.25	0.121
4.00535	0.193	0.125	0.024	0.0	0.261	0.035	0.35	0.031	0.35	1.909	0.101	0.155	0.269	0.278	0.474	0.133	0.428	0.113	0.176	0.317	0.536	0.34	0.446	0.243	0.449	0.217	0.306	0.359	0.171	0.106
4.17211	0.204	0.231	0.189	0.009	0.27	0.075	0.233	0.136	0.454	2.047	0.174	0.228	0.404	0.289	0.515	0.237	0.441	0.124	0.187	0.363	0.391	0.383	0.489	0.255	0.462	0.324	0.317	0.401	0.244	0.085
4.33884	0.212	0.208	0.227	0.079	0.277	0.05	0.334	0.081	0.273	1.93	0.119	0.141	0.222	0.202	0.428	0.087	0.356	0.132	0.258	0.247	0.4	0.392	0.371	0.326	0.314	0.271	0.639	0.189	0.095	0.124
4.50544	0.134	0.225	0.24	0.029	0.227	0.0	0.19	0.066	0.32	1.979	0.102	0.157	0.299	0.312	0.442	0.102	0.344	0.18	0.276	0.332	0.387	0.284	0.42	0.28	0.333	0.29	0.245	0.395	0.205	0.202
4.67216	0.192	0.156	0.331	0.088	0.223	0.059	0.374	0.092	0.315	1.973	0.286	0.246	0.389	0.275	0.406	0.16	0.463	0.269	0.27	0.325	0.601	0.404	0.414	0.274	0.389	0.284	0.366	0.484	0.294	0.229
4.8388	0.286	0.251	0.331	0.025	0.286	0.09	0.248	0.092	0.283	2.099	0.286	0.246	0.326	0.37	0.5	0.16	0.526	0.269	0.333	0.262	0.412	0.278	0.383	0.337	0.421	0.284	0.335	0.326	0.263	0.229
5.00554	0.303	0.268	0.407	0.101	0.204	0.103	0.356	0.077	0.235	2.085	0.301	0.072	0.308	0.322	0.421	0.08	0.451	0.254	0.35	0.283	0.588	0.327	0.526	0.354	0.408	0.398	0.35	0.438	0.184	0.15
5.17224	0.146	0.268	0.439	0.038	0.331	0.103	0.356	0.172	0.33	2.18	0.333	0.198	0.403	0.228	0.421	0.269	0.388	0.381	0.445	0.347	0.525	0.327	0.4	0.354	0.44	0.303	0.76	0.595	0.121	0.307
5.33886	0.154	0.467	0.635	0.045	0.243	0.267	0.3	0.212	0.306	2.221	0.403	0.301	0.252	0.235	0.428	0.276	0.493	0.389	0.549	0.2	0.629	0.305	0.504	0.3	0.26	0.471	0.295	0.541	0.223	0.347
5.50559	0.176	0.458	0.558	0.063	0.355	0.127	0.318	0.202	0.263	2.245	0.55	0.195	0.334	0.256	0.479	0.201	0.424	0.475	0.667	0.387	0.559	0.36	0.464	0.418	0.474	0.434	0.41	0.563	0.213	0.526
5.67228	0.257	0.507	0.736	0.02	0.249	0.179	0.18	0.22	0.219	2.388	0.632	0.214	0.259	0.306	0.467	0.315	0.408	0.461	0.621	0.274	0.512	0.313	0.418	0.466	0.427	0.481	0.397	0.517	0.2	0.607
5.8389	0.168	0.481	0.741	0.056	0.222	0.183	0.374	0.289	0.319	2.331	0.764	0.187	0.327	0.311	0.377	0.384	0.414	0.466	0.753	0.376	0.455	0.351	0.455	0.377	0.37	0.582	0.308	0.555	0.11	0.518
6.00551	0.248	0.531	0.945	0.133	0.362	0.196	0.324	0.337	0.271	2.349	0.621	0.234	0.468	0.359	0.455	0.398	0.528	0.705	0.866	0.429	0.474	0.337	0.472	0.489	0.452	0.538	0.292	0.635	0.252	0.534
6.17228	0.223	0.662	0.955	0.018	0.247	0.114	0.273	0.375	0.406	2.479	0.945	0.274	0.352	0.335	0.528	0.502	0.468	0.647	0.839	0.365	0.446	0.405	0.509	0.369	0.361	0.509	0.363	0.641	0.134	0.636
6.33891	0.171	0.8	0.965	0.154	0.256	0.28	0.281	0.449	0.353	2.587	0.956	0.316	0.361	0.251	0.474	0.576	0.481	0.659	1.009	0.316	0.427	0.449	0.363	0.602	0.468	0.68	0.31	0.81	0.239	0.742
6.50557	0.239	0.87	1.159	0.127	0.261	0.19	0.286	0.423	0.326	2.53	1.025	0.195	0.366	0.414	0.447	0.581	0.519	0.791	1.11	0.45	0.528	0.518	0.464	0.576	0.443	0.813	0.316	0.816	0.149	0.811
6.67225	0.176	0.901	1.159	0.158	0.355	0.19	0.318	0.518	0.326	2.624	1.056	0.227	0.366	0.414	0.542	0.612	0.487	0.791	1.11	0.387	0.559	0.328	0.369	0.512	0.443	0.687	0.221	0.816	0.244	0.811
6.83908	0.274	0.968	1.351	0.066	0.326	0.224	0.288	0.521	0.361	2.691	1.154	0.292	0.368	0.322	0.482	0.615	0.49	0.889	1.208	0.454	0.626	0.426	0.435	0.61	0.383	0.722	0.223	0.914	0.152	0.972
7.0057	0.288	1.11	1.364	0.14	0.274	0.235	0.394	0.725	0.278	2.801	1.263	0.305	0.38	0.366	0.494	0.786	0.507	1.062	1.35	0.44	0.483	0.283	0.576	0.688	0.367	0.802	0.299	0.865	0.26	0.986
7.17243	0.259	1.208	1.556	0.079	0.276	0.142	0.238	0.728	0.376	2.741	1.36	0.34	0.287	0.369	0.496	0.725	0.51	0.97	1.448	0.444	0.486	0.349	0.389	0.786	0.465	0.837	0.334	0.963	0.168	1.115
7.33899	0.299	1.217	1.564	0.15	0.251	0.212	0.308	0.737	0.352	2.909	1.369	0.221	0.389	0.377	0.409	0.891	0.52	1.201	1.553	0.487	0.495	0.358	0.461	0.795	0.379	0.91	0.341	0.972	0.176	1.124
7.50574	0.242	1.347	1.668	0.161	0.263	0.224	0.288	0.901	0.424	3.07	1.629	0.292	0.336	0.353	0.482	0.931	0.522	1.269	1.619	0.422	0.468	0.458	0.467	0.895	0.351	0.975	0.381	1.041	0.152	1.193
7.67247	0.276	1.512	1.888	0.156	0.194	0.25	0.251	0.936	0.36	3.3	1.853	0.324	0.301	0.448	0.575	0.931	0.53	1.21	1.721	0.561	0.568	0.494	0.406	0.931	0.421	1.016	0.413	1.171	0.152	1.323
7.8392	0.201	1.721	2.068	0.179	0.281	0.209	0.401	1.115	0.381	3.318	1.937	0.345	0.45	0.469	0.501	0.952	0.516	1.578	1.994	0.578	0.492	0.387	0.49	0.887	0.408	1.002	0.529	1.159	0.236	1.374
8.00574	0.178	1.795	1.949	0.249	0.287	0.248	0.218	1.155	0.294	3.423	2.04	0.353	0.362	0.446	0.572	1.119	0.558	1.619	2.099	0.557	0.565	0.395	0.499	1.023	0.386	1.139	0.22	1.231	0.181	1.51
8.17242	0.181	1.893	2.237	0.156	0.194	0.218	0.315	1.19	0.264	3.522	2.17	0.419	0.365	0.385	0.416	1.121	0.466	1.717	2.292	0.593	0.505	0.494	0.47	1.121	0.389	1.111	0.254	1.361	0.088	1.513
8.33914	0.198	1.913	2.508	0.17	0.271	0.327	0.424	1.208	0.216	3.669	2.347	0.435	0.411	0.464	0.494	1.233	0.549	1.927	2.344	0.52	0.619	0.48	0.329	1.203	0.503	1.259	0.333	1.379	0.199	1.626
8.5058	0.146	2.207	2.679	0.186	0.256	0.406	0.344	1.282	0.357	3.899	2.611	0.416	0.362	0.541	0.414	1.246	0.526	2.19	2.701	0.557	0.375	0.459	0.467	1.277	0.417	1.329	0.252	1.549	0.181	1.795
8.67251	0.192	2.287	2.788	0.197	0.267	0.227	0.324	1.361	0.275	4.011	2.754	0.556	0.279	0.459	0.489	1.227	0.447	2.174	2.846	0.512	0.676	0.506	0.418	1.292	0.433	1.347	0.169	1.564	0.099	1.906
8.83924	0.186	2.541	3.259	0.314	0.414	0.342	0.281	1.388	0.298	4.233	2.941	0.485	0.395	0.578	0.512	1.379	0.413	2.331	2.941	0.546	0.45	0.501	0.412	1.352	0.335	1.346	0.352	1.592	0.122	2.092
9.00586	0.249	2.954	3.354	0.282	0.224	0.342	0.249	1.42	0.234	4.265	3.354	0.485	0.236	0.578	0.384	1.474	0.572	2.776	3.418	0.609	0.45	0.596	0.508	1.256	0.43	1.474	0.288	1.655	0.186	2.028
9.17257	0.218	3.113	3.672	0.282	0.287	0.438	0.344	1.579	0.33	4.615	3.577	0.389	0.332	0.483	0.448	1.57	0.572	2.872	3.609	0.641	0.641	0.628	0.508	1.479	0.43	1.569	0.352	1.687	0.218	2.187
9.33924	0.23	3.311	4.033	0.361	0.208	0.358	0.265	1.557	0.375	4.94	3.84	0.435	0.315	0.559	0.526	1.614	0.581	3.07	3.965	0.71	0.492	0.607	0.424	1.521	0.408	1.64	0.333	1.761	0.104	2.261
9.50593	0.128	3.725	4.411	0.319	0.228	0.474	0.444	1.713	0.398	5.132	4.03	0.458	0.336	0.679	0.421	1.735	0.515	3.547	4.667	0.617	0.52	0.603	0.514	1.645	0.436	1.831	0.452	1.98	0.128	2.385
9.67268	0.23	4.073	4.573	0.361	0.271	0.422	0.233	1.748	0.407	5.226	4.476	0.562	0.283	0.75	0.399	1.646	0.645	3.833	4.759	0.679	0.523	0.48	0.424	1.521	0.344	1.735	0.365	2.11	0.168	2.642
9.83924	0.241	4.438	5.063	0.307	0.28	0.526	0.337	1.697	0.226	5.622	4.744	0.54	0.229	0.665	0.409	1.816	0.467	4.134	4.584	0.63	0.6	0.619	0.404	1.756	0.357	1.813	0.344	1.964	0.178	2.814
10.00598	0.31	4.51	5.037	0.375	0.221	0.435	0.342	1.862	0.327	6.298	4.847	0.482	0.393	0.607	0.509	1.853	0.569	4.364	4.814	0.733	0.447	0.593	0.537	1.667	0.427	1.916	0.285	2.066	0.12	3.043
10.17264	0.105	5.221	5.275	0.395	0.115	0.456	0.235	1.91	0.314	6.5	5.21	0.628	0.318	0.657	0.401	1.966	0.457	4.822	4.89	0.714	0.431	0.61	0.395	1.842	0.411	2.088	0.082	2.399	0.17	3.281
10.33932	0.145	5.948	5.322	0.428	0.241	0.487	0.298	2.018	0.318	6.844	5.262	0.57	0.414	0.791	0.532	2.07	0.503	5.226	4.914	0.83	0.475	0.716	0.468	2.046	0.392	2.172	0.277	2.35	0.207	3.328
10.50601	0.114	6.028	5.444	0.466	0.217	0.59	0.337	2.301	0.385	7.371	5.412	0.668	0.388	0.761	0.441	2.325	0.499	5.501	5.093	0.725	0.409	0.619	0.404	2.01	0.421	2.322	0.28	2.505	0.178	3.768
10.67262	0.249	6.423	5.486	0.473	0.287	0.533	0.217	2.311	0.33	7.957	5.487	0.644	0.395	0.705	0.448	2.334	0.668	6.15	4.882	0.832	0.418	0.628	0.54	2.211	0.462	2.492	0.256	2.61	0.122	3.906
10.83937	0.255	7.514	5.461	0.478	0.196	0.474	0.349	2.413	0.398	8.156	5.43	0.681	0.336	0.679	0.453	2.562	0.515	6.667	5.017	0.84	0.52	0.73	0.514	2.25	0.436	2.595	0.198	2.935	0.0	4.072
11.00603	0.2	7.432	5.567	0.485	0.203	0.385	0.26	2.614	0.247	8.775	5.505	0.657	0.343	0.719	0.46	2.539	0.429	7.158	5.093	0.755	0.529	0.739	0.459	2.514	0.382	2.798	0.365	3.009	0.327	4.465
11.1728	0.208	8.02	5.322	0.428	0.146	0.487	0.267	2.624	0.35	9.171	5.453	0.665	0.319	0.823	0.436	2.676	0.599	7.681	5.296	0.926	0.539	0.716	0.436	2.525	0.456	2.809	0.596	3.115	0.239	4.763
11.33948	0.147	8.439	5.772	0.431	0.212	0.713	0.269	2.851	0.353	9.495	5.648	0.668	0.257	0.794	0.407	2.966	0.506	8.643	5.301	0.77	0.478	0.847	0.375	2.56	0.363	3.004	0.311	3.278	0.114	4.83
11.50606	0.208	9.2	5.864	0.62	0.21	0.551	0.267	3.007	0.35	10.128	5.517	0.697	0.319	0.791	0.532	2.995	0.407	8.734	5.424	0.862	0.411	0.812	0.468	2.78	0.456	3.192	0.372	3.561	0.207	5.305
11.67288	0.203	10.114	5.857	0.679	0.141	0.578	0.23	3.191	0.313	11.138	5.764	0.756	0.346	0.785	0.399	3.244	0.528	9.616	5.225	0.95	0.469	0.806	0.462	2.836	0.449	3.216	0.654	3.745	0.202	5.584
11.83942	0.232	10.587	5.758	0.612	0.235	0.672	0.292	3.315	0.247	11.483	5.76	0.753	0.343	0.91	0.429	3.336	0.684	9.803	5.38	1.01	0.465	0.898	0.523	3.056	0.35	3.403	0.396	3.933	0.295	5.962
12.00624	0.275	11.086	5.9	0.59	0.148	0.777	0.269	3.616	0.225	12.11	5.744	0.796	0.257	0.953	0.47	3.476	0.602	10.078	5.588	0.962	0.478	0.847	0.471	3.325	0.395	3.578	0.311	4.171	0.529	6.457
12.17286	0.147	11.724	5.804	0.686	0.212	0.585	0.269	3.807	0.353	12.971	5.712	0.891	0.321	0.857	0.343	3.763	0.602	10.46	5.428	1.057	0.574	0.847	0.471	3.357	0.267	4.057	0.375	4.426	0.242	6.616
12.33957	0.22	11.486	5.878	0.725	0.25	0.784	0.307	4.074	0.233	13.626	5.978	0.868	0.328	0.961	0.446	4.092	0.452	12.072	5.409	1.069	0.647	0.92	0.447	3.464	0.373	4.069	0.415	4.852	0.218	7.011
12.50624	0.139	13.173	5.985	0.71	0.237	0.674	0.294	4.115	0.313	13.56	5.923	0.947	0.41	1.008	0.463	4.168	0.433	12.58	5.575	1.046	0.564	0.902	0.43	3.824	0.385	4.236	0.303	4.606	0.425	7.177
12.67291	0.128	13.341	6.194	0.701	0.196	0.792	0.158	4.419	0.335	14.556	5.813	0.968	0.336	0.934	0.517	4.504	0.515	13.64	5.75	1.126	0.52	0.921	0.323	4.001	0.436	4.442	0.389	4.973	0.096	7.893
12.8396	0.203	14.225	5.985	0.71	0.237	0.77	0.39	4.625	0.345	15.026	6.019	1.042	0.25	0.945	0.335	4.773	0.528	14.715	5.671	1.205	0.437	1.029	0.366	4.302	0.449	4.746	0.367	5.275	0.234	8.484
13.00626	0.147	15.487	5.964	0.686	0.244	0.777	0.301	5.051	0.353	15.777	6.031	1.051	0.257	1.049	0.47	4.943	0.602	14.638	5.811	1.153	0.446	0.943	0.375	4.441	0.363	4.95	0.311	5.701	0.21	8.753
13.17305	0.257	15.424	5.981	0.826	0.223	0.98	0.312	5.39	0.366	16.575	6.178	1.065	0.333	1.031	0.355	5.376	0.523	15.627	5.8	1.268	0.557	0.958	0.549	4.748	0.411	5.355	0.42	5.817	0.351	9.255
13.33966	0.228	17.314	6.113	0.732	0.161	0.823	0.314	5.458	0.336	16.964	6.182	1.004	0.271	1.129	0.453	5.476	0.43	16.304	5.804	1.24	0.56	0.962	0.36	5.103	0.382	5.519	0.423	6.556	0.226	9.738
13.5063	0.243	17.847	6.506	0.877	0.244	0.872	0.269	5.848	0.321	17.978	6.158	1.051	0.257	1.112	0.534	6.028	0.506	17.476	5.779	1.217	0.35	1.007	0.471	5.239	0.395	5.875	0.598	6.594	0.146	10.73
13.67306	0.153	18.723	6.29	0.914	0.248	0.973	0.241	6.176	0.358	19.076	6.357	1.088	0.326	1.118	0.475	5.939	0.449	18.511	5.979	1.352	0.484	1.14	0.476	5.502	0.306	6.107	0.38	6.89	0.151	10.836
13.83976	0.136	19.125	6.364	0.899	0.203	0.958	0.26	6.66	0.311	20.054	6.302	1.135	0.407	1.101	0.46	6.426	0.621	18.946	5.89	1.297	0.434	1.026	0.427	5.955	0.382	6.43	0.492	6.991	0.231	10.933
14.00636	0.228	20.252	6.496	0.956	0.129	0.918	0.25	7.15	0.241	21.18	6.533	1.099	0.367	1.225	0.549	6.657	0.526	19.529	5.932	1.272	0.433	1.057	0.392	6.285	0.414	6.988	0.391	7.514	0.258	12.07
14.17311	0.193	21.513	6.437	0.981	0.28	0.942	0.177	7.291	0.266	21.286	6.509	0.999	0.359	1.19	0.574	7.305	0.559	20.466	5.974	1.375	0.464	1.249	0.518	6.359	0.51	7.292	0.449	8.391	0.188	12.54
14.33971	0.237	21.298	6.411	1.027	0.168	1.021	0.289	7.515	0.28	21.713	6.449	1.204	0.278	1.234	0.461	7.404	0.632	20.733	6.04	1.379	0.506	1.131	0.561	6.841	0.392	7.482	0.399	8.678	0.33	12.597
14.50649	0.17	22.089	6.535	1.057	0.166	0.987	0.287	8.118	0.246	23.974	6.381	1.201	0.34	1.263	0.49	7.847	0.629	21.652	6.004	1.439	0.439	1.223	0.558	7.22	0.516	7.764	0.428	9.248	0.263	13.614
14.67316	0.237	24.27	6.411	1.059	0.264	1.085	0.289	8.602	0.344	23.439	6.385	1.268	0.342	1.266	0.589	8.203	0.632	23.418	6.232	1.539	0.442	1.227	0.497	7.576	0.424	8.185	0.431	9.668	0.17	14.163
14.83978	0.242	24.479	6.514	1.256	0.237	1.09	0.262	8.899	0.349	25.149	6.649	1.369	0.347	1.271	0.562	8.372	0.543	23.914	6.113	1.355	0.448	1.169	0.471	8.032	0.43	8.674	0.5	9.966	0.335	15.006
15.00655	0.309	25.99	6.454	1.163	0.367	1.188	0.2	9.319	0.384	25.957	6.397	1.308	0.286	1.434	0.436	8.856	0.546	26.672	6.213	1.551	0.483	1.236	0.474	8.421	0.497	8.935	0.503	10.451	0.37	15.62
15.17317	0.198	27.453	6.444	1.082	0.284	1.203	0.309	9.733	0.303	26.97	6.677	1.229	0.364	1.355	0.611	9.491	0.502	25.381	6.239	1.479	0.502	1.159	0.524	8.706	0.516	9.576	0.519	11.282	0.45	16.106
15.3398	0.265	26.918	6.48	1.149	0.351	1.141	0.28	10.027	0.37	29.573	6.681	1.456	0.366	1.486	0.486	9.72	0.601	26.159	6.179	1.707	0.601	1.451	0.527	9.255	0.456	10.03	0.617	11.48	0.292	16.849
15.50649	0.315	26.68	6.813	1.232	0.243	1.193	0.3	10.609	0.357	29.43	6.661	1.41	0.354	1.472	0.569	10.304	0.585	27.874	6.222	1.687	0.522	1.275	0.576	9.582	0.536	10.29	0.54	11.933	0.343	17.04
15.67321	0.286	27.521	6.625	1.331	0.278	1.356	0.271	10.934	0.456	29.919	6.953	1.413	0.357	1.475	0.476	11.013	0.556	30.187	6.226	1.755	0.525	1.342	0.675	10.291	0.443	10.903	0.607	12.578	0.378	17.879
15.83987	0.201	30.089	6.672	1.373	0.255	1.237	0.408	11.756	0.306	29.541	6.713	1.52	0.302	1.55	0.582	10.841	0.697	29.65	6.179	1.771	0.505	1.451	0.591	10.44	0.552	11.119	0.521	13.05	0.292	17.97
16.00666	0.178	30.471	6.459	1.381	0.261	1.309	0.415	12.414	0.314	32.102	6.789	1.465	0.405	1.591	0.493	11.241	0.611	31.154	6.449	1.783	0.707	1.364	0.439	11.001	0.561	12.162	0.658	13.772	0.397	19.337
16.17334	0.294	29.535	6.54	1.435	0.284	1.331	0.309	12.84	0.399	33.471	6.485	1.71	0.268	1.58	0.483	12.181	0.566	31.946	6.463	1.895	0.534	1.384	0.588	11.396	0.548	12.17	0.519	14.036	0.482	19.596
16.33998	0.306	26.945	6.683	1.477	0.197	1.373	0.447	13.504	0.186	32.262	6.629	1.657	0.405	1.559	0.589	12.523	0.515	32.917	6.577	1.975	0.611	1.397	0.535	11.802	0.561	12.931	0.626	14.83	0.493	20.49
16.50674	0.346	25.369	6.502	1.389	0.364	1.477	0.325	13.65	0.386	33.672	6.738	1.666	0.38	1.792	0.597	13.116	0.525	30.222	6.558	1.988	0.556	1.567	0.544	12.493	0.571	13.559	0.634	15.426	0.405	20.705
16.67328	0.318	25.217	6.945	1.523	0.246	1.452	0.399	14.071	0.456	29.535	6.761	1.797	0.453	1.827	0.604	13.669	0.556	26.987	6.706	2.043	0.589	1.534	0.579	12.659	0.539	14.36	0.703	15.811	0.378	21.271
16.83991	0.288	27.409	7.023	1.747	0.369	1.546	0.362	14.913	0.327	27.37	6.553	1.672	0.385	1.863	0.506	13.833	0.628	24.946	6.503	2.028	0.563	1.509	0.743	13.788	0.481	14.439	0.671	16.53	0.571	22.581
17.00663	0.294	27.741	7.148	1.659	0.348	1.619	0.405	15.914	0.399	28.571	7.19	1.838	0.492	1.9	0.611	14.967	0.694	27.527	6.463	2.087	0.63	1.544	0.684	14.022	0.645	14.956	0.743	18.104	0.482	22.575
17.17341	0.393	29.032	7.152	1.661	0.287	1.718	0.344	15.792	0.466	30.758	7.098	2.033	0.366	1.999	0.518	14.973	0.665	29.522	6.756	2.155	0.505	1.547	0.623	14.54	0.616	15.507	0.746	17.726	0.453	22.775
17.34003	0.335	28.378	6.936	1.539	0.355	1.723	0.508	16.254	0.471	29.88	7.074	1.911	0.499	2.005	0.683	16.203	0.576	28.484	7.149	2.164	0.512	1.746	0.597	15.258	0.622	16.322	0.847	18.06	0.554	24.104
17.50682	0.309	28.933	7.125	1.739	0.431	1.7	0.424	17.09	0.384	30.754	6.973	1.98	0.381	1.85	0.596	17.01	0.674	30.35	6.981	2.255	0.483	1.716	0.666	16.288	0.625	16.93	0.727	20.077	0.529	24.158
