	MG1655-1	HMDA1-10_1	HMDA3-5_1	HMDA5-4_1	HMDA7-1_1	proV-1	ptsP-1	wbbK-1	MG1655-2	HMDA1-10_2	HMDA3-5_2	HMDA5-4_2	HMDA7-1_2	proV-2	ptsP-2	wbbK-2	MG1655-3	HMDA1-10_3	HMDA3-5_3	HMDA5-4_3	HMDA7-1_3	proV-3	ptsP-3	wbbK-3	proV_nagC-1	proV_ptsP-1	proV_wbbK-1	proV_nagC_ptsP-1	proV_ptsP_wbbK-1	proV_nagC-2	proV_ptsP-2	proV_wbbK-2	proV_nagC_ptsP-2	proV_ptsP_wbbK-2	proV_nagC-3	proV_ptsP-3	proV_wbbK-3	proV_nagC_ptsP-3	proV_ptsP_wbbK-3
2.33834	0.183	0.17	0.706	0.38	0.608	0.673	0.637	0.902	1.089	0.991	0.998	0.737	1.048	0.704	0.892	1.448	1.193	1.203	0.986	0.539	0.972	0.755	0.727	1.098	0.611	0.655	0.634	0.526	0.876	0.498	0.743	0.856	0.724	0.892	0.645	0.715	0.95	0.508	0.743
2.50511	0.346	0.364	0.739	0.357	0.752	0.819	0.641	0.879	0.974	0.993	0.946	0.658	1.192	0.766	0.784	1.17	1.219	1.082	0.987	0.599	0.836	0.814	0.703	1.153	0.635	0.709	0.553	0.584	0.875	0.554	0.801	0.888	0.672	0.952	0.676	0.718	0.87	0.567	0.774
2.67177	0.396	0.325	0.801	0.475	0.62	0.684	0.593	0.829	0.964	1.088	1.178	0.692	1.088	0.771	0.988	1.266	1.264	1.054	1.0	0.552	0.956	0.767	0.74	1.029	0.683	0.809	0.647	0.595	0.835	0.54	0.812	0.924	0.708	0.905	0.713	0.728	0.907	0.52	0.812
2.83843	0.333	0.286	0.639	0.454	0.627	0.718	0.628	0.808	0.982	1.07	0.961	0.614	0.955	0.805	0.8	1.138	0.973	1.11	0.901	0.448	0.908	0.635	0.72	1.214	0.591	0.797	0.685	0.549	0.963	0.497	0.71	0.903	0.772	0.941	0.777	0.71	0.831	0.584	0.682
3.00513	0.324	0.0	0.698	0.344	0.712	0.637	0.657	0.922	0.976	0.957	0.906	0.617	1.012	0.808	0.857	1.276	1.136	0.928	0.954	0.421	0.824	0.692	0.749	0.956	0.555	0.764	0.656	0.604	0.902	0.55	0.765	0.876	0.717	0.886	0.806	0.597	0.916	0.557	0.737
3.1718	0.187	0.258	0.681	0.383	0.611	0.76	0.584	0.849	0.953	0.938	1.057	0.6	1.051	0.791	0.755	1.34	1.197	0.872	0.99	0.542	0.863	0.674	0.926	1.074	0.699	0.826	0.665	0.669	0.88	0.614	0.83	1.027	0.699	0.951	0.648	0.746	0.953	0.678	0.746
3.33855	0.246	0.21	0.644	0.374	0.656	0.668	0.629	0.896	0.903	0.953	1.018	0.787	1.096	0.671	0.772	1.129	1.203	1.091	0.946	0.503	0.852	0.69	0.635	1.026	0.536	0.695	0.54	0.46	0.861	0.457	0.677	0.904	0.66	0.912	0.664	0.593	0.914	0.555	0.677
3.50523	0.259	0.135	0.756	0.318	0.518	0.78	0.575	0.756	1.025	1.013	0.964	0.591	1.07	0.755	0.802	1.19	1.157	0.886	0.896	0.449	0.854	0.665	0.638	1.007	0.575	0.703	0.572	0.52	0.813	0.435	0.737	0.794	0.718	0.802	0.638	0.653	0.804	0.501	0.737
3.67188	0.401	0.282	0.748	0.421	0.564	0.66	0.537	0.803	1.059	1.027	0.953	0.639	1.087	0.774	0.791	1.231	1.108	0.994	0.935	0.494	0.899	0.877	0.71	1.015	0.551	0.768	0.531	0.534	0.905	0.53	0.751	0.812	0.679	0.931	0.739	0.612	0.932	0.546	0.779
3.83844	0.581	0.349	0.672	0.43	0.712	0.808	0.713	0.784	0.903	0.953	0.934	0.647	0.873	0.782	0.716	1.129	1.12	1.091	0.89	0.419	0.824	0.718	0.691	0.887	0.48	0.751	0.54	0.571	0.749	0.485	0.677	0.765	0.744	0.744	0.692	0.677	0.914	0.499	0.705
4.00513	0.247	0.208	0.664	0.478	0.593	0.743	0.65	0.748	1.07	1.059	0.983	0.667	1.033	0.858	0.876	1.264	1.146	1.292	1.081	0.552	0.845	0.907	0.74	0.996	0.591	0.804	0.562	0.566	0.886	0.565	0.699	0.925	0.625	0.877	0.769	0.895	0.795	0.52	0.727
4.17184	0.039	0.364	0.684	0.357	0.724	0.847	0.557	0.795	1.058	1.049	0.89	0.742	1.052	0.738	0.812	1.254	1.079	1.194	0.959	0.543	0.836	0.702	0.647	0.957	0.635	0.765	0.609	0.584	0.931	0.554	0.773	0.832	0.867	0.952	0.704	0.634	0.87	0.511	0.774
4.33852	0.193	0.327	0.655	0.413	0.722	0.651	0.584	0.767	0.964	1.045	1.0	0.546	0.995	0.738	0.837	1.137	1.125	0.98	0.925	0.568	0.918	0.923	0.673	1.004	0.679	0.757	0.605	0.608	0.839	0.52	0.686	0.942	0.642	0.894	0.73	0.686	0.895	0.621	0.658
4.50522	0.214	0.148	0.605	0.391	0.674	0.741	0.563	0.801	1.01	0.972	0.98	0.636	1.114	0.743	0.706	1.093	1.254	1.203	0.994	0.465	0.926	0.736	0.905	1.076	0.671	0.884	0.559	0.507	0.882	0.589	0.724	0.978	0.762	0.93	0.682	0.64	0.876	0.573	0.724
4.67197	0.325	0.262	0.725	0.343	0.653	0.721	0.794	0.809	0.983	1.061	1.043	0.616	1.037	0.752	0.713	1.237	1.199	1.003	0.886	0.444	0.821	0.687	0.688	0.967	0.532	0.747	0.621	0.54	0.941	0.537	0.674	0.901	0.685	0.825	0.773	0.702	0.994	0.72	0.674
4.83851	0.247	0.32	0.692	0.394	0.677	0.687	0.622	0.748	1.098	0.919	0.983	0.583	1.145	0.662	0.737	1.236	1.174	1.04	0.969	0.384	0.873	0.711	0.629	1.052	0.647	0.804	0.646	0.51	0.858	0.593	0.699	0.841	0.681	0.849	0.629	0.699	0.879	0.52	0.699
5.00524	0.242	0.429	0.67	0.343	0.653	0.665	0.71	0.865	0.955	1.285	0.931	0.561	1.037	0.724	0.713	1.126	1.116	1.449	1.11	0.444	1.016	0.799	0.716	0.967	0.727	0.775	0.593	0.568	0.941	0.453	0.786	0.957	0.741	0.853	0.689	0.702	0.827	0.58	0.786
5.17189	0.803	0.51	0.681	0.327	0.751	0.676	0.584	0.849	1.009	0.994	1.001	0.6	1.219	0.763	0.839	1.172	1.253	1.068	0.934	0.542	1.003	0.758	0.731	0.99	0.587	0.826	0.581	0.529	0.964	0.67	0.662	0.943	0.727	0.951	0.704	0.662	0.897	0.594	0.746
5.33865	0.296	0.449	0.642	0.428	0.684	0.693	0.573	0.838	1.06	0.929	0.934	0.757	1.068	0.78	0.829	1.192	1.192	1.152	1.094	0.477	0.909	0.608	0.693	0.956	0.611	0.848	0.516	0.52	0.846	0.55	0.849	0.932	0.632	0.886	0.75	0.681	0.888	0.641	0.765
5.50527	0.363	0.405	0.631	0.305	0.757	0.71	0.73	1.163	1.128	1.113	0.895	0.662	1.337	0.713	0.901	1.123	1.204	0.993	0.997	0.493	0.981	0.82	0.737	0.941	0.679	0.721	0.588	0.536	0.887	0.621	0.809	0.865	0.621	0.818	0.794	0.725	1.044	0.601	0.753
5.67197	0.255	0.467	0.67	0.455	0.599	0.777	0.544	0.837	1.105	1.065	0.905	0.673	1.123	0.696	0.799	1.187	1.154	1.133	1.004	0.474	0.935	0.801	0.662	1.059	0.599	0.728	0.624	0.572	0.782	0.516	0.817	0.931	0.687	0.799	0.803	0.65	0.857	0.582	0.706
5.83867	0.305	0.327	0.711	0.357	0.639	0.707	0.584	0.767	1.02	1.018	0.944	0.519	1.246	0.71	1.033	1.193	1.125	1.258	1.009	0.429	1.001	0.7	0.757	0.949	0.79	0.812	0.521	0.524	0.922	0.464	0.742	0.859	0.726	0.81	0.73	0.658	0.923	0.649	0.686
6.00536	0.218	0.461	0.728	0.374	0.824	0.724	0.685	0.812	0.987	1.065	0.962	0.563	1.208	0.754	1.023	1.129	1.12	1.259	0.974	0.503	1.019	0.774	0.775	0.943	0.703	0.751	0.624	0.544	0.916	0.401	0.761	0.904	0.66	0.856	0.776	0.621	0.914	0.583	0.705
6.1721	0.283	0.495	0.698	0.316	0.767	0.693	0.628	0.81	1.021	1.149	0.961	0.645	1.319	0.78	0.659	1.159	1.182	1.385	0.92	0.53	1.046	0.885	0.746	0.975	0.739	0.728	0.569	0.488	0.949	0.6	0.789	0.931	0.854	0.939	0.719	0.65	0.969	0.666	0.706
6.33868	0.283	0.495	0.754	0.455	0.851	0.777	0.74	0.754	0.993	1.317	1.073	0.673	1.57	0.78	0.966	1.187	1.238	1.301	0.976	0.53	1.242	0.801	0.802	1.059	0.683	0.811	0.652	0.572	0.865	0.74	0.733	0.903	0.854	0.967	0.803	0.733	1.025	0.582	0.734
6.50538	0.292	0.529	0.723	0.341	0.793	0.718	0.738	0.863	0.944	1.262	0.988	0.586	1.486	0.721	0.77	1.273	1.356	1.456	0.951	0.586	1.354	0.745	0.746	0.924	0.72	0.732	0.569	0.601	0.898	0.631	0.818	0.789	0.714	0.911	0.747	0.734	0.969	0.638	0.734
6.67207	0.427	0.694	0.7	0.318	0.994	0.864	0.631	0.673	0.913	1.236	0.964	0.564	1.489	0.81	0.802	1.19	1.074	1.418	0.896	0.449	1.469	0.721	0.638	1.091	0.687	0.899	0.656	0.576	0.953	0.575	0.793	0.99	0.774	0.942	0.806	0.625	0.86	0.529	0.653
6.83877	0.135	0.543	0.692	0.366	0.929	0.771	0.65	0.804	0.986	1.311	1.067	0.583	1.536	0.746	0.821	1.096	1.23	1.292	1.053	0.552	1.544	0.823	0.629	0.996	0.647	0.944	0.534	0.51	0.886	0.593	0.783	0.897	0.681	0.933	0.685	0.643	0.795	0.52	0.727
7.0053	0.118	0.556	0.597	0.466	1.084	0.732	0.638	0.82	1.222	1.381	0.971	0.544	1.887	0.763	0.809	1.223	1.215	1.552	0.956	0.456	1.615	0.699	0.784	1.065	0.575	0.762	0.689	0.581	0.871	0.551	0.77	0.885	0.836	0.865	0.841	0.603	0.951	0.676	0.715
7.17206	0.261	0.786	0.811	0.401	1.045	0.64	0.823	0.784	1.032	1.339	0.988	0.591	1.875	0.726	0.825	1.207	1.165	1.63	0.94	0.556	1.741	0.744	0.856	0.934	0.607	0.742	0.592	0.623	0.991	0.618	0.757	0.931	0.797	0.965	0.662	0.673	0.883	0.525	0.674
7.33871	0.288	0.702	0.728	0.401	1.129	0.696	0.656	0.784	1.116	1.423	0.932	0.591	2.042	0.754	0.853	1.096	1.193	1.407	0.995	0.556	2.076	0.772	0.828	0.99	0.524	0.798	0.592	0.512	0.908	0.534	0.729	1.014	0.63	0.91	0.829	0.59	0.911	0.553	0.646
7.50537	0.866	0.951	0.825	0.303	1.25	0.766	0.612	0.797	1.114	1.457	1.027	0.66	2.05	0.768	0.781	1.297	1.109	1.809	1.028	0.594	2.055	0.949	0.7	0.935	0.631	0.771	0.684	0.575	1.075	0.566	0.848	0.914	0.78	0.837	0.756	0.682	0.866	0.674	0.682
7.67216	0.224	0.974	0.786	0.376	1.379	0.81	0.629	0.897	1.053	1.532	1.045	0.594	2.319	0.701	0.826	1.15	1.409	1.67	1.132	0.473	2.38	0.801	0.801	1.04	0.571	0.765	0.564	0.567	0.958	0.559	0.812	0.988	0.715	0.938	0.802	0.617	0.967	0.526	0.701
7.83879	0.295	1.046	0.694	0.367	1.454	0.746	0.704	0.805	1.153	1.495	1.119	0.724	2.477	0.721	0.734	1.251	1.203	1.517	1.122	0.547	2.51	0.819	0.903	0.974	0.698	0.754	0.554	0.557	1.003	0.576	0.775	0.895	0.789	0.957	0.793	0.636	1.014	0.656	0.719
8.0054	0.628	1.24	0.833	0.312	1.593	0.774	0.537	0.833	1.153	1.495	1.036	0.585	2.504	0.721	0.817	1.084	1.148	1.74	1.066	0.519	2.676	0.792	0.792	1.141	0.643	0.921	0.554	0.557	0.947	0.576	0.775	0.895	0.845	0.873	0.765	0.552	0.875	0.572	0.886
8.17212	0.619	1.205	0.891	0.508	1.759	0.833	0.678	0.891	1.035	1.715	1.009	0.532	2.725	0.862	0.763	1.138	1.086	1.891	1.008	0.52	2.868	0.792	0.793	1.024	0.579	0.832	0.582	0.556	0.887	0.601	0.829	0.952	0.652	0.846	0.738	0.691	0.848	0.545	0.691
8.33884	0.211	1.212	0.833	0.451	2.121	0.691	0.732	0.889	1.042	1.745	1.147	0.585	3.005	0.86	0.873	1.223	1.12	1.851	1.149	0.464	3.149	0.736	0.737	0.946	0.643	0.754	0.721	0.557	0.947	0.743	0.802	1.062	0.706	0.929	0.626	0.552	0.93	0.6	0.691
8.5055	0.373	1.32	0.838	0.373	2.206	0.641	0.597	0.783	1.039	1.746	1.178	0.618	3.339	0.699	0.849	1.114	1.256	1.979	1.122	0.44	3.399	0.934	0.685	1.028	0.667	0.919	0.696	0.532	1.057	0.632	0.749	0.955	0.821	0.988	0.658	0.749	0.934	0.715	0.777
8.67217	0.365	1.395	0.888	0.367	2.393	0.747	0.758	0.86	1.087	1.906	1.172	0.696	3.387	0.776	0.871	1.218	1.11	1.942	1.115	0.655	3.531	0.789	0.79	1.021	0.575	0.912	0.662	0.47	0.911	0.542	0.743	0.977	0.815	0.982	0.735	0.521	0.845	0.542	0.688
8.83885	0.286	1.399	0.835	0.425	2.535	0.833	0.594	0.808	1.035	1.965	1.175	0.699	3.613	0.834	0.791	1.221	1.197	2.446	1.091	0.52	4.006	0.792	0.848	0.941	0.69	0.832	0.61	0.612	0.914	0.684	0.913	0.813	0.735	0.846	0.682	0.691	0.931	0.573	0.691
9.00546	0.745	1.609	0.993	0.361	2.636	0.741	0.586	0.855	1.329	2.066	1.333	0.607	3.935	0.687	0.837	1.128	1.241	2.265	1.192	0.566	4.133	0.839	0.756	1.014	0.734	0.822	0.683	0.63	0.987	0.535	0.737	0.888	0.809	0.976	0.729	0.654	1.005	0.703	0.765
9.17226	0.317	1.764	1.012	0.353	2.848	0.733	0.605	0.846	1.068	2.056	1.268	0.682	4.257	0.762	0.773	1.091	1.175	2.416	1.126	0.557	4.4	0.774	0.692	0.975	0.666	0.783	0.508	0.676	0.976	0.663	0.81	0.879	0.8	0.911	0.72	0.644	0.913	0.555	0.672
9.33893	0.344	1.764	0.929	0.491	3.236	0.705	0.743	0.874	0.985	2.305	1.268	0.599	4.617	0.762	0.911	1.091	1.23	2.499	1.126	0.502	4.787	0.774	0.83	1.058	0.749	0.977	0.674	0.537	1.114	0.663	0.81	1.101	0.828	0.967	0.747	0.727	0.913	0.61	0.755
9.5056	0.325	2.021	1.074	0.442	3.465	0.711	0.611	0.935	1.076	2.312	1.33	0.687	4.708	0.823	0.917	1.264	1.321	2.842	1.271	0.646	5.349	0.863	0.836	0.982	0.73	0.79	0.68	0.544	0.983	0.587	0.817	0.885	0.917	1.028	0.726	0.651	0.891	0.561	0.651
9.67223	0.365	2.172	1.027	0.506	3.863	0.663	0.675	0.86	1.115	2.488	1.339	0.724	5.301	0.776	0.926	1.19	1.166	2.635	1.226	0.517	5.749	0.762	0.79	1.076	0.742	0.884	0.662	0.608	0.994	0.542	0.771	0.949	0.76	0.899	0.818	0.688	0.845	0.653	0.688
9.83884	0.4	2.207	1.262	0.519	4.067	0.76	0.605	0.846	1.013	2.637	1.324	0.682	5.365	0.735	0.939	1.119	1.147	3.164	1.292	0.585	6.062	0.83	0.775	1.086	0.639	0.811	0.563	0.62	1.031	0.58	0.755	1.018	0.717	0.967	0.803	0.672	0.968	0.555	0.755
10.0056	0.689	2.386	1.104	0.444	4.244	0.824	0.697	0.855	1.163	2.648	1.444	0.718	5.792	0.743	0.948	1.212	1.325	3.041	1.358	0.594	6.351	0.95	0.701	1.014	0.761	0.988	0.683	0.685	1.153	0.535	0.765	0.971	0.754	0.976	0.673	0.903	0.977	0.647	0.765
10.17232	0.508	2.564	1.251	0.592	4.394	0.749	0.622	0.863	1.202	2.852	1.536	0.81	6.165	0.779	0.874	1.138	1.253	3.416	1.396	0.603	7.029	0.792	0.876	1.08	0.829	0.832	0.693	0.639	1.081	0.629	0.774	1.035	0.763	0.985	0.766	0.58	0.848	0.712	0.747
10.339	0.345	2.735	1.282	0.456	4.897	0.752	0.625	0.811	0.956	2.939	1.594	0.702	6.918	0.782	0.877	1.28	1.284	3.311	1.289	0.606	7.616	0.962	0.768	1.028	0.694	0.808	0.585	0.559	0.918	0.521	0.777	0.955	0.738	1.071	0.741	0.666	0.906	0.715	0.75
10.5056	0.317	3.094	1.317	0.519	5.619	0.733	0.66	0.846	1.151	3.136	1.684	0.876	7.221	0.735	0.856	1.174	1.23	3.552	1.625	0.64	7.835	0.774	0.858	0.975	0.556	0.783	0.646	0.62	1.031	0.774	0.866	0.962	0.883	1.022	0.747	0.672	0.968	0.638	0.838
10.67226	0.34	3.228	1.48	0.655	5.559	0.73	0.685	0.926	1.064	3.326	1.598	0.762	7.577	0.759	0.908	1.115	1.226	3.63	1.51	0.554	8.606	0.827	0.772	0.999	0.718	0.724	0.643	0.617	1.111	0.771	0.752	0.932	0.742	0.908	0.744	0.724	0.91	0.635	0.669
10.83898	0.802	3.636	1.624	0.548	6.352	0.844	0.634	0.986	1.273	3.588	1.798	0.71	8.068	0.846	0.969	1.151	1.351	3.992	1.549	0.615	9.072	0.804	0.805	1.095	0.706	0.847	0.678	0.569	1.068	0.726	0.842	0.908	0.775	0.942	0.833	0.703	0.998	0.668	0.704
11.0057	0.31	3.839	1.63	0.47	6.582	0.738	0.556	0.825	1.058	3.707	1.971	0.66	8.688	0.712	0.892	1.13	1.109	4.197	1.722	0.621	9.582	0.866	0.894	0.963	0.77	0.938	0.767	0.631	0.992	0.622	0.848	0.831	0.753	1.003	0.673	0.626	1.005	0.591	0.71
11.17243	0.203	3.979	1.695	0.536	6.974	0.749	0.761	0.974	1.174	4.017	2.035	0.81	9.244	0.779	0.874	1.305	1.197	4.803	1.646	0.603	10.08	0.765	0.931	1.024	0.579	0.832	0.582	0.639	0.914	0.629	0.746	0.952	0.679	0.902	0.876	0.58	1.069	0.656	0.774
11.33904	0.144	4.538	1.818	0.573	7.362	0.674	0.716	1.011	1.085	4.233	2.077	0.735	9.47	0.788	0.913	1.237	1.33	5.124	1.914	0.782	10.978	0.887	0.804	1.072	0.714	0.936	0.817	0.653	1.101	0.646	0.926	0.935	0.801	0.941	0.86	0.704	1.026	0.668	0.732
11.50568	0.314	4.927	1.966	0.556	7.947	0.741	0.809	0.911	1.062	4.572	2.169	0.83	10.748	0.799	0.978	1.133	1.446	5.174	1.976	0.708	11.725	0.786	0.814	1.05	0.635	0.914	0.77	0.634	1.107	0.569	0.852	1.001	0.839	0.867	0.703	0.713	0.869	0.677	0.713
11.67243	0.27	5.38	2.232	0.628	8.374	0.73	0.603	0.872	1.047	4.945	2.461	0.818	11.339	0.843	1.049	1.148	1.209	5.486	2.156	0.612	12.537	0.885	0.802	1.035	0.758	0.732	0.674	0.649	1.009	0.611	0.756	1.044	0.661	0.911	0.747	0.672	0.94	0.638	0.784
11.83907	0.27	5.797	2.287	0.767	9.179	0.841	0.77	0.983	1.297	5.333	2.489	0.901	12.671	0.843	0.966	1.204	1.209	5.93	2.378	0.668	13.231	0.718	0.885	1.035	0.758	0.899	0.674	0.566	1.147	0.639	0.783	0.989	0.938	0.939	0.83	0.783	0.94	0.721	0.756
12.00569	0.373	6.141	2.449	0.672	9.379	0.716	0.9	0.859	1.115	5.574	2.71	0.778	12.553	0.746	0.93	1.119	1.052	6.406	2.498	0.745	14.205	0.765	0.766	0.96	0.691	0.907	0.67	0.646	1.101	0.642	0.695	0.979	0.763	0.931	0.683	0.584	1.016	0.658	0.779
12.17244	0.447	6.876	2.616	0.674	10.868	0.802	0.678	0.945	1.08	6.261	2.903	0.864	13.925	0.832	0.987	1.117	1.325	6.605	2.437	0.745	14.878	0.85	0.822	1.066	0.766	0.958	0.725	0.756	1.067	0.694	0.806	1.008	0.959	1.043	0.74	0.723	0.961	0.77	0.751
12.33911	0.283	7.283	2.769	0.609	11.248	0.738	0.695	0.963	1.197	6.29	2.999	1.077	14.964	0.796	0.892	1.158	1.275	7.28	2.556	0.843	16.247	0.894	0.95	0.963	0.77	0.827	0.712	0.659	1.159	0.622	0.682	0.887	0.753	0.864	0.839	0.793	0.866	0.674	0.765
12.50585	0.477	7.866	3.019	0.637	11.859	0.849	0.64	0.991	1.031	7.262	3.415	0.966	15.964	0.768	0.892	1.158	1.275	7.557	2.833	0.788	17.358	0.866	0.894	1.102	0.77	0.91	0.712	0.631	1.159	0.733	0.765	0.97	0.864	1.059	0.7	0.626	1.005	0.674	0.793
12.6724	0.339	8.598	3.236	0.74	12.869	0.813	0.744	0.928	1.141	7.126	3.467	1.097	16.34	0.871	0.913	1.237	1.219	7.933	2.999	0.893	18.487	0.748	1.055	1.072	0.575	0.852	0.79	0.653	1.045	0.646	0.815	0.99	0.857	0.969	0.777	0.732	0.97	0.779	0.815
12.83915	0.324	9.477	3.552	0.805	13.803	0.821	0.725	0.936	1.264	7.445	3.728	1.106	17.749	0.74	1.005	1.274	1.341	8.535	3.205	0.819	19.119	0.84	0.897	0.999	0.643	0.947	0.66	0.746	1.14	0.656	0.88	0.916	0.81	0.95	0.786	0.658	0.952	0.621	0.741
13.00591	0.311	9.738	3.876	0.851	14.426	0.869	0.577	0.844	1.002	8.683	3.912	1.18	19.649	0.871	1.052	1.181	1.052	9.462	3.388	0.893	20.795	0.72	0.999	0.988	0.575	1.019	0.651	0.653	0.962	0.674	0.787	0.935	0.885	0.885	0.721	0.648	0.97	0.612	0.788
13.17254	0.398	10.788	4.133	0.917	15.864	0.658	0.698	0.883	1.201	9.072	4.196	1.218	21.137	0.799	0.978	1.411	1.39	9.758	3.698	1.013	23.309	0.813	0.897	1.05	0.718	0.83	0.715	0.717	1.162	0.653	0.713	0.973	0.867	0.951	0.703	0.546	1.008	0.594	0.769
13.33915	0.365	11.435	4.466	0.949	17.896	0.719	0.703	0.971	1.032	9.616	4.417	1.195	21.358	0.776	0.871	1.19	1.193	10.483	3.916	0.988	24.58	0.845	0.845	1.076	0.659	0.746	0.662	0.692	1.16	0.625	0.743	0.866	0.898	0.982	0.735	0.743	0.928	0.709	0.66
13.5059	0.203	12.051	5.052	1.063	18.235	0.777	0.622	0.891	1.174	10.064	4.865	1.364	22.946	0.779	0.929	1.194	1.28	11.045	4.17	1.019	25.919	0.709	0.876	1.163	0.663	0.832	0.693	0.695	1.22	0.601	0.774	0.897	0.901	1.124	0.682	0.663	0.903	0.739	0.747
