	MG1655-1	IBUA8-3_1	phoU-1	cheR-1	rph-1	MG1655-2	IBUA8-3_2	phoU-2	cheR-2	rph-2	MG1655-3	IBUA8-3_3	phoU-3	cheR-3	rph-3
30.67447	1.881	31.945	2.139	1.858	1.561	2.081	34.409	2.675	2.018	2.086	3.229	34.285	3.073	2.219	1.758
30.84127	1.956	33.261	2.152	1.901	1.472	2.222	33.587	2.751	1.93	1.898	3.042	33.891	3.315	2.328	2.032
31.008	1.867	33.195	2.197	1.812	1.614	2.133	34.279	2.465	2.137	1.875	3.25	32.805	3.194	2.405	1.778
31.1747	1.894	34.128	2.09	1.904	1.673	2.226	34.191	2.886	2.032	2.0	3.473	32.717	3.417	2.332	1.936
31.34136	2.082	35.212	2.538	1.992	1.597	2.314	33.828	2.744	1.923	2.155	3.233	32.849	3.472	2.289	2.123
31.50808	1.947	33.228	2.435	1.989	1.659	2.311	33.521	2.774	1.953	1.987	3.525	33.562	3.271	2.318	2.021
31.67464	1.938	34.968	2.16	1.979	1.682	2.17	33.521	2.829	2.041	2.174	3.515	34.087	3.49	2.176	1.946
31.84137	2.069	34.147	2.16	2.143	1.781	2.367	35.393	2.763	2.239	2.076	3.876	32.214	3.391	2.275	2.143
32.00803	1.947	33.721	2.271	1.858	1.659	2.18	34.639	2.839	2.018	2.152	3.624	33.233	3.665	2.318	2.021
32.17468	2.177	33.425	2.468	2.055	1.692	2.278	33.159	2.774	2.117	2.086	3.525	33.167	3.271	2.285	1.956
32.34138	2.091	33.568	2.287	1.904	1.673	2.423	34.158	2.689	2.262	2.165	3.835	34.33	3.713	2.431	2.134
32.508	1.98	33.918	2.238	2.153	1.692	2.311	33.422	2.839	2.216	2.25	3.985	33.43	3.468	2.318	2.219
32.67482	2.148	33.14	2.439	2.058	1.761	2.314	34.552	2.58	2.318	2.352	3.825	32.882	3.504	2.289	2.156
32.84156	2.148	33.6	2.472	1.992	1.761	2.413	35.407	2.678	2.219	2.484	3.726	34.888	3.669	2.42	2.255
33.00817	2.135	33.457	2.521	2.176	1.65	2.499	33.291	2.763	2.206	2.273	4.073	33.2	3.588	2.373	2.044
33.17474	2.237	33.6	2.427	2.081	1.85	2.502	33.729	2.767	2.242	2.342	3.814	32.258	3.362	2.475	2.245
33.34152	2.144	33.819	2.271	2.055	1.955	2.476	34.047	2.741	2.446	2.152	3.92	35.37	3.665	2.417	2.12
33.5082	2.289	33.14	2.353	2.167	1.804	2.522	34.092	2.853	2.361	2.362	4.0	33.507	3.713	2.431	2.331
33.67474	2.483	34.116	2.645	2.098	1.966	2.617	34.147	2.751	2.423	2.195	3.996	35.141	3.512	2.394	2.262
33.84146	2.345	34.423	2.439	2.19	2.057	2.512	35.012	2.876	2.252	2.254	3.825	34.23	3.8	2.42	2.354
34.00817	2.342	34.904	2.435	2.153	1.988	2.508	35.001	2.971	2.216	2.447	4.183	35.403	3.862	2.778	2.613
34.17486	2.549	35.367	2.382	2.164	2.064	2.584	34.344	2.981	2.226	2.458	4.029	34.648	3.808	2.723	2.459
34.34156	2.326	32.975	2.414	2.169	1.873	2.689	34.287	2.855	2.297	2.365	4.197	32.981	3.975	2.498	2.3
34.5082	2.415	33.336	2.336	2.257	1.961	2.745	34.45	2.943	2.222	2.551	4.154	34.786	3.865	2.553	2.487
34.67496	2.351	33.524	2.448	2.295	1.998	2.782	35.43	2.883	2.456	2.556	4.325	34.417	3.611	2.888	2.459
34.84169	2.467	34.29	2.624	2.541	2.08	2.699	36.161	2.931	2.505	2.572	4.471	32.817	3.658	2.705	2.409
