	MG1655-1	PUTR3-1_1	PUTR4-3_1	PUTR5-6_1	PUTR7-7_1	PUTR8-10_1	proV-1	cspC-1	MG1655-2	PUTR3-1_2	PUTR4-3_2	PUTR5-6_2	PUTR7-7_2	PUTR8-10_2	proV-2	cspC-2	MG1655-3	PUTR3-1_3	PUTR4-3_3	PUTR5-6_3	PUTR7-7_3	PUTR8-10_3	proV-3	cspC-3	ptsP-1	wbbK-1	proV_cspC-1	proV_nagC-1	proV_ptsP-1	proV_wbbK-1	proV_ptsP_wbbK-1	proV_ptsP_nagC-1	ptsP-2	wbbK-2	proV_cspC-2	proV_nagC-2	proV_ptsP-2	proV_wbbK-2	proV_ptsP_wbbK-2	proV_ptsP_nagC-2	ptsP-3	wbbK-3	proV_cspC-3	proV_nagC-3	proV_ptsP-3	proV_wbbK-3	proV_ptsP_wbbK-3	proV_ptsP_nagC-3
1.67171	0.366	0.79	0.239	0.823	0.085	0.379	0.413	0.606	0.913	0.374	0.021	0.571	0.268	0.535	0.251	0.482	0.34	0.348	0.358	0.423	0.177	0.634	0.563	0.602	0.451	0.357	0.574	0.458	0.394	0.523	0.583	0.137	0.227	0.354	0.534	0.207	0.177	0.338	0.22	0.1	0.341	0.374	0.455	0.349	0.109	0.158	0.287	0.203
1.83849	0.201	0.783	0.252	0.774	0.149	0.441	0.476	0.667	0.91	0.34	0.112	0.649	0.311	0.47	0.295	0.346	0.418	0.471	0.431	0.568	0.159	0.593	0.711	0.667	0.456	0.33	0.728	0.402	0.384	0.597	0.717	0.237	0.383	0.401	0.507	0.293	0.253	0.412	0.269	0.117	0.305	0.449	0.482	0.312	0.146	0.161	0.227	0.163
2.00519	0.405	0.932	0.317	0.827	0.157	0.341	0.403	0.46	0.903	0.435	0.36	0.644	0.246	0.507	0.284	0.499	0.361	0.404	0.474	0.657	0.218	0.655	0.67	0.65	0.538	0.432	0.719	0.529	0.372	0.801	0.687	0.201	0.376	0.419	0.45	0.27	0.193	0.483	0.261	0.264	0.398	0.468	0.479	0.324	0.073	0.24	0.297	0.305
2.17194	0.23	0.917	0.192	0.737	0.191	0.374	0.302	0.572	0.863	0.446	0.087	0.632	0.496	0.65	0.241	0.379	0.402	0.414	0.459	0.532	0.197	0.716	0.652	0.551	0.422	0.367	0.705	0.489	0.382	0.76	0.731	0.24	0.336	0.431	0.546	0.316	0.286	0.362	0.247	0.221	0.355	0.427	0.482	0.348	0.12	0.097	0.309	0.366
2.33854	0.356	0.774	0.286	0.762	0.203	0.412	0.368	0.583	0.91	0.33	0.117	0.679	0.298	0.584	0.338	0.426	0.37	0.376	0.557	0.626	0.236	0.73	0.533	0.511	0.474	0.362	0.59	0.375	0.345	0.672	0.841	0.071	0.276	0.396	0.541	0.289	0.28	0.327	0.266	0.023	0.371	0.446	0.548	0.272	0.229	0.255	0.3	0.219
2.5053	0.242	0.661	0.307	0.755	0.117	0.326	0.389	0.417	0.849	0.324	0.216	0.592	0.373	0.444	0.331	0.393	0.363	0.37	0.39	0.566	0.123	0.644	0.688	0.586	0.466	0.436	0.584	0.369	0.419	0.585	0.347	0.118	0.269	0.255	0.427	0.201	0.353	0.401	0.26	0.017	0.311	0.36	0.512	0.264	0.141	0.247	0.347	0.374
2.67192	0.445	0.863	0.48	0.722	0.073	0.227	0.371	0.317	0.893	0.284	0.188	0.637	0.44	0.563	0.372	0.356	0.381	0.329	0.458	0.657	0.266	0.681	0.781	0.623	0.461	0.374	0.599	0.493	0.379	0.708	0.906	0.241	0.34	0.351	0.579	0.331	0.29	0.497	0.249	0.191	0.405	0.402	0.52	0.399	0.192	0.107	0.255	0.251
2.83861	0.373	0.762	0.294	0.711	0.153	0.36	0.532	0.502	0.93	0.29	0.346	0.621	0.337	0.592	0.432	0.447	0.366	0.468	0.493	0.713	0.291	0.736	0.596	0.57	0.505	0.441	0.607	0.423	0.599	0.878	0.993	0.222	0.377	0.493	0.566	0.269	0.273	0.479	0.312	0.25	0.463	0.465	0.583	0.372	0.214	0.311	0.289	0.225
3.00532	0.346	0.762	0.402	0.764	0.207	0.279	0.37	0.502	0.93	0.344	0.4	0.675	0.337	0.592	0.351	0.42	0.447	0.36	0.412	0.659	0.156	0.79	0.596	0.489	0.505	0.441	0.688	0.503	0.357	0.716	0.751	0.249	0.323	0.439	0.619	0.323	0.273	0.344	0.231	0.169	0.356	0.384	0.583	0.372	0.187	0.257	0.208	0.306
3.17201	0.417	0.779	0.366	0.942	0.118	0.433	0.415	0.36	0.839	0.281	0.226	0.746	0.409	0.583	0.423	0.679	0.517	0.378	0.429	0.623	0.31	0.781	0.56	0.642	0.521	0.457	0.678	0.466	0.509	0.599	0.571	0.159	0.393	0.403	0.555	0.339	0.263	0.388	0.221	0.187	0.454	0.536	0.407	0.467	0.202	0.219	0.279	0.162
3.33868	0.37	0.84	0.48	0.761	0.124	0.357	0.529	0.446	0.845	0.26	0.261	0.618	0.334	0.697	0.267	0.443	0.363	0.357	0.328	0.71	0.207	0.733	0.512	0.567	0.582	0.518	0.658	0.473	0.434	0.605	0.745	0.219	0.292	0.436	0.481	0.4	0.35	0.395	0.228	0.112	0.406	0.408	0.497	0.314	0.129	0.145	0.285	0.249
3.50523	0.325	0.821	0.432	0.909	0.236	0.387	0.398	0.556	0.828	0.295	0.224	0.71	0.288	0.622	0.248	0.48	0.482	0.255	0.444	0.688	0.318	0.765	0.626	0.491	0.407	0.557	0.721	0.456	0.415	0.668	0.891	0.201	0.356	0.391	0.574	0.362	0.225	0.431	0.264	0.147	0.359	0.444	0.415	0.198	0.146	0.185	0.267	0.2
3.67203	0.308	0.803	0.441	0.894	0.19	0.369	0.379	0.456	0.811	0.331	0.156	0.666	0.432	0.658	0.257	0.382	0.33	0.319	0.481	0.589	0.165	0.747	0.716	0.445	0.419	0.486	0.65	0.467	0.343	0.651	0.45	0.13	0.421	0.455	0.503	0.373	0.262	0.387	0.274	0.129	0.45	0.589	0.564	0.346	0.185	0.142	0.331	0.263
3.83872	0.462	0.794	0.538	0.946	0.203	0.435	0.445	0.44	0.858	0.349	0.294	0.769	0.313	0.673	0.274	0.403	0.406	0.28	0.472	0.711	0.284	0.733	0.596	0.567	0.471	0.455	0.588	0.514	0.359	0.778	0.75	0.419	0.387	0.501	0.661	0.265	0.283	0.433	0.375	0.091	0.439	0.582	0.577	0.405	0.214	0.112	0.322	0.303
4.00551	0.351	0.982	0.456	0.966	0.204	0.491	0.312	0.416	0.774	0.239	0.311	0.764	0.475	0.754	0.273	0.426	0.347	0.334	0.443	0.684	0.178	0.788	0.623	0.514	0.519	0.504	0.558	0.402	0.494	0.667	0.885	0.444	0.356	0.471	0.629	0.42	0.198	0.403	0.264	0.144	0.411	0.525	0.588	0.313	0.097	0.215	0.266	0.304
4.17205	0.314	0.81	0.42	0.955	0.196	0.401	0.493	0.408	0.899	0.256	0.245	0.808	0.519	0.745	0.317	0.416	0.418	0.325	0.649	0.838	0.251	0.779	0.56	0.64	0.48	0.521	0.657	0.446	0.403	0.657	0.678	0.299	0.427	0.326	0.456	0.462	0.269	0.394	0.2	0.0	0.375	0.434	0.492	0.273	0.247	0.122	0.283	0.187
4.33884	0.3	0.767	0.456	0.892	0.366	0.597	0.445	0.494	0.858	0.294	0.294	0.85	0.34	0.836	0.437	0.403	0.406	0.388	0.58	0.792	0.203	0.787	0.678	0.567	0.471	0.645	0.669	0.406	0.441	0.616	0.696	0.176	0.306	0.447	0.553	0.346	0.391	0.352	0.212	0.091	0.439	0.501	0.577	0.27	0.214	0.112	0.376	0.303
4.50534	0.364	0.832	0.522	0.954	0.378	0.556	0.35	0.426	0.842	0.279	0.111	0.833	0.541	0.766	0.502	0.332	0.388	0.346	0.374	0.804	0.271	0.719	0.554	0.58	0.425	0.41	0.68	0.416	0.425	0.518	0.503	0.213	0.37	0.349	0.454	0.327	0.266	0.389	0.196	0.103	0.343	0.484	0.526	0.33	0.221	0.067	0.279	0.289
4.67212	0.351	0.765	0.429	1.02	0.367	0.545	0.474	0.389	0.774	0.266	0.311	0.819	0.475	0.808	0.327	0.481	0.347	0.361	0.389	0.793	0.341	0.761	0.732	0.514	0.437	0.477	0.639	0.457	0.412	0.613	0.723	0.227	0.302	0.471	0.629	0.258	0.333	0.376	0.291	0.144	0.33	0.444	0.534	0.313	0.097	0.133	0.293	0.304
4.83876	0.419	0.697	0.468	1.117	0.514	0.556	0.512	0.481	0.923	0.414	0.192	0.86	0.541	0.821	0.421	0.575	0.361	0.292	0.564	0.886	0.379	0.989	0.771	0.552	0.452	0.518	0.598	0.497	0.452	0.68	1.072	0.295	0.316	0.511	0.616	0.327	0.212	0.417	0.196	0.157	0.315	0.484	0.553	0.411	0.221	0.094	0.306	0.289
5.00553	0.355	0.687	0.432	1.105	0.451	0.548	0.423	0.554	0.75	0.161	0.234	0.768	0.694	0.812	0.357	0.484	0.297	0.283	0.365	0.877	0.37	0.981	0.735	0.706	0.441	0.427	0.589	0.541	0.416	0.616	0.404	0.203	0.441	0.502	0.687	0.315	0.256	0.407	0.267	0.229	0.387	0.555	0.457	0.209	0.263	0.137	0.35	0.28
5.17214	0.405	0.684	0.456	1.183	0.421	0.653	0.474	0.389	0.855	0.266	0.311	0.981	0.799	0.727	0.273	0.399	0.429	0.361	0.443	0.847	0.368	0.896	0.732	0.622	0.437	0.423	0.585	0.538	0.439	0.667	0.615	0.281	0.383	0.39	0.602	0.312	0.252	0.376	0.345	0.226	0.384	0.525	0.588	0.313	0.259	0.16	0.374	0.277
5.33893	0.427	0.676	0.58	1.189	0.678	0.691	0.484	0.559	0.77	0.258	0.324	0.899	0.629	0.906	0.264	0.505	0.373	0.323	0.436	0.915	0.432	0.91	0.72	0.499	0.497	0.504	0.634	0.481	0.403	0.58	0.671	0.194	0.435	0.493	0.602	0.265	0.194	0.316	0.286	0.162	0.374	0.521	0.562	0.302	0.271	0.0	0.286	0.29
5.50555	0.487	0.543	0.444	1.121	0.622	0.688	0.453	0.499	0.913	0.288	0.398	0.908	0.741	0.934	0.457	0.376	0.409	0.296	0.494	0.969	0.619	0.991	0.803	0.633	0.565	0.487	0.885	0.542	0.487	0.667	0.643	0.336	0.442	0.443	0.694	0.389	0.31	0.458	0.483	0.109	0.431	0.527	0.54	0.324	0.262	0.202	0.345	0.315
5.67228	0.319	0.649	0.499	1.27	0.569	0.718	0.457	0.478	0.824	0.23	0.324	0.981	0.683	0.96	0.345	0.478	0.346	0.323	0.463	0.942	0.677	1.182	0.747	0.58	0.524	0.396	0.797	0.535	0.403	0.607	0.617	0.222	0.353	0.384	0.63	0.482	0.194	0.452	0.205	0.135	0.32	0.466	0.617	0.329	0.135	0.055	0.204	0.371
5.83886	0.248	0.576	0.478	1.374	0.71	0.693	0.377	0.614	0.919	0.294	0.27	1.079	0.693	0.858	0.327	0.519	0.307	0.221	0.61	1.002	0.761	1.079	0.754	0.639	0.491	0.467	0.809	0.631	0.548	0.646	0.791	0.206	0.449	0.532	0.783	0.479	0.317	0.382	0.272	0.143	0.437	0.451	0.659	0.387	0.27	0.155	0.324	0.512
6.0056	0.221	0.495	0.478	1.292	0.71	0.83	0.459	0.832	0.81	0.294	0.243	1.161	0.911	0.885	0.3	0.464	0.389	0.33	0.583	1.084	0.734	1.106	0.782	0.584	0.409	0.549	0.864	0.44	0.493	0.755	0.737	0.37	0.449	0.477	0.674	0.397	0.262	0.355	0.326	0.116	0.382	0.397	0.468	0.305	0.106	0.046	0.269	0.267
6.17229	0.274	0.359	0.508	1.282	0.877	0.645	0.411	0.649	0.78	0.158	0.2	0.991	0.774	0.969	0.436	0.406	0.357	0.278	0.473	0.951	0.604	0.973	0.621	0.589	0.372	0.406	0.671	0.573	0.412	0.59	0.635	0.15	0.282	0.394	0.477	0.44	0.259	0.381	0.188	0.062	0.411	0.449	0.55	0.396	0.147	0.093	0.214	0.38
6.33902	0.264	0.595	0.607	1.297	0.732	0.854	0.457	0.369	0.77	0.23	0.27	1.171	0.874	1.069	0.345	0.45	0.346	0.16	0.626	1.024	0.948	1.046	0.747	0.689	0.497	0.586	0.743	0.535	0.512	0.689	0.78	0.222	0.462	0.466	0.766	0.591	0.249	0.479	0.286	0.243	0.537	0.548	0.562	0.411	0.189	0.218	0.367	0.507
6.50566	0.309	0.451	0.574	1.337	0.727	0.768	0.345	0.448	0.733	0.223	0.306	1.05	0.648	1.035	0.311	0.521	0.308	0.208	0.671	1.154	0.672	1.176	0.687	0.548	0.455	0.547	0.76	0.606	0.369	0.653	0.605	0.402	0.343	0.429	0.645	0.358	0.32	0.416	0.222	0.128	0.449	0.484	0.51	0.282	0.064	0.177	0.332	0.312
6.67241	0.336	0.585	0.571	1.34	0.832	0.954	0.53	0.524	0.76	0.221	0.42	1.133	0.918	1.059	0.309	0.63	0.499	0.232	0.507	1.096	0.858	1.119	0.738	0.599	0.567	0.494	0.896	0.606	0.502	0.679	0.897	0.212	0.37	0.483	0.755	0.389	0.347	0.388	0.331	0.207	0.582	0.538	0.63	0.371	0.259	0.207	0.358	0.363
6.83902	0.42	0.586	0.707	1.456	1.049	0.953	0.556	0.467	0.872	0.249	0.594	1.165	0.866	1.169	0.364	0.416	0.449	0.205	0.646	1.151	0.884	1.227	0.82	0.652	0.519	0.499	0.817	0.583	0.585	0.709	0.789	0.459	0.401	0.513	0.787	0.451	0.296	0.499	0.279	0.181	0.502	0.486	0.646	0.409	0.295	0.104	0.36	0.444
7.00563	0.344	0.459	0.854	1.558	0.953	0.805	0.409	0.513	0.848	0.285	0.336	1.11	0.9	1.233	0.346	0.42	0.368	0.217	0.57	1.163	0.872	1.212	0.858	0.477	0.46	0.525	0.686	0.477	0.377	0.687	0.732	0.247	0.323	0.437	0.569	0.416	0.354	0.342	0.23	0.082	0.349	0.41	0.481	0.338	0.067	0.101	0.312	0.24
7.1724	0.346	0.35	1.151	1.46	0.95	1.126	0.376	0.559	0.851	0.176	0.514	1.253	0.955	1.232	0.318	0.45	0.428	0.268	0.572	1.214	0.921	1.182	0.747	0.58	0.442	0.504	0.634	0.481	0.43	0.689	0.617	0.222	0.462	0.411	0.63	0.401	0.33	0.452	0.259	0.216	0.456	0.521	0.562	0.383	0.216	0.299	0.34	0.371
7.33909	0.335	0.42	1.112	1.452	0.829	0.95	0.498	0.464	0.705	0.11	0.454	1.271	1.026	1.302	0.361	0.386	0.391	0.257	0.67	1.202	1.017	1.36	0.708	0.649	0.461	0.495	0.841	0.498	0.446	0.678	0.619	0.32	0.452	0.482	0.811	0.502	0.266	0.414	0.221	0.096	0.499	0.401	0.586	0.35	0.155	0.182	0.357	0.305
7.50578	0.415	0.498	1.054	1.596	0.986	1.133	0.38	0.453	0.923	0.215	0.602	1.328	1.024	1.571	0.467	0.44	0.392	0.224	0.777	1.278	0.846	1.273	0.676	0.642	0.522	0.498	0.786	0.607	0.469	0.895	0.743	0.264	0.452	0.562	0.841	0.592	0.32	0.468	0.357	0.201	0.467	0.537	0.418	0.337	0.138	0.241	0.354	0.406
7.67247	0.398	0.398	1.063	1.444	1.022	1.087	0.443	0.516	0.824	0.143	0.778	1.339	1.088	1.444	0.476	0.451	0.458	0.151	0.869	1.288	1.018	1.364	0.767	0.678	0.451	0.563	0.796	0.536	0.424	0.659	0.652	0.274	0.435	0.49	0.798	0.522	0.412	0.45	0.203	0.237	0.477	0.547	0.514	0.404	0.204	0.225	0.337	0.415
7.83908	0.343	0.398	1.173	1.69	1.022	1.196	0.552	0.598	0.824	0.225	0.696	1.503	1.279	1.553	0.422	0.56	0.512	0.233	0.787	1.424	1.155	1.418	0.821	0.596	0.451	0.481	0.632	0.563	0.342	0.687	0.734	0.301	0.298	0.545	0.798	0.44	0.412	0.396	0.258	0.155	0.477	0.519	0.651	0.404	0.286	0.17	0.282	0.36
8.00582	0.474	0.257	1.631	1.732	1.046	1.167	0.606	0.679	0.953	0.193	0.545	1.358	1.246	1.521	0.444	0.635	0.368	0.23	0.863	1.339	1.044	1.469	0.954	0.73	0.468	0.445	0.626	0.583	0.447	0.817	0.51	0.322	0.482	0.43	0.652	0.455	0.323	0.363	0.333	0.179	0.445	0.486	0.548	0.389	0.191	0.188	0.413	0.385
8.17254	0.365	0.394	1.55	1.596	0.992	1.249	0.442	0.597	0.817	0.139	0.791	1.548	1.328	1.521	0.472	0.607	0.504	0.202	1.108	1.475	1.071	1.66	0.763	0.894	0.468	0.445	0.762	0.611	0.447	0.708	0.701	0.35	0.428	0.457	0.68	0.537	0.323	0.444	0.333	0.124	0.445	0.595	0.548	0.443	0.273	0.269	0.386	0.495
8.33919	0.415	0.389	1.6	1.815	1.068	1.269	0.462	0.507	0.841	0.215	0.684	1.601	1.297	1.789	0.467	0.522	0.502	0.224	0.968	1.524	1.092	1.573	0.812	0.751	0.522	0.552	0.786	0.553	0.414	1.004	0.797	0.346	0.343	0.562	0.787	0.483	0.265	0.386	0.412	0.119	0.385	0.455	0.664	0.419	0.219	0.241	0.409	0.324
8.50591	0.477	0.477	1.77	1.768	1.101	1.357	0.467	0.595	0.848	0.249	0.856	1.581	1.467	1.659	0.337	0.529	0.454	0.148	1.057	1.612	1.261	1.661	0.627	0.702	0.502	0.587	0.656	0.614	0.502	0.683	0.728	0.38	0.432	0.624	0.794	0.491	0.327	0.474	0.282	0.07	0.555	0.462	0.728	0.318	0.2	0.303	0.361	0.439
8.67264	0.382	0.384	1.894	1.857	1.146	1.431	0.488	0.48	0.861	0.129	1.05	1.646	1.481	1.92	0.353	0.542	0.548	0.193	1.071	1.656	1.362	1.705	0.836	0.83	0.538	0.516	0.834	0.573	0.383	0.807	0.519	0.231	0.39	0.529	0.642	0.389	0.204	0.516	0.214	0.087	0.354	0.585	0.506	0.349	0.179	0.286	0.158	0.24
8.83922	0.375	0.514	1.915	1.985	1.14	1.479	0.673	0.72	0.882	0.177	1.124	1.721	1.311	1.859	0.428	0.536	0.459	0.214	1.227	1.705	1.356	1.808	0.83	0.743	0.531	0.591	0.773	0.566	0.431	0.855	0.752	0.251	0.411	0.495	0.635	0.436	0.225	0.509	0.289	0.108	0.402	0.578	0.524	0.449	0.171	0.196	0.315	0.398
9.00592	0.385	0.469	1.979	1.943	1.286	1.597	0.518	0.592	0.947	0.214	1.136	1.786	1.512	1.869	0.52	0.546	0.552	0.305	1.238	1.823	1.365	1.899	0.866	0.806	0.542	0.602	0.701	0.576	0.522	0.81	0.607	0.316	0.339	0.423	0.727	0.393	0.317	0.438	0.327	0.2	0.33	0.588	0.593	0.435	0.238	0.289	0.298	0.489
9.17268	0.509	0.431	2.184	2.058	1.276	1.479	0.647	0.641	0.851	0.23	1.085	1.932	1.607	1.911	0.481	0.505	0.591	0.16	1.469	1.839	1.438	2.079	0.747	0.798	0.497	0.613	0.634	0.535	0.43	0.77	0.589	0.303	0.435	0.574	0.684	0.401	0.249	0.452	0.259	0.08	0.238	0.521	0.454	0.302	0.108	0.326	0.286	0.371
9.33941	0.447	0.476	2.177	2.005	1.482	1.685	0.606	0.652	0.953	0.275	1.336	1.957	1.682	2.039	0.472	0.635	0.64	0.23	1.435	1.802	1.371	2.069	0.872	0.839	0.577	0.609	0.762	0.611	0.447	0.735	0.701	0.35	0.51	0.512	0.734	0.564	0.323	0.499	0.306	0.124	0.418	0.568	0.385	0.389	0.164	0.215	0.222	0.249
9.50601	0.522	0.442	2.252	2.242	1.476	1.706	0.682	0.592	0.947	0.377	1.463	2.031	1.566	2.196	0.438	0.682	0.47	0.142	1.428	1.959	1.528	2.117	0.757	0.67	0.569	0.602	0.701	0.604	0.468	0.729	0.525	0.179	0.421	0.587	0.727	0.557	0.398	0.574	0.163	0.118	0.494	0.588	0.593	0.435	0.265	0.289	0.379	0.38
9.6727	0.515	0.519	2.381	2.229	1.5	1.893	0.571	0.565	0.994	0.264	1.529	2.076	1.641	2.163	0.569	0.566	0.543	0.166	1.394	1.954	1.444	2.031	0.618	0.695	0.586	0.593	0.668	0.624	0.518	0.831	0.765	0.31	0.36	0.499	0.691	0.49	0.201	0.54	0.293	0.087	0.381	0.527	0.545	0.338	0.143	0.252	0.211	0.35
9.8394	0.6	0.441	2.303	2.397	1.53	1.978	0.547	0.703	1.079	0.267	1.751	2.406	1.808	2.248	0.627	0.76	0.601	0.332	1.533	2.039	1.691	2.306	0.702	0.78	0.59	0.76	0.725	0.545	0.575	0.944	0.444	0.231	0.445	0.584	0.858	0.603	0.286	0.625	0.351	0.144	0.465	0.612	0.631	0.478	0.201	0.392	0.432	0.435
10.00612	0.522	0.442	2.415	2.351	1.558	2.006	0.791	0.674	0.974	0.35	1.872	2.358	2.057	2.441	0.465	0.709	0.715	0.196	1.674	2.368	1.855	2.471	0.784	0.888	0.542	0.656	0.864	0.74	0.604	0.947	0.661	0.397	0.476	0.614	0.754	0.638	0.289	0.601	0.381	0.2	0.575	0.643	0.62	0.516	0.319	0.371	0.325	0.461
10.17277	0.56	0.591	2.615	2.571	1.68	2.156	0.672	0.91	1.093	0.336	1.842	2.499	1.876	2.588	0.505	0.719	0.587	0.32	1.71	2.244	1.924	2.347	0.799	0.686	0.683	0.691	0.875	0.695	0.481	0.767	0.692	0.137	0.458	0.652	0.844	0.506	0.327	0.612	0.283	0.077	0.534	0.544	0.558	0.406	0.212	0.323	0.337	0.287
10.33942	0.589	0.589	2.593	2.673	1.76	2.234	0.716	0.761	1.07	0.307	1.953	2.705	1.962	2.646	0.586	0.642	0.621	0.315	1.961	2.244	1.892	2.593	0.767	0.924	0.615	0.645	0.796	0.7	0.478	0.823	0.734	0.356	0.435	0.709	0.798	0.577	0.358	0.56	0.367	0.292	0.477	0.683	0.651	0.596	0.204	0.307	0.337	0.579
10.50611	0.651	0.57	2.654	2.621	1.904	2.406	0.808	0.69	1.049	0.451	2.09	2.763	2.023	2.789	0.539	0.73	0.682	0.378	2.022	2.551	2.119	2.846	0.803	0.851	0.647	0.814	0.939	0.706	0.541	0.967	0.807	0.417	0.496	0.634	0.83	0.635	0.337	0.676	0.347	0.218	0.512	0.663	0.622	0.542	0.262	0.475	0.345	0.725
10.67276	0.777	0.561	2.235	3.1	2.004	2.451	0.69	0.682	1.066	0.442	2.267	2.724	2.149	2.887	0.448	0.611	0.644	0.369	2.066	2.487	2.028	2.836	0.794	0.897	0.635	0.64	0.874	0.614	0.559	0.875	0.843	0.271	0.404	0.515	0.738	0.487	0.3	0.584	0.309	0.209	0.448	0.571	0.526	0.475	0.195	0.219	0.335	0.47
10.83954	0.559	0.533	2.425	2.963	2.14	2.533	0.636	0.6	1.066	0.387	2.158	2.997	2.204	3.187	0.529	0.638	0.589	0.315	2.229	2.623	2.219	2.999	0.794	0.897	0.717	0.749	0.929	0.587	0.477	0.82	0.707	0.326	0.513	0.706	0.929	0.541	0.409	0.529	0.473	0.209	0.585	0.68	0.689	0.448	0.277	0.3	0.307	0.47
