	MG1655-1	23BD2-4_1	23BD4-3_1	23BD6-1_1	23BD7-4_1	metJ-1	acrB-1	metJ_acrB-1	MG1655-2	23BD2-4_2	23BD4-3_2	23BD6-1_2	23BD7-4_2	metJ-2	acrB-2	metJ_acrB-2	MG1655-3	23BD2-4_3	23BD4-3_3	23BD6-1_3	23BD7-4_3	metJ-3	acrB-3	metJ_acrB-3	metJ_relA_acrB-1	metJ_relA_purT-1	metJ_relA_clsA-1	metJ_relA_rnb-1	metJ_relA_yeaR-1	metJ_relA_treR-1	metJ_relA_treA-1	metJ_relA_acrB-2	metJ_relA_purT-2	metJ_relA_clsA-2	metJ_relA_rnb-2	metJ_relA_yeaR-2	metJ_relA_treR-2	metJ_relA_treA-2	metJ_relA_acrB-3	metJ_relA_purT-3	metJ_relA_clsA-3	metJ_relA_rnb-3	metJ_relA_yeaR-3	metJ_relA_treR-3	metJ_relA_treA-3
11.67228	0.534	7.276	8.774	8.966	23.428	1.74	1.469	2.163	0.288	9.901	10.801	9.749	26.901	1.584	0.881	1.884	0.481	10.063	9.836	7.946	27.514	1.74	1.169	2.172	0.939	3.478	0.243	0.633	1.093	1.58	1.086	0.749	3.454	0.621	0.582	0.721	1.264	1.208	1.101	2.026	0.378	0.605	0.744	0.951	0.905
11.83901	0.319	8.005	8.748	9.866	24.674	1.806	1.283	2.425	0.349	10.624	11.024	10.507	27.638	1.65	0.861	2.033	0.456	10.537	10.059	9.01	28.389	1.577	1.149	2.125	0.831	3.681	0.645	0.783	1.13	1.578	1.061	0.813	3.601	0.603	0.535	0.691	1.378	1.18	0.746	1.896	0.39	0.364	0.839	1.043	0.971
12.00569	0.372	8.577	9.232	10.463	27.571	1.718	1.278	2.45	0.323	10.811	10.838	11.331	27.338	1.591	0.888	2.171	0.49	11.337	10.772	9.501	27.699	1.86	1.26	2.262	1.031	3.795	0.586	0.64	1.155	1.702	1.011	0.784	3.546	0.598	0.588	0.675	1.357	1.245	0.91	2.116	0.327	0.554	0.862	1.042	1.08
12.17241	0.439	8.8	10.082	11.589	27.747	1.872	1.463	2.574	0.404	11.961	11.846	12.086	29.668	1.519	0.837	2.432	0.447	11.465	10.685	10.86	28.094	1.746	1.099	2.329	0.994	3.792	0.346	0.849	0.942	1.56	1.054	0.845	3.658	0.531	0.824	0.701	1.424	1.28	0.952	2.188	0.35	0.66	0.853	1.131	1.037
12.339	0.454	9.227	10.12	11.654	27.575	1.915	1.396	2.702	0.389	11.768	12.05	13.239	30.5	1.813	1.047	2.252	0.43	11.695	11.196	10.922	29.68	1.898	1.393	2.428	0.894	3.805	0.641	0.725	1.069	1.791	1.037	0.859	3.811	0.548	0.56	0.876	1.323	1.178	0.912	2.12	0.507	0.537	0.842	0.977	0.941
12.50569	0.584	9.882	10.497	12.868	27.299	1.906	1.303	2.748	0.266	12.699	12.202	13.419	29.525	1.72	0.952	2.521	0.612	12.628	11.237	12.022	29.598	1.887	1.159	2.418	1.077	3.766	0.547	0.994	1.255	1.888	1.052	0.821	4.024	0.595	0.746	0.777	1.533	1.443	0.931	2.335	0.388	0.613	0.75	1.051	0.988
12.67237	0.339	10.311	10.841	14.051	28.265	1.801	1.477	2.81	0.385	12.823	12.324	14.965	28.704	1.838	1.043	2.695	0.593	13.337	11.359	12.927	31.571	1.922	1.166	2.508	0.89	4.221	0.665	0.749	0.983	1.73	1.312	0.856	3.947	0.684	0.669	0.871	1.654	1.034	0.909	2.173	0.393	0.534	0.951	1.057	1.161
12.83902	0.358	10.407	10.967	14.677	29.384	1.987	1.691	3.163	0.429	13.195	12.755	15.59	30.995	2.024	0.865	2.657	0.357	13.376	11.65	12.713	32.464	1.967	1.323	2.806	0.99	4.293	0.796	0.796	1.085	1.548	1.104	0.817	4.02	0.536	0.464	0.689	1.362	1.104	0.9	2.332	0.469	0.47	0.747	1.103	1.068
13.0057	0.423	10.758	11.344	15.894	29.187	2.164	1.365	3.145	0.273	14.08	13.19	16.725	31.636	2.006	1.043	2.947	0.426	13.672	12.001	14.295	31.152	2.146	1.333	2.843	0.974	4.472	0.47	0.833	1.094	1.814	1.144	0.939	4.115	0.684	0.725	1.123	1.542	1.201	0.993	2.425	0.421	0.479	0.951	1.141	1.189
13.1724	0.37	11.182	11.209	16.793	30.592	2.279	1.396	3.316	0.305	14.087	13.083	17.987	30.947	1.953	1.075	2.838	0.458	14.6	11.922	15.028	29.932	2.094	1.393	3.014	0.922	4.476	0.752	0.808	1.321	1.735	1.121	0.775	4.23	0.604	0.644	0.764	1.547	1.289	0.912	2.344	0.507	0.565	0.842	1.201	1.109
13.33907	0.464	11.198	11.391	17.509	30.31	2.288	1.572	3.522	0.316	14.582	13.127	18.369	31.141	1.851	0.973	2.96	0.61	15.149	12.19	16.193	31.523	1.993	1.403	3.052	1.018	4.767	0.65	0.818	1.163	1.667	1.329	0.842	4.381	0.64	0.821	0.863	1.672	1.359	0.949	2.576	0.348	0.545	0.962	1.155	1.174
13.50567	0.535	11.903	11.791	18.1	30.192	2.247	1.449	3.341	0.357	15.476	12.687	19.182	29.905	2.201	0.987	3.198	0.593	14.678	12.029	17.562	31.682	2.174	1.389	3.207	0.974	4.751	0.638	0.833	1.234	1.898	1.2	0.856	4.45	0.629	0.753	0.787	1.626	1.257	0.993	2.341	0.505	0.562	1.062	1.057	1.161
13.67246	0.467	12.098	11.619	19.584	29.9	2.431	1.547	3.721	0.376	14.896	12.685	20.947	31.345	2.05	0.977	3.327	0.643	15.295	12.195	17.877	31.253	2.333	1.322	3.363	0.994	5.022	0.597	0.681	1.334	1.811	1.165	0.929	4.693	0.755	0.684	0.868	1.592	1.308	1.036	2.663	0.323	0.548	0.881	1.159	1.121
13.83908	0.389	12.529	11.741	20.016	30.448	2.353	1.413	3.867	0.495	15.077	12.639	21.38	30.021	2.14	1.151	3.474	0.623	15.587	12.317	18.758	31.998	2.368	1.273	3.566	1.254	4.863	0.436	0.855	1.256	1.821	1.314	0.88	4.812	0.705	0.858	0.878	1.601	1.289	0.958	2.697	0.44	0.637	0.943	1.222	1.183
14.0058	0.551	12.518	11.731	21.625	31.381	2.655	1.743	3.944	0.404	15.651	13.272	22.345	30.954	2.134	1.061	3.299	0.531	15.546	12.223	19.75	30.33	2.417	1.574	3.894	1.078	4.994	0.737	0.905	1.25	2.007	1.249	1.013	4.721	0.643	0.824	0.812	1.844	1.448	1.008	2.691	0.406	0.66	0.937	1.075	1.261
14.17237	0.455	12.938	11.644	22.33	30.363	2.503	1.73	4.017	0.311	15.433	13.326	24.088	31.726	2.402	1.19	3.4	0.496	15.773	12.221	20.626	29.508	2.548	1.339	3.8	1.126	5.266	0.697	0.836	1.294	2.004	1.243	0.946	4.824	0.854	0.784	1.089	1.754	1.303	0.939	2.846	0.42	0.673	0.951	1.092	1.052
14.33908	0.776	13.521	11.663	23.562	30.481	2.656	1.686	4.367	0.858	16.581	13.011	24.846	31.342	2.471	1.344	3.694	0.766	15.798	12.271	21.553	31.951	2.703	1.381	3.898	1.199	5.282	0.626	0.793	1.391	1.968	1.288	0.96	4.839	0.67	0.797	0.941	1.716	1.433	0.98	2.803	0.43	0.572	0.99	1.274	1.205
14.50578	0.402	13.251	11.816	24.38	29.812	2.814	1.481	4.44	0.259	16.336	12.912	26.026	31.035	2.657	1.026	3.991	0.585	16.871	12.423	23.293	31.503	2.888	1.511	3.971	1.214	5.102	0.756	0.867	1.269	2.121	1.331	0.866	5.052	0.773	0.759	1.15	1.842	1.223	1.166	3.017	0.506	0.592	0.982	1.18	1.223
14.6725	0.458	13.503	11.844	25.388	31.015	2.758	1.733	4.524	0.483	17.008	12.912	26.698	32.239	2.657	1.109	4.131	0.501	17.011	12.562	23.964	31.335	2.72	1.595	4.279	1.018	5.382	0.7	0.923	1.465	1.925	1.275	0.866	5.164	0.661	0.759	1.094	1.786	1.307	1.026	2.961	0.45	0.676	0.954	1.263	1.195
14.83924	0.698	14.401	12.065	25.79	31.031	2.83	1.776	4.794	0.362	17.156	13.246	27.186	31.836	2.786	1.211	4.458	0.578	16.904	12.842	24.622	31.745	2.739	1.472	4.381	1.207	5.487	0.772	0.855	1.397	1.894	1.268	1.135	5.155	0.731	0.887	0.951	1.781	1.414	1.042	2.949	0.464	0.578	1.052	1.197	1.211
15.00585	0.493	13.793	11.983	27.603	30.383	3.018	1.625	5.096	0.385	17.283	13.362	28.974	32.844	2.806	1.064	4.48	0.464	16.83	12.902	24.785	31.969	3.212	1.548	4.656	1.147	5.736	0.903	0.958	1.305	1.981	1.322	1.072	5.179	0.693	0.794	1.122	1.92	1.526	0.976	3.08	0.536	0.594	0.985	1.218	1.314
15.17255	0.606	13.793	12.179	27.295	30.075	3.299	1.681	5.012	0.301	17.508	13.558	29.984	31.75	2.862	1.232	4.564	0.632	17.56	13.267	26.187	31.941	2.903	1.548	4.74	1.007	5.904	0.875	0.902	1.557	2.233	1.406	0.819	5.179	0.749	1.131	0.813	1.807	1.47	1.06	3.22	0.367	0.622	0.845	1.274	1.258
15.33918	0.662	14.438	12.656	28.613	32.431	3.299	1.625	5.293	0.357	17.424	14.512	29.311	32.787	2.946	1.316	4.957	0.548	17.391	13.688	26.552	33.231	3.015	1.408	5.161	1.147	5.932	0.875	0.902	1.473	2.177	1.294	0.932	5.796	0.833	0.822	1.066	1.667	1.302	1.06	3.052	0.396	0.594	0.929	1.134	1.145
15.50589	0.571	14.201	12.842	29.129	31.964	3.18	1.872	5.257	0.461	17.185	14.249	30.948	32.769	2.855	1.029	5.117	0.596	17.855	13.817	26.899	33.016	3.035	1.57	4.985	1.223	6.148	0.869	1.064	1.382	1.999	1.454	0.925	5.76	0.883	0.732	1.028	1.714	1.433	1.222	3.298	0.474	0.673	1.064	1.295	1.42
15.67266	0.531	13.67	13.064	30.21	31.729	3.225	1.718	5.613	0.312	17.726	15.062	31.834	33.657	2.985	1.243	4.772	0.561	17.664	14.603	29.47	33.933	3.364	1.587	5.284	1.356	6.338	0.66	0.883	1.314	1.996	1.391	0.998	5.977	0.898	0.832	0.969	1.989	1.484	0.985	3.342	0.375	0.518	0.994	1.285	1.323
15.83933	0.578	14.466	13.666	31.109	32.263	3.411	1.765	6.078	0.525	17.087	15.774	32.565	33.629	3.115	1.148	5.209	0.632	18.233	14.866	29.273	34.521	3.52	1.548	5.329	1.147	6.1	0.903	0.958	1.389	2.009	1.322	0.988	5.796	0.693	0.822	0.953	1.751	1.47	1.285	3.472	0.452	0.594	1.125	1.358	1.342
16.00591	0.609	14.472	14.008	31.707	32.721	3.33	1.797	6.419	0.389	17.543	16.426	33.219	33.919	3.314	1.208	5.465	0.609	18.408	15.489	30.068	33.128	3.44	1.636	5.669	1.263	6.413	0.963	0.989	1.42	2.238	1.326	1.019	5.941	0.892	0.797	1.155	2.008	1.362	1.063	3.588	0.37	0.597	1.072	1.446	1.177
16.17264	0.681	15.345	14.709	32.903	33.525	3.741	1.812	6.523	0.717	18.282	17.242	32.901	35.848	3.388	1.254	5.457	0.574	18.358	16.361	30.874	32.923	3.545	1.653	5.801	1.34	6.379	0.726	1.061	1.661	2.039	1.404	1.009	5.989	0.935	0.897	0.984	1.919	1.413	1.107	3.745	0.411	0.639	1.086	1.52	1.361
16.33924	0.805	15.145	15.298	32.998	33.114	3.667	1.712	6.334	0.389	17.936	17.604	32.742	34.256	3.37	1.152	5.746	0.721	18.38	17.425	31.779	35.036	3.552	1.552	6.09	1.263	6.497	1.047	1.129	1.504	2.182	1.41	1.075	6.053	0.892	0.994	1.239	1.756	1.615	1.007	3.56	0.482	0.541	1.128	1.362	1.233
16.50594	0.607	14.858	15.99	33.268	32.767	3.779	1.821	6.815	0.391	18.164	18.609	32.592	34.529	3.483	1.32	6.115	0.587	19.137	17.841	33.348	35.537	3.923	1.664	6.403	1.465	6.644	0.989	1.014	1.446	2.139	1.529	1.188	6.423	0.832	0.907	1.196	1.876	1.483	1.257	3.698	0.391	0.815	1.179	1.446	1.37
16.67269	0.662	15.336	16.443	32.372	33.188	3.72	1.906	6.864	0.469	18.882	19.505	31.218	34.751	3.367	1.204	5.994	0.773	18.794	18.512	33.817	34.97	4.109	1.661	6.479	1.428	6.689	0.96	0.986	1.641	2.149	1.49	1.072	6.441	0.974	0.906	1.15	1.92	1.386	1.2	3.809	0.452	0.538	1.153	1.442	1.398
16.83929	0.685	15.97	17.72	31.789	33.085	3.884	1.983	7.004	0.496	19.188	20.872	31.449	35.689	3.644	1.398	6.332	0.663	19.741	19.682	34.058	35.967	3.746	1.741	6.564	1.344	6.888	0.842	1.064	1.58	2.353	1.408	1.125	6.415	0.854	0.844	0.989	2.092	1.671	1.307	4.169	0.498	0.613	1.146	1.467	1.336
17.00589	0.493	16.205	18.182	30.885	32.936	3.916	2.13	7.2	0.469	19.359	21.076	29.9	37.22	3.732	1.316	6.471	0.464	19.86	20.588	33.929	37.186	3.941	1.717	6.647	1.259	7.11	1.044	1.154	1.557	2.093	1.462	1.1	6.778	0.889	0.822	1.066	1.836	1.442	1.088	4.286	0.648	0.538	1.069	1.414	1.258
17.17258	0.787	16.315	19.246	30.695	34.377	4.127	1.918	7.581	0.568	18.941	22.311	30.384	35.407	3.774	1.387	6.712	0.566	19.608	21.29	33.072	36.947	3.986	1.59	7.141	1.416	7.296	0.888	1.139	1.486	2.422	1.564	1.17	6.739	0.901	0.891	1.058	1.938	1.573	1.157	4.328	0.462	0.633	1.137	1.457	1.41
17.33926	0.587	16.253	20.418	30.322	33.581	4.207	1.915	7.774	0.452	19.382	23.763	29.757	35.341	3.855	1.299	7.27	0.561	20.443	22.77	32.052	36.179	4.15	1.727	7.445	1.412	7.348	0.885	1.136	1.819	2.108	1.419	1.251	6.903	0.898	0.972	0.997	1.989	1.568	1.322	4.38	0.488	0.602	1.218	1.509	1.351
17.50606	0.703	16.484	21.07	30.443	34.629	4.379	1.918	8.003	0.456	20.681	24.22	29.878	36.474	3.942	1.246	7.302	0.79	20.646	23.62	33.269	37.761	4.407	1.731	7.309	1.528	7.689	0.832	1.167	1.486	2.254	1.648	1.114	7.272	0.901	1.087	1.142	2.078	1.488	1.297	4.468	0.322	0.633	1.221	1.541	1.242
17.67271	0.805	16.38	22.2	29.547	35.049	4.2	2.049	8.439	0.445	21.078	24.59	30.077	37.061	4.072	1.292	7.009	0.693	21.382	24.018	32.312	37.365	4.506	1.664	7.605	1.32	7.76	0.907	1.213	1.644	2.182	1.635	1.16	7.147	0.92	0.994	0.987	2.064	1.474	1.147	4.542	0.398	0.709	1.156	1.67	1.345
17.83931	0.67	17.399	23.132	29.88	34.365	4.399	1.972	8.604	0.362	21.19	25.153	29.512	38.812	4.299	1.379	7.539	0.774	21.554	25.085	32.635	37.18	4.616	1.612	7.407	1.459	7.84	1.108	1.107	1.621	2.399	1.464	1.303	7.341	0.984	1.055	1.428	2.313	1.526	1.266	4.686	0.548	0.662	1.192	1.813	1.379
18.00595	0.745	18.163	24.342	30.163	36.381	4.612	1.935	8.647	0.434	21.922	25.718	30.41	38.053	4.315	1.368	7.666	0.649	21.84	25.705	30.841	38.129	4.519	1.602	7.73	1.362	7.742	0.791	1.266	1.528	2.271	1.619	1.152	7.971	0.975	0.934	1.02	2.103	1.596	1.117	4.76	0.708	0.682	1.184	1.55	1.314
18.17273	0.549	17.715	24.398	30.051	36.521	4.528	2.131	9.095	0.406	22.118	25.13	30.102	36.765	4.203	1.368	8.058	0.649	23.156	26.153	32.437	37.794	4.519	1.686	8.038	1.558	7.798	0.763	1.182	1.64	2.607	1.591	1.208	7.831	0.863	1.102	1.104	2.131	1.652	1.341	4.927	0.456	0.738	1.268	1.634	1.454
18.33934	0.586	18.884	25.821	29.964	37.279	4.96	1.944	9.305	0.502	23.431	24.845	29.932	38.7	4.523	1.351	8.072	0.831	23.599	27.298	31.71	38.301	4.812	1.836	8.22	1.487	7.84	0.968	1.275	1.621	2.315	1.52	1.163	8.097	0.9	0.803	1.344	2.229	1.582	1.21	5.274	0.464	0.662	1.108	1.645	1.379
18.50609	0.568	19.298	26.125	30.298	36.945	4.971	1.981	9.739	0.541	23.513	24.644	29.734	38.703	4.786	1.362	8.225	0.591	23.623	26.174	31.151	40.071	4.713	1.903	8.261	1.583	8.499	1.034	1.201	1.547	2.47	1.449	1.23	8.279	0.908	0.981	1.107	2.327	1.512	1.275	5.369	0.472	0.67	1.285	1.74	1.416
18.67276	0.568	19.746	25.788	30.214	36.973	4.887	1.953	9.851	0.289	23.289	24.307	30.042	39.264	4.534	1.306	8.562	0.704	23.287	25.753	31.74	37.492	4.994	1.79	8.681	1.555	8.779	0.95	1.145	1.631	2.386	1.617	1.314	8.279	1.133	1.205	1.359	2.215	1.708	1.303	5.425	0.388	0.782	1.313	1.572	1.557
18.83939	0.655	20.286	26.217	30.279	37.572	4.946	1.872	9.687	0.265	24.307	24.175	29.462	39.33	4.846	1.393	8.818	0.68	24.276	25.873	32.114	37.783	5.138	1.71	9.106	1.335	8.784	1.065	1.288	1.55	2.672	1.538	1.261	8.284	0.996	1.124	1.28	2.135	1.545	1.194	5.513	0.53	0.701	1.232	1.66	1.504
19.00609	0.477	20.012	25.409	29.749	37.009	5.103	2.059	9.393	0.422	23.832	24.292	30.389	39.495	4.751	1.467	8.805	0.583	24.336	25.149	32.841	38.592	5.377	1.699	9.345	1.547	8.938	1.14	1.278	1.625	2.46	1.525	1.167	9.447	0.987	1.058	1.125	2.29	1.671	1.129	5.446	0.466	0.749	1.307	1.817	1.494
19.17278	0.69	20.553	25.082	30.324	38.097	5.262	2.214	10.23	0.301	24.324	24.246	30.517	39.183	5.274	1.288	9.529	0.717	24.6	25.777	32.134	39.851	5.147	1.717	9.621	1.568	9.438	0.875	1.238	1.669	2.598	1.574	1.1	9.443	0.917	0.99	1.29	2.228	1.778	1.229	6.025	0.704	0.678	1.406	1.695	1.398
19.33937	0.693	21.093	25.006	30.417	39.09	5.322	2.161	10.992	0.389	25.203	23.861	30.245	40.568	4.801	1.404	9.365	0.721	24.777	25.393	31.779	40.03	5.404	1.945	9.541	1.572	9.527	0.907	1.382	1.588	2.575	1.663	1.244	9.139	0.977	1.162	1.492	2.485	1.559	1.232	5.945	0.37	0.709	1.409	1.755	1.401
19.50616	0.599	21.772	24.394	30.784	36.675	5.255	2.124	11.005	0.461	24.671	24.595	30.836	39.442	5.211	1.393	9.604	0.54	25.033	24.864	33.376	38.792	5.391	1.71	9.892	1.588	9.877	1.065	1.456	1.663	2.559	1.538	1.317	9.517	1.052	1.068	1.14	2.387	1.853	1.391	6.438	0.615	0.701	1.456	1.856	1.392
19.67286	0.665	21.542	24.838	31.287	37.518	5.575	2.161	11.693	0.557	25.259	24.45	30.89	39.278	5.419	1.376	9.926	0.693	24.973	25.393	32.369	39.75	5.488	1.832	10.439	1.656	10.201	0.991	1.41	1.729	2.659	1.579	1.328	9.784	1.145	0.881	1.323	2.401	1.643	1.204	6.197	0.567	0.709	1.325	1.783	1.485
19.83945	0.691	21.659	24.926	30.823	38.471	5.55	2.326	11.509	0.503	26.314	25.185	30.933	39.896	5.394	1.601	10.19	0.587	26.191	25.345	33.432	39.443	6.058	1.748	10.478	1.437	10.157	1.326	1.408	1.783	2.616	1.67	1.272	10.161	1.029	1.188	1.533	2.382	1.849	1.341	6.48	0.644	0.872	1.432	1.868	1.623
20.00626	0.672	22.231	24.656	31.473	38.128	5.526	2.336	11.479	0.565	26.315	24.83	31.385	40.815	5.37	1.411	10.441	0.786	26.309	26.223	32.725	38.929	5.946	1.924	10.673	1.58	10.464	0.913	1.416	1.651	2.754	1.587	1.335	10.72	1.235	1.084	1.165	2.41	1.736	1.322	6.682	0.712	0.687	1.33	1.79	1.66
20.17277	0.662	22.825	25.503	31.783	38.378	5.739	2.242	11.8	0.553	27.185	25.2	32.256	41.175	5.555	1.597	10.23	0.632	26.648	25.974	33.256	39.851	6.045	2.025	10.602	1.484	10.981	1.156	1.463	1.669	2.598	1.546	1.24	10.929	1.086	1.131	1.318	2.397	1.778	1.313	6.698	0.536	0.706	1.49	1.947	1.594
20.33949	0.619	22.014	25.731	32.183	38.139	5.615	2.311	11.568	0.568	27.279	25.652	32.349	39.59	5.487	1.471	10.278	0.706	27.356	26.315	33.465	39.193	6.035	1.843	10.847	1.669	10.974	0.916	1.335	1.851	2.843	1.648	1.367	10.81	1.182	1.059	1.254	2.583	1.881	1.409	7.219	0.575	0.689	1.39	1.962	1.607
20.50616	0.835	21.976	26.03	32.575	38.735	5.638	2.329	12.413	0.479	28.543	25.783	32.263	41.059	5.707	1.493	10.841	0.817	27.858	26.28	34.623	40.691	5.81	1.78	10.792	1.525	10.837	0.992	1.439	1.871	2.79	1.59	1.304	11.346	1.088	1.191	1.426	2.471	1.685	1.316	7.468	0.422	0.79	1.407	1.984	1.626
20.67283	0.61	22.763	25.58	33.109	38.819	6.003	2.189	12.469	0.395	29.499	26.233	32.179	39.485	5.763	1.521	11.01	0.732	29.319	26.28	33.752	40.55	5.922	1.864	11.439	1.61	11.343	1.161	1.411	1.843	2.818	1.843	1.36	11.768	1.088	1.163	1.426	2.611	1.6	1.4	7.637	0.591	0.734	1.52	1.787	1.626
20.83962	0.497	24.264	25.651	32.998	38.388	5.968	2.217	12.703	0.529	30.141	26.105	32.574	41.27	5.755	1.404	11.217	0.721	29.631	26.375	33.407	39.862	6.442	1.86	11.196	1.768	12.137	1.047	1.41	1.841	2.743	1.663	1.412	12.394	1.173	0.994	1.211	2.485	1.783	1.232	8.161	0.538	0.681	1.297	1.839	1.597
21.00626	0.99	24.024	26.617	33.156	39.058	6.156	2.092	12.898	0.323	30.836	26.37	32.367	40.707	6.028	1.478	11.327	0.659	31.165	26.725	34.413	40.31	5.988	1.822	12.092	1.593	12.445	1.147	1.426	1.942	2.938	1.685	1.346	12.814	1.16	1.01	1.265	2.508	1.638	1.247	7.957	0.468	0.723	1.648	2.053	1.67
21.17295	0.731	24.962	26.517	32.969	39.233	6.148	2.339	12.522	0.372	32.388	27.055	32.04	41.752	6.357	1.471	11.485	0.734	32.044	27.438	35.234	40.793	6.456	1.871	11.745	1.585	12.687	1.057	1.504	1.907	2.843	1.732	1.339	12.887	1.266	1.312	1.423	2.499	1.741	1.381	8.37	0.715	0.858	1.642	1.85	1.663
21.33955	0.56	24.944	27.002	32.93	39.627	6.348	2.448	13.351	0.599	33.427	26.699	32.535	40.772	5.968	1.5	11.357	0.741	32.909	27.534	35.488	39.954	6.325	1.843	12.067	1.703	13.322	1.111	1.417	1.934	2.969	1.711	1.451	12.988	1.178	1.254	1.886	2.564	1.947	1.407	8.91	0.737	0.796	1.666	1.879	1.604
21.50619	0.638	25.967	27.155	32.94	38.679	6.256	2.358	13.425	0.423	35.065	26.908	32.263	40.61	6.185	1.408	12.219	0.732	34.519	27.18	35.467	40.635	6.597	1.864	12.282	1.778	13.901	0.936	1.664	1.927	2.818	1.674	1.388	12.977	1.032	1.444	1.426	2.639	1.685	1.316	9.183	0.506	0.818	1.407	1.956	1.682
21.67295	0.648	26.612	27.235	32.939	38.991	6.352	2.423	13.554	0.35	35.997	27.129	32.01	41.739	6.141	1.532	11.869	0.745	36.069	27.88	34.936	41.343	6.921	1.903	12.466	1.819	13.974	1.03	1.617	1.881	2.975	1.856	1.483	13.359	1.097	1.37	1.357	2.709	1.755	1.353	9.449	0.571	0.798	1.585	1.995	1.636
21.83956	0.658	27.566	27.428	32.629	39.445	6.562	2.207	13.682	0.418	37.635	27.575	32.037	41.125	6.35	1.627	12.053	0.759	37.62	27.793	34.771	40.279	7.02	1.885	12.904	1.663	13.654	1.18	1.627	1.891	3.075	1.813	1.466	14.699	1.359	1.351	1.485	2.583	1.797	1.363	9.659	0.494	0.75	1.706	2.006	1.814
22.00635	0.724	27.79	27.706	32.6	39.449	6.574	2.47	13.924	0.542	39.641	27.431	31.811	41.468	6.334	1.525	12.548	0.772	39.145	27.931	33.592	41.833	6.64	1.924	13.09	1.648	14.883	1.106	1.553	1.873	3.034	1.798	1.392	14.745	1.143	1.192	1.303	2.822	1.896	1.457	9.729	0.587	1.012	1.462	2.073	1.711
22.17309	0.672	31.462	27.619	32.381	39.555	6.84	2.615	13.81	0.411	41.086	27.204	30.153	41.748	6.489	1.674	12.263	0.675	40.187	28.609	34.033	40.987	7.026	1.931	13.426	1.803	15.536	1.336	1.585	1.907	2.833	1.842	1.428	14.946	1.23	1.253	1.439	2.784	1.859	1.545	10.141	0.642	0.787	1.632	2.11	1.772
22.33972	0.757	31.067	27.845	32.155	39.584	6.473	2.502	14.289	0.665	42.243	27.711	29.278	41.748	6.489	1.589	12.574	0.816	42.134	28.102	34.711	41.89	7.308	1.931	13.059	1.944	15.761	1.336	1.501	2.076	3.087	1.842	1.456	14.635	1.343	1.31	1.439	2.784	1.915	1.404	10.508	0.642	0.787	1.632	2.28	1.744
22.50637	0.727	33.066	28.193	31.069	40.715	6.619	2.527	14.475	0.527	43.078	27.863	29.375	42.119	6.918	1.619	12.306	0.851	42.878	28.171	34.4	42.376	7.404	1.959	13.894	1.837	16.094	1.165	1.668	1.962	3.215	1.793	1.626	15.983	1.17	1.449	1.395	2.737	1.896	1.514	10.263	0.664	0.809	1.685	2.083	1.685
22.67313	0.671	34.289	28.155	30.072	41.522	7.024	2.386	14.809	0.703	43.617	27.91	29.085	41.881	6.786	1.708	12.949	0.664	44.317	28.56	35.004	41.829	7.109	2.105	13.605	1.96	16.208	1.223	1.613	2.049	3.15	2.087	1.518	15.076	1.283	1.451	1.64	2.893	1.911	1.43	10.871	0.604	0.834	1.712	2.259	1.714
22.83981	0.65	36.519	28.398	29.891	40.921	6.919	2.534	14.367	0.825	44.662	28.125	29.187	41.705	6.483	1.489	13.215	0.758	45.05	29.116	33.892	41.738	7.374	1.913	13.475	1.94	15.654	1.286	1.733	1.971	3.245	1.955	1.525	15.088	1.204	1.373	1.396	2.874	1.949	1.521	11.363	0.751	0.84	1.52	2.379	1.72
23.0064	0.584	36.896	28.534	30.34	40.902	7.199	2.496	14.486	0.565	45.308	28.318	29.239	41.46	6.678	1.567	13.702	0.7	45.805	29.453	32.48	42.147	7.29	2.105	13.395	1.824	16.627	1.419	1.64	2.02	3.306	1.896	1.603	15.38	1.251	1.421	1.654	3.072	1.977	1.484	11.307	0.881	0.771	1.821	2.232	1.853
23.17309	0.718	39.403	29.266	30.392	40.371	7.452	2.572	15.031	0.418	45.813	28.993	29.405	43.855	6.959	1.618	13.31	0.641	46.562	29.336	32.03	41.648	7.433	1.956	14.109	1.992	15.985	1.44	1.688	2.182	3.224	1.98	1.625	14.309	1.241	1.242	1.543	2.789	1.892	1.588	11.45	0.529	0.93	1.754	2.226	1.759
23.33968	1.191	40.445	29.187	30.23	41.123	7.199	2.617	14.941	0.5	46.256	28.972	29.583	42.424	7.447	1.726	13.559	0.874	46.94	29.376	32.371	40.981	7.93	2.006	14.36	1.967	15.703	1.401	1.82	2.06	3.214	2.043	1.705	15.047	1.199	1.374	1.445	2.655	1.902	1.633	12.231	0.595	0.799	1.854	2.393	1.834
23.50631	0.679	41.585	28.703	30.6	40.154	7.313	2.645	14.884	0.728	47.025	29.285	29.954	42.424	7.276	1.726	13.787	0.674	47.453	29.091	32.371	41.864	7.958	2.12	14.36	2.252	15.874	1.288	1.649	2.145	3.727	2.128	1.591	14.962	1.313	1.203	1.445	2.826	1.902	1.719	12.316	0.766	0.828	1.683	2.279	1.834
23.67301	0.715	43.571	29.196	30.412	40.532	8.045	2.567	15.376	0.515	47.26	28.725	29.851	42.463	7.296	1.681	14.021	0.809	47.967	29.789	32.825	41.534	7.643	2.103	14.11	1.958	16.743	1.324	1.686	2.183	3.559	2.121	1.574	14.772	1.319	1.354	1.503	2.964	2.098	1.555	12.972	0.597	0.859	1.631	2.406	1.841
