	MG1655-1	PUTR3-1_1	ygaC-1	ygaC_ybeX-1	ygaC_mpl-1	ygaC_ybeX_mpl-1	PUTR8-10_1	rpsG1_mreB-1	MG1655-2	PUTR3-1_2	ygaC-2	ygaC_ybeX-2	ygaC_mpl-2	ygaC_ybeX_mpl-2	PUTR8-10_2	rpsG1_mreB-2	MG1655-3	PUTR3-1_3	ygaC-3	ygaC_ybeX-3	ygaC_mpl-3	ygaC_ybeX_mpl-3	PUTR8-10_3	rpsG1_mreB-3	rpsG1_mreB_ybeX-1	rpsG1_mreB_mpl-1	rpsG1_mreB_ybeX_mpl-1	proV_cspC-1	proV_cspC_ybeX-1	proV_cspC_mpl-1	proV_cspC_ybeX_mpl-1	rpsG1_mreB_ybeX-2	rpsG1_mreB_mpl-2	rpsG1_mreB_ybeX_mpl-2	proV_cspC-2	proV_cspC_ybeX-2	proV_cspC_mpl-2	proV_cspC_ybeX_mpl-2	rpsG1_mreB_ybeX-3	rpsG1_mreB_mpl-3	rpsG1_mreB_ybeX_mpl-3	proV_cspC-3	proV_cspC_ybeX-3	proV_cspC_mpl-3	proV_cspC_ybeX_mpl-3
1.67185	0.0	0.337	0.385	0.315	0.465	0.617	0.112	0.294	0.114	0.242	0.199	0.634	0.401	0.776	0.096	0.579	0.015	0.279	0.344	0.621	0.459	0.68	0.153	0.574	0.047	0.146	0.291	0.287	0.185	0.515	0.416	0.159	0.18	0.429	0.339	0.532	0.227	0.375	0.186	0.19	0.279	0.177	0.421	0.515	0.209
1.8385	0.124	0.265	0.376	0.306	0.487	0.608	0.2	0.323	0.142	0.174	0.193	0.662	0.523	0.639	0.123	0.54	0.11	0.311	0.408	0.584	0.552	0.708	0.084	0.7	0.175	0.242	0.287	0.384	0.148	0.546	0.641	0.158	0.113	0.395	0.301	0.656	0.223	0.436	0.344	0.251	0.469	0.239	0.548	0.482	0.242
2.00515	0.069	0.308	0.385	0.349	0.398	0.488	0.111	0.335	0.12	0.251	0.139	0.674	0.598	0.747	0.231	0.517	0.057	0.324	0.323	0.692	0.497	0.719	0.096	0.679	0.188	0.189	0.331	0.332	0.127	0.558	0.458	0.269	0.126	0.473	0.377	0.634	0.365	0.317	0.224	0.23	0.383	0.251	0.527	0.56	0.223
2.17188	0.072	0.246	0.45	0.35	0.396	0.553	0.175	0.31	0.093	0.194	0.34	0.616	0.534	0.652	0.106	0.585	0.0	0.27	0.335	0.601	0.438	0.725	0.137	0.622	0.133	0.233	0.47	0.181	0.167	0.471	0.501	0.118	0.235	0.517	0.253	0.573	0.21	0.356	0.362	0.106	0.422	0.292	0.503	0.443	0.367
2.33852	0.072	0.246	0.254	0.252	0.396	0.521	0.143	0.375	0.061	0.325	0.078	0.649	0.534	0.652	0.171	0.487	0.066	0.336	0.335	0.503	0.503	0.725	0.137	0.72	0.232	0.201	0.437	0.148	0.167	0.405	0.403	0.248	0.17	0.549	0.351	0.573	0.079	0.389	0.362	0.27	0.357	0.194	0.503	0.541	0.204
2.5051	0.087	0.327	0.366	0.267	0.41	0.535	0.156	0.294	0.11	0.343	0.16	0.666	0.483	0.7	0.024	0.699	0.084	0.355	0.387	0.519	0.422	0.774	0.09	0.737	0.25	0.219	0.389	0.265	0.184	0.489	0.356	0.268	0.254	0.47	0.368	0.524	0.293	0.406	0.281	0.221	0.439	0.179	0.52	0.528	0.289
2.67189	0.032	0.272	0.342	0.375	0.451	0.643	0.1	0.208	0.22	0.355	0.171	0.645	0.558	0.711	0.198	0.709	0.129	0.269	0.399	0.629	0.531	0.753	0.069	0.749	0.23	0.265	0.401	0.278	0.228	0.534	0.466	0.379	0.267	0.384	0.346	0.534	0.403	0.417	0.325	0.298	0.483	0.191	0.433	0.443	0.335
2.83849	0.015	0.254	0.29	0.422	0.366	0.559	0.113	0.356	0.138	0.274	0.187	0.695	0.475	0.726	0.214	0.626	0.048	0.387	0.32	0.646	0.449	0.802	0.119	0.799	0.282	0.251	0.418	0.232	0.246	0.52	0.649	0.366	0.187	0.567	0.297	0.616	0.223	0.335	0.243	0.249	0.5	0.307	0.451	0.462	0.355
3.00535	0.042	0.282	0.286	0.319	0.427	0.652	0.207	0.252	0.099	0.366	0.181	0.656	0.502	0.688	0.209	0.719	0.141	0.282	0.281	0.574	0.444	0.764	0.015	0.761	0.341	0.277	0.412	0.291	0.207	0.514	0.446	0.392	0.214	0.659	0.456	0.643	0.218	0.33	0.336	0.309	0.462	0.104	0.511	0.456	0.25
3.17197	0.017	0.356	0.293	0.326	0.5	0.561	0.214	0.359	0.206	0.343	0.189	0.763	0.575	0.794	0.151	0.53	0.117	0.291	0.323	0.681	0.452	0.772	0.122	0.77	0.384	0.287	0.487	0.333	0.314	0.556	0.389	0.303	0.223	0.603	0.398	0.52	0.259	0.437	0.345	0.154	0.569	0.211	0.421	0.4	0.326
3.33854	0.017	0.29	0.293	0.392	0.434	0.495	0.214	0.228	0.108	0.375	0.222	0.862	0.575	0.794	0.348	0.596	0.051	0.291	0.389	0.583	0.551	0.805	0.221	0.671	0.449	0.287	0.52	0.202	0.117	0.523	0.455	0.369	0.19	0.669	0.3	0.618	0.226	0.338	0.345	0.351	0.47	0.113	0.454	0.498	0.227
3.50532	0.116	0.29	0.293	0.392	0.467	0.561	0.313	0.359	0.108	0.277	0.091	0.698	0.575	0.63	0.151	0.628	0.051	0.226	0.389	0.681	0.485	0.739	0.122	0.671	0.449	0.353	0.421	0.235	0.15	0.425	0.389	0.369	0.19	0.603	0.267	0.717	0.161	0.404	0.312	0.252	0.503	0.244	0.421	0.466	0.326
3.67204	0.103	0.277	0.38	0.413	0.423	0.549	0.268	0.246	0.127	0.328	0.11	0.782	0.498	0.617	0.204	0.616	0.135	0.275	0.373	0.634	0.537	0.758	0.271	0.755	0.532	0.271	0.472	0.219	0.103	0.442	0.472	0.353	0.273	0.653	0.352	0.605	0.245	0.39	0.396	0.205	0.555	0.229	0.538	0.384	0.145
3.83863	0.146	0.353	0.389	0.39	0.465	0.559	0.277	0.356	0.039	0.274	0.22	0.793	0.606	0.628	0.247	0.593	0.147	0.321	0.32	0.58	0.581	0.868	0.283	0.668	0.643	0.284	0.582	0.232	0.147	0.553	0.452	0.497	0.187	0.764	0.264	0.616	0.322	0.598	0.407	0.249	0.566	0.143	0.451	0.495	0.323
4.00545	0.037	0.343	0.347	0.478	0.456	0.549	0.301	0.246	0.028	0.328	0.11	0.749	0.596	0.814	0.335	0.681	0.102	0.275	0.406	0.766	0.537	0.758	0.304	0.657	0.532	0.271	0.702	0.219	0.201	0.442	0.341	0.451	0.174	0.653	0.352	0.638	0.146	0.423	0.33	0.304	0.555	0.229	0.538	0.449	0.244
4.17207	0.032	0.337	0.342	0.375	0.451	0.544	0.264	0.339	0.121	0.223	0.203	0.776	0.558	0.776	0.231	0.578	0.129	0.302	0.301	0.727	0.466	0.851	0.2	0.782	0.558	0.265	0.597	0.18	0.196	0.436	0.466	0.477	0.201	0.745	0.28	0.534	0.206	0.384	0.292	0.232	0.549	0.223	0.499	0.443	0.204
4.33875	0.105	0.345	0.349	0.481	0.425	0.551	0.271	0.413	0.097	0.363	0.179	0.883	0.566	0.718	0.239	0.618	0.105	0.279	0.475	0.768	0.572	0.958	0.209	0.692	0.732	0.274	0.672	0.32	0.237	0.511	0.377	0.586	0.178	0.656	0.387	0.509	0.149	0.491	0.333	0.307	0.59	0.232	0.442	0.387	0.247
4.50542	0.13	0.272	0.342	0.408	0.484	0.544	0.362	0.24	0.187	0.453	0.171	0.94	0.657	0.711	0.329	0.578	0.129	0.204	0.465	0.858	0.63	0.786	0.265	0.782	0.722	0.363	0.597	0.278	0.196	0.534	0.368	0.477	0.267	0.745	0.346	0.632	0.239	0.515	0.423	0.232	0.582	0.125	0.433	0.443	0.303
4.67216	0.004	0.277	0.347	0.478	0.489	0.549	0.17	0.312	0.225	0.328	0.176	0.88	0.563	0.781	0.236	0.616	0.2	0.407	0.406	0.766	0.537	0.89	0.304	0.755	0.564	0.337	0.669	0.284	0.234	0.54	0.472	0.582	0.174	0.883	0.286	0.539	0.146	0.423	0.396	0.337	0.587	0.131	0.505	0.482	0.309
4.83876	0.098	0.239	0.277	0.506	0.419	0.577	0.296	0.208	0.187	0.355	0.171	0.874	0.591	0.776	0.231	0.61	0.129	0.269	0.367	0.858	0.564	0.884	0.298	0.782	0.755	0.265	0.696	0.18	0.228	0.436	0.433	0.576	0.201	0.843	0.28	0.698	0.14	0.482	0.521	0.331	0.745	0.191	0.597	0.541	0.237
5.00538	0.212	0.287	0.389	0.587	0.465	0.69	0.376	0.258	0.204	0.274	0.187	0.957	0.606	0.923	0.346	0.626	0.147	0.288	0.419	0.842	0.679	0.966	0.415	0.865	0.84	0.284	0.779	0.396	0.246	0.619	0.386	0.661	0.187	0.896	0.461	0.714	0.158	0.499	0.539	0.315	0.763	0.241	0.451	0.397	0.257
5.17224	0.103	0.244	0.347	0.577	0.423	0.582	0.301	0.246	0.225	0.328	0.209	1.044	0.596	0.781	0.4	0.583	0.135	0.374	0.373	0.831	0.635	0.988	0.206	0.689	0.86	0.337	0.8	0.219	0.333	0.442	0.374	0.648	0.174	0.981	0.188	0.539	0.113	0.521	0.494	0.238	0.653	0.328	0.439	0.449	0.244
5.33887	0.095	0.269	0.471	0.569	0.547	0.542	0.491	0.237	0.086	0.352	0.266	1.068	0.589	0.806	0.327	0.608	0.027	0.299	0.495	0.921	0.627	1.045	0.361	0.648	0.85	0.327	0.889	0.209	0.291	0.498	0.529	0.802	0.198	0.84	0.441	0.695	0.137	0.48	0.518	0.328	0.775	0.22	0.594	0.439	0.234
5.50555	0.087	0.262	0.333	0.594	0.475	0.666	0.549	0.327	0.11	0.343	0.258	1.124	0.647	0.897	0.417	0.666	0.182	0.387	0.288	0.912	0.52	1.036	0.352	0.672	0.84	0.35	0.946	0.265	0.282	0.489	0.454	0.726	0.156	1.027	0.335	0.786	0.129	0.406	0.477	0.418	0.93	0.212	0.487	0.331	0.224
5.67216	0.188	0.264	0.434	0.695	0.477	0.668	0.388	0.297	0.113	0.411	0.392	1.127	0.649	0.899	0.518	0.734	0.087	0.391	0.488	0.948	0.621	1.137	0.453	0.675	1.007	0.354	0.949	0.203	0.318	0.427	0.555	0.664	0.355	1.128	0.37	0.788	0.197	0.507	0.513	0.191	0.933	0.182	0.425	0.367	0.325
5.83882	0.087	0.229	0.333	0.758	0.475	0.666	0.385	0.393	0.11	0.343	0.258	1.059	0.647	0.897	0.417	0.568	0.182	0.289	0.485	1.142	0.553	1.069	0.548	0.77	1.004	0.318	0.979	0.265	0.381	0.522	0.519	0.792	0.188	1.158	0.335	0.589	0.227	0.471	0.641	0.385	0.767	0.113	0.52	0.43	0.289
6.00549	0.12	0.36	0.431	0.693	0.442	0.666	0.385	0.393	0.208	0.31	0.258	1.223	0.647	0.799	0.417	0.666	0.117	0.289	0.452	1.011	0.717	1.069	0.483	0.672	1.004	0.318	1.077	0.298	0.315	0.587	0.454	0.792	0.287	1.158	0.335	0.687	0.096	0.471	0.575	0.287	0.832	0.179	0.487	0.43	0.322
6.17216	0.138	0.28	0.382	0.776	0.491	0.65	0.402	0.347	0.228	0.363	0.375	1.178	0.664	0.915	0.403	0.585	0.203	0.377	0.376	1.129	0.638	1.089	0.504	0.659	1.027	0.373	1.066	0.288	0.401	0.544	0.475	0.848	0.374	1.083	0.387	0.706	0.313	0.327	0.596	0.241	0.885	0.134	0.442	0.485	0.345
6.33894	0.138	0.28	0.382	0.71	0.556	0.65	0.566	0.249	0.195	0.331	0.211	1.309	0.664	1.014	0.502	0.618	0.105	0.41	0.507	1.129	0.638	1.089	0.504	0.692	1.158	0.34	1.197	0.32	0.335	0.544	0.541	0.914	0.276	1.345	0.289	0.706	0.215	0.327	0.596	0.241	0.951	0.134	0.508	0.485	0.214
6.50564	0.229	0.272	0.342	0.801	0.55	0.708	0.591	0.306	0.187	0.355	0.4	1.3	0.657	1.006	0.493	0.709	0.227	0.466	0.563	1.219	0.662	1.179	0.691	0.683	1.246	0.33	1.155	0.311	0.491	0.6	0.663	0.903	0.299	1.237	0.346	0.731	0.206	0.319	0.587	0.232	0.942	0.322	0.532	0.443	0.335
6.67219	0.128	0.269	0.471	0.897	0.58	0.706	0.491	0.303	0.118	0.352	0.299	1.363	0.654	0.97	0.523	0.673	0.191	0.299	0.462	1.347	0.659	1.143	0.59	0.844	1.21	0.327	1.086	0.308	0.422	0.629	0.561	0.9	0.198	1.266	0.278	0.794	0.039	0.381	0.682	0.23	1.038	0.188	0.431	0.472	0.234
6.83904	0.128	0.269	0.438	0.962	0.58	0.673	0.556	0.205	0.217	0.319	0.299	1.297	0.589	0.97	0.425	0.575	0.224	0.299	0.462	1.249	0.725	1.078	0.623	0.648	1.407	0.327	1.184	0.308	0.422	0.597	0.529	0.9	0.362	1.332	0.343	0.892	0.137	0.414	0.748	0.295	0.874	0.122	0.496	0.472	0.234
7.00567	0.115	0.355	0.361	0.949	0.536	0.694	0.545	0.092	0.17	0.337	0.351	1.348	0.675	0.957	0.673	0.562	0.078	0.283	0.38	1.398	0.645	1.162	0.771	0.732	1.488	0.344	1.136	0.291	0.408	0.483	0.513	1.014	0.346	1.446	0.329	0.813	0.221	0.367	0.635	0.281	1.121	0.206	0.58	0.423	0.217
7.17228	0.136	0.179	0.347	0.97	0.554	0.779	0.596	0.246	0.225	0.36	0.274	1.569	0.694	1.011	0.63	0.583	0.233	0.472	0.57	1.257	0.734	1.381	0.73	0.591	1.319	0.337	1.259	0.284	0.529	0.639	0.735	1.107	0.207	1.375	0.352	0.802	0.245	0.423	0.691	0.304	1.046	0.196	0.505	0.449	0.408
7.33898	0.004	0.277	0.347	1.003	0.489	0.779	0.563	0.115	0.094	0.262	0.307	1.47	0.694	1.109	0.728	0.714	0.233	0.308	0.471	1.421	0.635	1.25	0.698	0.689	1.417	0.271	1.358	0.284	0.595	0.639	0.669	1.107	0.207	1.44	0.253	0.703	0.113	0.488	0.757	0.435	1.079	0.229	0.439	0.449	0.44
7.50568	0.014	0.319	0.359	0.979	0.534	0.757	0.542	0.286	0.2	0.334	0.25	1.574	0.639	0.954	0.572	0.593	0.173	0.345	0.541	1.395	0.643	1.224	0.703	0.663	1.517	0.308	1.33	0.157	0.503	0.48	0.608	1.076	0.277	1.541	0.261	0.777	0.186	0.364	0.829	0.278	1.151	0.301	0.511	0.354	0.508
7.67242	0.186	0.262	0.366	0.889	0.475	0.764	0.582	0.294	0.077	0.408	0.389	1.583	0.68	1.093	0.711	0.568	0.182	0.355	0.583	1.436	0.749	1.233	0.712	0.574	1.626	0.318	1.273	0.2	0.61	0.62	0.716	1.086	0.287	1.616	0.368	0.786	0.129	0.504	0.674	0.319	1.127	0.113	0.487	0.364	0.289
7.8391	0.12	0.262	0.431	1.086	0.541	0.862	0.615	0.196	0.176	0.441	0.258	1.485	0.68	1.093	0.679	0.666	0.215	0.256	0.485	1.404	0.815	1.331	0.712	0.737	1.593	0.35	1.47	0.298	0.61	0.62	0.618	1.217	0.188	1.649	0.433	0.786	0.293	0.406	0.739	0.319	1.061	0.277	0.422	0.462	0.387
8.00571	0.12	0.229	0.333	1.118	0.442	0.764	0.713	0.294	0.176	0.343	0.258	1.55	0.647	1.093	0.81	0.666	0.313	0.191	0.55	1.436	0.651	1.266	0.876	0.672	1.79	0.318	1.372	0.265	0.512	0.62	0.716	1.217	0.254	1.649	0.335	0.818	0.129	0.406	0.772	0.221	1.323	0.113	0.52	0.331	0.387
8.17244	0.115	0.158	0.328	1.277	0.34	0.792	0.708	0.19	0.105	0.337	0.253	1.642	0.675	1.088	0.738	0.661	0.209	0.283	0.478	1.463	0.645	1.456	0.771	0.732	1.717	0.344	1.562	0.259	0.571	0.614	0.644	1.211	0.248	1.642	0.329	0.813	0.123	0.4	0.766	0.314	1.219	0.206	0.482	0.358	0.381
8.33912	0.218	0.229	0.431	1.184	0.41	0.764	0.615	0.163	0.176	0.408	0.258	1.845	0.647	1.126	0.711	0.699	0.182	0.289	0.55	1.633	0.651	1.462	0.974	0.737	1.822	0.318	1.535	0.2	0.675	0.587	0.749	1.283	0.287	1.944	0.368	0.72	0.129	0.504	0.968	0.418	1.258	0.277	0.422	0.364	0.387
8.50567	0.237	0.28	0.579	1.202	0.425	0.912	0.73	0.216	0.097	0.331	0.179	1.67	0.664	1.243	0.731	0.585	0.302	0.279	0.475	1.589	0.572	1.384	0.898	0.659	1.946	0.438	1.656	0.288	0.598	0.609	0.672	1.406	0.374	1.87	0.387	0.837	0.247	0.524	0.858	0.307	1.345	0.232	0.442	0.387	0.313
8.67241	0.087	0.163	0.333	1.315	0.442	0.895	0.877	0.294	0.176	0.441	0.291	1.845	0.549	1.126	0.679	0.666	0.28	0.289	0.583	1.567	0.717	1.462	0.81	0.836	1.986	0.35	1.535	0.298	0.675	0.489	0.716	1.381	0.352	2.042	0.368	0.72	0.227	0.504	1.034	0.287	1.225	0.113	0.52	0.331	0.42
8.83903	0.173	0.314	0.452	1.367	0.431	0.948	0.799	0.182	0.194	0.328	0.245	1.764	0.831	1.08	0.795	0.686	0.2	0.273	0.534	1.65	0.637	1.545	0.893	0.821	2.165	0.335	1.618	0.249	0.693	0.605	0.733	1.593	0.238	2.025	0.256	0.772	0.016	0.555	1.117	0.207	1.472	0.262	0.407	0.446	0.371
9.00587	0.178	0.352	0.457	1.307	0.469	0.888	0.608	0.155	0.167	0.432	0.348	2.065	0.672	1.183	0.703	0.822	0.206	0.345	0.639	1.722	0.643	1.617	0.768	0.663	2.074	0.341	1.853	0.288	0.765	0.578	0.837	1.6	0.277	1.999	0.326	0.81	0.087	0.495	1.025	0.311	1.347	0.17	0.511	0.42	0.41
9.17251	0.12	0.229	0.366	1.479	0.442	0.993	0.68	0.393	0.077	0.408	0.389	2.041	0.647	1.224	0.711	0.895	0.28	0.289	0.583	1.829	0.651	1.56	0.876	0.868	2.183	0.35	1.896	0.363	0.675	0.587	0.716	1.709	0.45	2.239	0.368	0.982	0.293	0.569	1.132	0.287	1.684	0.212	0.586	0.364	0.486
9.33917	0.205	0.249	0.42	1.498	0.431	0.883	0.603	0.28	0.096	0.426	0.277	1.927	0.536	1.309	0.795	0.915	0.265	0.273	0.534	1.945	0.703	1.644	0.958	0.886	2.263	0.498	1.978	0.38	0.759	0.768	0.897	1.658	0.467	2.319	0.354	0.903	0.18	0.555	1.15	0.37	1.57	0.197	0.505	0.413	0.371
9.50583	0.21	0.221	0.326	1.601	0.403	0.953	0.771	0.318	0.102	0.432	0.283	2.228	0.574	1.216	0.801	0.887	0.369	0.443	0.541	1.951	0.643	1.617	0.899	0.86	2.401	0.537	1.886	0.256	0.765	0.676	0.805	1.894	0.539	2.326	0.359	0.876	0.12	0.495	1.352	0.474	1.805	0.17	0.38	0.256	0.476
9.67257	0.21	0.221	0.457	1.47	0.469	0.888	0.673	0.482	0.167	0.334	0.184	2.065	0.672	1.413	0.703	0.822	0.173	0.181	0.672	1.951	0.61	1.551	0.866	0.958	2.466	0.603	2.05	0.256	0.666	0.513	0.903	1.763	0.637	2.326	0.326	0.81	0.186	0.593	1.254	0.409	1.871	0.17	0.577	0.354	0.312
9.83931	0.218	0.229	0.366	1.577	0.41	0.993	0.811	0.393	0.176	0.441	0.291	2.172	0.647	1.388	0.941	1.026	0.313	0.289	0.55	2.124	0.717	1.626	0.908	1.163	2.674	0.612	2.158	0.363	0.872	0.587	0.847	1.971	0.483	2.501	0.433	0.884	0.293	0.504	1.46	0.516	1.815	0.212	0.389	0.364	0.518
10.00586	0.188	0.231	0.532	1.678	0.445	0.996	0.879	0.527	0.178	0.411	0.294	2.339	0.682	1.424	0.812	1.029	0.414	0.358	0.652	2.062	0.654	1.76	0.879	1.101	2.579	0.616	2.161	0.301	0.777	0.59	0.85	2.007	0.552	2.701	0.436	0.985	0.328	0.703	1.528	0.486	2.113	0.215	0.49	0.466	0.424
10.17265	0.188	0.33	0.27	1.711	0.412	1.061	0.781	0.527	0.178	0.411	0.359	2.569	0.682	1.325	0.845	1.094	0.316	0.358	0.554	2.16	0.719	1.76	0.78	1.166	2.776	0.616	2.259	0.301	0.908	0.689	0.85	2.204	0.65	2.897	0.338	0.887	0.296	0.572	1.463	0.388	2.08	0.182	0.425	0.531	0.424
10.33921	0.286	0.166	0.368	1.907	0.412	0.996	0.715	0.592	0.08	0.444	0.261	2.798	0.682	1.489	0.681	1.094	0.316	0.292	0.586	2.324	0.719	1.858	1.075	1.264	2.973	0.648	2.292	0.399	0.973	0.623	0.948	2.499	0.683	2.897	0.37	0.985	0.492	0.67	1.856	0.42	2.178	0.215	0.523	0.466	0.489
10.50606	0.301	0.213	0.352	2.116	0.462	1.142	0.862	0.702	0.159	0.325	0.471	2.676	0.73	1.502	0.793	1.108	0.295	0.237	0.629	2.302	0.7	3.014	0.988	1.276	3.24	0.789	2.465	0.475	0.854	0.667	0.926	2.57	0.627	3.068	0.416	0.868	0.112	0.65	1.637	0.466	2.45	0.194	0.404	0.443	0.498
10.67265	0.17	0.213	0.352	2.116	0.527	1.077	0.764	0.604	0.29	0.325	0.373	2.676	0.665	1.568	0.793	1.305	0.295	0.368	0.531	2.53	0.732	3.145	0.988	1.537	3.371	0.822	2.53	0.377	0.886	0.601	1.024	2.44	0.758	3.198	0.416	0.966	0.275	0.683	1.801	0.564	2.581	0.259	0.503	0.541	0.564
10.8393	0.105	0.213	0.352	2.182	0.298	1.142	0.862	0.669	0.257	0.423	0.438	2.873	0.763	1.666	0.825	1.272	0.36	0.336	0.564	2.498	0.634	3.243	1.151	1.537	3.567	0.92	2.759	0.344	0.985	0.765	1.122	2.767	0.726	3.198	0.253	0.868	0.373	0.683	1.964	0.597	2.744	0.161	0.47	0.606	0.465
11.00602	0.099	0.143	0.413	2.372	0.425	1.268	0.792	0.794	0.382	0.384	0.334	3.062	0.66	1.562	0.721	1.463	0.256	0.427	0.623	2.622	0.727	3.236	1.047	1.662	3.723	1.012	2.654	0.338	0.946	0.661	1.181	2.922	0.752	3.55	0.313	0.862	0.269	0.743	1.893	0.591	2.574	0.286	0.399	0.436	0.393
11.17272	0.17	0.246	0.319	2.509	0.396	1.273	0.764	1.029	0.159	0.423	0.275	3.036	0.73	1.601	0.793	1.403	0.458	0.368	0.466	2.792	0.7	3.243	0.988	1.865	3.96	0.92	2.923	0.246	1.05	0.667	1.122	2.963	0.922	3.689	0.449	1.162	0.21	0.847	2.095	0.662	2.973	0.357	0.503	0.606	0.694
11.33939	0.165	0.208	0.347	2.503	0.425	1.333	0.694	0.925	0.088	0.384	0.367	3.258	0.725	1.791	0.82	1.397	0.354	0.362	0.557	2.982	0.694	3.433	1.047	2.022	4.115	1.012	3.014	0.436	1.044	0.759	1.116	3.02	0.948	3.877	0.313	0.96	0.204	0.841	2.35	0.689	2.966	0.155	0.562	0.404	0.557
