	MG1655-1	PUTR3-1_1	ygaC-1	ygaC_ybeX-1	ygaC_mpl-1	ygaC_ybeX_mpl-1	PUTR8-10_1	rpsG1_mreB-1	MG1655-2	PUTR3-1_2	ygaC-2	ygaC_ybeX-2	ygaC_mpl-2	ygaC_ybeX_mpl-2	PUTR8-10_2	rpsG1_mreB-2	MG1655-3	PUTR3-1_3	ygaC-3	ygaC_ybeX-3	ygaC_mpl-3	ygaC_ybeX_mpl-3	PUTR8-10_3	rpsG1_mreB-3	rpsG1_mreB_ybeX-1	rpsG1_mreB_mpl-1	rpsG1_mreB_ybeX_mpl-1	proV_cspC-1	proV_cspC_ybeX-1	proV_cspC_mpl-1	proV_cspC_ybeX_mpl-1	rpsG1_mreB_ybeX-2	rpsG1_mreB_mpl-2	rpsG1_mreB_ybeX_mpl-2	proV_cspC-2	proV_cspC_ybeX-2	proV_cspC_mpl-2	proV_cspC_ybeX_mpl-2	rpsG1_mreB_ybeX-3	rpsG1_mreB_mpl-3	rpsG1_mreB_ybeX_mpl-3	proV_cspC-3	proV_cspC_ybeX-3	proV_cspC_mpl-3	proV_cspC_ybeX_mpl-3
11.5061	1.038	0.682	1.201	1.168	1.298	1.233	3.375	3.375	1.006	0.747	1.46	1.156	1.352	1.363	3.764	4.089	0.747	0.843	1.428	1.201	1.201	0.876	3.797	4.316	2.433	2.563	2.92	1.168	0.808	1.104	0.667	2.499	2.888	2.823	1.006	1.071	0.793	0.828	2.952	2.596	2.434	1.021	1.201	1.103	0.858
11.67288	0.895	0.766	1.285	1.089	1.187	1.155	3.52	3.488	1.056	0.733	1.284	1.142	1.338	1.251	3.908	3.778	0.863	0.927	1.414	1.12	1.348	0.927	3.941	4.393	2.515	2.644	2.903	1.023	0.696	1.153	0.75	2.774	3.163	2.741	1.055	0.894	1.004	1.105	2.839	2.677	2.514	1.005	1.119	0.927	0.875
11.8394	0.837	0.675	1.227	1.193	1.194	1.097	3.658	3.561	0.901	0.805	1.356	1.246	1.15	1.323	3.917	4.176	0.837	0.934	1.323	1.193	1.388	0.999	4.145	4.987	2.685	2.815	2.814	1.128	0.833	1.096	0.757	2.912	3.204	2.912	1.16	0.901	0.882	0.95	3.042	2.88	2.328	1.143	1.03	0.934	0.98
12.00617	0.837	0.74	1.227	1.193	1.421	1.162	3.853	3.853	1.161	0.708	1.453	1.051	1.345	1.323	4.047	4.338	0.772	1.031	1.421	1.322	1.55	1.031	4.177	4.987	2.588	2.944	3.268	1.16	0.735	1.193	0.692	2.782	3.269	2.944	1.063	0.966	1.077	0.95	3.236	2.783	2.458	1.013	0.998	0.934	0.948
12.17281	0.925	0.763	1.315	1.184	1.314	1.218	3.906	3.875	0.989	0.796	1.346	1.107	1.433	1.346	4.326	4.682	0.86	1.022	1.346	1.085	1.378	1.022	4.424	4.94	2.771	2.804	3.159	1.15	0.726	1.054	0.747	2.901	3.289	2.932	0.955	0.989	0.969	0.908	3.128	2.966	2.609	1.1	1.019	0.925	0.873
12.33946	0.92	0.824	1.278	1.147	1.375	1.213	4.159	4.063	0.951	0.727	1.374	1.167	1.428	1.406	4.514	4.675	0.759	1.115	1.504	1.273	1.438	1.017	4.45	5.29	2.895	2.928	3.348	1.144	0.624	1.146	0.839	2.992	3.543	3.088	0.95	1.081	1.06	0.935	3.381	3.155	2.701	1.094	1.272	0.985	1.126
12.50629	0.881	0.882	1.206	1.075	1.465	1.207	4.214	4.346	1.073	0.882	1.528	1.321	1.356	1.399	4.633	4.826	0.849	1.108	1.593	1.265	1.463	1.01	4.926	5.635	2.984	3.178	3.436	1.137	0.714	1.235	0.929	3.178	3.437	3.273	0.878	0.879	0.988	1.025	3.308	3.211	2.628	1.087	1.004	0.977	0.957
12.6729	0.983	0.854	1.373	1.08	1.469	1.017	4.415	4.384	0.949	0.886	1.469	1.164	1.458	1.404	4.996	5.157	0.756	1.048	1.534	1.174	1.436	1.177	5.03	5.869	2.99	3.184	3.377	1.142	0.783	1.079	0.837	3.152	3.928	3.247	0.98	0.949	1.058	0.9	3.314	3.217	2.698	1.027	1.107	0.885	0.93
12.83958	0.92	0.856	1.472	1.147	1.569	1.149	4.645	4.678	1.178	0.888	1.633	1.167	1.557	1.438	5.097	5.258	0.823	1.212	1.536	1.176	1.632	1.017	5.098	5.97	3.252	3.414	3.477	1.112	0.786	1.178	0.839	3.349	3.64	3.38	1.047	1.049	1.093	1.097	3.381	3.317	2.798	0.933	0.916	0.887	1.062
13.00625	0.893	0.958	1.38	1.216	1.671	1.088	4.845	5.106	1.053	0.925	1.67	1.236	1.627	1.508	5.103	5.167	0.958	1.249	1.606	1.214	1.735	0.892	5.363	6.56	3.095	3.581	3.548	1.247	0.888	1.378	0.78	3.452	3.937	3.451	0.988	1.054	1.098	0.94	3.581	3.517	2.836	1.003	1.181	1.022	1.067
13.17288	0.997	0.965	1.516	1.191	1.71	1.257	4.985	4.92	1.061	0.9	1.677	1.276	1.732	1.353	5.535	5.988	0.835	1.321	1.613	1.287	1.645	1.224	5.827	6.799	3.363	3.622	3.881	1.222	0.798	1.191	0.884	3.655	4.076	3.589	1.093	0.996	1.171	1.013	3.784	3.72	2.747	1.043	1.092	0.997	0.978
13.33965	0.918	1.145	1.502	1.177	1.599	1.244	5.451	5.096	1.143	1.016	1.533	1.132	1.652	1.533	5.708	5.966	0.951	1.307	1.728	1.303	1.759	1.112	5.742	6.872	3.378	3.605	3.766	1.142	0.718	1.337	1.064	3.572	4.155	3.83	0.98	0.981	1.187	0.933	3.832	3.67	2.989	1.189	1.075	1.209	1.059
13.50631	0.881	1.076	1.465	1.204	1.724	1.11	5.541	5.284	1.138	1.076	1.658	1.224	1.809	1.334	5.992	6.444	1.011	1.528	1.723	1.298	1.722	1.172	5.897	7.058	3.631	3.89	4.18	1.104	0.811	1.332	0.962	3.728	4.148	3.629	0.845	1.074	1.182	1.025	3.858	3.891	2.983	1.022	1.102	1.107	1.054
13.67294	0.906	1.166	1.523	1.198	1.75	1.133	5.903	5.546	1.004	1.036	1.685	1.251	1.836	1.458	6.584	6.519	0.874	1.522	1.847	1.328	1.588	1.134	6.26	7.492	3.858	4.215	4.215	1.068	0.805	1.361	0.989	3.858	4.572	3.988	1.068	1.101	1.212	1.02	4.15	4.021	3.307	1.116	1.133	1.133	1.083
13.83968	1.031	1.259	1.519	1.226	1.81	1.162	5.896	5.799	1.161	1.226	1.712	1.343	1.961	1.55	6.673	6.9	0.967	1.615	1.907	1.29	1.842	1.129	6.35	7.613	3.593	4.371	4.144	1.16	0.833	1.356	0.951	3.885	4.469	4.144	0.901	1.193	1.109	1.145	4.241	4.112	3.301	1.046	1.095	1.031	0.948
14.00632	0.925	1.347	1.606	1.378	1.93	1.25	6.173	5.818	1.151	1.087	1.864	1.236	2.016	1.411	6.82	7.079	0.958	1.702	1.8	1.409	1.864	1.281	6.659	8.05	3.646	4.585	4.293	1.247	0.92	1.54	1.039	4.132	4.812	4.066	1.053	1.151	1.098	1.037	4.359	4.456	3.289	1.1	1.116	1.087	1.035
14.17294	0.895	1.446	1.674	1.316	2.03	1.155	6.566	6.243	1.153	1.284	1.802	1.336	1.953	1.543	7.343	7.374	0.96	1.834	1.932	1.411	2.029	1.284	7.116	8.541	3.779	4.491	4.264	1.217	0.89	1.542	0.944	4.232	4.815	4.231	1.055	1.088	1.198	1.008	4.524	4.459	3.584	1.135	1.022	1.089	1.07
14.33972	1.096	1.583	1.81	1.323	1.94	1.226	6.868	6.447	1.258	1.291	1.972	1.376	2.026	1.647	7.354	7.614	0.87	2.004	2.004	1.42	2.069	1.323	7.225	8.846	4.177	4.663	4.501	1.16	0.8	1.485	0.984	4.469	4.922	4.436	1.096	0.998	1.368	1.048	4.63	4.599	3.333	1.046	1.095	1.129	1.045
14.50647	0.913	1.498	1.725	1.433	2.211	1.432	7.341	6.756	1.076	1.336	1.919	1.388	2.071	1.562	7.861	8.413	0.946	1.854	2.049	1.628	2.05	1.206	7.764	9.322	4.354	4.971	4.809	1.27	0.975	1.661	0.964	4.387	5.231	4.582	1.011	1.108	1.22	1.125	4.808	4.679	3.77	1.059	1.109	1.141	0.993
14.67303	0.886	1.631	1.761	1.403	2.117	1.244	7.555	6.683	1.143	1.372	2.051	1.52	2.235	1.598	8.201	8.459	0.951	1.922	2.019	1.497	2.115	1.371	8.202	9.527	4.317	5.062	4.737	1.207	1.01	1.661	1.031	4.608	5.223	4.542	0.883	1.046	1.187	1.095	4.9	4.771	3.669	1.092	1.172	1.112	1.059
14.83979	1.006	1.752	1.882	1.493	2.434	1.363	7.95	7.399	1.168	1.428	2.077	1.545	2.358	1.72	8.696	8.794	0.974	2.109	2.142	1.525	2.142	1.396	8.47	9.703	4.38	5.094	4.997	1.168	0.84	1.493	1.056	4.867	5.517	4.835	0.909	1.071	1.182	1.217	5.191	4.997	3.861	1.118	1.104	1.039	0.956
15.00644	1.038	1.817	2.012	1.59	2.336	1.33	8.34	7.658	1.071	1.525	2.271	1.448	2.39	1.622	9.183	9.021	0.974	2.206	2.174	1.59	2.272	1.396	8.827	10.06	4.543	5.678	5.062	1.168	0.808	1.558	1.056	4.932	5.841	4.835	1.006	1.071	1.279	1.055	5.419	5.354	3.861	1.118	1.104	1.039	1.15
15.17317	0.945	2.017	1.952	1.498	2.439	1.53	8.543	8.088	1.173	1.595	2.309	1.453	2.461	1.757	9.614	9.03	0.881	2.244	2.179	1.531	2.472	1.336	8.965	10.978	4.841	5.588	5.263	1.238	0.942	1.596	0.964	5.134	5.978	5.069	0.979	1.076	1.317	1.158	5.295	5.426	3.965	0.929	1.207	1.141	1.091
15.33975	0.952	2.089	2.025	1.44	2.544	1.374	9.042	7.871	1.083	1.635	2.284	1.46	2.404	1.732	9.985	9.953	0.986	2.446	2.447	1.637	2.448	1.44	9.79	11.383	5.046	5.955	5.501	1.148	0.95	1.701	1.166	5.306	6.281	5.079	1.182	1.18	1.326	1.23	5.63	5.858	4.007	1.229	1.15	1.246	1.196
15.50648	1.11	2.409	2.052	1.533	2.636	1.467	9.456	8.319	1.338	1.793	2.377	1.553	2.691	1.727	10.885	10.528	1.078	2.571	2.442	1.794	2.637	1.436	10.333	11.99	4.877	6.143	5.689	1.143	0.945	1.761	1.291	5.397	6.469	5.332	1.014	1.078	1.32	1.355	5.786	5.949	4.293	1.126	1.112	1.208	1.093
15.67315	1.101	2.399	2.107	1.62	2.723	1.653	9.99	8.985	1.198	1.847	2.496	1.575	2.777	1.944	11.158	10.963	0.972	2.625	2.528	1.685	2.626	1.523	10.736	12.456	5.513	6.162	5.74	1.23	0.838	1.847	1.151	5.61	6.584	5.513	0.971	1.198	1.374	1.215	5.999	6.422	4.377	1.213	1.198	1.296	1.18
15.83988	1.036	2.593	2.204	1.685	2.82	1.425	10.672	9.114	1.004	1.847	2.399	1.575	2.777	1.847	11.871	11.158	0.972	2.852	2.561	1.62	2.626	1.426	11.028	12.748	5.902	6.81	5.967	1.133	0.935	1.977	1.183	5.773	6.778	5.643	1.068	1.166	1.374	1.312	6.453	6.519	4.442	1.148	1.198	1.231	1.148
16.00648	0.925	2.578	2.384	1.702	2.934	1.347	11.195	9.77	1.151	1.994	2.577	1.528	2.955	1.832	12.295	11.485	1.022	3.031	2.804	1.862	2.868	1.605	12.102	12.942	5.817	6.983	6.399	1.214	0.823	1.864	1.168	5.978	6.95	5.977	0.955	0.989	1.293	1.199	6.432	6.756	4.52	1.003	1.116	1.281	1.132
16.17329	0.939	2.983	2.399	1.685	2.95	1.653	12.099	10.12	1.101	2.139	2.658	1.673	2.874	1.814	13.331	12.131	0.972	3.144	2.755	1.815	2.885	1.685	12.553	13.851	5.805	7.297	6.453	1.165	0.838	2.042	1.248	6.097	7.362	6.032	1.068	1.003	1.406	1.442	7.102	7.038	4.767	1.213	1.101	1.231	1.18
16.33991	0.927	2.969	2.419	1.802	3.034	1.544	12.722	10.423	1.153	2.191	2.871	1.563	3.055	1.834	14.115	12.753	0.928	3.228	2.839	1.703	2.871	1.608	13.176	15.151	6.079	7.31	6.629	1.217	0.89	2.028	1.268	6.63	7.732	5.884	0.99	1.186	1.36	1.396	7.019	7.246	4.815	1.102	1.086	1.316	1.134
16.50667	1.036	3.177	2.626	1.782	3.21	1.653	13.299	10.963	1.166	2.431	2.885	1.673	3.361	1.944	15.018	13.267	1.134	3.436	3.015	1.815	3.08	1.588	13.916	15.7	6.421	7.589	7.232	1.327	0.838	2.139	1.346	6.973	7.946	6.616	1.295	1.166	1.666	1.215	7.491	7.817	5.123	1.116	1.23	1.231	1.245
16.67325	1.191	3.396	2.618	1.807	3.266	1.711	14.159	11.209	1.255	2.423	2.942	1.665	3.352	1.937	16.103	13.315	1.127	3.72	3.136	2.0	3.266	1.71	14.969	15.13	6.767	8.291	7.026	1.319	0.83	2.131	1.338	6.929	8.323	6.669	0.996	1.093	1.463	1.337	7.415	7.902	5.243	1.14	1.027	1.288	1.269
16.83994	0.992	3.65	2.71	1.899	3.358	1.803	15.12	12.01	1.088	2.613	3.001	1.757	3.444	1.996	17.128	14.244	1.057	3.811	3.228	1.962	3.422	1.672	15.865	16.868	6.565	8.671	7.472	1.249	0.955	1.963	1.43	7.213	8.671	6.597	0.99	1.153	1.49	1.396	8.315	8.542	5.463	1.102	1.184	1.575	1.264
17.00661	0.888	3.673	2.605	1.859	3.706	1.731	16.139	11.64	1.146	2.767	3.187	1.75	3.662	2.021	17.66	15.133	1.018	4.061	3.479	1.953	3.608	1.859	16.787	17.918	6.943	8.659	7.752	1.306	0.948	2.052	1.422	7.526	8.982	6.941	1.144	1.146	1.578	1.421	7.914	8.821	5.55	1.094	1.207	1.276	1.256
17.17328	1.022	3.971	2.935	1.994	3.744	1.801	17.253	13.172	1.151	2.999	3.257	1.819	3.538	2.026	18.936	16.214	0.958	4.262	3.387	1.992	3.549	1.799	17.836	18.417	7.436	9.25	8.084	1.214	0.92	2.026	1.33	7.857	8.797	6.982	1.15	1.151	1.584	1.491	8.732	8.959	5.557	1.003	1.181	1.313	1.359
17.33993	1.029	4.271	2.845	2.002	3.915	1.743	18.114	13.544	1.288	3.007	3.46	1.827	3.968	2.131	19.831	16.557	1.127	4.498	3.59	2.13	3.817	1.775	18.86	18.08	7.934	9.425	8.063	1.157	0.928	2.163	1.532	8.161	10.203	7.609	1.158	1.158	1.593	1.596	8.517	9.264	5.989	1.043	1.222	1.386	1.334
17.50674	0.99	4.489	3.097	2.026	4.003	1.704	19.067	13.852	1.248	3.193	3.581	1.852	4.024	2.123	21.042	17.154	1.12	4.78	3.679	2.089	3.808	1.961	20.071	18.838	8.149	10.481	8.569	1.312	0.92	2.414	1.557	8.635	9.833	7.921	0.891	1.151	1.649	1.523	9.283	9.899	6.334	1.132	1.31	1.41	1.359
17.6734	1.025	4.46	3.034	2.029	4.071	1.9	20.305	13.89	1.186	3.228	3.552	2.049	4.124	2.191	22.118	18.553	1.122	5.042	3.876	2.221	3.908	1.996	20.888	20.433	8.412	10.68	8.833	1.249	0.825	2.223	1.657	8.769	10.518	7.925	1.088	1.153	1.587	1.591	9.546	10.292	6.176	1.038	1.216	1.413	1.329
17.83996	0.99	4.78	3.291	2.188	4.262	1.93	21.626	14.921	1.248	3.582	3.776	1.852	4.316	2.35	23.536	18.676	1.12	5.298	3.97	2.316	4.1	1.994	21.853	20.652	8.441	11.291	9.412	1.312	0.952	2.317	1.622	9.25	11.097	8.472	0.988	1.248	1.843	1.588	9.769	10.287	6.432	1.132	1.181	1.41	1.326
18.00685	1.069	5.079	3.495	2.103	4.433	1.912	22.604	16.236	1.163	3.656	3.849	2.122	4.323	2.297	25.091	18.235	1.004	5.531	4.238	2.195	4.398	1.844	23.25	22.729	8.893	11.157	9.668	1.226	0.933	2.489	1.601	9.41	11.059	8.373	1.064	1.26	1.756	1.599	10.349	11.028	6.887	1.111	1.255	1.649	1.499
18.17344	0.985	5.454	3.415	2.215	4.418	1.958	23.393	16.206	1.178	3.965	4.029	1.911	4.569	2.41	26.759	21.059	1.018	5.875	4.094	2.277	4.547	2.183	24.526	23.293	9.501	12.318	9.921	1.209	0.948	2.441	1.714	9.987	12.123	8.755	0.95	1.146	1.87	1.68	10.57	11.897	6.748	1.127	1.175	1.6	1.45
18.34006	0.918	5.904	3.509	2.472	4.739	2.053	24.583	17.722	1.24	4.091	4.123	2.006	4.663	2.407	28.013	21.343	1.112	6.13	4.479	2.371	4.543	1.986	26.007	23.997	10.047	11.763	10.208	1.207	0.945	2.632	1.743	10.63	12.054	9.042	0.98	1.176	1.835	1.677	11.569	12.152	7.295	1.254	1.107	1.468	1.512
18.5068	1.029	6.216	3.753	2.423	4.985	2.067	25.765	18.471	1.158	4.271	4.303	2.054	4.844	2.358	29.525	22.652	0.932	6.54	4.628	2.584	4.66	2.164	27.904	24.402	9.976	12.959	10.235	1.222	0.96	2.65	1.824	11.37	12.797	9.587	1.093	1.353	1.852	1.693	11.5	12.668	7.48	1.108	1.124	1.58	1.432
18.67351	0.997	6.394	3.875	2.353	5.038	2.098	27.687	18.578	1.22	4.422	4.325	2.017	5.122	2.418	30.366	22.997	0.932	6.878	4.649	2.444	4.905	2.256	28.914	26.098	10.69	13.857	10.947	1.186	1.087	2.416	1.722	11.304	13.338	10.17	0.927	1.156	1.747	1.656	12.08	13.469	7.522	1.103	1.246	1.48	1.49
18.84016	1.015	6.778	3.93	2.504	5.419	2.118	28.824	19.534	1.176	4.706	4.641	2.233	5.116	2.731	31.477	24.807	1.112	7.036	4.868	2.501	5.288	2.277	30.086	27.364	11.018	13.835	11.341	1.401	0.945	2.632	1.841	11.827	13.543	9.916	1.077	1.176	1.835	1.774	12.766	13.9	7.748	1.286	1.172	1.565	1.609
19.00683	1.087	7.016	4.004	2.512	5.364	2.254	30.276	19.651	1.183	5.007	4.748	2.338	5.644	2.512	32.575	26.03	1.217	7.631	5.007	2.575	5.298	2.253	31.506	28.719	12.134	14.628	11.841	1.214	1.147	2.706	2.011	11.81	14.757	10.901	0.988	1.183	1.94	1.783	13.721	14.531	8.278	1.1	1.116	1.605	1.521
19.17358	1.119	7.599	4.133	2.609	5.526	2.319	31.507	20.979	1.151	5.299	4.877	2.241	5.741	2.609	33.514	28.136	1.12	8.019	5.363	2.769	5.493	2.447	32.77	30.176	11.615	15.406	12.457	1.409	1.05	2.803	2.011	12.717	15.049	11.128	1.085	1.183	1.973	1.815	13.818	14.531	8.634	1.132	1.213	1.605	1.553
19.34025	0.999	8.101	4.21	2.718	5.896	2.426	32.355	21.817	1.258	5.507	5.182	2.316	5.949	2.75	34.527	27.75	1.129	8.327	5.474	2.814	5.733	2.458	33.685	33.749	12.413	15.493	12.964	1.16	1.06	2.75	1.924	13.645	15.072	11.375	0.998	1.161	1.984	1.891	14.812	15.461	8.911	1.143	1.095	1.615	1.564
19.50686	1.096	8.457	4.404	2.815	5.993	2.426	33.49	23.406	1.193	5.798	5.279	2.251	6.144	2.75	35.079	30.214	1.129	9.105	5.668	2.782	5.798	2.491	34.593	34.203	13.223	16.952	13.029	1.355	0.962	2.75	1.957	13.645	16.596	11.991	1.063	1.161	2.147	1.826	14.066	15.753	9.397	1.208	1.192	1.68	1.629
19.6737	1.015	8.882	4.48	2.763	6.455	2.312	34.554	23.937	1.24	6.098	5.547	2.297	6.346	2.893	35.653	30.537	1.145	9.205	5.969	2.954	6.421	2.666	35.362	34.939	14.709	16.845	13.931	1.401	0.913	3.021	2.197	14.514	17.298	12.117	1.045	1.079	2.029	2.098	15.55	16.91	9.593	1.124	1.302	1.662	1.804
19.8403	1.103	9.248	4.77	2.888	6.392	2.531	35.143	24.532	1.266	6.49	5.581	2.486	6.641	2.855	36.278	31.865	1.039	9.832	6.198	3.083	6.425	2.596	36.214	36.668	14.115	17.977	14.569	1.33	1.067	3.051	2.062	15.219	17.068	13.142	1.266	1.168	2.188	2.029	16.419	17.555	9.605	1.281	1.298	1.785	1.637
20.00696	1.089	9.903	4.849	2.936	6.955	2.548	35.891	27.369	1.186	6.89	5.885	2.34	6.879	3.001	36.149	33.718	1.122	10.583	6.468	3.096	6.63	2.58	36.506	38.189	14.958	18.619	14.827	1.347	1.052	3.13	2.143	15.606	18.327	12.85	1.152	1.283	2.332	2.012	17.55	17.874	10.064	1.2	1.216	1.802	1.62
20.17364	1.08	10.63	5.096	2.99	6.94	2.603	36.237	27.012	1.273	7.393	6.13	2.751	7.155	3.022	36.592	35.199	1.015	11.374	6.584	3.181	6.971	2.666	36.722	39.633	15.227	18.658	15.549	1.304	1.042	3.118	2.294	16.521	19.143	14.254	1.142	1.24	2.158	2.098	18.173	18.982	10.629	1.124	1.269	1.791	1.739
20.34031	1.094	11.176	5.309	3.007	7.319	2.748	36.463	29.526	1.191	7.675	6.54	2.638	7.34	3.201	37.143	37.143	1.062	11.857	7.059	3.297	6.994	2.877	36.917	39.866	16.233	20.285	16.362	1.222	1.057	3.233	2.116	17.044	19.767	14.612	0.996	1.191	2.371	2.18	18.308	20.383	11.111	1.14	1.189	1.904	1.723
20.50695	0.999	11.765	5.345	3.139	7.322	2.945	36.636	30.086	1.193	8.198	6.576	2.673	7.765	3.236	37.348	38.483	1.161	12.931	7.16	3.203	7.582	2.977	36.927	37.381	17.406	21.654	16.79	1.322	0.962	3.496	2.443	18.314	21.298	15.104	1.193	1.452	2.438	2.183	19.255	21.071	11.245	1.11	1.192	1.874	1.759
20.67361	1.136	12.266	5.549	3.31	7.69	2.758	36.798	31.184	1.298	8.697	6.912	2.649	8.199	3.342	37.966	38.485	1.039	13.206	7.593	3.407	7.885	2.888	37.317	35.565	17.522	22.227	17.782	1.265	1.067	3.602	2.257	18.658	22.65	15.219	1.168	1.298	2.35	2.321	20.215	22.325	11.617	1.281	1.298	1.915	1.67
20.84027	1.201	13.466	5.971	3.407	7.918	2.888	37.284	34.137	1.298	9.281	7.074	3.071	8.199	3.277	38.322	36.084	1.169	14.667	7.463	3.407	7.821	3.018	38.031	34.948	18.593	22.909	18.463	1.362	1.067	3.505	2.451	19.826	22.974	15.933	1.103	1.298	2.285	2.321	20.832	22.325	11.649	1.216	1.331	2.012	1.864
21.00697	1.017	13.882	5.956	3.519	8.067	2.966	37.566	36.136	1.181	10.082	7.32	2.792	8.414	3.454	39.061	35.651	1.051	14.304	8.1	3.586	8.36	3.0	38.476	34.027	19.633	23.661	19.081	1.343	1.047	3.748	2.563	20.38	24.572	16.84	1.182	1.278	2.398	2.497	21.776	24.474	12.681	1.229	1.215	1.993	1.943
21.17371	1.205	15.23	6.14	3.413	8.25	2.99	37.793	35.26	1.206	10.198	7.763	2.946	8.856	3.38	39.708	34.709	1.141	15.684	8.347	3.674	8.705	3.186	38.735	33.476	20.684	26.365	19.255	1.368	1.072	3.738	2.619	20.132	25.132	17.6	1.076	1.27	2.356	2.489	22.177	24.905	12.698	1.156	1.142	2.017	1.935
21.3403	1.108	15.392	6.497	3.705	8.737	3.153	38.313	39.059	1.173	10.783	8.088	2.881	9.181	3.543	40.26	32.794	1.173	16.333	8.769	3.804	8.9	3.186	39.482	32.372	21.366	26.852	19.937	1.465	0.975	3.836	2.749	22.08	26.041	17.925	1.109	1.465	2.843	2.521	24.612	26.788	13.347	1.221	1.142	1.92	1.967
21.50699	1.11	16.729	6.598	3.643	8.806	2.993	38.681	38.453	1.273	11.307	8.481	3.079	9.77	3.545	40.175	33.259	1.143	17.833	8.903	3.904	9.099	3.384	40.077	32.057	22.737	28.776	21.47	1.37	1.14	4.066	2.72	21.763	27.056	18.711	1.111	1.273	2.651	2.686	25.009	27.283	13.774	1.126	1.112	2.02	1.97
21.67384	1.11	17.509	6.89	3.741	9.683	2.993	39.168	39.265	1.208	11.989	8.579	3.177	9.607	3.87	41.051	32.707	1.143	18.19	9.261	3.872	9.618	3.416	40.759	31.895	23.061	29.491	22.347	1.37	1.172	4.066	2.72	23.646	29.167	19.75	1.209	1.208	2.554	2.621	24.944	29.329	14.326	1.061	1.145	2.182	2.035
21.84047	1.103	17.944	7.074	3.926	9.54	3.245	39.75	38.615	1.103	12.299	8.761	3.135	9.984	3.829	41.697	32.32	1.071	19.696	9.54	4.024	9.767	3.602	41.211	30.827	24.272	31.086	23.59	1.525	1.165	4.219	2.808	25.018	29.691	20.508	1.103	1.363	2.642	2.872	27.679	29.561	14.797	1.151	1.233	2.272	2.124
22.00718	1.133	18.619	7.395	3.956	10.12	3.372	40.355	36.981	1.263	13.494	9.276	3.262	10.466	3.858	41.782	30.331	1.166	20.792	10.217	4.021	10.023	3.599	41.815	31.336	26.048	33.153	22.836	1.457	1.032	4.41	2.903	26.308	31.92	21.182	1.166	1.36	2.834	2.772	27.735	31.531	15.44	1.31	1.295	2.172	1.959
22.17381	1.096	19.612	7.388	4.112	10.727	3.464	41.11	33.523	1.193	14.553	9.559	3.483	11.17	3.917	42.504	30.474	1.226	22.497	10.597	4.306	10.954	3.69	42.472	31.122	26.713	32.711	24.767	1.517	1.157	4.339	2.929	26.486	32.939	21.913	1.258	1.29	2.86	2.669	30.895	32.128	15.785	1.11	1.127	2.264	2.115
22.34055	1.117	20.874	7.974	4.14	10.508	3.423	41.574	33.806	1.346	15.026	9.696	3.478	10.823	3.944	43.199	30.56	1.248	23.246	11.061	4.337	11.094	3.718	42.972	29.878	28.413	33.807	26.724	1.476	1.18	4.433	2.956	28.674	32.736	23.248	1.119	1.28	2.986	2.89	30.362	33.548	16.91	1.167	1.218	2.385	2.076
22.50721	1.147	22.394	7.872	4.526	11.153	3.518	41.952	33.862	1.408	15.8	10.309	3.572	11.728	4.234	43.674	30.29	1.278	24.18	11.283	4.788	11.999	4.039	43.544	31.07	28.827	33.862	27.495	1.473	1.275	4.625	3.148	30.354	32.823	24.962	1.182	1.31	2.885	2.725	32.4	33.635	17.196	1.164	1.215	2.48	2.236
22.67382	1.208	23.191	8.514	4.358	11.079	3.675	42.35	33.127	1.208	17.379	10.884	3.599	12.108	4.13	44.104	31.083	1.241	25.918	12.021	4.716	12.119	3.871	43.942	30.856	30.53	32.024	28.127	1.468	1.042	4.846	3.174	30.725	32.544	25.238	1.176	1.273	2.976	2.881	34.329	33.388	17.963	1.159	1.145	2.377	2.262
22.84047	1.154	24.919	8.534	4.568	12.012	3.721	42.898	31.941	1.351	17.248	10.94	3.581	12.848	4.373	44.752	29.766	1.188	27.162	12.078	4.929	12.339	3.984	44.59	30.157	30.999	32.267	30.122	1.546	1.348	5.123	3.157	33.6	32.008	25.897	1.19	1.416	3.252	3.026	33.437	32.885	19.068	1.237	1.126	2.586	2.18
23.00712	1.045	25.432	8.774	4.942	11.891	3.87	43.227	31.309	1.306	18.905	11.599	3.696	12.887	4.455	45.078	29.719	1.143	27.802	12.508	4.781	13.093	4.098	45.013	30.661	35.336	32.576	30.66	1.565	1.075	5.008	3.337	34.005	31.407	26.504	1.274	1.305	3.171	3.076	34.653	32.933	18.938	1.224	1.145	2.572	2.23
23.17384	1.133	27.4	9.14	4.78	12.817	3.931	44.001	32.086	1.364	20.631	12.037	3.824	13.329	4.681	45.695	29.715	1.297	29.483	12.884	5.208	13.341	4.357	45.565	30.269	34.138	32.316	31.275	1.56	1.263	5.173	3.367	34.237	31.862	27.566	1.138	1.396	3.105	3.432	35.635	33.032	19.915	1.153	1.239	2.502	2.389
23.34064	1.173	28.631	9.283	5.18	13.256	4.004	44.397	31.104	1.437	21.303	11.987	3.898	13.67	4.528	46.06	29.743	1.207	30.259	13.257	5.251	13.845	4.562	46.027	29.875	36.351	32.019	31.174	1.568	1.401	5.379	3.506	36.059	30.816	28.44	1.048	1.208	3.375	3.246	33.224	31.889	21.467	1.161	1.182	2.51	2.268
