	MG1655-1	COUM4-2_1	MG1655-2	COUM4-2_2	MG1655-3	COUM4-2_3	nadR_rpoA-1	nadR_rpoA-2	nadR_rpoA-3
8.67291	0.249	4.213	0.315	14.537	0.256	7.849	0.318	0.116	0.414
8.83959	0.217	4.724	0.383	14.53	0.323	9.037	0.285	0.359	0.383
9.0063	0.179	5.576	0.311	15.549	0.217	9.545	0.282	0.081	0.345
9.17304	0.165	5.969	0.296	15.789	0.372	10.789	0.165	0.067	0.332
9.33975	0.213	6.535	0.311	17.091	0.217	11.018	0.282	0.081	0.345
9.50655	0.066	7.582	0.299	17.851	0.376	12.335	0.374	0.139	0.438
9.6731	0.257	7.87	0.387	19.729	0.36	13.404	0.393	0.159	0.424
9.83974	0.171	8.972	0.367	20.228	0.477	13.987	0.341	0.21	0.441
10.00658	0.327	9.087	0.352	20.496	0.222	14.881	0.259	0.093	0.325
10.17318	0.228	9.843	0.356	20.608	0.362	15.298	0.365	0.199	0.397
10.33994	0.214	10.844	0.442	21.796	0.244	15.815	0.316	0.185	0.315
10.50655	0.295	12.307	0.385	21.974	0.425	18.632	0.397	0.095	0.363
10.67329	0.227	12.341	0.215	23.301	0.322	16.896	0.295	0.164	0.465
10.84001	0.288	13.145	0.479	23.11	0.315	18.515	0.322	0.088	0.356
11.00669	0.227	13.668	0.487	22.995	0.391	18.87	0.295	0.164	0.397
11.17333	0.22	14.914	0.377	23.995	0.519	19.229	0.322	0.156	0.356
11.33996	0.184	15.695	0.271	24.771	0.343	20.779	0.286	0.155	0.424
11.50668	0.256	16.585	0.546	24.748	0.381	20.312	0.357	0.125	0.36
11.67347	0.17	16.549	0.561	25.44	0.361	20.645	0.475	0.141	0.411
11.84013	0.188	16.144	0.478	26.649	0.347	20.312	0.493	0.159	0.462
12.0068	0.159	16.9	0.414	27.372	0.349	21.501	0.329	0.131	0.4
12.17348	0.25	17.251	0.402	28.082	0.54	22.254	0.352	0.086	0.424
12.34021	0.286	17.557	0.469	28.384	0.268	22.109	0.286	0.055	0.394
12.50693	0.322	18.681	0.507	29.956	0.511	22.906	0.356	0.225	0.394
12.6736	0.313	19.062	0.36	30.319	0.361	23.409	0.313	0.082	0.455
12.84036	0.191	19.285	0.337	30.449	0.372	23.457	0.359	0.061	0.468
13.00696	0.292	19.825	0.438	31.089	0.473	24.097	0.359	0.162	0.434
13.17361	0.338	21.427	0.348	32.766	0.314	24.851	0.338	0.141	0.515
13.34038	0.368	22.394	0.411	31.71	0.411	24.842	0.267	0.037	0.411
13.50703	0.345	23.228	0.456	32.118	0.423	25.846	0.278	0.115	0.454
13.67379	0.226	23.857	0.404	32.661	0.403	27.986	0.327	0.131	0.438
13.84041	0.345	24.306	0.423	33.397	0.423	27.193	0.379	0.148	0.522
14.0071	0.32	25.184	0.598	34.249	0.396	27.327	0.455	0.292	0.7
14.17376	0.31	26.4	0.485	34.311	0.417	28.238	0.31	0.113	0.689
14.34056	0.403	26.045	0.511	34.621	0.309	27.815	0.303	0.073	0.683
14.50719	0.327	26.985	0.538	35.015	0.437	28.456	0.428	0.198	0.639
14.67389	0.354	27.605	0.631	35.123	0.396	28.067	0.421	0.191	0.599
14.84058	0.357	27.581	0.534	34.867	0.4	29.287	0.357	0.195	0.838
15.0073	0.473	28.596	0.55	35.795	0.516	29.766	0.372	0.209	0.852
15.17405	0.435	29.831	0.546	36.792	0.546	29.049	0.334	0.138	0.915
15.34064	0.444	28.785	0.485	36.159	0.417	29.784	0.511	0.113	0.925
15.50737	0.538	30.209	0.578	36.468	0.577	30.569	0.403	0.174	0.985
15.67403	0.526	29.363	0.635	37.793	0.4	31.406	0.425	0.127	1.039
15.84068	0.414	30.475	0.724	38.289	0.489	29.66	0.448	0.285	1.13
16.00743	0.41	30.901	0.586	37.637	0.585	30.657	0.444	0.214	1.227
16.17409	0.426	31.151	0.6	38.071	0.398	31.309	0.493	0.197	1.209
16.34091	0.412	31.51	0.551	38.418	0.55	31.266	0.479	0.082	1.396
16.50758	0.624	32.213	0.596	39.433	0.494	31.969	0.423	0.193	1.575
16.67424	0.423	32.18	0.596	38.996	0.494	32.942	0.49	0.294	1.474
16.84086	0.616	32.794	0.523	39.129	0.421	32.314	0.414	0.218	1.802
17.00766	0.646	32.783	0.72	40.19	0.317	32.606	0.612	0.214	1.697
17.17434	0.601	33.757	0.742	39.878	0.573	33.378	0.433	0.17	1.988
17.34094	0.684	33.6	0.555	41.215	0.487	33.523	0.382	0.253	2.238
17.50776	0.513	34.326	0.484	41.736	0.483	34.149	0.412	0.283	2.268
17.67433	0.569	34.191	0.573	41.792	0.571	33.813	0.468	0.273	2.457
17.84113	0.695	34.909	0.567	41.192	0.599	34.798	0.493	0.297	2.686
18.00775	0.613	34.929	0.685	41.401	0.55	34.752	0.513	0.283	2.938
18.17441	0.651	35.607	0.554	42.956	0.451	35.396	0.451	0.322	3.141
18.34108	0.727	35.551	0.635	42.064	0.601	35.609	0.458	0.329	3.629
18.50783	0.725	36.071	0.63	43.123	0.494	35.323	0.423	0.193	3.956
18.67454	0.814	35.974	0.72	42.508	0.686	36.704	0.511	0.181	4.419
18.84126	0.807	36.716	0.711	43.482	0.542	35.734	0.304	0.243	4.806
19.00795	0.746	37.486	0.586	44.121	0.619	37.04	0.511	0.281	5.09
19.17467	0.862	37.626	0.734	44.144	0.867	36.644	0.527	0.264	5.773
19.34141	0.725	37.782	0.798	45.169	0.696	37.537	0.523	0.495	6.07
19.50806	0.837	38.546	0.707	44.673	0.638	37.196	0.602	0.34	6.209
19.67467	1.038	38.579	0.774	44.707	0.538	37.966	0.468	0.273	7.147
19.84147	1.008	38.391	0.778	44.789	0.542	37.51	0.472	0.276	7.989
20.00799	1.109	38.86	0.979	45.392	0.743	38.079	0.505	0.276	8.324
20.17471	1.239	38.914	0.774	46.046	0.638	38.167	0.602	0.34	8.721
20.34152	1.042	39.597	0.979	46.833	0.575	38.682	0.706	0.343	10.502
20.50816	1.12	39.889	0.889	45.9	0.518	38.908	0.651	0.356	10.534
20.67478	1.332	40.496	0.8	46.115	0.664	39.415	0.495	0.366	10.686
20.84148	1.205	40.556	0.908	46.75	0.672	39.809	0.502	0.373	11.903
21.00826	1.298	40.63	1.001	46.718	0.664	39.582	0.595	0.266	12.828
21.1749	1.399	40.095	1.101	46.818	0.63	39.147	0.662	0.366	13.331
21.34163	1.306	41.092	0.875	47.487	0.839	40.211	0.669	0.474	14.047
21.50829	1.406	41.293	0.975	47.587	0.638	40.11	0.569	0.474	14.884
21.67494	1.645	41.373	1.113	47.603	0.743	40.224	0.673	0.477	15.226
21.84178	1.633	41.434	1.168	47.22	0.63	40.788	0.696	0.433	15.842
22.00842	1.629	41.889	1.164	48.242	0.66	41.31	0.759	0.463	15.801
22.17501	1.588	41.629	1.156	48.476	0.853	40.849	0.752	0.423	16.289
22.34174	1.83	41.889	1.365	48.108	0.66	41.21	0.759	0.53	16.738
22.50848	1.822	42.365	1.29	48.577	0.853	41.451	0.685	0.523	16.623
22.67512	2.023	42.532	1.357	48.677	0.752	41.752	0.752	0.456	16.121
22.84193	1.867	42.673	1.603	48.994	0.764	42.127	0.763	0.567	16.812
23.00857	2.031	42.559	1.566	48.71	0.727	42.013	0.792	0.53	16.705
23.17516	2.244	42.699	1.612	49.195	0.94	42.689	0.803	0.541	17.028
23.34194	2.133	43.02	1.567	49.313	0.929	42.408	0.83	0.535	16.88
23.5087	2.22	43.589	1.788	49.096	0.748	42.809	0.848	0.62	18.355
23.67534	2.336	43.844	1.771	49.564	0.831	42.729	0.964	0.768	17.114
23.842	2.334	43.755	1.767	49.113	1.196	42.842	0.931	0.736	17.749
24.00871	2.533	43.965	1.867	50.25	0.928	42.549	0.96	0.765	17.91
24.17545	2.579	43.771	1.913	50.2	0.873	43.862	1.004	0.842	18.134
24.34209	2.583	44.422	2.018	50.317	0.977	43.675	1.008	0.846	17.471
24.50884	2.591	44.349	2.093	50.251	0.985	43.501	1.116	0.853	18.056
24.67541	2.674	44.706	2.244	50.251	1.002	43.891	1.131	1.002	17.785
24.84217	2.716	44.734	2.186	50.52	1.077	43.718	1.34	1.009	18.908
25.00896	2.531	45.093	2.304	50.588	0.925	43.437	1.321	1.192	18.939
25.17559	2.782	45.296	2.322	50.624	1.143	43.804	1.4	1.136	18.596
25.34224	2.66	45.642	2.368	51.148	1.189	44.251	1.412	1.282	18.721
25.50895	2.773	45.347	2.482	50.558	1.201	43.516	1.423	1.395	18.644
25.67561	2.693	45.338	2.537	51.013	1.155	44.554	1.58	1.383	19.362
25.84234	2.709	44.968	2.623	51.118	1.306	44.757	1.728	1.497	18.917
26.00905	2.976	45.406	2.823	51.239	1.37	44.856	1.79	1.625	19.481
26.17573	2.768	45.391	2.819	51.56	1.365	44.605	1.955	1.757	19.778
26.34245	2.801	46.218	2.888	51.802	1.297	45.228	2.021	1.992	19.47
26.50907	2.903	45.879	2.888	51.462	1.467	44.854	2.123	2.162	19.98
26.67582	2.924	46.495	2.877	51.889	1.488	44.993	2.448	2.284	19.613
26.84246	3.005	46.13	2.89	51.806	1.501	45.444	2.529	2.534	19.842
27.00922	2.86	46.66	3.054	52.218	1.731	45.258	2.758	2.627	20.3
27.17585	2.762	46.3	2.956	52.065	1.769	45.375	2.694	2.767	20.308
27.3426	2.954	46.51	3.183	52.46	1.859	46.266	2.988	3.266	21.1
27.50925	2.774	46.461	2.971	52.157	1.92	46.183	3.457	3.326	20.913
27.67598	2.838	47.522	3.037	52.794	1.848	45.841	3.659	3.732	21.554
27.84265	2.808	46.476	3.213	52.983	2.023	46.471	4.006	4.25	21.358
28.00931	2.672	47.042	3.108	52.942	1.988	45.978	4.175	4.351	20.879
28.17603	2.842	47.468	3.213	53.12	2.126	45.855	4.417	4.387	21.05
28.34284	2.674	46.951	3.152	52.527	2.303	46.227	4.802	5.149	21.607
28.50937	2.674	47.294	3.152	53.625	2.166	46.227	5.179	5.424	20.955
28.67611	2.683	47.29	3.161	53.456	2.381	46.36	5.738	5.948	21.831
28.84289	2.67	47.794	3.181	53.504	2.47	46.281	5.894	6.448	21.324
29.00952	2.859	47.923	3.097	53.851	2.42	46.683	6.67	7.19	21.565
29.17617	2.88	48.273	3.188	52.98	2.545	46.517	6.902	7.56	21.505
29.34287	2.674	47.998	3.326	53.736	2.614	46.826	7.658	8.591	22.296
29.50965	2.811	48.17	3.016	53.736	2.752	46.448	8.174	8.969	21.884
29.67634	2.764	48.4	3.175	53.579	2.704	47.125	8.535	9.193	22.063
29.84302	2.756	48.472	2.994	53.68	2.694	47.164	9.245	10.314	22.149
30.00974	2.859	48.369	3.097	54.298	2.9	46.992	10.206	10.28	21.977
30.17636	2.687	48.918	3.062	53.748	2.9	46.958	10.824	11.241	22.595
30.34302	2.739	48.617	2.975	54.19	3.088	47.55	11.348	12.039	22.731
30.50982	2.911	48.598	2.939	54.284	3.084	47.704	12.222	11.987	22.487
30.67651	2.863	48.948	2.962	54.067	3.074	47.916	12.94	13.219	22.292
30.84316	2.735	48.925	3.003	54.026	2.977	47.381	12.831	12.597	22.786
31.00989	2.829	49.428	2.962	54.478	3.211	47.814	13.866	13.425	22.224
31.17647	2.713	48.766	2.948	54.697	3.197	48.453	14.085	14.329	22.882
31.34319	2.816	49.314	2.948	54.526	3.299	48.145	14.29	14.774	23.087
31.50991	2.808	49.351	3.042	54.9	3.153	48.457	14.344	14.931	23.275
31.67661	2.697	49.799	2.896	54.898	3.178	48.392	14.878	14.54	22.949
31.84325	2.731	49.218	2.93	54.863	3.178	48.324	15.117	15.053	22.949
32.00999	2.842	49.248	3.008	54.9	3.084	48.423	15.645	15.342	23.069
32.17671	2.731	49.971	3.033	55.685	3.178	48.529	16.007	15.156	23.188
32.34334	2.808	49.933	2.802	55.311	3.05	48.423	16.159	15.547	23.206
32.51003	2.748	50.033	3.017	55.245	3.197	48.693	16.071	16.452	23.327
32.67682	2.825	49.974	3.092	55.784	3.031	48.67	16.71	15.928	24.162
32.84349	2.838	50.089	3.003	55.635	2.977	48.647	16.459	16.19	22.958
33.01021	2.902	50.278	2.999	55.992	3.041	48.871	16.725	16.354	24.043
33.17678	2.881	50.542	2.805	55.797	3.052	48.863	16.789	16.316	24.031
33.34358	2.966	50.275	3.06	56.61	3.033	49.041	17.202	16.695	23.687
33.51028	2.856	50.551	2.881	56.027	2.99	49.215	17.699	16.782	24.146
33.67696	2.775	50.708	2.867	56.516	3.112	49.339	17.368	16.93	24.425
33.8436	2.843	50.47	2.969	56.209	2.976	49.68	17.641	17.066	24.663
34.01033	2.83	50.661	2.956	56.256	2.962	49.225	18.06	16.941	24.533
34.17697	2.979	50.708	3.072	56.823	2.908	49.442	17.879	17.782	24.425
34.34374	2.932	51.07	2.956	56.664	2.86	49.804	17.651	17.35	24.908
34.51047	3.009	50.806	3.099	56.62	2.764	49.915	18.25	17.575	25.089
34.67709	2.924	51.253	2.979	56.545	3.018	49.887	18.898	18.393	25.119
34.84375	3.145	51.214	3.235	56.926	3.036	49.405	18.761	18.085	25.497
35.01047	3.12	51.348	3.04	57.236	2.875	50.185	18.981	18.714	25.278
35.17712	2.971	51.921	3.16	56.758	2.995	50.183	18.586	18.862	25.614
35.34389	3.005	51.989	2.99	56.859	2.825	49.98	19.604	18.828	25.411
35.51067	3.064	51.991	3.083	57.093	2.985	50.152	19.384	19.321	25.595
35.67742	3.098	51.787	3.083	56.924	2.884	50.356	19.689	18.608	25.697
35.84406	3.103	52.007	3.155	57.723	2.718	49.896	20.003	19.261	25.707
36.01065	3.124	52.264	3.074	56.92	2.908	50.325	19.537	19.203	25.644
36.17731	3.153	52.459	3.135	57.598	2.867	50.862	19.902	19.569	26.369
36.34415	3.064	52.161	3.287	58.281	2.917	51.102	20.062	20.339	26.375
36.51079	3.251	52.545	3.333	57.85	2.829	50.711	20.266	19.763	26.359
36.67737	3.124	52.652	3.205	57.365	3.038	50.82	20.046	19.984	26.301
36.84418	2.984	52.508	3.13	57.803	2.895	51.017	20.341	19.605	26.516
37.01074	3.136	53.078	3.182	57.743	2.88	51.079	20.611	19.975	26.758
37.1776	3.199	52.765	3.344	58.416	2.973	51.04	21.006	20.506	26.838
37.34423	3.085	53.047	3.333	58.106	2.963	51.084	20.678	20.751	26.281
37.51097	3.309	53.066	3.353	58.386	2.882	50.936	21.124	19.984	26.992
37.6776	3.355	53.087	3.33	58.762	2.96	51.194	20.98	20.144	26.808
37.84421	3.287	53.222	3.397	58.493	2.96	51.262	21.35	20.38	26.405
38.01105	3.32	53.496	3.461	58.845	2.823	51.17	21.348	20.614	26.663
38.1776	3.325	53.915	3.5	58.327	2.928	51.79	21.457	20.522	26.84
38.34433	3.446	53.497	3.486	58.606	3.015	51.81	22.068	21.101	26.643
38.51112	3.345	53.564	3.452	59.143	2.948	51.911	21.834	20.665	27.146
38.67776	3.341	54.085	3.582	58.453	3.01	51.996	21.657	20.891	27.908
38.84441	3.434	53.679	3.576	58.499	3.172	52.393	21.71	21.345	27.397
39.01112	3.5	54.153	3.573	58.952	2.934	51.696	22.109	20.74	27.083
39.17786	3.433	54.019	3.439	59.086	2.901	52.668	22.042	21.243	27.217
39.34454	3.433	54.254	3.573	59.79	2.934	52.199	22.243	21.444	27.184
39.51126	3.433	54.354	3.573	59.287	3.035	52.299	22.31	21.343	26.714
39.67791	3.608	54.591	3.512	59.675	3.074	52.271	22.29	21.526	27.057
39.84465	3.433	54.488	3.707	59.656	3.001	52.065	22.511	21.377	26.982
40.01129	3.604	54.475	3.541	59.521	3.003	52.155	22.248	21.718	27.315
40.17793	3.562	54.543	3.732	59.283	3.261	52.324	22.765	21.466	27.63
40.34459	3.584	54.624	3.621	59.813	3.083	52.839	23.112	21.711	27.379
40.51142	3.643	54.722	3.716	59.728	3.145	52.398	22.865	21.763	27.438
40.6781	3.688	55.143	3.66	59.799	3.122	52.855	22.786	22.121	27.891
40.84471	3.697	55.411	3.669	59.838	3.198	52.585	23.307	22.541	27.71
41.01149	3.656	55.275	3.831	59.886	3.158	52.681	23.06	22.327	27.972
41.17809	3.601	55.394	3.707	59.991	3.303	52.702	23.014	22.55	27.821
41.34487	3.748	55.309	3.922	60.451	3.25	53.488	23.243	22.51	28.019
41.51155	3.757	55.51	3.898	60.49	3.427	52.949	23.395	22.327	28.072
41.67822	3.798	55.511	3.803	60.474	3.499	52.853	22.703	22.24	27.811
41.84486	3.898	55.612	4.004	60.575	3.332	53.49	23.81	22.877	28.548
42.01152	3.889	55.947	3.894	60.67	3.49	53.257	23.389	23.16	28.059
42.17822	3.903	55.83	4.009	60.829	3.538	53.607	23.115	22.55	28.592
42.34498	3.872	55.981	3.875	60.157	3.304	53.326	22.951	23.525	28.319
42.51165	3.798	56.014	4.004	61.178	3.399	53.323	24.111	22.977	28.984
42.6783	3.93	56.282	4.067	61.056	3.496	53.462	23.535	23.206	27.998
42.84511	4.084	56.232	4.053	61.164	3.481	53.447	23.808	23.045	28.57
43.01167	4.093	56.299	4.062	61.304	3.457	54.081	23.961	23.498	28.557
43.17847	4.013	56.349	4.148	61.145	3.477	53.698	24.3	23.337	28.325
43.34513	3.952	56.5	3.99	61.656	3.72	53.978	23.681	23.352	28.919
43.51176	3.965	56.416	3.97	61.38	3.701	54.194	24.312	23.48	28.682
43.67851	4.153	56.6	4.157	61.522	3.586	54.346	23.983	23.519	28.819
43.84528	4.157	56.718	4.196	61.34	3.524	53.994	24.394	24.266	29.365
44.01191	4.117	56.533	4.22	61.499	3.749	54.149	24.644	23.647	28.737
44.17862	4.184	56.584	4.291	62.129	3.619	54.058	25.021	23.919	29.126
44.34527	4.019	57.404	4.09	62.091	3.686	53.676	25.021	24.323	29.254
44.51191	4.124	57.086	4.263	61.776	3.725	54.564	24.964	24.165	29.231
44.67867	4.285	57.322	4.392	61.76	3.652	54.159	25.021	24.221	29.73
44.84537	4.173	57.206	4.449	62.128	3.777	54.476	25.17	24.739	29.648
45.01203	4.036	57.662	4.349	62.67	3.777	54.456	25.204	24.233	30.025
45.17886	4.263	57.414	4.242	62.087	3.94	54.367	25.465	24.457	30.265
45.34552	4.245	57.48	4.324	62.244	3.82	54.032	25.628	24.419	30.256
45.51218	4.407	57.38	4.455	62.465	3.848	54.434	25.653	24.375	30.118
45.6789	4.272	57.752	4.319	62.33	3.95	54.704	25.754	24.746	30.388
45.84552	4.351	57.756	4.368	62.395	4.032	54.769	25.683	24.571	30.293
46.0123	4.222	57.821	4.643	62.714	3.868	54.669	25.117	25.19	30.262
46.17898	4.236	58.042	4.353	62.605	4.085	54.854	25.925	25.152	30.463
46.34564	4.421	58.04	4.57	62.627	3.795	54.889	25.919	25.316	30.217
46.51232	4.36	58.231	4.479	62.875	3.906	55.344	26.279	25.708	29.908
46.67897	4.286	57.996	4.542	62.352	4.173	55.343	25.83	25.123	30.379
46.84568	4.295	58.031	4.45	62.121	4.081	55.343	25.884	25.583	31.012
47.01245	4.345	58.461	4.572	62.716	4.237	55.426	26.095	25.045	31.167
47.17917	4.48	58.244	4.436	62.858	4.169	55.136	26.233	25.011	30.937
47.34586	4.38	58.453	4.543	62.714	4.072	55.476	25.801	25.498	31.333
47.51255	4.362	58.544	4.631	63.246	4.126	55.183	26.014	26.018	31.558
47.67912	4.371	58.58	4.71	63.287	3.965	55.491	26.753	25.627	31.684
47.84586	4.39	58.788	4.73	63.095	4.293	55.559	26.52	26.078	31.489
48.01253	4.413	58.946	4.755	63.266	4.078	55.748	26.433	25.51	31.579
48.17928	4.618	58.865	4.687	63.307	4.25	55.558	25.919	25.924	31.83
48.34596	4.455	58.935	4.628	63.555	4.157	55.696	26.043	26.254	31.749
48.51274	4.469	59.057	4.643	63.652	4.378	55.851	27.486	25.836	31.715
48.67936	4.655	59.284	4.761	63.576	4.29	55.833	26.276	26.418	32.404
48.84598	4.655	59.111	4.83	63.472	4.083	55.73	27.138	26.384	31.748
49.01278	4.694	58.957	4.766	63.597	4.192	55.54	26.631	26.187	31.725
49.17939	4.462	59.338	4.845	63.776	4.478	55.989	27.273	26.311	31.644
