	MG1655-1	proV-1	HMDA7-1_1	proV_rpsG1-1	proV_sspA-1	proV_sspA_nusA-1	rpsG1-1	MG1655-2	proV-2	HMDA7-1_2	proV_rpsG1-2	proV_sspA-2	proV_sspA_nusA-2	rpsG1-2	MG1655-3	proV-3	HMDA7-1_3	proV_rpsG1-3	proV_sspA-3	proV_sspA_nusA-3	rpsG1-3
6.50527	0.412	0.345	1.383	0.241	1.246	1.272	0.279	0.777	0.568	1.984	0.275	0.969	1.069	0.816	0.803	0.866	1.352	0.575	2.448	0.809	0.919
6.67188	0.483	0.518	1.489	0.184	1.222	1.343	0.256	0.849	0.676	2.02	0.284	0.978	0.881	0.728	0.675	0.805	1.493	0.553	2.297	0.787	0.929
6.83861	0.559	0.396	1.762	0.39	1.165	1.452	0.265	0.662	0.553	2.196	0.194	0.987	0.758	0.736	0.719	0.848	1.601	0.561	2.119	0.894	0.839
7.00537	0.559	0.429	1.861	0.489	1.231	1.452	0.298	0.793	0.586	2.492	0.26	0.987	0.758	0.736	0.916	0.914	1.798	0.561	2.415	0.927	0.806
7.172	0.447	0.483	1.979	0.378	1.219	1.208	0.286	0.747	0.64	2.674	0.281	1.04	0.845	0.791	0.77	0.834	1.918	0.616	2.093	0.916	0.893
7.33867	0.483	0.486	2.114	0.282	1.222	1.573	0.256	0.882	0.577	2.875	0.284	1.142	0.749	0.925	0.806	1.002	2.019	0.652	1.704	0.886	0.83
7.50527	0.571	0.411	2.301	0.274	1.213	1.398	0.379	0.773	0.633	3.389	0.373	0.969	0.872	0.785	0.795	0.893	2.437	0.611	1.883	0.91	0.822
7.67201	0.67	0.378	2.499	0.306	1.148	1.398	0.281	0.872	0.765	3.521	0.274	0.936	0.839	0.884	0.795	0.893	2.635	0.611	2.146	0.943	0.986
7.83874	0.681	0.42	2.871	0.282	1.222	1.474	0.355	0.882	0.676	3.895	0.349	1.076	0.782	1.024	0.971	0.838	2.842	0.619	2.066	0.951	0.83
8.00534	0.571	0.509	2.992	0.175	1.115	1.398	0.347	0.839	0.666	4.113	0.274	1.133	0.938	0.884	0.894	0.827	3.095	0.643	2.146	0.91	0.92
8.17211	0.677	0.515	3.295	0.28	1.153	1.438	0.188	0.846	0.574	4.516	0.182	0.975	0.845	0.922	0.868	0.9	3.201	0.616	2.29	0.949	0.926
8.33867	0.436	0.473	3.284	0.271	1.046	1.427	0.442	0.934	0.663	4.7	0.37	1.13	0.869	1.012	0.791	0.791	3.684	0.641	2.238	1.006	0.884
8.50538	0.528	0.467	3.836	0.265	1.106	1.42	0.437	0.73	0.657	5.217	0.364	1.058	1.027	0.941	0.85	0.882	3.808	0.635	2.258	1.033	1.076
8.67215	0.578	0.581	3.953	0.312	1.318	1.405	0.55	0.846	0.673	5.405	0.478	1.073	1.042	0.955	0.803	0.933	4.089	0.748	2.093	1.047	1.09
8.83874	0.627	0.5	4.23	0.297	1.205	1.42	0.371	0.829	0.723	5.842	0.364	0.96	0.962	1.007	0.883	0.817	4.432	0.734	2.126	1.197	0.977
9.00543	0.44	0.476	4.834	0.372	1.246	1.464	0.643	0.839	0.732	6.81	0.439	1.067	1.036	1.015	0.96	0.827	4.641	0.643	2.08	1.107	0.986
9.17218	0.338	0.506	4.928	0.468	1.013	1.526	0.442	0.836	0.63	6.706	0.436	1.031	1.066	1.111	0.89	0.922	5.327	0.739	2.435	1.203	1.115
9.33883	0.623	0.497	5.212	0.393	1.136	1.417	0.697	0.826	0.556	7.907	0.459	1.022	1.024	1.234	0.978	0.879	5.611	0.731	2.514	1.195	1.007
9.50555	0.539	0.476	5.853	0.405	1.148	1.562	0.544	0.773	0.535	7.862	0.472	0.969	0.971	1.245	0.762	0.827	5.989	0.808	1.784	1.206	1.183
9.67212	0.49	0.591	6.072	0.519	1.261	1.547	0.46	0.889	0.781	8.415	0.553	1.082	1.15	1.425	0.978	0.713	6.471	0.822	1.915	1.221	1.396
9.83874	0.549	0.518	6.59	0.315	1.025	1.573	0.553	0.948	0.544	8.865	0.448	1.142	1.177	1.517	0.872	0.838	6.956	0.816	1.902	1.313	1.225
10.00549	0.5	0.534	7.238	0.495	1.171	1.459	0.6	0.767	0.592	9.32	0.563	1.058	1.159	1.434	0.924	0.921	7.373	0.863	2.198	1.427	1.141
10.17227	0.535	0.408	7.69	0.468	1.013	1.559	0.771	0.77	0.762	9.961	0.633	0.966	1.231	1.341	0.857	0.889	7.892	0.937	2.271	1.433	1.279
10.33879	0.483	0.584	7.906	0.48	1.222	1.54	0.684	0.882	0.643	11.037	0.777	1.043	1.44	1.616	0.905	1.035	7.91	0.915	2.264	1.445	1.324
10.50555	0.62	0.421	8.916	0.415	1.057	1.711	0.75	0.886	0.611	11.795	0.581	1.077	1.474	1.65	0.913	0.876	9.017	0.946	1.973	1.445	1.225
10.67224	0.679	0.414	9.598	0.441	1.051	1.704	0.744	0.979	0.604	12.31	0.608	0.939	1.402	1.545	0.906	0.869	9.403	0.973	2.125	1.538	1.548
10.83885	0.488	0.552	9.74	0.514	1.09	1.612	0.717	0.886	0.677	13.115	0.68	1.176	1.408	1.683	0.847	1.041	10.106	1.144	2.369	1.676	1.522
11.00563	0.471	0.537	10.439	0.597	1.24	1.792	0.998	0.902	0.661	14.368	0.862	1.061	1.492	1.865	0.993	0.859	10.574	1.162	2.336	1.562	1.506
11.17215	0.436	0.631	11.875	0.526	1.101	1.792	0.761	0.768	0.722	15.155	0.891	1.122	1.619	1.893	0.928	0.956	11.018	1.188	2.065	1.754	1.435
11.3389	0.481	0.513	12.401	0.639	1.15	1.77	1.007	0.913	0.571	16.334	0.773	1.169	1.699	2.072	0.939	0.869	12.602	1.27	2.158	1.735	1.515
11.50562	0.599	0.501	13.498	0.594	1.237	1.789	0.995	0.8	0.658	17.425	0.958	1.091	1.818	2.06	1.121	0.822	13.238	1.258	2.231	1.921	1.8
11.67234	0.681	0.486	14.455	0.612	1.156	1.869	1.079	0.849	0.774	17.684	0.876	1.175	1.901	2.241	0.806	0.805	13.571	1.343	1.968	1.939	1.686
11.83896	0.521	0.618	15.878	0.646	1.189	2.008	1.014	0.787	0.775	20.341	1.076	1.176	1.837	2.474	0.913	0.942	15.418	1.342	2.27	2.137	1.753
12.00574	0.49	0.689	16.641	0.585	1.36	2.074	1.085	0.79	0.846	20.564	0.981	1.181	2.006	2.445	0.88	0.911	15.788	1.414	1.816	2.142	1.692
12.17232	0.549	0.518	16.825	0.809	1.222	2.067	1.408	0.882	0.643	21.765	1.04	1.076	2.065	2.735	1.004	0.838	16.631	1.507	2.001	2.136	1.784
12.33903	0.57	0.537	18.217	0.729	1.174	1.99	1.394	0.968	0.595	24.156	1.159	1.193	2.085	2.755	1.026	0.958	18.385	1.624	1.941	2.353	1.869
12.50571	0.566	0.501	19.759	0.726	1.369	2.151	1.292	0.866	0.856	24.938	1.09	1.256	2.312	2.653	0.924	0.855	19.498	1.753	1.934	2.481	2.031
12.67243	0.679	0.645	21.735	0.771	1.249	2.1	1.634	0.913	0.802	28.405	1.301	1.202	2.524	2.864	0.939	0.869	20.517	1.666	2.356	2.593	2.043
12.83899	0.582	0.584	22.88	0.809	1.354	2.264	1.54	0.75	0.84	28.116	1.271	1.142	2.592	3.064	0.905	0.838	22.653	1.869	2.461	2.827	2.015
13.00575	0.691	0.528	23.86	0.917	1.33	2.144	1.45	0.859	0.784	30.32	1.413	1.184	2.734	3.173	0.982	0.914	23.402	1.944	2.185	2.969	2.156
13.17244	0.62	0.52	26.239	0.843	1.255	2.206	1.739	0.886	0.874	32.484	1.538	1.209	3.058	3.299	1.012	0.942	26.472	2.002	2.567	2.995	2.247
13.33908	0.591	0.556	27.502	0.979	1.357	2.507	1.743	1.088	0.812	33.716	1.641	1.377	2.93	3.435	0.917	0.847	26.547	2.005	2.276	3.362	2.449
13.50572	0.665	0.6	28.984	1.022	1.336	2.513	1.852	0.899	0.691	35.284	1.716	1.157	3.103	3.608	0.924	0.822	29.35	2.148	2.099	3.371	2.426
13.67238	0.591	0.754	31.099	1.243	1.357	2.639	1.842	0.989	0.878	37.28	1.641	1.311	3.326	3.699	1.016	0.946	31.002	2.368	2.441	3.395	2.548
13.83905	0.69	0.655	32.122	1.078	1.192	2.837	2.04	0.824	0.779	36.059	1.806	1.278	3.458	3.93	0.917	0.88	33.114	2.368	2.078	3.857	2.779
14.0058	0.58	0.546	34.234	1.035	1.447	2.792	2.162	0.913	0.769	37.87	1.795	1.367	3.744	4.216	0.906	0.968	34.171	2.49	2.521	3.879	2.736
14.17244	0.686	0.618	35.411	1.14	1.387	2.998	2.201	0.886	0.578	37.367	1.835	1.374	3.949	4.124	0.946	0.876	34.424	2.661	2.171	4.216	2.874
14.33918	0.641	0.637	37.925	1.292	1.504	3.088	2.386	0.841	0.695	37.243	2.054	1.425	4.368	4.278	0.969	0.964	38.521	2.681	2.177	4.601	2.994
14.50574	0.697	0.727	36.502	1.249	1.462	3.274	2.475	0.996	0.719	37.338	2.11	1.317	4.687	4.564	1.123	0.887	36.438	2.803	2.19	4.921	3.083
14.67249	0.697	0.562	37.427	1.447	1.396	3.175	2.509	0.897	0.917	38.362	2.407	1.482	4.918	4.763	0.957	0.887	37.131	2.968	2.554	5.218	3.248
14.83915	0.514	0.612	36.939	1.431	1.48	3.617	2.657	0.913	0.703	37.837	2.488	1.466	5.492	4.974	1.038	0.935	38.623	3.249	2.521	5.561	3.132
15.00588	0.591	0.721	37.007	1.375	1.555	3.794	2.799	0.989	0.779	37.709	2.433	1.476	5.372	4.986	0.95	0.946	39.022	3.259	2.177	5.837	3.505
15.17263	0.62	0.717	37.589	1.47	1.618	3.889	2.993	0.919	0.775	37.862	2.429	1.571	5.797	5.642	0.946	0.942	38.713	3.354	2.567	6.196	3.6
15.33916	0.679	0.645	37.532	1.563	1.48	4.145	3.085	0.814	0.67	36.98	2.62	1.466	5.987	5.634	0.939	0.869	39.481	3.381	2.62	6.419	3.692
15.50584	0.658	0.627	37.066	1.477	1.659	4.449	2.998	0.892	0.784	37.763	2.829	1.546	6.159	6.335	0.883	0.947	38.09	3.723	2.382	6.855	3.934
15.67258	0.676	0.708	37.257	1.592	1.707	4.569	3.28	1.074	0.766	37.825	3.012	1.595	6.807	6.191	1.1	0.866	38.413	3.971	2.448	7.635	4.051
15.83915	0.711	0.673	38.003	1.791	1.639	4.843	3.414	0.91	0.83	37.156	2.95	1.627	7.247	6.43	0.939	0.967	38.93	4.105	2.911	7.646	4.22
16.00587	0.443	0.538	37.033	1.788	1.801	5.136	3.543	1.039	0.827	37.54	3.244	1.822	7.639	6.624	1.035	0.964	38.356	4.135	2.805	8.038	4.216
16.17267	0.591	0.622	36.677	1.903	1.588	5.51	4.02	1.121	0.779	37.808	3.357	1.773	8.045	7.032	1.049	0.979	38.758	4.414	2.837	8.411	4.462
16.33928	0.587	0.552	36.434	2.064	1.717	5.803	4.214	0.985	0.71	36.806	3.353	1.769	8.536	7.193	0.946	1.041	38.383	4.509	2.468	9.034	4.656
16.50594	0.697	0.562	37.097	2.075	1.792	5.85	4.06	0.93	0.884	37.008	3.761	1.713	8.583	7.404	0.957	0.854	37.957	4.916	3.148	9.279	4.734
16.67256	0.7	0.73	36.613	2.177	1.696	6.482	4.262	1.032	0.722	36.525	3.798	1.881	9.083	7.871	1.159	0.89	38.233	5.019	2.957	10.341	4.903
16.83926	0.723	0.655	36.05	2.266	1.885	6.632	4.746	1.022	0.713	37.016	3.984	1.971	9.366	8.022	0.917	0.88	37.9	5.272	2.771	10.359	5.287
17.00598	0.631	0.661	36.667	2.339	1.99	6.972	4.589	0.93	0.785	37.404	4.289	1.977	9.871	8.461	1.023	0.887	37.726	5.478	2.851	10.897	5.526
17.17269	0.634	0.664	35.953	2.507	2.092	7.175	4.791	0.834	0.887	37.218	4.293	1.881	11.362	8.565	0.928	0.956	37.969	5.713	2.99	11.299	5.827
17.33942	0.612	0.64	36.185	2.551	1.903	7.62	5.298	0.943	0.698	36.792	4.801	2.089	11.379	9.008	0.972	1.0	37.31	6.055	3.175	11.81	5.939
17.50607	0.598	0.628	35.479	2.702	2.023	8.029	5.513	1.029	0.686	36.413	5.016	2.01	12.017	9.286	0.924	0.854	37.825	6.303	3.082	12.515	6.12
17.67268	0.645	0.541	36.549	2.915	2.035	8.049	5.596	0.844	0.83	36.462	4.9	2.221	12.271	9.669	0.939	0.901	38.996	6.749	2.911	13.033	6.335
17.8393	0.645	0.673	35.293	2.915	2.201	8.743	5.695	0.943	0.83	36.429	5.396	2.321	12.404	10.033	1.072	0.901	37.211	6.749	3.34	12.901	6.534
18.006	0.707	0.637	36.075	2.944	2.131	9.3	6.319	1.006	0.794	35.855	5.821	2.35	13.224	10.49	0.837	0.964	36.902	7.34	3.201	13.92	7.025
18.1727	0.634	0.565	35.986	3.267	2.191	9.487	6.145	0.933	0.788	36.293	6.011	2.509	13.575	10.91	0.862	1.056	37.176	7.496	3.419	14.205	6.95
18.33945	0.591	0.754	35.951	3.553	2.413	9.867	6.33	0.89	0.812	36.554	6.327	2.631	14.085	11.092	1.016	0.946	37.636	8.011	3.465	15.441	7.3
18.50604	0.718	0.68	35.084	3.55	2.405	10.308	6.596	0.95	0.804	35.957	6.562	2.526	13.903	11.961	0.98	0.908	38.326	8.345	3.618	15.327	7.567
18.67269	0.587	0.618	35.444	3.615	2.376	11.016	6.92	0.886	0.775	36.542	7.181	2.594	15.432	12.307	1.111	1.041	37.129	8.733	3.557	15.93	7.725
18.83946	0.631	0.628	35.347	3.759	2.518	11.001	7.362	0.831	0.818	35.39	6.832	2.803	15.715	12.522	0.924	0.986	36.966	9.044	3.808	16.511	8.267
19.00612	0.718	0.58	36.109	4.212	2.637	11.796	8.117	0.818	0.837	36.354	7.753	2.757	16.813	13.118	0.947	0.974	37.4	9.536	3.751	16.649	8.493
19.17278	0.68	0.672	35.705	4.343	2.498	12.342	7.923	0.944	0.762	36.351	7.891	2.851	17.464	13.894	0.911	1.003	37.527	9.906	3.872	17.928	9.094
19.33944	0.659	0.554	35.306	4.484	2.478	12.635	8.325	0.858	0.909	36.576	8.623	2.963	18.249	13.924	0.988	1.081	37.225	10.273	3.632	18.714	9.065
19.50616	0.784	0.746	35.448	4.608	2.571	13.417	8.613	0.95	0.737	36.254	8.579	2.923	18.632	14.11	0.98	0.974	37.003	10.957	3.817	20.154	9.485
19.67282	0.744	0.64	35.987	5.129	2.763	13.338	9.265	1.009	0.83	36.164	8.9	3.015	19.576	15.42	1.138	0.967	36.781	11.178	3.638	20.602	9.674
19.83948	0.758	0.686	34.909	5.311	2.875	14.19	10.013	0.858	0.909	35.782	9.582	2.963	21.194	15.479	0.988	1.014	37.026	11.762	3.93	21.791	9.627
20.00624	0.723	0.721	35.456	5.731	3.007	14.817	9.664	1.022	0.812	36.653	9.958	3.093	22.138	16.405	1.016	0.946	37.24	12.731	3.96	23.527	10.337
20.17287	0.669	0.702	35.882	5.969	2.987	15.271	10.029	0.869	0.76	36.119	10.321	3.171	24.232	16.794	0.993	0.958	36.939	12.697	4.412	24.071	10.569
20.33948	0.735	0.636	35.289	6.002	2.888	15.799	10.259	0.869	0.991	35.691	10.98	3.434	26.308	17.091	0.993	1.023	37.763	13.389	4.445	26.477	11.262
20.5063	0.797	0.633	36.101	6.459	2.983	16.615	10.551	0.965	0.79	36.733	12.029	3.299	27.946	18.007	1.023	1.053	37.521	13.911	4.405	28.082	11.948
20.67301	0.655	0.821	35.803	6.38	2.973	17.318	11.424	0.955	0.781	35.841	12.011	3.42	28.379	18.513	1.077	1.009	36.531	14.518	4.318	29.536	12.162
20.83959	0.702	0.735	35.585	7.09	3.184	18.699	11.709	0.902	0.859	36.416	12.891	3.5	29.9	19.497	1.026	0.859	36.643	15.103	4.445	30.432	12.876
21.00623	0.808	0.642	36.136	7.396	3.224	19.769	12.314	0.975	0.865	36.506	12.871	3.639	29.821	19.973	0.902	0.866	37.754	16.17	4.327	31.342	13.053
21.17294	0.907	0.708	36.136	7.659	3.257	20.66	12.644	1.008	0.865	37.066	14.124	3.936	30.613	21.325	0.935	0.965	36.897	16.83	4.558	31.276	13.251
21.33961	0.731	0.83	35.772	8.436	3.346	21.92	13.252	0.998	0.856	36.832	13.973	3.694	31.604	21.598	1.023	1.02	37.257	17.535	4.438	32.234	13.991
21.50626	0.709	0.84	37.059	8.352	3.521	22.836	13.369	0.975	0.865	37.429	14.552	3.903	31.404	22.347	1.001	1.064	37.259	17.786	4.525	32.067	13.778
21.673	0.83	0.83	36.793	8.633	3.543	24.688	13.845	0.998	0.856	36.931	15.851	3.826	30.978	23.674	1.023	1.053	37.62	19.149	4.932	32.959	14.782
21.83969	0.723	0.952	36.677	9.395	3.766	26.963	14.845	0.989	0.911	37.379	16.757	3.951	31.676	24.128	1.016	0.979	37.537	20.784	4.917	32.801	15.716
22.0063	0.744	0.839	37.375	9.988	3.787	28.112	14.751	0.943	0.83	36.957	16.7	3.94	31.706	24.675	1.039	1.099	38.103	20.367	4.695	32.865	16.681
22.17291	0.939	0.869	37.463	10.148	3.585	28.862	15.472	1.006	0.893	37.077	18.477	4.333	32.323	25.724	0.969	1.096	37.761	22.078	5.019	32.755	17.203
22.33965	0.746	1.003	37.263	10.737	3.79	29.504	16.273	1.143	0.762	37.312	18.725	4.408	31.744	26.749	0.977	1.102	37.626	22.33	4.966	33.169	17.543
22.50634	0.851	1.047	37.259	10.841	4.026	29.923	16.753	1.183	0.808	38.126	19.191	4.475	32.755	26.595	1.012	1.074	38.284	23.515	4.646	33.682	17.888
22.67292	0.725	0.851	37.059	11.63	3.868	31.295	17.357	1.222	0.942	38.528	20.632	4.716	32.674	28.282	0.988	1.213	37.82	24.301	5.386	33.403	18.461
22.83972	0.843	1.07	37.045	12.202	4.052	30.921	17.561	1.241	0.996	38.775	21.228	4.866	32.235	31.153	1.072	1.265	38.93	24.895	5.555	33.889	20.118
23.00639	0.725	1.083	38.018	12.888	4.066	30.732	19.177	1.155	0.843	39.157	21.724	5.08	32.905	30.764	1.054	1.18	38.118	27.311	5.187	34.032	19.95
23.17308	0.798	1.123	38.473	12.602	4.305	31.184	19.026	1.229	0.915	38.686	23.23	5.22	33.423	30.916	0.995	1.319	38.969	27.727	5.996	34.45	20.924
23.33963	0.879	1.235	38.29	13.818	4.519	32.254	20.447	1.342	0.961	38.737	25.385	5.303	32.87	33.342	1.01	1.334	38.09	29.189	5.993	33.566	21.022
23.50636	0.865	1.222	39.069	13.826	4.636	31.912	21.343	1.328	0.915	39.48	25.216	5.717	33.622	35.12	0.995	1.386	39.168	30.276	6.062	34.45	22.182
23.67305	0.957	1.414	38.713	15.038	4.728	32.023	22.055	1.354	0.843	39.223	25.561	5.642	33.633	34.271	1.087	1.577	39.077	32.175	6.544	35.057	23.39
23.83975	0.736	1.391	39.114	16.084	4.839	32.784	22.675	1.431	0.852	39.592	27.311	5.655	33.633	31.324	1.198	1.489	39.18	33.1	6.467	34.329	24.144
24.00651	0.774	1.496	39.71	16.261	4.775	31.836	23.237	1.502	0.794	39.357	29.15	5.82	33.909	30.812	1.167	1.657	39.281	32.354	6.44	35.002	24.373
24.17308	0.756	1.546	39.449	16.524	5.02	32.343	24.482	1.484	0.977	39.822	29.793	6.294	34.152	31.686	1.016	1.672	39.913	33.292	6.798	35.343	25.453
24.33978	0.777	1.566	40.251	18.086	5.341	32.376	24.435	1.538	1.029	40.329	30.416	6.287	34.119	31.649	1.369	1.694	40.384	32.926	7.538	35.476	26.332
24.50649	0.907	1.631	39.466	18.54	5.466	32.859	25.14	1.668	0.997	40.463	32.423	6.772	33.91	31.381	1.1	1.756	40.491	34.866	6.438	35.694	27.725
24.67325	0.742	1.368	39.796	19.365	5.565	33.914	27.448	1.7	0.964	40.825	33.511	6.871	34.899	31.843	1.1	1.822	40.59	34.536	7.658	35.694	28.781
24.83989	0.745	1.371	40.204	20.329	5.8	33.035	27.524	1.77	0.901	40.08	33.061	7.106	34.91	30.534	1.104	1.76	40.8	34.25	7.303	36.002	29.911
25.00649	0.798	1.394	40.962	21.542	6.142	32.562	28.322	1.756	0.861	41.523	33.51	7.508	34.47	31.654	1.186	1.81	40.408	34.702	7.893	35.987	29.981
25.17319	0.758	1.42	41.134	22.413	6.134	33.526	29.749	1.65	0.953	40.708	33.62	7.631	35.795	30.286	1.047	1.671	40.909	34.088	8.074	35.965	32.13
25.33986	0.79	1.647	40.557	23.048	6.434	33.528	31.716	1.748	0.981	41.616	34.016	7.771	35.831	31.001	1.015	1.704	41.417	35.074	8.475	35.638	33.574
