	MG1655-1	HMDA1-10_1	HMDA3-5_1	HMDA5-4_1	HMDA7-1_1	proV-1	ptsP-1	wbbK-1	MG1655-2	HMDA1-10_2	HMDA3-5_2	HMDA5-4_2	HMDA7-1_2	proV-2	ptsP-2	wbbK-2	MG1655-3	HMDA1-10_3	HMDA3-5_3	HMDA5-4_3	HMDA7-1_3	proV-3	ptsP-3	wbbK-3	proV_nagC-1	proV_ptsP-1	proV_wbbK-1	proV_ptsP_wbbK-1	proV_ptsP_nagC-1	proV_nagC-2	proV_ptsP-2	proV_wbbK-2	proV_ptsP_wbbK-2	proV_ptsP_nagC-2	proV_nagC-3	proV_ptsP-3	proV_wbbK-3	proV_ptsP_wbbK-3	proV_ptsP_nagC-3
13.67247	0.834	11.719	6.936	1.431	27.495	1.204	1.105	1.324	0.794	13.854	14.764	3.584	28.545	1.129	1.048	1.045	0.731	15.293	11.689	2.302	26.006	0.929	1.315	1.154	0.824	0.777	0.726	1.143	0.591	0.74	0.944	0.811	0.866	0.761	0.573	0.627	0.75	0.752	0.889
13.83922	0.741	12.156	7.674	1.392	29.319	1.192	1.282	1.123	0.863	13.965	16.412	4.056	30.665	1.117	1.144	1.114	0.8	15.779	12.908	2.505	28.155	0.944	1.141	1.244	0.974	0.819	0.741	1.211	0.579	0.863	0.932	1.015	0.935	0.803	0.695	0.83	0.764	0.874	0.877
14.00578	0.928	12.907	8.102	1.498	30.336	1.243	1.172	1.256	0.861	15.66	17.756	4.053	30.063	0.979	1.088	1.085	0.851	16.476	14.792	2.692	30.036	1.238	1.139	0.998	0.971	0.762	0.739	1.209	0.604	0.806	0.794	0.932	0.906	0.747	0.773	0.666	0.735	0.818	0.82
14.17243	0.945	13.94	9.22	1.623	32.568	1.233	1.352	1.139	0.851	16.879	19.459	4.553	33.401	1.131	1.159	1.157	0.761	17.047	16.146	2.87	32.241	0.985	1.129	1.146	0.934	0.752	0.81	1.279	0.567	0.85	0.866	0.841	0.977	0.818	0.709	0.682	0.806	0.781	0.945
14.33906	0.928	14.769	10.504	1.659	34.491	1.243	1.253	1.256	0.834	17.44	21.911	5.213	36.619	1.141	1.222	1.166	0.851	18.472	17.868	3.042	34.757	1.157	1.327	1.133	0.89	0.762	0.82	1.29	0.685	0.806	0.794	0.878	0.987	0.99	0.719	0.774	0.816	0.872	0.901
14.50575	0.948	15.671	12.163	1.895	34.869	1.182	1.246	1.141	0.826	18.61	23.779	5.958	35.81	1.053	1.242	1.159	0.763	19.695	19.9	3.358	35.862	0.907	1.212	1.122	0.883	0.755	0.894	1.282	0.731	0.853	0.841	0.924	0.979	0.713	0.792	0.82	0.754	0.945	0.948
14.67256	0.745	17.337	12.594	1.961	35.569	1.248	1.179	1.154	0.839	19.976	25.651	6.612	34.489	1.2	1.228	1.145	0.775	21.086	21.102	3.637	36.318	0.973	1.279	1.047	1.002	0.74	0.799	1.401	0.744	0.865	0.746	0.91	0.992	0.941	0.83	0.723	0.793	0.848	0.879
14.83915	0.857	17.347	14.947	1.993	35.668	1.172	1.399	1.321	0.898	20.742	27.174	7.427	35.423	1.124	1.313	1.15	0.78	20.883	23.162	4.047	35.987	1.166	1.364	1.054	0.873	0.718	0.857	1.406	0.641	0.627	0.858	0.834	0.997	0.892	0.755	0.809	0.717	0.854	0.884
15.00585	0.844	18.81	16.137	2.089	35.966	1.349	1.332	1.254	0.831	22.263	26.544	8.716	36.61	1.112	1.22	1.217	0.795	23.51	24.875	4.361	35.719	0.993	1.406	1.075	1.103	0.76	0.817	1.449	0.655	0.885	0.927	0.929	1.092	0.798	0.852	0.744	0.759	0.788	0.872
15.17256	1.019	19.53	17.425	2.208	36.261	1.28	1.345	1.24	0.817	22.871	21.947	9.529	37.336	1.178	1.286	1.203	0.915	24.251	28.039	4.828	36.526	1.22	1.31	1.108	0.954	0.718	0.857	1.487	0.668	0.843	0.831	0.861	0.97	0.811	0.862	0.756	0.717	0.854	1.018
15.33919	0.735	20.894	19.68	2.354	35.856	1.211	1.6	1.28	0.991	23.531	19.352	10.904	36.391	1.082	1.352	1.082	0.9	23.697	28.45	5.429	37.465	1.043	1.269	1.167	1.1	0.811	0.87	1.39	0.653	0.909	0.897	0.981	1.036	0.851	0.765	0.821	0.729	0.865	0.922
15.50588	0.897	22.482	21.456	2.543	35.21	1.211	1.25	1.361	0.964	24.903	19.998	11.9	35.288	1.163	1.379	1.189	0.739	25.662	24.602	6.021	36.926	1.07	1.215	1.167	1.1	0.73	0.87	1.578	0.788	0.828	0.978	0.901	0.982	0.878	0.819	0.74	0.782	0.919	0.842
15.6726	0.997	22.651	22.513	2.696	35.075	1.257	1.297	1.354	0.742	26.119	21.217	12.559	34.938	1.263	1.372	1.182	0.812	27.119	20.09	6.602	36.172	1.143	1.342	1.022	1.012	0.938	0.782	1.382	0.781	0.74	0.971	0.894	1.029	1.005	0.811	0.732	0.882	0.83	0.915
15.83929	0.885	23.605	25.322	2.933	35.46	1.333	1.427	1.295	0.871	26.293	22.011	14.19	35.673	1.097	1.421	1.312	0.834	28.26	20.266	7.671	36.153	1.273	1.499	1.149	0.926	0.852	0.858	1.619	0.776	0.977	1.02	0.889	1.051	0.785	0.725	0.781	0.85	0.986	0.937
16.00598	0.903	24.68	27.658	3.217	35.048	1.323	1.472	1.179	0.862	26.909	22.764	16.265	35.233	1.302	1.438	1.249	0.824	28.766	21.181	8.543	36.143	1.209	1.516	1.001	0.835	0.842	0.849	1.527	0.766	0.886	0.929	0.96	1.095	0.937	0.822	0.797	0.759	0.842	0.98
16.17269	0.973	24.728	27.953	3.317	34.923	1.475	1.407	1.356	0.878	30.215	23.563	18.212	35.054	1.238	1.536	1.185	0.895	30.543	22.624	9.376	35.912	1.119	1.452	1.348	0.934	0.806	0.919	1.627	0.729	1.011	0.839	0.896	1.139	0.927	0.841	0.708	0.804	0.994	0.998
16.33919	0.905	27.347	24.065	3.596	34.036	1.299	1.366	1.181	0.972	31.215	24.087	19.199	35.242	1.223	1.494	1.225	0.827	32.187	22.128	10.75	35.883	1.104	1.491	1.165	0.972	0.764	0.824	1.557	0.634	0.808	1.012	0.828	1.098	0.832	0.825	0.8	0.842	0.925	0.983
16.50595	0.871	28.345	19.614	3.964	34.681	1.372	1.467	1.335	0.803	31.781	24.497	20.498	34.705	1.377	1.594	1.218	0.9	31.758	23.048	12.106	35.506	1.257	1.591	1.235	1.045	0.838	0.844	1.549	0.708	0.882	0.924	0.821	1.09	0.932	0.817	0.792	0.835	0.89	0.922
16.6727	0.836	30.154	19.904	4.525	34.887	1.23	1.324	1.354	0.876	32.681	24.525	22.295	34.615	1.397	1.668	1.156	0.893	33.816	24.42	13.165	34.935	1.197	1.504	1.156	0.904	0.857	0.997	1.705	0.727	0.901	0.836	0.894	1.137	0.843	0.731	0.974	0.882	0.857	0.834
16.83934	0.857	30.253	21.143	4.929	34.806	1.361	1.587	1.375	1.059	33.405	24.291	22.838	34.345	1.259	1.69	1.257	0.942	34.057	25.129	15.147	34.963	1.247	1.634	1.054	1.088	0.88	0.884	1.675	0.964	0.951	0.993	0.915	1.212	1.107	0.835	0.809	0.959	1.042	1.045
17.00598	1.0	33.013	22.008	5.335	34.654	1.314	1.569	1.195	0.878	33.766	24.29	25.448	34.463	1.346	1.67	1.239	0.815	34.444	25.395	16.612	35.374	1.227	1.614	0.999	1.014	0.887	0.919	1.707	0.783	1.011	0.973	0.977	1.139	0.927	0.895	0.815	0.804	0.994	0.917
17.17267	0.871	33.581	22.46	5.978	35.111	1.452	1.413	1.201	0.937	33.849	24.792	25.465	34.222	1.377	1.755	1.298	0.793	33.262	25.035	18.793	35.936	1.204	1.565	1.074	1.045	0.864	0.978	1.764	0.761	0.962	0.871	0.875	1.09	0.905	0.87	0.765	0.862	0.917	0.841
17.33934	1.058	32.842	23.528	6.983	34.16	1.426	1.735	1.468	1.045	34.322	24.707	25.274	34.319	1.405	1.702	1.243	0.766	35.134	24.925	19.583	34.37	1.312	1.699	1.409	1.181	0.811	0.87	1.901	0.734	0.936	0.951	1.008	1.198	0.797	0.927	0.794	0.809	0.919	1.03
17.50604	1.073	33.593	23.918	7.354	33.89	1.441	1.614	1.321	1.059	35.21	24.183	22.838	33.833	1.501	1.771	1.203	0.78	34.219	24.806	21.909	35.017	1.382	2.038	1.216	1.034	0.88	0.884	1.891	0.802	0.924	0.858	0.996	1.212	0.946	0.835	0.89	0.906	0.934	0.857
17.67269	0.918	33.161	24.748	8.605	32.838	1.503	1.54	1.382	0.932	33.62	24.878	21.51	34.21	1.428	1.833	1.183	0.761	34.489	25.582	22.522	34.047	1.309	1.641	1.146	1.015	0.887	0.891	1.818	0.729	0.958	0.973	0.949	1.22	0.953	0.871	0.763	0.967	0.942	0.945
17.83937	1.08	33.498	24.779	9.908	33.228	1.556	1.515	1.383	0.878	33.927	24.236	21.118	33.467	1.669	1.886	1.4	0.842	35.304	24.427	23.391	33.868	1.549	1.775	1.241	1.068	0.941	0.946	2.057	0.864	0.931	1.054	0.896	1.22	0.846	0.841	0.815	0.804	0.994	0.998
18.00601	0.857	33.836	25.185	10.722	33.755	1.495	1.668	1.402	0.925	34.213	24.102	21.491	33.833	1.582	1.987	1.284	1.023	34.192	24.833	25.008	33.481	1.328	1.715	1.189	1.034	0.88	0.884	1.972	0.802	1.005	1.047	0.942	1.374	0.946	0.835	0.917	0.879	1.042	0.857
18.17277	0.84	33.008	25.294	11.979	33.79	1.505	1.624	1.411	0.988	34.033	24.723	22.514	33.302	1.619	1.997	1.348	0.871	33.931	25.023	26.627	34.541	1.311	1.913	1.23	1.098	0.971	0.974	2.064	0.839	0.934	0.868	1.086	1.384	0.874	1.008	0.82	0.808	1.026	0.894
18.33929	0.98	33.846	24.961	13.473	34.788	1.509	1.683	1.309	1.047	33.442	24.176	22.724	32.928	1.784	2.055	1.192	0.849	32.963	24.851	26.049	33.814	1.45	1.863	1.251	1.022	1.029	0.926	2.2	0.817	1.1	0.981	0.93	1.362	1.095	0.983	0.823	0.866	1.002	0.925
18.50609	0.94	33.818	24.653	14.957	32.982	1.498	1.913	1.296	0.981	32.821	24.217	23.195	32.521	1.773	2.043	1.34	0.864	35.036	25.082	23.29	33.732	1.546	2.04	1.381	0.929	1.044	1.048	2.136	0.886	1.088	1.13	0.863	1.322	0.948	0.919	0.812	0.827	1.153	0.886
18.67272	0.906	33.064	25.063	16.423	33.118	1.813	1.852	1.289	0.92	33.495	24.25	24.306	33.358	1.846	2.143	1.414	0.829	35.252	24.145	20.765	32.925	1.484	2.06	1.424	1.083	0.982	0.96	2.209	0.878	1.0	0.988	0.91	1.369	0.968	0.83	0.912	0.82	1.091	0.879
18.83952	0.957	32.502	24.54	17.097	32.503	1.516	1.93	1.393	0.944	34.311	23.671	24.537	32.365	1.818	2.223	1.276	0.881	33.643	24.215	21.125	32.877	1.51	1.924	1.163	1.109	0.981	0.903	2.345	0.93	0.944	1.148	1.015	1.421	0.992	0.938	0.911	0.926	1.171	0.985
19.00615	0.888	32.842	25.007	19.042	33.599	1.852	1.942	1.486	1.037	32.951	23.435	25.166	32.327	1.804	2.317	1.396	0.812	34.012	24.493	22.237	33.569	1.577	2.071	1.344	1.148	1.074	0.969	2.575	0.861	1.037	1.025	1.027	1.433	0.896	0.817	0.789	0.939	1.185	0.997
19.17283	0.935	33.086	24.985	19.295	32.952	1.629	1.935	1.344	0.868	32.979	24.063	25.711	33.003	1.824	2.31	1.389	0.94	33.904	24.229	23.594	32.814	1.84	2.091	1.09	1.06	1.013	0.881	2.566	0.827	1.03	0.991	1.02	1.48	0.916	0.943	0.863	0.932	1.177	0.909
19.33949	0.952	32.135	24.796	21.429	32.081	1.699	2.033	1.254	0.939	33.025	23.9	25.925	32.564	1.894	2.461	1.514	1.092	34.758	24.066	23.728	32.59	1.721	2.215	1.237	1.05	1.057	0.979	2.582	0.898	1.02	1.008	1.118	1.47	1.041	0.798	0.744	0.813	1.058	1.033
19.50613	0.955	33.303	25.045	22.352	32.683	1.837	2.116	1.553	0.995	32.98	23.314	25.771	32.68	2.032	2.625	1.382	1.013	32.636	24.37	24.356	32.95	1.67	2.218	1.403	1.106	1.086	0.982	2.504	0.981	1.13	1.253	1.04	1.472	1.07	0.8	0.855	0.924	1.115	1.144
19.67284	1.114	33.106	25.227	23.802	31.596	1.699	1.952	1.55	0.939	33.106	23.739	26.141	33.805	1.894	2.542	1.352	0.795	33.706	23.85	25.077	32.941	1.856	2.242	1.399	1.103	1.003	0.979	2.663	0.817	0.966	1.143	1.01	1.551	1.068	0.879	1.014	0.759	1.247	0.953
19.83961	0.864	32.945	24.451	24.726	32.137	1.961	2.107	1.489	0.932	31.76	23.611	25.58	31.649	2.021	2.615	1.453	0.788	32.601	23.29	24.948	32.429	1.848	2.288	1.442	1.123	1.13	1.026	2.654	0.891	1.174	1.081	1.003	1.57	1.115	0.951	0.817	0.913	1.185	0.972
20.00619	1.249	32.351	24.634	23.695	31.947	1.834	2.141	1.416	0.912	32.486	23.334	25.925	31.755	2.11	2.65	1.433	1.011	32.385	24.47	26.156	33.345	1.748	2.458	1.48	1.211	1.245	0.979	2.986	0.979	1.181	1.331	0.956	1.632	1.068	0.879	0.933	0.921	1.247	1.033
20.17283	0.822	32.556	25.052	21.981	31.424	1.974	2.119	1.393	0.944	32.233	22.754	26.048	32.608	2.223	2.898	1.438	0.935	32.618	23.378	25.766	32.608	1.861	2.463	1.406	1.216	1.17	0.903	3.073	0.93	1.106	1.067	1.015	1.664	1.208	0.857	0.857	0.899	1.171	1.066
20.33968	0.883	32.663	25.344	20.38	31.719	2.063	2.234	1.4	1.032	32.691	23.286	25.503	31.635	2.123	2.933	1.688	0.888	33.967	23.723	25.761	33.147	1.842	2.417	1.39	1.062	1.15	0.964	3.244	1.018	0.978	1.155	1.022	1.644	1.053	0.973	0.865	0.826	1.125	0.965
20.50624	1.05	33.382	24.601	21.041	31.654	2.069	2.293	1.324	1.01	33.707	23.084	25.922	31.705	2.318	2.858	1.45	0.893	32.958	24.195	26.423	32.165	2.172	2.72	1.262	1.121	1.182	0.996	3.304	0.996	1.064	1.187	1.108	1.595	1.004	0.979	0.951	1.02	1.212	0.997
20.67291	1.03	32.137	24.352	21.492	31.652	2.049	2.382	1.439	1.017	32.463	23.266	26.079	32.136	2.326	3.109	1.403	0.982	32.687	23.595	26.716	32.677	2.018	2.485	1.517	1.129	1.19	1.084	3.638	1.031	1.045	1.114	1.034	1.738	1.011	0.879	0.932	1.001	1.382	1.086
20.83967	0.963	32.675	24.718	21.612	31.189	2.011	2.316	1.534	0.978	33.029	23.09	25.554	31.321	2.505	3.207	1.472	0.969	32.685	23.988	26.246	31.81	2.196	2.906	1.457	1.225	1.205	1.18	3.602	1.018	1.087	1.102	0.968	1.916	1.107	0.976	0.894	0.936	1.317	1.074
21.00619	1.141	31.876	24.981	22.607	31.174	2.214	2.411	1.522	1.02	32.201	23.462	26.627	31.982	2.545	3.247	1.568	0.903	32.074	24.304	26.534	32.956	2.102	2.92	1.277	1.159	1.274	1.006	3.722	0.871	1.074	1.116	0.983	1.903	1.014	1.071	0.881	0.869	1.384	0.98
21.17302	1.217	32.628	24.692	23.018	31.817	2.184	2.434	1.462	0.961	32.061	24.037	26.341	32.248	2.597	3.381	1.589	0.979	33.397	24.042	27.359	31.952	2.126	2.863	1.391	1.1	1.134	1.108	4.129	1.028	1.151	1.274	1.14	2.007	1.117	0.825	0.824	0.892	1.382	1.084
21.33965	1.229	31.992	24.863	23.486	32.239	2.117	2.663	1.528	0.973	31.914	23.285	25.89	31.775	2.665	3.558	1.656	0.938	31.869	24.131	27.315	31.724	2.384	3.094	1.328	1.249	1.283	1.093	4.227	1.149	1.083	1.233	1.152	1.966	1.129	0.947	0.891	0.905	1.422	1.043
21.50638	0.993	31.844	24.725	25.082	31.982	2.23	2.589	1.455	1.034	32.117	23.015	25.994	31.329	2.778	3.535	1.501	1.161	31.936	23.724	26.172	32.089	2.226	3.017	1.434	1.309	1.343	1.101	4.526	1.048	1.008	1.267	1.213	2.162	1.082	0.925	0.951	0.966	1.455	1.023
21.67295	0.973	31.707	25.288	23.993	31.52	2.401	2.786	1.462	1.042	32.44	23.604	25.583	31.002	2.868	3.706	1.562	0.979	32.882	24.015	26.871	32.765	2.451	3.026	1.472	1.236	1.432	1.244	4.671	1.137	1.016	1.355	1.085	2.116	1.171	0.852	0.878	1.109	1.409	1.166
21.83964	0.956	31.487	24.86	24.919	31.678	2.328	2.768	1.527	0.944	31.434	23.124	26.046	31.62	2.983	3.875	1.491	0.962	32.497	24.075	26.305	32.217	2.296	3.331	1.663	1.218	1.333	1.091	4.837	1.119	1.052	1.202	1.041	2.178	1.235	0.968	0.94	0.955	1.444	1.012
22.00625	1.17	31.569	25.472	25.477	31.761	2.491	2.848	1.605	1.049	32.466	23.868	25.55	31.352	2.876	3.877	1.651	1.149	31.418	24.144	26.325	31.49	2.568	3.278	1.537	1.352	1.467	1.17	5.114	1.117	1.24	1.282	1.066	2.34	1.26	1.023	0.967	0.981	1.58	1.119
22.17306	1.081	32.059	25.586	24.968	31.059	2.509	2.921	1.625	1.042	32.359	23.929	25.826	31.3	3.193	4.031	1.589	0.979	32.205	24.53	26.465	31.627	2.559	3.432	1.608	1.317	1.514	1.19	5.077	1.218	1.097	1.301	1.221	2.441	1.279	0.933	1.04	0.892	1.463	1.084
22.33964	1.007	31.569	25.716	25.667	32.195	2.545	2.956	1.469	1.049	32.087	24.112	26.309	31.189	3.12	4.121	1.678	1.095	32.339	24.144	26.812	31.815	2.703	3.278	1.564	1.271	1.44	1.197	5.521	1.225	1.186	1.363	1.093	2.503	1.097	0.914	0.886	0.954	1.498	1.119
22.50638	1.155	31.032	25.997	25.786	32.144	2.528	3.022	1.699	0.899	31.873	24.449	25.751	30.896	3.076	4.13	1.717	0.972	32.206	25.212	25.956	31.953	2.632	3.532	1.515	1.39	1.451	1.101	5.635	1.129	1.062	1.375	0.997	2.514	1.272	1.006	0.87	0.884	1.536	1.077
22.67298	0.987	31.919	26.008	26.095	31.407	2.797	3.019	1.558	1.056	31.678	23.997	25.87	31.35	3.183	4.239	1.685	1.103	32.691	25.467	26.591	31.95	2.712	3.395	1.494	1.197	1.556	1.123	6.155	1.314	1.194	1.452	1.154	2.782	1.267	0.949	1.083	1.071	1.669	1.1
22.83968	1.175	31.559	26.381	25.925	31.372	2.713	3.179	1.691	1.054	31.345	25.21	26.459	31.368	3.343	4.344	1.737	1.019	32.601	24.972	26.827	31.263	3.062	3.609	1.572	1.438	1.554	1.337	6.26	1.366	1.083	1.449	1.152	2.752	1.292	1.028	1.054	0.987	1.666	1.097
23.00637	1.101	32.506	25.806	26.3	30.746	2.803	3.268	1.698	0.98	31.939	25.828	26.481	31.204	3.27	4.842	1.744	1.026	32.382	25.536	26.171	31.94	3.07	3.808	1.664	1.283	1.697	1.263	6.65	1.455	1.172	1.403	1.159	2.788	1.299	1.118	0.926	1.049	1.675	1.132
23.173	1.239	31.51	26.41	25.792	31.161	2.805	3.406	1.782	1.091	31.703	25.618	26.163	31.158	3.463	4.682	1.774	1.165	32.364	26.167	26.26	31.921	2.911	3.811	1.668	1.422	1.808	1.13	6.763	1.376	1.201	1.541	1.08	2.953	1.356	1.12	1.064	1.078	1.759	1.135
23.33978	1.079	32.213	26.716	26.315	30.916	2.859	3.352	1.758	1.121	31.972	24.951	26.334	31.4	3.677	4.867	1.804	1.058	31.222	25.714	27.026	32.133	3.017	3.998	1.631	1.233	1.782	1.35	7.023	1.378	1.149	1.542	1.083	3.304	1.358	1.174	0.983	0.944	1.731	1.19
23.50636	1.104	32.004	26.681	25.444	31.114	3.068	3.401	1.675	0.956	31.87	25.839	26.516	30.706	3.803	5.019	1.72	1.028	32.931	26.572	26.18	31.841	3.009	4.259	1.668	1.553	1.75	1.293	7.167	1.509	1.361	1.349	1.189	3.297	1.382	1.033	0.87	1.101	1.752	1.213
23.67305	0.969	32.518	27.194	27.037	32.059	3.068	3.347	1.756	1.118	32.357	25.623	26.003	30.139	3.803	5.181	1.855	1.136	31.851	27.302	26.423	31.246	3.117	4.34	1.587	1.229	1.75	1.293	7.761	1.482	1.226	1.43	1.297	3.432	1.328	0.979	0.924	0.939	1.833	1.213
23.83977	1.119	30.532	27.913	26.056	31.424	3.243	3.576	1.933	1.106	31.073	26.64	25.373	31.745	3.869	5.192	1.762	1.286	31.322	27.021	26.413	31.636	3.345	4.298	1.703	1.432	1.979	1.362	8.2	1.577	1.187	1.633	1.177	3.633	1.559	0.965	0.857	0.926	1.927	1.227
24.00641	1.138	32.3	27.568	26.898	30.923	3.239	3.733	1.736	1.18	30.977	26.05	26.079	31.406	4.056	5.515	1.808	1.117	31.39	27.081	26.391	32.299	3.423	4.836	1.76	1.399	2.001	1.3	8.476	1.571	1.369	1.681	1.061	3.765	1.498	0.906	0.959	1.001	1.868	1.221
24.17313	1.043	31.331	27.82	26.421	31.359	3.14	4.013	1.776	1.192	31.278	26.087	25.792	30.924	4.145	5.576	1.956	1.102	31.609	27.63	26.752	31.815	3.432	4.574	1.549	1.276	2.038	1.205	8.613	1.718	1.192	1.72	1.047	3.801	1.402	1.024	0.917	0.932	2.094	1.233
24.33977	1.187	31.77	28.283	26.37	31.582	3.476	3.917	1.758	1.121	31.23	26.792	26.361	30.579	4.239	6.102	1.885	1.031	32.291	26.58	26.377	31.606	3.579	4.668	1.752	1.367	2.32	1.377	9.386	1.755	1.148	1.676	1.137	3.921	1.466	1.143	1.089	1.104	2.079	1.297
24.50644	1.212	32.085	28.734	26.605	31.384	3.257	3.86	1.783	1.091	32.114	26.271	26.597	31.057	4.37	5.964	1.882	1.109	32.418	27.059	26.585	31.436	3.522	4.718	1.803	1.391	2.236	1.239	9.679	1.671	1.388	1.727	1.135	4.134	1.544	1.114	1.114	1.074	2.022	1.24
24.67318	1.197	31.9	29.092	25.887	31.173	3.536	4.14	1.823	1.076	31.631	26.659	24.934	30.981	4.702	6.16	1.786	1.175	31.827	27.014	26.622	31.789	3.72	5.131	1.726	1.268	2.381	1.305	10.247	1.953	1.373	1.82	1.201	4.224	1.475	0.962	1.098	1.059	2.059	1.306
24.8398	1.111	31.137	29.433	26.844	30.733	3.428	4.193	1.871	1.342	31.112	25.86	26.673	30.568	4.758	6.596	1.89	1.117	32.471	27.378	26.635	31.704	3.937	5.133	1.814	1.372	2.379	1.409	10.286	1.977	1.234	1.843	1.223	4.549	1.66	1.122	1.203	1.109	2.193	1.329
25.0065	1.254	31.234	28.749	26.407	31.37	3.728	4.412	1.906	1.187	31.181	26.37	26.884	30.854	4.787	6.622	1.951	1.097	31.754	26.778	26.225	32.769	3.993	5.351	1.73	1.378	2.519	1.47	10.71	1.982	1.348	1.822	1.204	4.767	1.694	1.127	0.992	1.007	2.17	1.2
25.17309	1.163	31.498	28.907	26.647	31.39	3.824	4.563	1.842	1.177	31.094	26.718	25.992	30.875	5.016	6.904	1.833	1.195	31.397	26.425	26.627	31.872	4.115	5.257	1.958	1.341	2.615	1.352	11.716	2.133	1.257	1.704	1.248	4.7	1.683	1.035	1.089	0.997	2.293	1.271
25.33985	1.249	31.622	29.408	27.012	31.677	3.911	4.811	2.09	1.155	30.544	26.814	27.139	30.973	5.212	6.992	2.027	1.119	32.385	26.574	27.019	31.943	4.068	5.56	1.912	1.346	2.702	1.438	11.78	2.058	1.208	1.979	1.28	4.949	1.634	1.014	1.149	1.191	2.542	1.357
25.50655	1.212	31.41	29.031	26.821	30.709	4.148	4.859	2.08	1.199	30.709	26.838	26.408	31.57	5.154	7.098	2.071	1.19	31.553	27.113	26.666	32.354	4.441	5.745	1.749	1.607	2.884	1.401	12.542	2.212	1.199	1.971	1.27	5.377	1.706	0.979	1.087	1.074	2.346	1.375
25.67322	1.107	31.031	29.196	26.882	31.625	4.037	4.479	1.975	1.228	31.436	27.034	26.335	30.894	5.094	7.386	2.019	1.165	31.442	26.957	27.347	32.187	4.409	5.766	1.819	1.5	2.909	1.43	12.413	2.185	1.416	1.944	1.246	5.398	1.762	1.113	1.141	1.075	2.614	1.268
25.83995	1.33	32.539	29.354	26.554	31.488	4.208	4.973	1.982	1.182	32.135	25.708	26.519	31.242	5.805	7.694	2.027	1.173	31.818	27.923	27.154	31.97	4.58	6.099	1.912	1.427	3.026	1.519	13.398	2.381	1.262	2.141	1.28	5.893	1.796	1.094	1.149	1.191	2.622	1.276
26.00652	1.261	32.096	29.637	27.212	31.017	4.439	5.258	2.075	1.329	31.935	26.23	27.312	31.041	5.822	7.955	2.201	1.131	32.077	27.098	26.274	32.256	4.731	5.954	2.011	1.548	3.121	1.531	14.26	2.557	1.221	2.073	1.265	6.18	1.89	1.108	1.27	1.096	2.664	1.451
26.17317	1.168	31.11	29.597	26.257	31.164	4.505	5.324	2.171	1.182	31.974	26.193	27.544	31.08	5.805	8.611	2.215	1.254	32.951	27.546	27.073	32.105	4.823	6.423	1.966	1.427	3.403	1.465	14.073	2.462	1.262	2.114	1.334	6.001	1.931	1.04	1.014	1.137	2.784	1.357
26.33992	1.205	30.899	28.603	26.367	31.791	4.436	5.417	1.938	1.327	30.927	26.573	27.817	31.032	5.9	8.761	2.145	1.183	31.339	28.008	26.887	31.626	5.052	6.626	1.927	1.438	3.415	1.61	14.714	2.581	1.3	2.232	1.371	6.636	2.023	1.132	1.267	1.067	2.823	1.395
26.50659	1.119	31.288	29.532	28.161	31.532	4.754	5.708	2.149	1.187	31.424	26.64	26.399	31.745	6.379	9.023	2.194	1.259	31.268	28.343	27.898	32.149	5.072	7.212	2.0	1.297	3.409	1.551	15.216	2.576	1.294	2.2	1.258	7.033	1.801	1.019	1.235	0.98	2.952	1.362
26.67329	1.124	31.088	29.386	28.122	32.304	4.733	5.876	2.262	1.192	31.575	26.762	27.223	30.789	6.386	8.68	2.145	1.291	31.933	27.414	27.346	32.409	5.484	6.869	2.008	1.438	3.658	1.556	16.118	2.797	1.354	2.475	1.344	7.041	2.104	1.132	1.267	0.932	3.093	1.368
26.84	1.259	30.872	29.44	27.204	31.359	5.165	5.876	2.154	1.381	32.061	26.222	27.169	30.358	6.629	9.301	2.28	1.345	31.366	27.198	27.913	31.815	5.484	7.139	1.927	1.546	3.901	1.556	16.28	2.905	1.192	2.475	1.209	7.311	2.293	0.97	1.187	1.013	3.12	1.449
27.00654	1.106	30.851	29.201	27.72	32.392	5.178	6.024	2.191	1.256	31.041	26.765	27.361	31.119	6.832	9.561	2.371	1.274	31.535	26.499	27.538	31.876	5.497	7.558	2.077	1.394	4.022	1.701	17.68	2.836	1.283	2.541	1.354	7.866	2.222	1.143	1.251	1.104	3.348	1.459
27.17323	1.342	31.34	29.529	27.536	31.287	5.249	6.041	2.102	1.113	30.693	26.77	27.474	30.852	7.01	9.818	2.363	1.266	31.78	27.287	27.678	32.661	5.892	7.628	2.092	1.467	4.228	1.612	17.284	3.043	1.302	2.64	1.346	8.367	2.214	1.189	1.189	1.15	3.528	1.289
27.33993	1.242	30.654	29.573	27.152	31.301	5.088	6.42	2.056	1.363	30.277	26.522	28.357	30.49	7.466	10.351	2.343	1.165	31.227	27.55	28.857	33.238	6.107	7.949	2.197	1.5	4.122	1.673	18.613	3.263	1.336	2.672	1.353	8.39	2.247	1.086	1.168	0.967	3.557	1.376
27.50665	1.187	31.175	30.093	27.558	31.311	5.502	6.645	2.245	1.256	30.852	26.954	27.982	30.66	7.237	10.641	2.236	1.301	31.616	27.552	27.998	32.255	6.632	8.531	2.158	1.367	4.562	1.701	18.355	3.241	1.283	2.946	1.354	8.595	2.627	1.116	1.332	1.104	3.835	1.405
