	MG1655-1	12PD3-8_1	12PD4-6_1	12PD6-3_1	12PD7-6_1	metJ-1	relA-1	purT-1	MG1655-2	12PD3-8_2	12PD4-6_2	12PD6-3_2	12PD7-6_2	metJ-2	relA-2	purT-2	MG1655-3	12PD3-8_3	12PD4-6_3	12PD6-3_3	12PD7-6_3	metJ-3	relA-3	purT-3	fabR-1	clsA-1	yfgF-1	treA-1	acrB-1	metJ-lg-1	metJ-sm-1	fabR-2	clsA-2	yfgF-2	treA-2	acrB-2	metJ-lg-2	metJ-sm-2	fabR-3	clsA-3	yfgF-3	treA-3	acrB-3	metJ-lg-3	metJ-sm-3
2.33851	0.389	0.641	0.327	1.625	0.579	1.036	0.832	0.83	0.095	0.673	0.555	1.09	0.668	0.806	0.778	0.951	0.616	0.694	0.694	1.017	0.751	0.748	0.946	0.637	0.5	0.638	0.9	0.693	0.808	0.834	0.806	0.695	0.554	0.805	0.753	0.806	0.804	0.719	0.613	0.582	0.778	0.639	0.641	0.621	0.638
2.50511	0.31	0.675	0.474	1.884	0.64	1.099	0.752	0.778	0.271	0.877	0.56	1.294	0.673	0.896	0.783	0.871	0.706	0.756	0.869	1.108	0.586	0.809	0.922	0.727	0.647	0.728	0.821	0.783	0.728	0.839	0.811	0.7	0.389	0.81	0.73	0.811	0.837	0.866	0.59	0.53	0.811	0.701	0.731	0.684	0.728
2.67174	0.33	0.922	0.41	1.961	0.577	1.09	0.915	0.828	0.233	0.868	0.637	1.371	0.807	0.917	0.775	0.948	0.697	0.776	0.861	1.353	0.833	0.887	1.028	0.663	0.638	0.805	0.868	0.945	0.975	0.888	0.775	0.692	0.466	0.887	0.751	0.803	0.745	0.717	0.61	0.523	0.775	0.721	0.638	0.759	0.635
2.83835	0.509	1.043	0.443	2.166	0.693	1.212	0.775	0.858	0.19	0.964	0.672	1.491	0.757	0.95	0.893	1.069	0.736	0.781	0.923	1.595	0.782	0.834	1.06	0.695	0.618	0.754	0.936	1.149	0.924	0.922	0.836	0.698	0.471	0.835	0.786	0.836	0.861	0.833	0.646	0.613	0.837	0.812	0.759	0.744	0.81
3.00504	0.409	1.171	0.43	2.407	0.908	1.198	0.934	0.875	0.174	1.232	0.687	1.647	0.828	0.965	0.966	1.055	0.806	0.712	1.052	1.833	0.854	0.991	1.133	0.683	0.689	0.854	1.147	1.391	0.826	0.937	0.965	0.685	0.544	0.964	0.772	0.908	0.905	0.963	0.717	0.6	0.824	0.714	0.745	0.643	0.712
3.17177	0.517	1.476	0.567	2.6	0.846	1.277	0.929	1.04	0.196	1.566	0.653	1.897	1.106	1.045	0.96	1.049	0.828	0.763	0.962	1.798	0.849	0.901	1.213	0.678	0.74	0.849	0.83	1.499	0.906	0.847	0.903	0.765	0.652	0.959	0.739	0.903	0.929	0.901	0.712	0.623	0.875	0.737	0.683	0.778	0.735
3.33845	0.404	1.901	0.425	2.798	0.988	1.277	1.07	0.927	0.252	1.679	0.766	2.123	1.021	1.102	0.96	1.219	0.715	0.763	1.075	2.137	0.849	0.986	1.355	0.763	0.825	0.934	1.169	1.584	0.906	0.989	0.96	0.708	0.708	1.072	0.993	0.988	0.844	0.873	0.768	0.708	0.96	0.794	0.74	0.807	0.735
3.50516	0.415	2.083	0.69	2.895	0.941	1.373	0.91	1.021	0.209	2.174	0.749	2.418	1.089	1.14	1.112	1.174	0.755	0.944	0.972	2.18	1.057	0.94	1.308	0.773	0.779	1.029	1.068	1.765	1.001	1.084	0.97	0.718	0.634	1.167	0.948	1.055	0.938	0.911	0.865	0.718	0.971	0.889	0.864	0.82	0.802
3.67178	0.471	2.421	0.551	3.121	0.973	1.458	0.999	1.111	0.176	2.509	0.75	2.502	1.231	1.115	1.03	1.231	0.811	0.918	0.946	2.541	1.031	1.085	1.368	0.634	0.808	1.06	0.953	1.822	1.003	1.002	1.058	0.777	0.693	1.312	1.005	0.973	0.914	1.056	0.78	0.834	0.945	0.721	0.751	0.929	0.776
3.83841	0.528	3.217	0.719	3.49	1.224	1.572	1.023	1.106	0.294	2.882	0.777	2.673	1.287	1.225	1.027	1.316	0.925	0.944	1.17	2.69	1.114	1.025	1.45	0.773	0.949	1.114	1.238	2.02	1.058	1.027	0.999	0.803	0.634	1.224	1.09	1.083	0.853	1.251	0.808	0.803	1.084	0.889	0.836	0.82	0.831
4.0052	0.494	3.494	0.572	3.852	1.191	1.509	1.189	1.017	0.372	3.216	0.772	3.035	1.367	1.277	1.136	1.338	0.919	0.967	1.165	2.881	1.194	1.076	1.36	0.824	1.029	1.081	1.147	1.986	1.053	1.022	1.05	0.798	0.657	1.389	1.112	1.078	0.905	1.133	0.887	0.77	1.051	0.912	0.858	0.728	0.825
4.1719	0.631	3.974	0.508	3.763	1.24	1.419	1.01	1.036	0.285	3.499	0.794	3.117	1.588	1.241	1.156	1.333	1.028	1.045	1.101	3.336	1.3	1.125	1.493	0.844	1.108	1.13	1.086	2.036	1.159	1.128	1.099	0.819	0.678	1.438	1.135	1.184	0.925	1.266	0.881	0.904	1.241	0.848	0.937	0.924	0.932
4.33851	0.549	4.46	0.453	4.078	1.412	1.592	1.04	1.123	0.288	3.985	0.796	3.404	1.562	1.385	1.386	1.449	0.918	0.962	1.189	3.595	1.473	1.127	1.581	0.847	1.139	1.36	1.09	2.011	1.162	1.045	1.073	0.907	0.68	1.355	1.194	1.186	1.012	1.184	0.827	0.879	1.187	0.851	1.054	0.927	0.849
4.50519	0.472	5.181	0.546	4.57	1.676	1.544	1.133	1.159	0.383	4.678	0.719	3.697	1.741	1.507	1.252	1.628	1.012	1.055	1.168	3.749	1.652	1.106	1.532	0.883	1.12	1.283	1.212	1.849	1.341	1.025	1.251	0.915	0.915	1.42	1.146	1.166	1.105	1.191	0.921	0.886	1.167	0.944	0.948	0.937	0.857
4.67179	0.613	5.768	0.492	4.68	1.649	1.657	1.222	1.22	0.379	5.575	0.692	3.92	1.996	1.48	1.367	1.656	0.982	1.057	1.17	3.994	1.653	1.251	1.591	0.943	1.119	1.256	1.182	1.736	1.2	1.027	1.169	1.058	0.747	1.507	1.203	1.225	1.08	1.138	0.893	1.03	1.226	0.917	1.006	0.905	1.001
4.83857	0.62	6.637	0.523	5.23	1.88	1.692	1.109	1.163	0.418	5.964	0.782	4.471	2.173	1.739	1.314	1.605	1.046	1.004	1.287	4.097	1.885	1.395	1.622	0.86	1.296	1.544	1.389	1.684	1.318	1.144	1.171	1.006	0.836	1.624	1.322	1.341	1.138	1.196	1.012	1.062	1.314	0.95	1.124	1.001	0.919
5.00525	0.717	7.62	0.392	5.67	1.976	1.732	1.148	1.344	0.516	6.606	0.736	4.655	2.498	1.779	1.438	1.56	1.229	1.157	1.213	4.682	2.124	1.463	1.803	0.984	1.393	1.726	1.401	1.695	1.357	1.126	1.381	1.102	0.932	1.692	1.419	1.38	1.148	1.349	0.91	1.073	1.353	0.96	1.079	0.928	0.958
5.17186	0.563	8.2	0.694	6.196	2.448	1.863	1.251	1.334	0.532	7.555	0.725	4.897	2.713	2.109	1.257	1.89	1.188	1.259	1.344	5.234	2.396	1.481	1.85	0.973	1.466	1.715	1.446	1.684	1.488	1.201	1.37	1.062	0.75	1.681	1.464	1.455	1.138	1.282	1.069	1.147	1.428	1.092	1.068	1.001	1.033
5.33866	0.649	9.211	0.635	6.573	2.704	1.893	1.248	1.187	0.536	8.225	0.723	5.387	3.114	2.051	1.454	2.118	1.219	1.201	1.314	5.56	2.654	1.421	1.819	0.971	1.524	1.743	1.391	1.711	1.63	1.255	1.368	1.289	0.805	1.878	1.493	1.481	1.134	1.364	1.012	1.174	1.54	1.062	1.096	1.062	1.116
5.50517	0.59	10.004	0.632	7.281	2.958	2.003	1.274	1.47	0.419	9.189	0.806	5.583	3.623	2.077	1.48	1.916	1.159	1.255	1.226	5.812	2.907	1.675	1.873	1.082	1.749	1.74	1.758	1.652	1.627	1.167	1.451	1.115	0.86	1.99	1.49	1.564	1.046	1.361	1.123	1.2	1.622	1.116	1.349	1.03	1.113
5.67203	0.64	11.197	0.629	7.719	3.15	2.251	1.5	1.412	0.493	10.182	0.887	6.306	4.209	2.384	1.59	1.994	1.264	1.393	1.336	6.272	3.324	1.7	2.097	1.108	1.798	1.905	1.635	1.704	1.65	1.193	1.419	1.253	0.998	1.957	1.825	1.617	1.187	1.274	1.174	1.168	1.562	1.254	1.315	1.019	1.195
5.83851	0.693	12.531	0.77	8.3	3.967	2.133	1.387	1.555	0.485	10.893	0.772	7.115	4.88	2.523	1.504	2.273	1.259	1.307	1.335	7.357	3.885	1.699	2.153	1.108	1.595	1.874	1.685	1.674	1.818	1.249	1.418	1.393	0.997	2.069	1.792	1.673	1.104	1.331	1.227	1.365	1.645	1.167	1.368	1.04	1.165
6.00528	0.799	13.33	0.702	9.163	4.504	2.326	1.572	1.54	0.485	12.287	1.188	7.58	5.65	2.572	1.72	2.325	1.396	1.438	1.523	7.691	4.566	1.744	2.142	1.152	1.816	2.064	2.08	1.692	2.008	1.294	1.52	1.412	0.957	2.144	2.013	1.776	1.202	1.46	1.276	1.355	1.691	1.356	1.474	1.039	1.268
6.17208	0.785	14.382	0.546	9.853	5.055	2.567	1.559	1.528	0.667	13.112	0.975	8.042	6.399	2.728	1.791	2.168	1.438	1.652	1.509	8.435	5.06	1.845	2.185	1.139	2.0	2.22	1.979	1.792	2.022	1.224	1.677	1.341	1.086	2.357	1.884	1.79	1.19	1.504	1.262	1.398	1.735	1.399	1.46	1.079	1.283
6.33866	0.782	16.308	0.544	10.473	5.819	2.563	1.585	1.696	0.777	15.151	0.944	8.748	7.304	2.981	1.931	2.42	1.378	1.734	1.45	9.197	5.823	1.927	2.268	1.306	2.139	2.388	2.231	1.874	2.275	1.278	1.59	1.509	1.254	2.383	1.967	2.015	1.216	1.7	1.316	1.508	1.902	1.311	1.485	1.104	1.337
6.50527	0.907	18.463	0.611	12.082	6.913	2.747	1.737	1.621	0.507	16.056	1.068	9.589	8.684	3.277	1.8	2.489	1.476	1.66	1.517	9.586	6.719	1.995	2.307	1.317	2.151	2.428	2.244	1.857	2.429	1.288	1.686	1.662	1.009	2.536	2.092	1.884	1.226	1.625	1.327	1.52	1.942	1.35	1.554	1.174	1.433
6.67205	0.785	18.415	0.603	12.863	7.867	2.879	1.672	1.783	0.61	17.315	0.946	10.854	9.409	3.665	1.962	2.792	1.551	1.936	1.509	10.338	8.184	2.185	2.469	1.394	2.312	2.476	2.377	1.849	2.619	1.366	1.791	1.597	1.171	2.726	2.083	2.018	1.36	1.702	1.432	1.568	2.104	1.399	1.573	1.108	1.538
6.83869	0.9	20.228	0.608	13.528	8.654	2.935	1.933	1.732	0.637	18.76	0.95	10.67	10.503	3.779	1.994	2.821	1.608	2.052	1.513	11.254	9.252	2.076	2.331	1.257	2.455	2.705	2.375	1.994	2.507	1.37	1.767	1.741	1.203	2.871	2.283	2.106	1.168	1.736	1.406	1.685	2.05	1.459	1.745	1.248	1.485
7.00531	1.048	21.376	0.67	14.502	10.335	3.282	1.74	1.879	0.814	19.709	1.097	12.438	12.327	3.757	1.914	2.827	1.671	2.313	1.575	12.031	10.395	2.337	2.45	1.291	2.546	2.796	2.353	1.943	2.739	1.375	1.829	1.832	1.209	2.848	2.374	2.169	1.258	1.769	1.639	1.719	2.169	1.493	1.78	1.226	1.434
7.17206	1.012	21.454	0.688	15.22	11.019	3.305	1.786	1.869	0.837	21.661	1.032	12.444	13.697	4.233	2.104	2.963	1.779	2.276	1.538	12.411	11.734	2.413	2.611	1.536	2.682	2.987	2.547	2.104	2.959	1.479	1.933	1.937	1.313	2.954	2.566	2.216	1.275	1.93	1.659	1.909	2.445	1.512	2.113	1.108	1.538
7.33869	1.061	22.616	0.685	15.892	12.466	3.606	1.84	1.923	0.74	22.224	1.112	13.857	14.71	4.506	2.014	3.18	1.939	2.525	1.647	13.42	12.752	2.493	2.663	1.447	2.813	3.036	2.677	2.184	3.177	1.419	2.098	1.818	1.28	2.947	2.557	2.325	1.274	1.926	1.709	1.931	2.41	1.564	1.907	1.125	1.675
7.50534	1.076	22.794	0.67	16.997	13.029	3.878	1.853	2.134	0.899	22.488	1.041	14.678	15.787	4.75	1.999	3.281	1.955	2.852	1.717	13.789	14.677	2.592	2.818	1.546	2.915	3.306	2.892	2.34	3.08	1.517	2.141	2.173	1.407	3.302	2.828	2.367	1.456	2.081	1.724	2.031	2.566	1.578	1.921	1.255	1.746
7.67209	1.127	23.488	0.721	17.78	14.607	3.786	1.99	2.129	0.92	22.729	1.205	15.376	16.569	5.083	2.362	3.558	2.005	3.129	1.57	15.251	14.837	2.841	2.813	1.711	2.965	3.3	3.056	2.278	3.272	1.682	2.192	2.223	1.402	3.268	2.793	2.588	1.338	2.189	1.803	2.025	2.674	1.714	2.086	1.39	1.769
7.83881	1.188	23.826	0.751	18.811	15.29	4.221	2.217	2.044	0.958	23.067	1.122	15.977	17.856	5.348	2.308	3.679	2.154	3.504	1.628	15.149	15.92	2.873	2.815	1.769	3.114	3.59	3.094	2.366	3.363	1.541	2.336	2.17	1.489	3.727	2.913	2.478	1.308	2.361	1.751	2.085	2.621	1.774	2.289	1.285	1.97
8.00536	1.154	24.067	0.83	19.565	15.62	4.469	2.212	2.437	1.036	23.507	1.259	17.102	17.901	5.369	2.246	3.928	2.119	3.412	1.822	16.472	16.959	2.924	2.81	1.735	3.42	3.782	3.427	2.445	3.527	1.536	2.501	2.193	1.569	3.777	3.191	2.813	1.445	2.356	2.0	2.221	2.814	1.938	2.312	1.193	2.106
8.17207	1.294	23.424	0.775	20.154	15.281	4.689	2.185	2.382	1.002	24.903	1.117	17.921	19.142	5.788	2.218	4.065	2.371	3.721	1.681	17.229	17.495	3.15	2.895	1.821	3.387	3.892	3.392	2.586	3.694	1.594	2.642	2.305	1.654	3.86	3.073	2.869	1.505	2.612	2.027	2.305	2.898	1.796	2.423	1.131	2.021
8.33892	1.264	24.684	0.714	19.814	16.665	4.892	1.925	2.69	1.175	25.884	1.228	18.402	19.03	6.132	2.413	4.266	2.343	4.148	1.592	17.516	18.231	3.375	2.977	1.931	3.672	3.921	3.424	2.641	3.638	1.448	2.669	2.559	1.765	4.058	3.244	2.895	1.528	2.637	1.969	2.332	3.01	2.021	2.479	1.246	2.189
8.50547	1.428	27.07	0.903	20.058	17.246	5.173	2.029	2.51	1.199	26.766	1.191	19.413	19.161	6.556	2.32	4.233	2.423	4.682	1.696	18.302	18.758	3.567	3.026	2.093	3.81	4.143	3.619	2.719	4.087	1.552	2.66	2.666	1.699	3.995	3.551	2.916	1.489	2.827	1.734	2.665	3.087	2.041	2.586	1.27	2.323
8.67209	1.551	27.635	0.655	20.276	17.633	5.355	2.151	2.603	1.039	26.791	1.142	19.176	20.631	6.538	2.328	4.215	2.234	4.778	1.648	18.551	19.119	3.661	3.177	2.186	3.991	4.323	3.715	2.756	3.898	1.503	2.925	2.476	1.793	4.431	3.448	3.01	1.468	2.75	1.942	2.532	3.125	1.964	2.766	1.109	2.332
8.83883	1.51	28.796	0.616	19.881	18.519	5.567	2.225	2.848	1.053	28.463	1.33	20.344	21.031	6.78	2.345	4.116	2.278	5.304	1.75	18.864	19.662	3.848	3.108	2.374	4.034	4.623	3.957	2.971	4.339	1.635	3.027	2.663	1.952	4.475	3.69	3.254	1.458	2.995	2.243	2.691	3.084	2.038	2.753	1.295	2.633
9.00543	1.523	29.718	0.745	20.531	19.142	5.889	2.297	2.919	1.292	29.811	1.316	20.339	21.507	7.13	2.587	4.44	2.432	6.139	1.708	19.88	20.68	3.918	3.094	2.246	4.272	4.776	4.166	3.042	4.152	1.65	3.239	2.733	2.08	4.658	3.759	3.296	1.445	2.98	2.171	2.676	3.268	2.165	2.652	1.448	2.618
9.17224	1.504	29.269	0.786	20.577	20.551	6.037	2.253	3.016	1.271	29.559	1.384	20.101	21.295	7.618	2.569	4.674	2.639	6.031	1.777	20.546	21.717	4.155	3.162	2.343	4.449	5.039	4.172	3.222	4.529	1.633	3.42	2.828	1.977	4.61	3.824	3.646	1.601	3.133	2.067	2.884	3.42	2.233	2.86	1.343	2.656
9.33878	1.75	29.809	0.806	21.55	20.985	6.677	2.387	3.121	1.402	29.957	1.29	19.854	21.19	7.861	2.532	4.607	2.657	7.098	1.797	19.815	21.867	4.4	3.408	2.391	4.524	5.029	4.218	3.185	4.519	1.71	3.467	3.045	2.082	4.6	3.814	3.524	1.536	3.181	2.2	2.819	3.411	2.224	2.936	1.418	2.591
9.50548	1.558	30.111	0.727	21.648	21.253	6.543	2.364	3.127	1.239	29.635	1.409	21.059	21.345	8.039	2.708	4.756	2.664	7.616	1.887	20.283	22.448	4.69	3.301	2.567	4.673	5.206	4.339	3.219	4.639	1.772	3.757	3.08	2.173	4.862	4.161	3.785	1.541	3.357	2.234	3.108	3.417	2.315	2.971	1.255	2.824
9.67212	1.674	28.892	0.838	22.284	21.32	6.782	2.504	3.382	1.387	29.98	1.324	21.155	21.955	7.994	2.737	4.819	2.783	8.594	1.915	19.788	21.325	4.979	3.5	2.624	4.908	5.468	4.347	3.477	4.958	1.658	3.874	3.083	2.259	4.724	3.968	3.901	1.453	3.643	2.521	3.168	3.76	2.26	3.003	1.288	2.939
9.83882	1.731	28.077	0.786	23.782	21.77	7.115	2.451	3.555	1.271	30.977	1.412	21.576	21.891	8.582	2.569	4.873	2.639	8.953	1.947	20.546	22.228	5.034	3.502	2.74	5.045	5.635	4.512	3.477	5.012	1.718	3.93	3.31	2.261	4.865	4.164	4.1	1.515	3.701	2.464	3.395	3.732	2.403	3.059	1.485	3.11
10.00553	1.757	30.054	0.954	24.03	21.593	7.11	2.619	3.921	1.579	30.798	1.494	22.391	22.224	8.833	2.822	5.039	2.806	10.537	1.887	21.446	22.533	5.257	3.414	2.935	5.212	5.972	4.651	3.644	5.405	1.858	3.984	3.25	2.428	5.23	4.416	4.125	1.768	3.726	2.404	3.392	3.587	2.343	3.226	1.425	3.022
10.17227	1.798	28.642	0.908	24.797	22.103	7.411	2.573	3.905	1.423	29.699	1.506	23.101	22.735	8.878	2.805	5.167	2.933	11.123	1.87	23.151	22.476	5.64	3.426	2.891	5.312	6.157	4.694	3.572	5.249	1.954	4.252	3.49	2.525	5.13	4.345	4.223	1.523	3.965	2.587	3.575	3.656	2.327	3.125	1.268	3.347
10.33892	1.725	29.23	0.927	25.487	22.799	7.579	2.705	3.976	1.629	29.489	1.72	24.641	22.889	8.905	2.792	6.135	2.942	11.877	1.831	23.663	23.113	5.648	3.469	2.991	5.401	6.445	4.641	3.585	5.228	1.773	4.207	3.473	2.483	5.338	4.551	4.263	1.601	4.007	2.6	3.785	3.783	2.484	3.08	1.391	3.331
10.50557	1.965	29.286	1.047	25.84	22.692	7.633	2.485	4.27	1.505	29.775	1.645	24.739	22.87	9.215	2.887	5.561	2.986	12.537	2.066	24.079	22.923	6.147	3.565	3.228	5.648	6.493	4.747	3.682	5.274	1.809	4.476	3.572	2.834	5.24	4.54	4.532	1.606	4.076	2.783	3.884	3.852	2.352	3.236	1.265	3.343
10.67229	1.93	28.786	0.985	25.059	23.387	7.824	2.707	4.293	1.583	29.587	1.582	25.689	23.309	9.234	2.995	5.326	3.15	13.775	1.947	24.574	23.76	6.424	3.842	3.364	5.981	6.656	5.08	3.733	5.607	1.974	4.725	3.906	2.686	5.546	4.59	4.696	1.601	4.325	2.634	4.047	3.931	2.517	3.229	1.57	3.536
10.83904	1.955	29.94	0.954	25.363	23.664	8.103	2.732	4.545	1.608	30.542	1.636	25.965	23.642	9.571	3.048	5.238	3.061	15.103	1.944	24.934	23.752	6.562	3.754	3.531	6.062	6.709	4.821	3.843	5.405	2.113	4.977	4.016	2.939	5.372	4.614	4.607	1.626	4.492	2.773	4.044	4.013	2.485	3.283	1.425	3.618
11.00557	2.11	30.061	1.22	24.428	24.146	8.376	2.658	4.841	1.508	31.09	1.818	26.024	23.445	9.559	3.06	5.224	3.16	15.607	2.04	25.733	23.867	6.86	3.766	3.799	6.135	6.895	4.864	3.998	5.675	1.982	4.905	3.916	3.093	5.471	4.629	4.904	1.608	4.59	2.814	4.256	3.77	2.611	3.466	1.325	3.801
11.17221	1.977	30.002	1.171	24.393	23.97	8.531	2.808	4.652	1.547	30.578	1.912	25.877	23.637	9.771	3.069	5.434	3.113	16.789	1.907	25.162	24.684	7.127	3.775	3.837	6.317	7.361	5.131	4.178	5.714	2.076	5.0	4.124	3.045	5.339	4.696	5.142	1.701	4.855	2.966	4.38	4.12	2.506	3.249	1.448	3.981
11.33893	2.053	30.515	1.135	23.974	24.203	8.603	2.828	4.983	1.679	29.444	1.903	25.116	24.041	9.957	3.117	5.252	3.16	18.36	2.069	25.308	24.747	7.116	3.596	4.026	6.475	7.462	5.12	4.253	5.788	2.039	5.217	4.114	3.348	5.499	4.685	5.245	1.778	4.902	3.07	4.37	4.252	2.611	3.466	1.495	4.028
11.50568	2.166	31.37	1.11	24.448	24.251	8.705	2.86	5.294	1.817	31.403	2.047	24.367	23.973	9.917	2.977	5.474	3.157	18.871	1.958	24.695	24.679	7.082	3.881	4.167	6.553	7.568	4.972	4.167	5.755	1.872	5.555	4.169	3.433	5.808	4.597	5.384	1.585	4.986	3.04	4.453	3.912	2.754	3.38	1.38	3.913
11.67227	2.101	32.215	1.119	23.94	23.972	8.669	2.842	5.145	1.903	32.596	2.204	24.918	24.239	10.251	3.305	5.62	3.24	20.049	2.168	24.721	24.519	7.514	4.068	4.159	6.734	7.664	5.263	4.245	6.014	2.081	5.639	4.506	3.652	5.694	4.824	5.439	1.675	5.036	3.204	4.705	4.159	2.656	3.516	1.404	4.362
11.83892	2.125	31.699	1.124	24.2	24.599	8.812	3.016	5.849	1.891	33.123	2.147	24.717	24.379	10.251	3.247	5.691	3.401	20.32	2.143	23.658	24.972	7.64	4.01	4.438	7.083	8.042	5.359	4.268	5.83	2.198	5.572	4.356	3.704	5.656	4.926	5.657	1.683	5.059	3.454	4.64	4.24	2.684	3.595	1.396	4.383
