	MG1655-1	12PD3-8_1	12PD4-6_1	12PD6-3_1	12PD7-6_1	metJ-1	relA-1	purT-1	MG1655-2	12PD3-8_2	12PD4-6_2	12PD6-3_2	12PD7-6_2	metJ-2	relA-2	purT-2	MG1655-3	12PD3-8_3	12PD4-6_3	12PD6-3_3	12PD7-6_3	metJ-3	relA-3	purT-3	fabR-1	yfgF-1	metJ_relA-1	metJ_purT-1	relA_purT-1	metJ_acrB-1	fabR_yfgF-1	fabR-2	yfgF-2	metJ_relA-2	metJ_purT-2	relA_purT-2	metJ_acrB-2	fabR_yfgF-2	fabR-3	yfgF-3	metJ_relA-3	metJ_purT-3	relA_purT-3	metJ_acrB-3	fabR_yfgF-3
2.005	1.082	0.272	0.206	0.573	0.367	0.334	0.646	0.389	0.238	0.112	0.247	0.869	0.308	0.409	0.206	0.336	0.259	0.128	0.127	0.316	0.336	0.443	0.387	0.515	0.013	0.239	0.385	0.461	0.251	0.384	0.452	0.326	0.288	0.249	0.334	0.268	0.852	0.423	0.203	0.2	0.377	0.456	0.22	0.403	0.49
2.17177	1.044	0.287	0.134	0.785	0.493	0.29	0.521	0.449	0.097	0.194	0.266	0.998	0.35	0.34	0.143	0.353	0.282	0.23	0.201	0.417	0.268	0.322	0.406	0.618	0.212	0.397	0.292	0.618	0.294	0.371	0.527	0.43	0.312	0.35	0.35	0.255	0.787	0.552	1.851	0.416	0.421	0.613	0.263	0.445	0.449
2.33832	0.957	0.28	0.18	0.891	0.511	0.307	0.599	0.551	0.136	0.175	0.237	1.273	0.369	0.362	0.258	0.434	0.288	0.17	0.171	0.637	0.376	0.519	0.376	0.672	0.169	0.338	0.432	0.5	0.286	0.392	0.412	0.457	0.233	0.403	0.543	0.389	1.068	0.575	0.407	0.359	0.442	0.58	0.368	0.465	0.442
2.50502	0.7	0.418	0.234	1.086	0.593	0.361	0.596	0.629	0.215	0.17	0.289	1.411	0.423	0.331	0.197	0.458	0.311	0.11	0.139	0.662	0.457	0.487	0.457	0.64	0.163	0.419	0.4	0.468	0.283	0.389	0.408	0.312	0.341	0.371	0.314	0.301	1.008	0.544	0.46	0.355	0.439	0.548	0.252	0.462	0.467
2.67166	1.024	0.393	0.25	1.225	0.633	0.294	0.456	0.65	0.232	0.113	0.355	1.493	0.349	0.358	0.22	0.449	0.323	0.157	0.068	0.826	0.339	0.575	0.355	0.652	0.002	0.35	0.38	0.409	0.315	0.393	0.394	0.432	0.296	0.278	0.618	0.276	0.986	0.566	0.297	0.306	0.497	0.489	0.285	0.387	0.554
2.83836	1.053	0.333	0.383	1.447	0.711	0.398	0.537	0.534	0.22	0.154	0.245	1.884	0.455	0.384	0.114	0.364	0.192	0.128	0.238	0.937	0.449	0.411	0.469	0.513	0.274	0.266	0.439	0.407	0.227	0.417	0.563	0.351	0.334	0.39	0.308	0.3	0.849	0.593	0.657	0.253	0.381	0.487	0.309	0.409	0.578
3.00504	0.76	0.506	0.236	1.653	0.793	0.392	0.599	0.946	0.334	0.175	0.293	2.063	0.51	0.447	0.258	0.349	0.457	0.198	0.171	1.003	0.658	0.491	0.489	0.672	0.31	0.338	0.432	0.556	0.314	0.307	0.496	0.373	0.346	0.459	0.571	0.304	1.012	0.632	0.294	0.415	0.527	0.636	0.34	0.549	0.527
3.17182	1.081	0.487	0.244	2.029	0.886	0.371	0.524	0.881	0.181	0.247	0.389	2.299	0.462	0.428	0.271	0.388	0.302	0.265	0.238	1.324	0.752	0.531	0.444	0.683	0.103	0.377	0.613	0.566	0.323	0.401	0.564	0.384	0.36	0.498	0.637	0.314	0.996	0.642	0.641	0.342	0.451	0.59	0.349	0.53	0.48
3.33851	1.018	0.449	0.202	2.247	1.185	0.386	0.57	0.638	0.272	0.222	0.186	2.517	0.592	0.391	0.326	0.409	0.359	0.116	0.119	1.457	0.66	0.725	0.523	0.706	0.139	0.314	0.523	0.529	0.483	0.503	0.529	0.464	0.219	0.35	0.516	0.388	1.019	0.606	0.236	0.365	0.554	0.751	0.367	0.49	0.639
3.50514	1.075	0.42	0.259	2.417	1.157	0.471	0.486	0.638	0.131	0.222	0.271	2.771	0.676	0.447	0.241	0.606	0.416	0.144	0.204	1.627	0.745	0.584	0.467	0.706	0.478	0.371	0.692	0.586	0.426	0.447	0.501	0.408	0.361	0.519	0.601	0.304	0.793	0.662	0.32	0.281	0.441	0.694	0.141	0.405	0.498
3.67174	1.217	0.445	0.194	2.954	1.377	0.52	0.765	0.775	0.176	0.236	0.188	3.167	0.755	0.472	0.277	0.437	0.398	0.229	0.149	1.994	0.8	0.616	0.497	0.736	0.357	0.428	0.413	0.612	0.281	0.443	0.615	0.496	0.343	0.463	0.713	0.413	0.966	0.633	0.683	0.397	0.409	0.805	0.306	0.597	0.664
3.83845	0.963	0.583	0.158	3.068	1.57	0.597	0.621	0.942	0.363	0.307	0.389	3.281	0.948	0.498	0.284	0.521	0.408	0.2	0.179	2.334	0.885	0.819	0.528	0.907	0.15	0.542	0.529	0.554	0.475	0.41	0.674	0.329	0.353	0.321	0.542	0.381	1.026	0.716	0.396	0.371	0.434	0.719	0.244	0.62	0.689
4.00515	1.354	0.601	0.315	3.628	1.957	0.697	0.781	1.322	0.256	0.168	0.27	3.615	0.966	0.546	0.254	0.685	0.522	0.363	0.201	2.555	0.849	0.843	0.466	0.788	0.243	0.394	0.524	0.573	0.408	0.513	0.611	0.495	0.411	0.398	0.647	0.456	0.965	0.68	0.328	0.395	0.594	0.767	0.347	0.552	0.622
4.17189	1.225	0.721	0.258	3.755	2.075	0.584	0.646	0.912	0.375	0.113	0.284	3.969	1.111	0.553	0.217	0.439	0.32	0.146	0.071	2.709	1.143	0.974	0.451	0.887	0.339	0.605	0.595	0.61	0.413	0.546	0.652	0.482	0.293	0.38	0.713	0.434	1.151	0.775	0.617	0.495	0.487	0.889	0.295	0.726	0.77
4.33848	1.243	0.665	0.297	3.971	2.446	0.623	0.674	0.992	0.357	0.188	0.243	4.156	1.2	0.608	0.194	0.631	0.517	0.339	0.231	3.068	1.391	0.985	0.467	0.904	0.399	0.539	0.496	0.635	0.557	0.549	0.67	0.524	0.462	0.487	0.878	0.378	1.079	0.741	0.648	0.424	0.516	0.829	0.355	0.589	0.686
4.50523	1.226	0.731	0.22	4.237	2.739	0.687	0.627	1.182	0.318	0.317	0.311	4.961	1.408	0.589	0.321	0.557	0.531	0.094	0.186	3.334	1.345	1.054	0.592	1.0	0.389	0.635	0.707	0.73	0.566	0.473	0.681	0.422	0.448	0.384	0.889	0.387	1.12	0.808	0.629	0.436	0.497	0.924	0.421	0.711	0.638
4.67197	1.141	0.816	0.333	4.861	3.249	0.772	0.684	1.125	0.318	0.374	0.141	5.188	1.578	0.675	0.406	0.642	0.446	0.349	0.271	3.731	1.686	1.082	0.535	1.085	0.588	0.465	0.678	0.73	0.481	0.586	0.766	0.564	0.476	0.64	0.832	0.444	1.034	0.922	0.714	0.294	0.525	1.009	0.364	0.626	0.808
4.8385	1.111	0.863	0.286	5.376	3.725	0.669	0.731	1.111	0.461	0.284	0.142	5.675	1.709	0.723	0.302	0.61	0.519	0.232	0.299	3.989	1.74	1.23	0.536	0.972	0.509	0.577	0.567	0.695	0.441	0.717	0.823	0.624	0.521	0.608	0.94	0.405	1.18	0.888	1.3	0.495	0.572	0.974	0.38	0.754	0.856
5.00531	1.384	1.024	0.278	5.989	4.454	0.747	0.636	1.006	0.529	0.296	0.272	6.004	2.069	0.827	0.374	0.599	0.675	0.221	0.231	4.489	2.127	1.274	0.525	1.074	0.661	0.651	0.669	0.713	0.517	0.679	0.953	0.612	0.62	0.597	0.958	0.481	1.338	0.878	0.665	0.597	0.648	1.191	0.371	0.831	0.761
5.17192	1.343	1.103	0.336	6.085	5.266	0.803	0.715	0.649	0.38	0.323	0.344	6.752	2.432	0.791	0.297	0.674	0.678	0.211	0.331	4.473	2.171	1.398	0.483	1.117	0.395	0.553	0.597	0.762	0.569	0.674	0.77	0.625	0.453	0.728	1.147	0.56	1.18	0.982	0.915	0.44	0.613	1.324	0.452	0.799	0.783
5.33853	1.286	1.037	0.26	6.86	6.09	0.871	0.677	1.061	0.466	0.317	0.145	6.988	2.594	0.954	0.392	0.784	0.666	0.235	0.331	5.103	2.768	1.576	0.597	1.004	0.572	0.694	0.77	0.727	0.615	0.692	0.912	0.685	0.554	0.611	1.2	0.579	1.241	1.119	0.591	0.584	0.66	1.319	0.412	0.757	0.944
5.50524	1.373	1.242	0.328	7.454	6.858	0.995	0.826	1.242	0.54	0.365	0.204	7.952	3.082	0.903	0.446	0.702	0.888	0.324	0.191	5.67	2.855	1.631	0.627	1.12	0.529	0.753	0.657	0.703	0.593	0.784	1.084	0.6	0.662	0.587	1.175	0.5	1.156	0.953	2.417	0.5	0.61	1.409	0.391	0.737	0.894
5.67206	1.407	1.393	0.255	7.995	8.225	0.808	0.863	1.031	0.59	0.305	0.096	8.549	3.46	0.996	0.561	0.738	0.688	0.303	0.254	5.928	3.484	1.747	0.689	1.182	0.578	0.788	0.775	0.825	0.66	0.709	1.118	0.661	0.803	0.48	1.24	0.453	1.359	1.244	0.638	0.476	0.762	1.416	0.43	0.72	0.96
5.8386	1.337	1.597	0.389	8.624	9.56	0.944	0.839	1.158	0.587	0.435	0.225	9.265	3.753	1.031	0.647	0.891	0.639	0.256	0.069	6.723	3.874	1.858	0.677	1.198	0.609	0.802	0.623	0.718	0.633	0.852	1.048	0.652	0.84	0.49	1.392	0.541	1.436	1.226	0.78	0.608	0.679	1.625	0.487	0.917	1.106
6.00525	1.51	1.723	0.333	9.087	10.764	1.056	0.854	1.267	0.573	0.289	0.0	9.499	4.556	1.128	0.576	1.011	0.673	0.349	0.186	7.021	4.72	2.046	0.649	1.255	0.729	0.72	0.763	0.844	0.708	0.926	1.106	0.706	0.873	0.583	1.654	0.557	1.29	1.234	2.16	0.606	0.61	1.746	0.534	0.966	1.12
6.17199	1.407	1.755	0.294	9.715	11.847	1.104	0.911	1.644	0.592	0.3	0.125	10.128	4.877	0.961	0.487	1.048	0.932	0.328	0.31	7.673	5.395	2.011	0.662	1.354	0.67	0.844	0.664	0.819	0.849	0.755	1.175	0.892	0.792	0.562	1.549	0.585	1.533	1.383	1.366	0.592	0.638	1.696	0.475	0.934	1.036
6.33864	1.473	1.909	0.452	10.23	12.959	1.204	0.895	1.468	0.677	0.529	0.276	10.785	5.399	1.285	0.521	0.944	0.822	0.253	0.206	8.303	6.055	2.16	0.642	1.448	0.668	0.854	0.673	0.944	0.776	0.967	1.242	0.872	0.881	0.629	1.616	0.513	1.428	1.308	0.696	0.572	0.651	1.934	0.488	0.976	1.162
6.50528	1.714	2.35	0.328	11.261	14.586	1.279	0.826	1.355	0.739	0.337	0.261	12.242	6.265	1.357	0.617	1.015	0.888	0.296	0.305	8.738	7.287	2.256	0.712	1.347	0.643	0.924	0.799	0.846	0.821	1.068	1.311	0.742	0.946	0.615	1.857	0.585	1.468	1.464	0.656	0.67	0.638	2.005	0.476	1.049	1.234
6.67208	1.697	2.701	0.421	12.13	15.314	1.258	0.977	1.518	0.728	0.467	0.272	12.287	7.215	1.282	0.716	1.111	0.931	0.306	0.316	9.805	8.211	2.44	0.61	1.615	0.832	0.935	0.811	0.856	0.773	1.049	1.351	0.783	0.847	0.626	2.01	0.566	1.509	1.56	0.608	0.597	0.619	2.101	0.4	0.973	1.273
6.83874	1.674	2.851	0.32	12.438	16.074	1.441	0.986	1.392	0.863	0.52	0.164	13.134	7.843	1.432	0.603	1.032	0.986	0.228	0.208	10.2	9.26	2.726	0.672	1.506	0.88	0.969	0.901	0.921	0.84	1.115	1.47	0.985	0.988	0.689	2.017	0.661	1.655	1.681	0.76	0.743	0.686	2.25	0.382	1.069	1.395
7.00533	1.865	3.127	0.4	13.818	16.403	1.521	1.008	1.691	0.852	0.395	0.27	14.315	8.26	1.397	0.651	1.167	1.09	0.278	0.201	10.927	11.208	2.915	0.778	1.725	0.868	0.99	0.864	1.027	0.919	1.052	1.633	0.835	1.177	0.739	2.009	0.655	1.533	1.844	0.726	0.707	0.708	2.356	0.433	1.205	1.474
7.17209	1.822	3.509	0.371	14.451	16.725	1.636	0.93	1.567	0.916	0.483	0.227	14.977	9.446	1.548	0.701	1.236	1.116	0.26	0.128	12.239	11.753	3.022	0.878	1.626	0.765	1.089	0.937	0.894	0.839	1.144	1.676	0.88	1.061	0.693	2.363	0.661	1.692	1.827	0.759	0.666	0.828	2.396	0.551	1.152	1.538
7.33875	1.935	4.077	0.418	14.503	17.457	1.68	0.939	1.55	0.857	0.488	0.34	14.575	10.114	1.752	0.746	1.237	1.212	0.349	0.271	12.324	12.944	3.436	0.762	1.709	1.013	1.23	0.877	1.014	0.991	1.352	1.815	0.989	0.987	0.64	2.42	0.699	1.772	1.914	0.827	0.691	0.781	2.682	0.364	1.221	1.574
7.50546	1.958	4.497	0.49	15.59	17.466	1.867	0.986	1.562	1.062	0.52	0.249	16.002	11.619	1.801	0.688	1.373	1.185	0.37	0.293	13.749	14.541	3.521	0.786	1.988	0.795	1.253	0.872	1.034	0.982	1.286	1.896	0.985	1.159	0.689	2.585	0.576	1.882	2.107	0.817	0.743	0.714	2.789	0.382	1.324	1.651
7.67212	1.941	4.765	0.413	15.523	18.28	2.046	1.024	1.611	1.08	0.621	0.261	17.157	12.146	1.812	0.702	1.441	1.086	0.466	0.276	13.995	15.668	3.535	0.769	1.915	0.87	1.151	0.884	1.044	0.991	1.409	2.107	0.912	1.003	0.785	2.539	0.671	1.923	2.203	1.195	0.812	0.61	3.028	0.391	1.39	1.689
7.8388	2.036	5.228	0.4	16.514	19.156	1.975	1.065	1.776	1.192	0.481	0.27	17.38	12.829	1.88	0.821	1.479	1.26	0.534	0.116	14.475	15.948	3.767	0.92	2.065	0.868	1.302	1.035	1.198	1.004	1.45	2.143	1.006	1.092	0.824	2.776	0.74	1.732	2.213	1.18	0.906	0.85	2.839	0.376	1.29	1.985
8.00537	2.071	5.719	0.423	16.344	20.04	2.143	1.208	2.008	1.188	0.529	0.219	18.52	13.475	1.996	0.805	1.513	1.362	0.509	0.291	15.185	16.149	4.179	0.87	2.102	1.151	1.195	0.985	1.115	1.117	1.422	2.379	1.042	1.307	0.715	2.896	0.769	2.025	2.502	0.867	0.857	0.907	3.185	0.488	1.317	2.015
8.17213	2.149	6.022	0.485	17.365	20.746	2.23	1.15	2.003	1.192	0.708	0.242	18.147	14.135	2.135	0.878	1.621	1.345	0.392	0.172	14.958	17.026	4.476	0.778	2.151	0.953	1.331	1.035	1.198	1.004	1.648	2.399	0.977	1.177	0.682	2.946	0.655	2.044	2.468	0.811	0.821	0.708	3.264	0.461	1.489	1.928
8.33869	2.072	6.968	0.348	17.833	21.043	2.264	1.157	2.045	1.46	0.718	0.278	18.955	14.6	2.312	0.774	1.543	1.412	0.541	0.18	16.361	16.983	4.656	0.871	2.357	1.306	1.481	1.128	1.205	1.095	1.712	2.606	1.099	1.414	0.775	3.266	0.661	2.081	2.618	0.902	0.829	0.856	3.528	0.467	1.41	2.162
8.5055	2.178	7.523	0.467	17.886	21.86	2.465	1.128	2.04	1.321	0.727	0.3	20.027	15.088	2.422	0.846	1.623	1.395	0.509	0.231	16.558	17.517	4.669	0.892	2.236	1.164	1.389	1.007	1.23	1.123	1.767	2.625	1.232	1.369	0.884	3.316	0.718	2.213	2.839	1.045	0.849	0.771	3.634	0.582	1.609	2.074
8.67224	2.199	8.137	0.49	18.27	22.724	2.714	1.121	2.111	1.422	0.829	0.236	19.531	15.671	2.443	0.809	1.786	1.442	0.53	0.167	17.905	18.297	5.027	0.913	2.369	0.954	1.466	0.999	1.394	1.202	1.676	2.73	1.111	1.217	0.735	3.506	0.768	2.176	3.001	0.953	1.011	0.935	3.542	0.434	1.688	2.209
8.83878	2.384	9.324	0.49	18.741	23.144	2.775	1.242	2.244	1.403	1.031	0.335	20.403	16.588	2.852	1.029	1.913	1.526	0.569	0.293	18.519	19.056	5.679	0.842	2.528	1.363	1.594	1.071	1.29	1.095	1.995	3.174	1.184	1.357	0.775	3.777	0.803	2.223	3.044	1.073	1.056	0.771	4.01	0.467	1.722	2.417
9.00552	2.292	10.187	0.552	18.85	23.021	2.918	1.213	2.352	1.406	0.897	0.3	20.905	17.326	2.592	1.073	1.935	1.65	0.622	0.175	18.202	19.274	5.718	0.892	2.491	1.164	1.389	1.092	1.315	1.038	1.966	2.88	1.204	1.312	0.912	3.769	0.831	2.269	3.292	1.158	1.019	0.686	4.06	0.44	1.609	2.556
9.17221	2.256	10.97	0.462	20.168	23.29	2.941	1.206	2.225	1.564	1.141	0.207	21.599	18.475	3.038	1.007	1.871	1.697	0.7	0.082	18.528	20.365	5.962	0.998	2.596	1.294	1.58	0.999	1.252	1.202	2.016	3.212	1.281	1.358	0.735	3.931	0.825	2.289	3.284	1.463	0.87	0.935	3.74	0.491	1.773	2.634
9.33889	2.412	12.76	0.405	20.871	23.883	3.145	1.27	2.187	1.573	1.286	0.249	22.391	19.882	3.022	0.944	2.055	1.668	0.711	0.265	19.428	21.072	5.963	0.956	2.641	1.391	1.622	1.156	1.261	1.266	2.166	3.486	1.355	1.357	0.775	3.976	0.888	2.478	3.583	1.413	1.056	0.941	4.039	0.467	1.836	2.9
9.5055	2.551	13.084	0.555	22.003	23.879	3.375	1.301	2.189	1.497	1.441	0.247	23.18	20.167	3.163	0.936	2.137	1.542	0.796	0.349	20.675	21.918	6.346	0.981	2.665	1.256	1.761	1.124	1.347	1.41	2.139	3.622	1.321	1.544	0.718	4.198	0.835	2.614	3.778	1.331	0.938	0.774	4.064	0.443	1.782	3.042
9.67226	2.503	14.528	0.542	22.447	24.04	3.331	1.313	2.466	1.581	1.47	0.228	24.841	21.549	3.314	0.998	2.175	1.771	0.778	0.217	21.091	22.757	6.518	1.047	2.899	1.451	1.628	1.104	1.302	1.309	2.377	3.742	1.357	1.49	0.87	4.263	0.932	2.507	3.871	1.315	1.003	0.9	4.157	0.513	1.795	2.882
9.8389	2.672	15.265	0.521	24.457	24.856	3.772	1.33	2.563	1.806	1.746	0.338	25.579	22.388	3.367	1.147	2.172	1.872	0.97	0.269	22.332	23.408	6.649	1.045	2.901	1.539	1.768	1.132	1.378	1.411	2.396	3.916	1.501	1.675	0.92	4.321	0.948	2.653	3.985	1.246	1.145	0.945	4.27	0.612	2.066	3.074
10.00557	2.23	16.716	0.511	24.964	24.115	3.646	1.402	2.479	1.697	1.639	0.323	26.284	22.5	3.408	1.271	2.156	1.652	0.984	0.367	22.301	23.915	6.656	1.029	3.026	1.883	1.923	1.286	1.592	1.256	2.496	4.126	1.314	1.541	0.849	4.389	0.964	2.721	4.337	1.148	1.072	0.847	4.254	0.515	2.053	3.088
10.17223	2.62	16.998	0.573	25.174	24.246	3.957	1.373	2.388	1.955	1.928	0.317	27.086	23.369	3.686	1.087	2.292	1.805	1.206	0.334	23.761	24.407	7.033	1.164	2.988	1.571	1.916	1.164	1.418	1.567	2.607	4.114	1.475	1.608	0.873	4.579	0.992	2.965	4.3	1.715	1.177	0.903	4.387	0.601	2.167	3.056
10.33902	2.62	18.263	0.591	26.451	24.469	3.923	1.396	3.316	1.628	2.138	0.23	27.316	23.336	3.713	1.006	2.347	1.926	1.147	0.19	24.781	24.579	7.128	0.993	3.018	1.501	1.745	1.108	1.499	1.391	2.66	4.315	1.504	1.417	0.927	4.636	0.958	2.825	4.329	1.142	1.234	0.869	4.444	0.537	2.075	3.336
10.50566	2.822	20.135	0.441	26.717	24.445	4.205	1.422	2.435	1.761	2.212	0.176	27.868	24.022	3.829	1.157	2.293	1.939	1.432	0.276	25.899	24.788	7.2	1.025	3.165	1.637	1.805	1.253	1.471	1.531	2.687	4.522	1.68	1.6	0.927	4.727	1.068	3.088	4.277	1.338	1.068	0.979	4.449	0.561	2.157	3.422
10.67228	2.753	18.325	0.49	26.976	24.081	4.138	1.526	2.755	1.829	2.507	0.193	27.104	24.254	4.044	1.058	2.424	2.037	1.421	0.265	26.498	24.877	7.553	1.013	3.209	1.874	1.935	1.326	1.545	1.663	2.932	4.593	1.582	1.556	0.917	4.828	1.03	3.018	4.605	1.328	1.084	0.97	4.55	0.552	2.375	3.44
10.83891	2.628	20.149	0.568	26.695	24.371	4.27	1.346	2.706	1.924	2.774	0.096	27.249	24.401	4.146	1.271	2.355	1.993	1.466	0.282	27.068	24.937	7.508	1.029	3.111	1.684	1.866	1.229	1.535	1.597	2.894	4.665	1.484	1.569	0.821	5.07	1.049	3.004	4.678	1.262	1.299	0.932	4.765	0.543	2.28	3.485
11.00556	2.745	19.646	0.655	25.908	25.003	4.529	1.406	2.656	1.93	3.234	0.327	25.952	24.92	4.15	1.19	2.416	1.941	1.669	0.258	28.297	24.917	7.513	1.005	3.201	1.804	2.097	1.233	1.623	1.912	2.982	4.925	1.659	1.631	0.938	5.245	1.279	3.236	5.023	1.464	1.303	1.02	4.769	0.546	2.397	3.688
11.17231	2.83	20.071	0.513	25.965	25.088	4.557	1.321	2.571	2.072	3.376	0.1	25.724	25.005	4.15	1.219	2.444	1.828	1.924	0.371	28.212	25.229	7.627	1.033	3.371	1.889	2.097	1.233	1.623	1.742	3.011	5.18	1.772	1.716	0.909	5.16	1.194	3.406	5.023	2.656	1.161	1.049	4.769	0.603	2.283	3.688
11.33899	2.774	20.22	0.552	25.567	24.864	4.505	1.553	3.117	2.058	3.334	0.243	25.978	25.829	4.491	1.243	2.728	2.075	2.237	0.231	27.356	24.943	8.098	1.091	3.426	1.986	2.069	1.29	1.571	1.974	3.213	5.063	1.714	1.709	0.912	5.186	1.257	3.233	5.134	1.47	1.303	0.941	4.881	0.525	2.431	3.747
11.50568	2.871	21.239	0.542	25.166	25.881	4.747	1.483	3.372	2.034	3.82	0.285	25.86	25.4	4.616	1.224	2.656	2.111	2.25	0.302	26.273	25.05	7.991	1.132	3.494	1.961	2.166	1.415	1.755	1.96	3.482	5.271	1.726	1.858	0.955	5.112	1.102	3.47	5.032	1.457	1.343	1.013	4.893	0.598	2.503	3.788
11.67233	2.85	21.783	0.612	25.098	25.496	4.66	1.621	3.06	2.102	4.201	0.346	26.249	26.011	4.539	1.384	2.691	2.138	2.398	0.219	26.325	25.328	7.91	1.11	3.506	1.978	2.146	1.396	1.726	2.099	3.54	5.459	1.878	1.912	1.041	5.323	1.324	3.542	5.612	1.423	1.238	1.036	4.932	0.647	2.64	3.962
