	MG1655-1	IBUA2-9_1	IBUA5-6_1	IBUA7-9_1	IBUA8-3_1	pykF-1	rpoS-1	yobF-1	MG1655-2	IBUA2-9_2	IBUA5-6_2	IBUA7-9_2	IBUA8-3_2	pykF-2	rpoS-2	yobF-2	MG1655-3	IBUA2-9_3	IBUA5-6_1dup	IBUA7-9_3	IBUA8-3_3	pykF-3	rpoS-3	yobF-3	pykF_rpoS-1	pykF_yobF-1	pykF_rpoS_yobF-1	pykF_rpoS-2	pykF_yobF-2	pykF_rpoS_yobF-2	pykF_rpoS-3	pykF_yobF-3	pykF_rpoS_yobF-3
16.17275	0.685	0.227	0.601	15.551	7.834	1.612	3.041	0.958	4.973	0.679	1.567	14.463	9.18	0.592	2.712	0.851	0.6	0.338	0.72	15.715	11.405	2.844	0.986	1.175	5.959	1.028	5.392	5.466	1.527	5.272	2.839	1.209	2.113
16.33965	0.649	0.225	0.766	15.849	7.821	1.824	3.008	0.956	4.778	0.566	1.783	14.842	9.517	0.672	2.564	0.979	0.391	0.22	0.717	16.145	11.818	2.996	1.061	1.182	6.124	1.12	5.565	5.967	1.52	5.31	2.806	1.177	2.105
16.50616	0.71	0.203	0.689	16.379	8.485	1.584	3.178	1.016	4.87	0.599	1.788	16.084	10.647	0.759	2.517	0.903	0.564	0.336	0.777	16.157	11.855	2.921	0.958	1.109	6.407	1.073	5.655	6.14	1.608	5.482	2.894	1.292	2.276
16.67287	0.802	0.293	0.587	17.517	8.934	1.894	3.433	1.024	4.859	0.662	2.18	16.703	10.633	0.822	2.855	1.105	0.576	0.236	0.785	17.597	13.265	3.26	0.994	1.231	6.833	1.25	5.914	6.18	1.782	5.604	2.985	1.438	2.504
16.83957	0.769	0.185	0.59	17.352	9.769	1.808	3.321	1.078	4.888	0.633	2.152	16.728	10.862	0.904	2.711	0.989	0.645	0.449	0.921	17.974	13.133	3.06	1.1	1.324	7.165	1.209	6.445	6.219	1.805	6.027	3.064	1.489	2.254
17.00622	0.874	0.23	0.661	17.801	10.372	1.721	3.287	1.207	4.952	0.736	2.308	17.697	11.659	0.896	2.681	1.149	0.618	0.5	0.968	17.497	14.453	3.085	1.122	1.437	7.31	1.32	6.64	6.961	1.909	5.892	3.332	1.538	2.44
17.17292	0.731	0.28	0.684	18.583	10.855	1.906	3.445	1.12	4.86	0.593	2.713	16.674	13.099	1.0	2.838	1.143	0.665	0.466	1.017	17.594	15.837	3.215	1.143	1.346	7.764	1.393	6.576	7.28	1.766	5.829	3.243	1.532	2.433
17.33946	0.803	0.299	0.731	19.057	10.679	1.979	3.573	1.248	5.008	0.639	2.649	18.16	13.303	0.992	2.991	1.16	0.68	0.374	1.337	18.15	15.93	3.232	1.215	1.415	7.831	1.436	6.946	7.621	2.221	6.281	3.535	1.687	2.724
17.50627	0.95	0.204	0.665	18.891	11.94	2.099	3.503	1.152	4.954	0.734	3.153	18.048	14.452	0.951	2.946	1.143	0.823	0.44	1.322	18.311	16.775	3.432	1.254	1.475	8.132	1.415	7.114	7.735	2.041	6.56	3.546	1.726	2.954
17.67279	0.848	0.291	0.642	19.749	12.878	2.106	3.7	1.103	4.965	0.713	3.378	18.988	15.145	1.12	2.953	1.204	0.886	0.282	1.519	19.579	16.732	3.466	1.26	1.484	8.498	1.341	7.451	7.963	2.293	6.842	3.607	1.869	2.879
17.83956	0.973	0.38	0.756	19.719	12.693	1.983	3.905	1.221	4.951	0.75	3.691	19.096	15.488	1.156	2.945	1.331	0.885	0.27	1.64	19.443	18.395	3.432	1.22	1.404	8.732	1.477	7.894	8.598	2.336	6.871	3.813	1.937	3.058
18.00624	0.881	0.318	0.776	19.454	13.828	2.001	3.868	1.213	5.045	0.741	3.928	18.667	16.046	1.394	3.18	1.32	0.873	0.397	1.795	19.643	19.389	3.995	1.32	1.637	9.263	1.574	7.989	9.186	2.435	7.269	4.022	2.009	3.13
18.17291	0.851	0.267	0.754	20.656	14.467	2.218	3.867	1.27	4.997	0.797	4.337	19.623	16.461	1.232	3.121	1.508	0.754	0.449	2.123	19.749	20.671	3.607	1.427	1.652	9.705	1.755	8.521	9.388	2.651	7.912	4.02	2.118	3.428
18.33957	0.786	0.389	0.739	20.36	15.503	2.234	4.129	1.311	5.16	0.757	4.654	19.654	17.337	1.164	3.084	1.525	0.938	0.411	2.22	19.426	20.184	3.816	1.444	1.702	10.061	1.803	8.845	9.576	2.805	7.852	4.255	2.243	3.308
18.50632	0.868	0.444	0.766	21.754	16.023	2.316	4.047	1.475	5.16	0.839	5.146	20.666	18.43	1.465	3.193	1.58	0.774	0.384	2.603	20.273	21.469	4.035	1.553	1.784	10.389	2.022	8.955	10.506	2.887	8.481	4.692	2.38	3.527
18.67299	0.665	0.375	0.696	20.802	16.87	2.223	3.898	1.407	5.105	0.744	5.437	19.686	19.719	1.397	3.211	1.488	0.849	0.482	3.029	20.552	22.159	3.999	1.624	1.943	10.992	1.989	9.28	10.614	3.232	8.587	4.627	2.505	3.654
18.83957	0.891	0.736	0.865	21.553	17.675	2.366	4.151	1.632	5.116	0.832	6.292	20.328	20.388	1.567	3.301	1.604	0.967	0.517	3.227	21.88	24.5	3.596	1.63	1.815	10.949	2.079	9.537	11.281	3.102	8.76	4.689	2.594	3.578
19.00628	0.881	0.537	0.748	22.628	18.424	2.521	4.306	1.705	5.209	0.905	6.555	21.075	21.737	1.586	3.7	1.676	1.01	0.507	3.628	21.449	23.657	4.078	1.867	1.966	11.725	2.285	10.26	11.676	3.338	9.157	5.253	2.639	3.896
19.173	0.99	0.564	0.748	22.026	19.601	2.603	4.415	1.705	5.1	0.823	7.102	21.184	22.394	1.558	3.427	1.786	0.873	0.479	3.82	22.379	24.369	4.078	1.867	2.048	12.382	2.368	10.698	12.332	3.557	9.567	5.253	2.584	3.814
19.33978	0.94	0.551	0.739	22.774	19.374	2.772	4.585	1.58	5.184	0.971	8.0	21.522	22.539	1.706	3.645	1.869	1.138	0.43	4.342	22.248	25.215	4.185	1.926	2.144	12.781	2.548	10.784	13.232	3.695	9.958	5.61	2.863	4.226
19.50627	1.042	0.567	0.863	22.978	21.076	2.737	4.523	1.679	5.216	1.016	7.996	21.289	23.207	1.751	3.558	2.082	1.0	0.531	4.609	23.245	27.444	4.481	1.974	2.171	13.173	2.738	11.361	13.239	3.853	10.315	5.768	3.019	4.166
19.67311	0.971	0.669	0.886	22.536	22.874	2.694	4.725	1.642	5.255	1.032	9.062	22.266	24.426	1.768	3.674	2.008	1.028	0.679	5.216	23.235	28.078	4.431	2.067	2.303	13.555	2.872	11.455	13.764	4.106	10.74	6.212	3.302	4.446
19.8397	1.049	0.627	0.868	22.8	21.69	2.826	4.912	1.986	5.336	1.022	9.89	22.996	26.336	1.975	3.811	2.144	1.172	0.62	5.381	23.423	28.58	4.324	2.144	2.371	14.388	3.102	12.465	14.343	4.653	10.844	6.486	3.326	4.419
20.0063	1.088	0.495	1.014	23.367	23.324	3.056	4.788	1.955	5.208	1.019	10.144	21.872	27.451	2.053	3.867	2.149	1.106	0.469	5.98	23.625	28.021	4.269	2.264	2.321	14.933	3.054	12.63	15.096	4.707	11.891	6.785	3.418	4.559
20.17305	0.999	0.653	0.928	23.272	23.202	2.805	4.781	1.976	5.279	1.067	10.814	22.755	26.702	2.292	3.968	2.223	1.206	0.544	6.733	22.85	29.444	4.587	2.366	2.393	16.006	3.263	12.701	15.491	4.727	11.881	7.158	3.466	4.851
20.33975	1.053	0.756	0.948	23.245	24.806	2.995	5.08	2.245	5.376	1.118	11.802	23.0	28.694	2.234	3.753	2.524	1.076	0.571	7.2	22.933	29.727	4.4	2.393	2.675	15.326	3.652	13.724	16.302	5.165	12.114	7.434	3.928	4.88
20.50646	1.013	0.718	1.019	22.919	26.055	3.226	4.822	2.151	5.436	1.242	13.115	24.467	28.39	2.304	4.337	2.564	0.978	0.53	7.401	22.824	26.324	5.2	2.461	2.901	16.767	3.716	13.946	17.282	5.123	12.636	7.934	4.077	5.219
20.67314	1.084	0.71	0.93	23.577	27.038	3.134	4.975	2.305	5.502	1.315	13.236	22.3	29.806	2.43	4.135	2.553	1.21	0.765	8.367	22.531	25.948	5.026	2.831	2.724	17.887	3.946	14.662	17.697	5.682	13.353	8.248	4.42	5.289
20.83974	1.2	0.883	1.024	23.428	26.668	3.277	4.955	2.369	5.659	1.297	14.752	22.043	28.753	2.385	4.302	2.694	1.185	0.935	8.829	23.548	25.415	4.839	2.593	2.832	18.387	4.136	15.467	18.987	5.848	13.807	8.224	4.398	5.511
21.00647	1.251	0.761	1.143	24.483	27.813	3.545	5.413	2.523	5.387	1.423	15.648	23.232	29.716	2.839	4.278	2.858	1.221	0.822	9.602	23.41	27.594	4.898	2.972	2.956	18.17	4.614	15.613	18.79	6.37	14.356	8.802	4.724	5.704
21.17316	1.081	0.734	1.009	24.331	28.307	3.647	5.379	2.547	5.605	1.42	16.408	23.298	25.018	2.835	4.321	2.902	1.423	0.68	10.128	24.697	28.032	5.239	3.018	3.045	18.613	4.675	16.312	19.999	6.492	15.384	9.168	4.742	6.046
21.33977	1.101	0.702	1.086	24.996	26.745	3.749	5.616	2.812	5.485	1.469	17.645	23.42	24.678	3.046	4.232	3.139	1.198	0.836	11.014	23.65	29.563	5.068	3.092	3.199	19.956	4.882	17.277	19.985	6.728	15.589	9.865	5.169	6.201
21.50648	1.251	0.772	1.184	24.859	26.037	3.952	5.521	2.854	5.572	1.538	17.839	23.663	26.06	2.979	4.516	3.205	1.425	0.931	11.185	23.785	29.883	5.215	3.322	3.261	19.871	5.351	17.414	20.635	7.336	16.595	10.092	5.371	6.511
21.67322	1.298	0.756	1.22	23.707	23.854	4.001	5.488	2.952	5.648	1.58	19.826	23.762	28.938	3.295	4.569	3.422	1.457	0.979	12.232	24.32	29.401	5.189	3.373	3.436	20.549	5.692	18.321	21.442	7.559	17.118	10.861	5.805	6.92
21.83991	1.38	0.919	1.274	24.224	24.725	4.273	5.977	3.033	5.621	1.662	20.805	23.408	27.823	3.431	4.76	3.449	1.539	0.897	12.721	23.586	29.51	5.407	3.808	3.735	21.528	5.991	18.729	22.095	7.722	17.581	11.296	6.24	7.274
22.00656	1.434	0.777	1.321	25.097	26.987	4.329	5.706	3.358	5.691	1.713	20.966	23.982	28.812	3.62	4.9	3.697	1.491	0.979	13.362	24.324	28.759	5.412	4.055	3.72	21.891	5.95	19.192	22.209	8.192	17.714	11.306	6.435	7.47
22.17318	1.342	0.889	1.355	25.558	28.881	4.505	5.857	3.298	5.724	1.737	23.203	24.526	28.199	3.667	4.717	3.678	1.519	1.023	14.13	24.186	28.741	5.444	3.984	3.791	22.336	6.587	20.608	22.719	8.57	18.677	12.357	6.685	7.635
22.33993	1.424	0.943	1.246	24.011	28.447	4.586	6.237	3.569	5.806	1.873	24.072	24.499	29.013	4.182	4.826	3.841	1.655	1.159	14.565	25.299	30.423	5.743	4.337	4.117	22.879	6.669	20.039	19.598	9.384	18.975	12.574	6.821	8.042
22.50661	1.404	1.134	1.38	24.597	27.682	4.732	6.191	3.71	5.969	1.904	25.231	24.897	29.855	4.271	5.082	3.962	1.806	1.193	15.707	24.422	29.502	5.783	4.62	4.111	24.946	7.21	20.517	18.063	9.594	20.321	12.95	7.269	8.248
22.67323	1.475	0.99	1.373	25.636	28.746	5.047	6.018	3.782	5.871	2.112	26.595	24.739	27.711	4.423	5.07	4.113	1.766	1.02	16.669	25.134	29.314	5.527	4.608	4.178	25.491	7.602	22.153	19.456	9.906	19.892	13.397	7.474	8.534
22.83996	1.52	1.107	1.297	25.05	29.011	5.095	6.118	3.906	5.833	2.044	26.858	24.643	28.574	4.795	5.122	4.164	1.849	1.091	17.727	24.877	30.674	5.525	4.985	4.215	21.408	7.917	22.714	21.671	10.268	20.636	13.981	7.693	9.246
23.00661	1.625	1.082	1.464	24.387	27.336	5.388	6.494	4.013	5.974	2.206	27.442	24.986	28.911	4.764	5.004	4.292	1.811	1.441	17.943	24.674	29.401	6.114	5.059	4.579	20.277	8.276	22.51	21.116	10.877	20.926	14.805	8.008	9.368
23.17331	1.468	1.088	1.551	24.619	28.194	5.477	6.257	4.046	5.985	2.185	30.124	24.864	28.764	5.206	5.257	4.572	1.819	1.448	18.201	24.934	30.098	5.877	5.067	4.453	20.727	8.559	21.028	21.538	10.751	21.729	14.652	8.615	9.704
23.33993	1.567	1.161	1.543	25.44	29.232	5.738	6.599	4.308	5.969	2.42	29.473	23.972	29.447	5.277	5.028	4.723	1.779	1.356	18.998	25.129	29.991	6.137	5.463	4.655	21.275	9.494	18.695	21.598	11.144	22.197	16.24	8.602	10.098
23.5066	1.468	1.142	1.633	25.408	28.058	6.022	6.365	4.455	6.121	2.375	28.872	25.708	28.002	5.478	5.611	4.79	1.955	1.448	19.371	25.151	28.71	6.149	5.584	4.616	22.768	9.702	19.314	20.994	11.812	20.668	16.339	9.295	10.574
23.67332	1.635	1.254	1.663	24.98	29.073	6.488	6.723	4.485	6.154	2.76	27.656	24.436	28.962	5.754	5.452	4.821	2.041	1.642	20.302	25.159	30.841	5.99	6.05	5.274	22.939	9.871	20.137	21.355	12.661	19.233	17.46	9.817	10.906
23.84001	1.571	1.295	1.648	24.961	27.914	6.59	6.741	4.857	6.318	2.858	28.594	25.399	28.321	6.263	5.581	5.141	1.927	1.796	20.635	24.57	29.058	6.229	6.344	5.218	23.144	10.608	20.99	21.882	12.524	19.839	18.171	9.704	11.802
24.00664	1.723	1.4	1.81	24.964	28.455	6.899	7.027	4.872	6.257	2.849	28.614	25.997	30.437	6.466	5.618	5.313	2.26	1.703	21.649	25.033	30.165	6.346	6.814	5.27	23.135	10.815	20.747	22.236	13.118	19.763	18.54	10.36	11.855
24.1734	1.795	1.414	1.823	24.918	29.391	7.083	6.801	5.08	6.393	3.273	28.274	25.191	28.465	6.594	5.529	5.307	2.064	1.938	23.153	24.934	29.69	6.476	6.808	5.867	23.475	11.226	20.702	22.491	13.39	20.75	19.25	10.738	12.615
24.3401	1.947	1.433	1.979	25.223	29.803	7.451	7.116	4.988	6.54	3.454	28.766	25.822	28.196	6.745	5.925	5.566	2.269	2.199	23.539	25.075	29.828	6.518	7.203	5.825	22.472	11.643	21.17	20.456	14.026	21.327	19.667	10.995	13.306
24.50675	1.907	1.526	2.044	25.007	27.794	7.441	7.294	5.166	6.589	3.712	29.207	25.035	29.479	7.223	5.86	5.665	2.368	2.159	23.922	25.24	30.868	6.834	7.139	5.927	23.429	12.484	21.199	22.036	15.028	20.92	20.563	11.695	13.627
24.67337	1.914	1.532	2.212	25.484	28.49	7.912	7.465	5.69	6.573	3.637	29.904	25.458	27.726	7.476	5.895	5.836	2.377	2.303	24.046	25.092	31.43	6.625	8.019	5.856	23.419	13.286	21.54	22.35	14.877	21.261	20.903	11.868	13.992
24.84005	2.108	1.671	2.242	24.919	28.497	8.216	7.197	5.748	6.497	3.968	29.231	25.411	28.496	8.025	6.117	6.004	2.299	2.415	24.788	24.8	29.859	6.493	8.105	6.134	22.801	13.32	21.629	22.276	15.863	22.358	21.345	12.309	14.923
25.00674	2.059	1.657	2.476	25.689	28.823	8.752	7.171	5.561	6.772	4.217	29.497	25.525	27.707	8.212	5.815	6.215	2.401	2.418	24.9	25.593	30.286	6.841	8.531	6.114	23.501	13.772	21.689	22.09	16.268	22.227	23.044	12.889	15.441
25.17351	2.076	1.672	2.653	25.1	29.46	8.72	7.435	6.15	6.936	4.67	29.62	25.236	28.344	8.749	6.08	6.373	2.695	2.518	25.128	24.734	29.539	7.053	8.69	6.602	23.434	14.865	21.889	21.638	17.25	20.905	22.916	12.942	15.606
25.34013	2.169	1.735	2.824	25.529	27.336	9.223	7.473	6.243	7.035	4.763	29.209	25.584	28.911	9.333	5.848	6.332	2.763	2.883	25.804	25.327	30.761	7.066	9.302	6.7	23.377	15.402	22.238	22.068	17.541	22.041	23.78	13.339	16.494
25.50672	2.29	1.832	2.949	25.011	28.257	9.694	7.893	6.146	7.284	5.4	29.258	25.582	29.26	9.343	6.864	6.912	2.853	3.167	24.468	25.188	29.966	7.211	9.391	6.814	23.996	16.027	21.882	23.125	18.548	22.528	23.154	14.459	17.53
25.67346	2.322	1.984	2.936	25.811	28.088	9.916	7.687	6.264	7.477	5.71	29.429	25.515	28.935	9.94	6.449	6.802	2.852	3.423	25.986	25.395	30.932	7.289	10.326	6.973	23.653	16.032	21.187	21.425	18.022	21.888	21.93	14.648	18.58
25.84013	2.37	2.142	3.449	25.114	28.536	10.589	8.198	6.748	7.738	6.275	30.504	25.063	28.919	10.259	6.386	6.711	3.007	3.661	24.852	24.862	32.17	6.899	10.316	6.962	23.882	16.482	22.373	22.693	18.746	21.437	19.869	15.183	18.076
26.00672	2.343	2.125	3.677	25.17	28.719	10.625	8.41	6.39	7.896	6.624	30.486	25.634	28.881	10.054	6.622	7.189	3.157	3.874	25.582	25.349	29.535	7.052	10.35	7.125	24.001	17.056	21.961	22.743	19.056	21.9	20.89	15.668	19.152
26.17352	2.56	2.37	3.785	25.469	28.392	11.36	7.811	6.935	7.896	7.06	29.833	25.47	29.643	11.061	7.112	7.189	3.211	4.146	25.664	26.492	29.78	7.541	10.976	7.315	22.994	17.927	22.015	22.661	19.083	22.798	21.407	15.587	20.268
26.34015	2.829	2.421	4.163	25.326	28.194	11.79	8.161	6.985	8.053	7.518	30.151	25.273	29.879	11.301	6.645	7.483	3.397	4.224	25.466	25.423	31.159	7.455	11.053	7.473	24.292	17.593	22.416	22.001	21.063	21.675	23.005	15.989	20.941
26.50674	2.606	2.466	4.427	25.451	26.906	11.984	8.24	6.954	8.089	7.571	31.209	24.908	29.683	11.629	6.97	7.457	3.425	4.793	26.438	25.523	30.257	7.482	11.792	8.133	23.689	19.108	22.57	22.209	20.233	22.264	22.748	17.278	20.982
26.67367	2.818	2.684	4.915	25.305	28.089	12.482	8.231	7.055	8.525	8.457	29.337	26.094	28.25	12.129	6.958	7.66	3.683	4.946	25.796	25.292	30.399	7.877	12.207	7.864	23.858	19.937	22.747	22.305	20.417	21.816	22.141	16.678	22.171
26.8402	2.795	3.061	5.268	26.238	28.049	12.374	8.459	6.982	8.485	9.291	28.842	26.132	29.222	12.645	7.464	7.898	3.703	5.476	25.238	26.285	29.607	7.622	12.729	8.118	23.529	19.68	21.887	21.688	21.318	21.77	22.633	17.184	22.558
27.00687	2.905	3.039	5.571	26.214	29.521	13.537	8.675	7.581	8.579	9.26	29.411	25.48	28.975	12.91	7.678	7.865	3.97	5.882	26.22	25.904	29.821	7.591	13.699	8.378	23.117	20.47	22.87	22.291	22.358	22.127	22.639	17.959	23.707
27.1735	3.169	3.241	5.912	25.866	29.562	14.012	8.834	7.875	8.979	10.325	28.801	25.733	29.263	13.763	7.377	8.714	4.054	6.099	26.806	25.805	30.167	7.945	13.931	8.147	23.161	20.292	22.251	22.326	22.992	23.172	22.422	18.908	22.977
27.34031	3.243	3.507	6.042	25.414	28.837	14.028	8.635	7.812	8.967	10.452	28.839	25.8	29.083	14.053	7.314	8.54	4.099	6.609	26.462	26.063	30.505	7.69	14.411	8.736	23.363	21.095	22.291	22.448	22.158	22.829	22.954	20.096	20.86
27.50692	3.332	3.728	6.648	26.109	28.689	14.324	8.562	7.685	9.049	11.261	28.776	26.387	28.062	14.621	7.517	8.584	4.251	6.95	26.424	25.831	32.168	7.512	14.655	8.433	23.849	22.317	21.867	21.859	23.044	22.514	22.388	19.282	19.391
27.67364	3.649	3.937	7.211	25.731	28.146	14.881	8.55	8.247	9.14	12.557	29.243	25.709	29.869	15.369	7.559	8.979	4.373	7.538	26.482	26.573	31.048	7.744	15.047	8.744	23.167	22.729	22.856	21.782	24.142	21.918	22.613	19.672	19.316
27.84019	3.48	4.227	7.725	26.183	28.603	15.312	8.877	8.028	9.357	13.146	28.939	26.299	29.236	15.443	7.562	8.962	4.683	7.928	27.079	26.182	30.229	8.214	15.7	9.149	24.097	23.249	22.435	21.331	23.529	23.247	22.54	20.691	20.909
28.00686	3.594	4.483	7.839	25.758	28.31	16.193	9.206	8.274	9.55	12.831	28.751	26.283	28.776	15.397	7.914	8.788	4.783	8.275	26.264	26.683	30.611	8.646	15.211	9.072	23.195	24.013	22.61	21.673	24.251	22.628	22.695	20.028	21.011
28.17367	3.813	4.948	8.331	25.649	30.086	15.783	9.37	8.684	9.714	14.033	28.751	26.447	28.967	16.463	7.914	9.225	4.947	9.041	25.963	26.601	30.119	8.346	17.288	9.017	23.495	23.959	22.828	22.274	24.251	22.792	23.105	21.476	22.295
28.34035	3.856	5.071	8.949	25.842	29.216	17.092	9.359	8.373	9.903	15.149	28.702	26.067	29.929	16.896	8.096	9.136	4.748	9.854	25.666	26.304	30.481	8.2	17.177	9.123	23.775	25.197	22.531	22.113	26.853	22.44	22.805	21.696	20.847
28.50701	4.125	5.423	9.71	26.765	28.005	17.059	9.273	8.615	9.787	15.937	28.994	25.868	29.21	17.0	8.092	9.924	5.318	10.45	26.123	27.8	30.582	8.578	18.182	9.718	22.891	24.45	21.648	22.516	25.559	22.077	22.771	21.689	21.578
28.67366	4.305	6.04	10.247	26.111	28.611	17.795	9.044	8.714	10.332	16.754	29.383	27.075	29.708	18.228	8.63	9.37	5.42	11.156	26.127	27.066	31.437	8.843	18.017	9.742	23.171	25.47	22.635	22.217	25.263	22.27	23.155	21.799	21.853
28.8403	4.425	6.162	10.691	26.193	28.279	19.064	9.79	9.159	10.235	18.38	28.582	25.979	28.662	18.242	8.224	9.724	5.501	12.243	26.123	26.57	31.314	8.218	18.518	10.14	23.052	26.027	22.552	22.135	25.449	22.626	22.749	21.967	22.403
29.00699	4.293	6.685	11.219	26.007	29.381	18.706	9.769	9.303	10.587	18.596	28.784	26.204	29.765	19.057	8.014	10.175	5.624	12.179	25.912	26.522	31.712	8.665	19.255	10.435	23.474	26.209	22.476	22.058	26.47	21.838	22.942	21.449	22.132
29.17367	4.426	6.955	11.761	26.519	28.662	19.465	9.628	9.381	11.072	18.48	28.502	25.868	29.812	19.351	8.83	10.334	5.865	12.993	25.768	28.046	30.418	8.524	19.659	10.265	24.013	25.762	22.796	21.34	26.27	21.83	22.798	23.603	22.399
29.34029	4.646	7.558	12.916	26.927	28.963	19.84	9.932	9.22	11.008	19.976	28.367	27.399	30.253	19.862	8.781	10.042	6.119	13.226	25.822	26.925	30.012	8.447	20.255	10.418	23.579	27.468	23.069	22.076	27.806	22.375	23.149	23.491	22.504
29.50699	4.975	7.804	12.889	26.407	27.621	20.278	9.741	9.905	11.2	20.222	28.367	27.125	28.336	20.683	9.164	10.727	6.256	14.294	25.001	26.98	30.97	8.857	20.419	9.98	23.908	26.975	22.658	22.514	26.19	22.156	23.505	23.491	22.586
29.67369	5.052	8.676	13.842	25.797	28.654	20.6	9.818	9.681	11.604	22.379	28.469	26.926	30.491	20.622	9.324	10.475	6.361	16.067	25.732	26.644	31.098	9.017	20.74	10.247	24.063	27.568	22.651	22.671	26.729	22.039	23.251	23.483	22.196
29.84049	5.438	8.871	14.316	27.137	28.27	21.333	10.342	10.014	11.623	22.703	28.196	27.337	29.754	21.299	8.562	10.676	7.028	16.496	25.43	26.945	30.994	8.804	21.777	10.62	22.56	26.812	22.896	22.724	25.909	23.516	22.78	23.316	22.136
30.00712	5.375	9.413	15.143	26.507	29.703	21.274	10.419	9.735	11.889	22.674	29.054	26.324	30.367	22.062	9.328	10.652	6.867	16.403	25.516	26.565	31.776	8.718	21.968	11.21	23.392	27.381	23.695	22.451	27.207	22.007	23.462	24.085	22.902
30.17375	5.862	9.789	14.99	27.517	28.705	21.739	11.261	10.768	12.192	24.59	28.467	26.839	28.846	22.856	9.591	10.665	7.209	17.942	27.072	26.639	30.856	9.229	22.896	11.077	23.353	26.922	22.974	21.924	26.592	22.716	23.377	23.229	23.365
30.34048	5.959	10.79	16.153	26.973	28.353	22.238	10.808	10.288	12.555	24.458	29.183	26.734	29.919	22.451	9.412	10.95	7.686	18.744	26.088	27.027	29.925	9.215	23.367	11.058	22.505	28.457	22.869	22.532	28.377	23.078	23.767	23.535	22.575
30.5071	5.967	11.377	17.433	27.445	29.459	23.065	10.598	10.765	12.61	25.562	28.426	26.438	30.507	23.688	9.369	11.323	7.922	19.212	24.998	27.036	31.475	9.72	23.428	10.999	24.054	29.247	22.601	22.758	27.209	22.919	22.644	23.513	22.386
30.67371	6.254	12.298	17.066	26.039	29.345	23.005	10.749	10.696	12.658	25.641	28.368	26.736	29.708	23.188	9.631	10.927	7.746	20.497	25.68	27.059	31.859	9.543	24.99	11.045	23.64	29.469	23.613	22.616	26.822	22.53	23.434	24.167	22.792
30.84057	6.584	12.848	17.863	26.891	29.4	23.169	10.309	10.724	13.4	26.74	28.285	27.011	29.076	24.287	9.218	10.927	8.516	21.267	25.543	27.389	31.419	9.543	24.248	11.348	23.173	29.194	22.953	22.726	27.399	22.749	22.857	24.414	22.819
31.00714	6.639	13.484	19.769	26.662	28.816	24.424	10.418	10.89	13.305	28.88	28.499	27.278	28.822	24.58	9.275	11.124	8.11	22.247	26.25	27.189	31.306	10.012	24.35	11.716	23.553	29.858	23.082	23.267	26.706	23.317	22.899	24.405	22.753
31.17376	6.877	14.491	18.821	26.124	28.525	24.382	10.602	10.688	13.676	28.697	28.785	27.015	30.428	24.4	9.43	11.416	8.703	23.139	25.959	26.899	32.664	9.892	25.132	11.483	24.168	29.316	23.067	22.811	28.01	22.477	22.968	24.885	23.316
31.3404	6.987	14.607	19.436	26.719	30.169	25.501	10.987	11.156	14.131	29.602	28.284	27.75	28.992	26.234	10.037	10.871	8.738	23.104	26.006	27.304	32.277	9.591	26.006	11.99	24.413	29.237	23.03	23.188	29.19	22.908	23.341	25.097	22.948
31.50723	7.409	16.408	20.054	27.203	29.442	24.746	10.968	11.359	14.063	29.289	28.465	27.435	30.468	25.396	10.213	11.487	9.273	24.634	25.802	27.375	33.727	9.601	25.499	11.425	23.741	30.716	23.129	22.79	28.987	23.336	23.024	25.966	22.301
31.67384	7.496	16.461	21.123	26.917	29.842	24.955	10.89	11.445	14.275	30.787	29.25	27.203	30.398	24.862	10.27	11.515	9.051	25.804	26.093	27.197	30.6	9.824	26.752	11.585	23.891	30.088	22.87	22.779	28.283	23.16	22.934	26.037	22.953
31.84057	7.354	17.675	22.038	27.12	28.781	24.994	10.913	11.111	14.449	29.564	29.291	27.766	29.449	26.167	10.488	11.405	9.768	26.865	25.691	27.623	31.138	9.408	26.27	12.306	24.182	28.816	23.074	23.203	28.298	23.364	23.437	26.132	23.348
32.00726	7.891	17.987	21.192	26.327	29.198	25.549	11.23	11.675	14.647	31.961	28.165	27.494	29.231	26.144	9.895	11.526	9.806	27.335	26.108	27.929	32.378	9.311	26.246	11.901	24.789	31.264	22.968	22.712	27.557	24.056	22.7	25.97	22.775
32.17387	8.208	18.97	21.872	26.9	30.075	26.123	11.519	11.001	14.779	31.85	28.685	28.179	31.432	27.269	10.681	11.928	9.851	28.188	26.711	28.091	32.323	10.29	26.849	11.948	24.402	30.992	23.542	23.864	29.427	23.997	23.603	26.077	22.88
32.34057	8.301	19.919	22.657	27.494	28.824	27.324	11.143	11.313	14.931	31.841	28.647	27.258	30.126	27.313	10.388	11.416	10.083	27.875	26.148	27.722	31.211	9.501	27.224	11.768	23.703	30.24	23.392	22.75	29.528	23.048	22.983	25.514	22.509
32.50727	8.132	21.138	22.967	26.595	29.719	26.041	12.076	11.503	15.216	31.115	28.522	27.987	29.341	26.139	10.331	11.967	10.527	29.133	26.188	27.21	32.964	10.573	26.935	12.077	24.242	31.807	24.259	24.168	29.047	23.418	23.819	26.133	23.179
