	MG1655-1	HMDA7-1_1	rpsG1-1	nusA_sspA-1	ybeX-1	mpl-1	rpsG1_ybeX-1	rpsG1_mpl-1	MG1655-2	HMDA7-1_2	rpsG1-2	nusA_sspA-2	ybeX-2	mpl-2	rpsG1_ybeX-2	rpsG1_mpl-2	MG1655-3	HMDA7-1_3	rpsG1-3	nusA_sspA-3	ybeX-3	mpl-3	rpsG1_ybeX-3	rpsG1_mpl-3	rpsG1_ybeX_mpl-1	nusA_sspA_ybeX-1	nusA_sspA_mpl-1	nusA_sspA_ybeX_mpl-1	proV_ptsP-1	proV_ptsP_ybeX-1	proV_ptsP_mpl-1	proV_ptsP_ybeX_mpl-1	rpsG1_ybeX_mpl-2	nusA_sspA_ybeX-2	nusA_sspA_mpl-2	nusA_sspA_ybeX_mpl-2	proV_ptsP-2	proV_ptsP_ybeX-2	proV_ptsP_mpl-2	proV_ptsP_ybeX_mpl-2	rpsG1_ybeX_mpl-3	nusA_sspA_ybeX-3	nusA_sspA_mpl-3	nusA_sspA_ybeX_mpl-3	proV_ptsP-3	proV_ptsP_ybeX-3	proV_ptsP_mpl-3	proV_ptsP_ybeX_mpl-3
10.83903	0.383	6.275	0.829	1.07	1.245	0.906	2.718	2.357	0.409	8.432	0.931	1.824	1.138	0.651	2.55	2.248	0.36	6.521	1.676	1.812	1.587	0.722	2.143	1.956	3.811	3.635	1.919	11.412	0.938	0.955	0.576	1.017	3.566	8.061	1.468	10.061	0.72	0.589	0.677	0.741	3.285	1.642	1.488	6.033	0.612	0.545	0.756	0.578
11.00583	0.364	6.582	0.871	1.114	1.416	0.916	2.826	2.271	0.387	9.001	0.877	1.868	1.184	0.726	2.658	2.455	0.214	7.057	1.689	1.762	1.666	0.638	2.478	1.841	3.926	3.942	1.932	12.499	0.886	1.001	0.492	0.965	3.937	8.307	1.385	11.179	0.634	0.764	0.624	0.753	3.395	1.913	1.532	6.728	0.494	0.493	0.768	0.685
11.17246	0.444	6.787	0.763	1.003	1.5	0.807	2.973	2.419	0.277	9.491	0.896	1.95	1.232	0.648	2.772	2.535	0.259	7.451	1.641	1.809	1.68	0.623	2.462	1.92	4.129	4.243	1.786	12.792	0.87	0.984	0.509	1.014	4.335	9.055	1.53	11.828	0.556	0.747	0.512	0.544	3.733	2.026	1.613	6.705	0.48	0.478	0.624	0.608
11.33907	0.544	7.662	0.829	1.199	1.535	0.906	3.17	2.486	0.28	10.27	0.995	2.146	1.332	0.748	2.969	2.635	0.263	8.326	1.676	1.845	1.812	0.561	2.626	2.117	4.327	4.505	1.919	14.7	0.873	0.858	0.512	1.049	4.211	9.221	1.533	12.382	0.559	0.654	0.612	0.58	3.736	2.19	1.616	7.193	0.612	0.481	0.659	0.772
11.50578	0.332	8.022	0.847	1.053	1.584	0.956	3.345	2.566	0.199	11.138	0.914	2.321	1.408	0.699	3.144	2.712	0.272	8.938	1.625	1.92	1.855	0.639	2.897	2.161	4.75	4.898	1.995	14.501	0.918	0.967	0.494	1.127	4.604	10.476	1.448	13.12	0.511	0.73	0.594	0.626	4.198	2.074	1.662	8.067	0.498	0.527	0.642	0.595
11.67251	0.361	8.352	0.837	1.111	1.64	0.914	3.469	2.591	0.384	11.867	1.1	2.413	1.439	0.659	3.462	2.839	0.307	9.6	1.75	2.146	1.888	0.635	2.958	2.16	4.793	5.228	1.993	16.106	0.851	0.965	0.585	1.059	4.804	10.947	1.543	14.496	0.566	0.761	0.589	0.556	4.263	2.393	1.787	8.498	0.492	0.458	0.765	0.618
11.83922	0.39	9.251	0.995	1.076	1.734	0.911	3.659	2.717	0.317	13.183	1.097	2.636	1.564	0.656	3.652	2.932	0.303	9.498	1.876	2.11	2.078	0.632	3.052	2.156	5.272	5.611	2.086	17.293	0.88	0.962	0.582	1.12	4.896	11.361	1.572	14.684	0.628	0.596	0.618	0.747	4.646	2.455	1.719	8.622	0.521	0.487	0.665	0.712
12.00581	0.37	9.883	0.876	1.088	1.809	0.921	4.059	2.793	0.231	13.66	1.109	2.778	1.61	0.667	3.762	3.107	0.286	11.102	1.954	2.222	2.028	0.677	3.162	2.461	5.614	5.887	2.003	19.322	0.957	1.104	0.53	1.23	5.591	11.643	1.586	16.0	0.542	0.609	0.63	0.694	4.629	2.597	1.893	9.384	0.533	0.467	0.773	0.723
12.1725	0.374	10.534	1.072	1.09	1.844	0.923	4.159	2.99	0.395	14.7	1.305	3.039	1.775	0.669	4.088	3.272	0.387	11.205	1.957	2.516	2.29	0.648	3.585	2.561	5.425	6.602	2.103	20.912	0.864	0.979	0.597	1.136	5.596	13.198	1.654	16.847	0.738	0.71	0.73	0.665	5.084	2.794	1.897	10.455	0.632	0.502	0.744	0.629
12.33921	0.38	11.75	0.956	1.003	1.79	0.775	4.488	2.999	0.213	15.517	1.121	3.207	1.683	0.616	4.319	3.341	0.388	12.382	1.963	2.518	2.26	0.623	3.816	2.629	6.127	7.337	2.109	22.364	0.934	0.984	0.573	1.143	5.85	13.438	1.562	18.435	0.556	0.65	0.577	0.641	5.247	3.025	1.903	10.669	0.512	0.446	0.721	0.801
12.50595	0.351	11.949	1.152	1.07	2.051	0.906	4.781	3.002	0.28	16.91	1.382	3.435	1.848	0.715	4.645	3.634	0.199	13.033	1.934	2.522	2.199	0.658	3.916	2.633	6.455	7.245	2.305	23.661	0.873	1.084	0.576	1.339	6.306	14.282	1.759	19.087	0.623	0.686	0.773	0.741	5.477	3.061	1.907	11.448	0.418	0.481	0.756	0.675
12.67255	0.361	13.578	1.062	1.015	1.93	0.978	4.888	3.139	0.288	17.641	1.326	3.833	1.89	0.756	4.784	3.774	0.468	13.6	2.138	2.759	2.469	0.667	3.958	3.031	6.728	7.938	2.187	26.332	0.786	1.062	0.489	1.252	6.513	15.367	1.866	20.367	0.728	0.664	0.718	0.685	5.779	3.329	2.077	12.304	0.427	0.554	0.732	0.586
12.83931	0.306	14.176	1.102	1.023	2.067	0.921	5.027	3.148	0.295	19.019	1.399	4.23	1.997	0.764	4.956	4.075	0.383	15.331	2.051	2.77	2.609	0.774	4.421	3.171	7.228	8.147	2.229	27.78	0.893	1.104	0.594	1.327	7.141	15.193	1.779	20.972	0.639	0.706	0.694	0.694	6.533	3.63	2.119	13.516	0.5	0.499	0.838	0.723
13.00591	0.422	15.343	1.278	1.04	2.181	0.936	5.5	3.651	0.311	21.101	1.416	4.284	2.083	0.747	5.107	3.935	0.342	16.213	2.168	3.085	2.632	0.663	4.345	3.096	7.745	8.987	2.314	30.035	0.88	1.093	0.548	1.443	7.461	17.013	1.8	22.506	0.654	0.823	0.809	0.712	7.14	3.91	2.139	14.394	0.518	0.582	0.759	0.706
13.17257	0.293	14.955	1.213	1.105	2.148	0.903	5.758	3.522	0.344	22.976	1.513	4.866	2.116	0.78	5.688	4.129	0.342	17.797	2.168	3.052	2.6	0.696	4.992	3.355	7.971	9.148	2.411	30.681	0.88	1.19	0.645	1.476	7.364	17.11	1.897	24.898	0.687	0.726	0.615	0.776	6.946	4.136	2.236	15.267	0.55	0.517	0.662	0.803
13.33937	0.412	16.358	1.206	1.193	2.528	0.993	6.038	3.868	0.239	23.855	1.601	4.92	2.299	0.772	5.968	4.377	0.395	18.291	2.255	3.363	2.814	0.589	5.336	3.473	8.633	10.101	2.401	34.818	0.87	1.018	0.539	1.466	8.448	17.637	1.886	26.584	0.55	0.716	0.639	0.8	7.321	4.222	2.323	15.409	0.541	0.379	0.653	0.795
13.50593	0.325	18.447	1.31	1.04	2.665	1.032	6.34	3.78	0.344	26.241	1.642	5.383	2.277	0.844	6.27	4.711	0.407	19.769	2.168	3.375	2.891	0.663	5.38	3.678	8.941	10.894	2.411	38.407	0.88	1.093	0.612	1.54	8.592	18.241	2.091	27.614	0.59	0.629	0.809	0.712	7.528	4.395	2.527	16.786	0.615	0.582	0.791	0.739
13.67266	0.4	18.985	1.383	1.113	2.48	1.008	6.642	3.951	0.319	26.98	1.554	5.395	2.417	0.691	6.832	4.722	0.321	21.281	2.275	3.582	3.032	0.511	5.844	3.981	9.605	11.332	2.648	40.675	0.89	1.2	0.621	1.615	9.158	19.59	2.101	28.289	0.597	0.736	0.559	0.882	8.253	4.794	2.537	17.163	0.656	0.591	0.8	0.811
13.83935	0.412	20.267	1.368	1.128	2.624	0.993	6.943	4.159	0.433	29.476	1.634	5.856	2.493	0.772	7.002	5.023	0.33	22.749	2.384	3.719	3.105	0.557	6.241	3.99	9.763	11.651	2.627	42.732	1.0	1.179	0.636	1.563	9.998	20.318	2.08	29.943	0.679	0.91	0.639	0.897	8.613	5.159	2.711	18.574	0.541	0.67	0.685	0.731
14.00606	0.328	22.01	1.41	0.946	2.733	0.906	7.475	4.495	0.314	31.036	1.742	6.454	2.636	0.685	7.47	5.329	0.41	23.301	2.397	3.864	3.088	0.602	6.386	4.102	10.498	12.096	2.835	41.168	0.883	1.193	0.615	1.673	10.117	21.191	2.256	31.568	0.689	0.633	0.521	0.812	8.923	5.433	2.886	20.188	0.553	0.585	0.762	0.838
14.17273	0.425	23.886	1.604	1.043	2.798	1.003	7.766	4.883	0.411	32.038	1.839	6.68	2.636	0.75	7.632	5.717	0.507	26.276	2.559	4.155	3.379	0.602	6.742	4.296	11.048	13.454	2.997	38.581	1.013	1.322	0.712	1.802	10.699	21.773	2.288	32.732	0.657	0.924	0.715	1.006	9.602	5.854	2.853	21.643	0.521	0.488	0.762	0.838
14.33947	0.701	25.222	1.584	1.122	2.974	0.95	8.11	4.705	0.424	34.325	2.113	7.284	2.719	0.763	7.847	5.931	0.365	28.169	2.512	4.176	3.529	0.682	7.054	4.575	10.885	14.555	2.918	37.864	0.997	1.405	0.63	1.916	11.99	23.595	2.371	34.63	0.605	0.811	0.762	0.794	10.273	6.069	3.065	22.752	0.632	0.536	0.873	0.916
14.50618	0.526	26.699	1.6	1.042	3.186	1.03	8.848	5.114	0.343	36.11	2.034	7.796	2.969	0.715	8.942	6.474	0.453	28.521	2.63	4.688	3.877	0.733	7.468	4.632	11.83	14.563	3.069	37.774	0.919	1.361	0.681	1.937	12.415	23.649	2.425	35.735	0.783	0.832	0.683	0.845	10.887	6.742	3.118	24.975	0.488	0.554	0.826	0.835
14.67275	0.425	28.412	1.604	1.043	3.153	1.035	9.157	5.174	0.249	38.149	2.098	8.653	3.089	0.75	8.926	6.331	0.313	31.547	2.688	4.834	3.703	0.666	7.744	4.814	13.376	14.877	3.223	39.001	0.916	1.322	0.648	1.899	12.122	26.009	2.579	38.487	0.754	0.794	0.65	1.006	11.121	6.63	3.241	24.489	0.618	0.617	0.762	0.903
14.83952	0.48	29.483	1.693	1.196	3.241	1.124	9.855	5.357	0.306	37.822	2.315	8.865	3.401	0.677	9.72	6.901	0.399	32.419	2.84	5.112	4.078	0.689	8.345	5.092	13.42	15.729	3.277	38.965	0.97	1.312	0.606	1.954	12.879	29.276	2.633	37.417	0.649	0.881	0.609	0.964	11.655	7.134	3.425	26.11	0.609	0.511	0.753	0.83
15.00618	0.435	31.644	1.806	1.213	3.454	0.913	10.011	5.605	0.419	38.38	2.107	9.799	3.424	0.79	9.942	6.862	0.422	33.747	2.861	5.462	4.006	0.708	8.728	5.085	14.141	16.483	3.59	38.067	0.926	1.333	0.818	2.168	14.729	32.476	2.784	39.721	0.794	0.934	0.627	1.015	12.658	7.29	3.478	28.43	0.529	0.594	0.868	0.846
15.17283	0.4	34.157	1.836	1.049	3.677	1.008	10.718	5.925	0.416	38.497	2.363	10.927	3.323	0.755	11.199	7.472	0.321	37.003	2.889	5.652	3.937	0.673	9.273	5.793	15.137	16.734	3.716	37.538	0.987	1.394	0.751	2.165	14.56	34.665	2.975	39.288	0.597	0.898	0.721	0.979	13.396	7.965	3.928	28.906	0.526	0.591	0.67	0.941
15.33956	0.345	35.095	1.94	1.122	3.719	1.112	10.959	6.227	0.262	38.63	2.437	11.071	3.594	0.763	10.728	7.744	0.462	37.492	3.094	6.313	4.403	0.682	9.773	6.129	16.906	18.148	3.824	38.641	0.932	1.34	0.566	2.208	15.907	35.67	3.083	43.177	0.767	0.844	0.633	1.377	13.867	8.14	4.068	29.324	0.632	0.6	0.776	0.949
15.50631	0.345	37.102	2.102	1.122	4.01	0.95	11.639	6.324	0.36	39.31	2.469	11.751	3.626	0.893	11.635	8.23	0.365	39.597	3.094	6.443	4.597	0.617	10.129	6.0	17.003	18.893	4.018	38.253	0.9	1.405	0.727	2.402	16.781	35.509	3.245	41.04	0.799	0.908	0.762	1.086	14.773	8.238	4.133	30.457	0.665	0.6	0.776	0.852
15.6729	0.422	40.161	2.113	1.069	3.893	1.057	12.177	6.728	0.435	38.809	2.579	12.712	3.836	0.806	12.238	8.345	0.284	39.064	3.076	7.174	4.42	0.727	10.797	6.601	17.811	19.216	4.196	37.717	0.913	1.419	0.74	2.578	17.49	34.583	3.293	41.382	0.778	0.922	0.742	1.13	15.705	8.807	4.537	31.146	0.644	0.515	0.788	1.121
15.83955	0.348	37.243	2.202	1.06	4.11	1.017	13.101	6.911	0.524	38.546	2.764	13.667	3.954	0.766	13.291	8.979	0.369	38.929	3.292	7.354	4.828	0.782	11.073	6.879	18.662	20.26	4.281	40.629	1.0	1.505	0.666	2.697	18.796	36.006	3.573	41.344	0.673	1.009	0.668	1.186	16.463	9.116	4.784	34.676	0.571	0.539	0.715	0.951
16.00621	0.367	39.225	2.413	1.142	4.13	1.032	12.776	6.772	0.378	38.911	2.945	14.188	3.945	0.782	13.519	9.397	0.392	40.95	3.508	7.838	5.114	0.704	12.11	7.004	20.948	20.925	4.597	38.92	1.02	1.559	0.846	2.816	19.523	36.531	3.758	41.745	0.688	0.965	0.848	1.399	17.442	9.502	5.197	35.036	0.588	0.557	0.797	1.032
16.17286	0.354	38.562	2.337	1.066	4.279	0.958	13.468	7.372	0.432	38.084	2.77	15.266	4.156	0.804	14.047	9.41	0.474	39.149	3.429	8.238	5.129	0.789	12.379	7.309	20.978	21.184	4.872	37.155	0.942	1.512	0.672	2.963	21.014	36.58	3.937	41.758	0.71	0.919	0.739	1.322	18.29	9.807	5.213	38.975	0.576	0.61	0.72	1.022
16.33962	0.422	39.254	2.405	1.134	4.541	1.057	14.315	7.473	0.241	37.967	2.935	15.888	4.322	0.774	14.182	9.48	0.381	38.87	3.627	8.535	5.36	0.727	12.871	7.605	22.056	22.132	5.071	37.134	0.945	1.516	0.675	3.097	21.346	35.458	3.941	41.415	0.713	0.857	0.645	1.227	20.015	10.46	5.768	38.825	0.579	0.548	0.723	1.057
16.50634	0.439	38.016	2.516	1.051	4.818	1.037	15.576	7.752	0.286	39.26	3.081	17.055	4.44	0.723	15.898	10.931	0.368	39.711	3.646	9.048	5.285	0.743	13.515	7.856	23.074	23.926	5.675	36.349	0.929	1.533	0.755	3.277	22.88	37.333	4.35	42.322	0.791	1.037	0.789	1.535	20.051	10.778	5.886	39.632	0.562	0.66	0.835	1.135
16.67295	0.474	38.125	2.519	0.956	4.951	1.072	16.717	8.568	0.289	38.429	3.182	18.425	4.736	0.823	15.904	10.937	0.469	39.302	3.649	9.573	5.646	0.811	14.495	8.51	25.906	26.174	6.004	38.081	0.965	1.764	0.758	3.314	24.381	36.664	4.354	40.648	0.923	1.04	0.857	1.408	21.486	11.075	6.02	39.742	0.662	0.728	0.741	1.138
16.8397	0.286	38.148	2.881	1.092	4.86	1.045	16.892	8.706	0.262	39.005	3.481	18.958	4.809	0.893	17.247	11.532	0.412	39.522	3.852	9.973	5.883	0.817	14.409	8.748	26.12	30.479	6.175	36.449	0.939	1.642	0.667	3.581	25.308	35.909	4.849	40.835	0.701	0.852	0.701	1.544	22.216	11.703	6.45	40.936	0.7	0.735	0.844	1.143
17.00631	0.448	38.245	2.719	1.092	5.217	0.98	17.931	9.031	0.359	38.161	3.578	19.932	5.069	0.796	17.669	12.148	0.477	38.061	4.046	10.363	6.467	0.817	15.188	9.137	29.172	33.563	6.37	36.741	0.939	1.836	0.796	3.776	25.6	37.532	5.109	41.095	0.734	1.047	0.766	1.707	22.606	12.676	7.132	39.897	0.668	0.54	0.747	1.241
17.17292	0.452	38.289	2.787	1.095	5.123	1.144	17.84	9.62	0.557	37.296	3.581	20.686	5.3	0.831	18.13	13.355	0.383	39.373	4.213	10.985	6.537	0.82	16.331	9.954	30.903	34.126	6.699	36.883	1.04	1.872	0.799	4.072	28.727	37.739	5.243	41.725	0.704	1.18	0.671	1.742	24.984	12.78	7.364	40.916	0.606	0.575	0.75	1.179
17.33962	0.28	37.411	3.135	1.183	5.567	1.072	19.313	10.223	0.256	38.753	3.993	21.15	5.58	0.79	19.149	13.89	0.372	39.14	4.233	11.357	6.847	0.811	16.799	10.23	31.844	35.747	7.237	37.01	0.933	1.862	0.758	4.32	31.163	37.605	5.522	41.102	0.891	1.17	0.857	1.733	26.029	13.217	7.837	39.969	0.597	0.728	0.806	1.268
17.50654	0.364	38.273	3.156	1.074	5.456	1.159	19.935	10.042	0.376	38.477	3.882	21.703	5.562	0.812	19.997	15.065	0.389	37.76	4.315	11.82	7.022	0.831	17.421	10.792	33.291	35.992	7.899	37.547	0.952	1.912	0.778	4.595	32.58	38.95	6.25	41.213	0.815	1.156	0.845	1.687	27.161	14.004	8.532	40.406	0.585	0.619	0.729	1.321
17.67302	0.455	36.986	3.247	1.036	5.74	1.057	20.213	11.102	0.37	37.869	4.134	23.276	5.877	0.806	20.89	15.669	0.381	38.351	4.405	12.294	7.531	0.727	18.412	11.688	34.693	35.676	8.408	36.454	0.913	1.905	0.772	4.263	33.109	38.309	6.468	40.184	0.81	1.214	0.774	1.908	27.564	14.38	9.106	39.7	0.579	0.645	0.885	1.316
17.83965	0.387	37.64	3.436	1.16	6.065	1.144	21.737	11.341	0.362	37.621	4.101	22.569	6.275	0.831	22.514	16.375	0.481	39.048	4.635	12.869	7.738	0.756	19.026	12.26	37.073	36.075	8.517	37.24	0.878	1.84	0.962	4.786	35.189	38.81	6.672	40.296	0.931	1.148	0.801	1.937	30.537	14.501	9.539	40.169	0.703	0.673	0.847	1.373
18.00637	0.351	38.894	3.693	1.189	6.354	1.142	22.995	11.66	0.262	37.966	4.552	24.639	6.367	0.796	23.513	17.31	0.412	37.542	4.988	13.642	7.473	0.85	20.578	12.935	37.548	35.381	9.097	35.767	0.874	2.031	0.959	5.172	38.067	38.246	7.187	40.933	0.929	1.372	0.96	2.194	32.41	16.02	10.021	41.325	0.668	0.832	0.844	1.468
18.1731	0.289	37.9	3.761	1.16	6.747	1.144	23.425	12.802	0.297	37.069	4.653	25.784	6.275	0.993	24.625	17.707	0.416	38.463	5.187	14.135	8.063	0.918	20.812	14.273	41.035	35.717	9.621	36.363	0.943	1.97	0.864	5.371	38.631	37.544	7.549	40.978	0.801	1.245	0.963	2.294	34.369	16.222	10.968	41.046	0.703	0.673	0.945	1.471
18.33975	0.491	38.215	4.059	1.263	6.885	1.149	23.863	13.202	0.4	38.132	4.985	27.003	6.901	0.934	25.226	19.832	0.489	37.969	5.195	14.441	8.236	0.827	21.705	14.578	41.484	36.521	10.411	36.224	0.982	2.075	0.806	5.412	41.06	39.648	8.045	41.165	0.839	1.285	0.872	2.301	35.137	16.82	11.174	40.389	0.677	0.776	0.918	1.476
18.50635	0.377	37.248	4.044	1.054	7.092	1.169	25.446	14.344	0.354	38.169	5.291	29.976	7.072	0.888	26.19	19.179	0.501	38.718	5.531	14.992	8.826	0.908	22.575	15.195	37.717	35.552	10.904	37.01	1.03	2.056	0.855	5.65	40.606	38.124	8.183	40.907	0.826	1.267	0.857	2.511	37.516	18.181	11.634	40.521	0.792	0.728	1.001	1.625
18.67306	0.442	37.443	4.238	1.151	7.19	1.234	26.485	14.733	0.256	37.228	5.258	31.858	7.202	1.017	27.131	21.028	0.404	37.647	5.499	15.381	8.437	0.811	23.159	15.227	35.835	36.558	11.65	34.836	1.03	2.348	0.888	6.234	38.302	38.87	8.507	39.869	0.826	1.332	0.954	2.511	38.879	18.993	12.607	40.878	0.694	0.728	0.838	1.722
18.8398	0.432	37.474	4.229	1.142	6.983	1.292	28.178	14.813	0.346	37.938	5.442	32.509	7.674	0.912	29.116	22.205	0.36	38.389	5.876	16.268	9.102	0.834	24.626	16.277	38.717	37.009	12.8	36.099	1.02	2.434	0.943	6.48	35.963	39.903	9.173	40.415	0.98	1.419	0.848	2.663	41.665	20.462	12.784	41.132	0.75	0.719	0.829	1.648
19.00641	0.556	37.76	4.449	1.068	7.697	1.312	28.866	15.347	0.302	37.45	6.025	35.71	7.583	0.836	29.547	23.081	0.424	36.994	6.105	16.65	9.373	0.924	26.513	17.632	36.773	36.618	13.563	35.996	1.047	2.464	1.098	6.679	38.006	39.648	10.385	40.516	0.937	1.447	0.97	2.626	41.44	21.465	14.423	40.519	0.677	0.841	0.821	1.834
19.17323	0.646	37.672	4.865	1.192	7.819	1.242	29.432	17.023	0.362	36.874	5.887	36.922	8.125	0.896	30.535	25.208	0.416	37.781	6.388	17.512	9.622	0.756	25.846	18.462	37.528	36.367	13.81	35.909	0.878	2.522	0.994	7.189	37.364	40.564	10.828	40.556	1.029	1.538	0.963	2.781	40.733	23.106	15.19	39.909	0.768	0.77	0.847	1.828
19.33982	0.484	37.38	5.092	1.16	8.208	1.274	30.796	17.835	0.394	35.673	6.471	36.825	8.19	0.831	32.191	27.221	0.416	37.067	6.615	17.772	9.849	0.95	28.151	20.313	36.976	36.367	15.564	35.421	1.04	2.652	1.157	7.839	37.299	38.94	10.828	40.848	0.996	1.538	1.061	3.009	38.168	25.963	15.547	41.5	0.801	0.835	0.945	2.12
19.50647	0.536	36.491	5.241	1.083	8.419	1.232	32.802	17.972	0.351	36.567	6.844	36.844	8.398	1.079	35.265	28.385	0.4	37.148	6.598	18.132	10.378	0.84	28.73	20.541	36.732	37.39	15.537	35.117	1.027	2.636	1.047	8.338	37.024	39.734	11.033	40.635	0.985	1.458	1.081	3.254	38.186	27.939	15.748	41.449	0.562	0.758	0.706	1.946
19.67324	0.387	37.25	5.06	1.16	8.533	1.307	33.167	19.329	0.394	36.809	6.861	37.474	8.872	0.928	35.828	29.332	0.416	37.457	7.103	18.779	10.141	0.853	29.385	21.871	36.099	37.179	16.246	35.876	1.04	2.749	1.189	8.131	35.481	39.72	12.192	39.094	0.931	1.667	1.093	3.366	37.843	29.795	17.105	39.812	0.671	0.933	0.847	2.153
19.8399	0.461	37.187	5.882	1.006	9.131	1.314	34.887	20.389	0.402	37.202	7.426	36.404	9.18	1.001	36.38	31.18	0.493	37.201	7.311	19.777	10.58	0.863	31.851	23.846	36.233	36.923	16.656	34.741	1.05	2.956	1.264	8.47	36.621	40.148	13.835	41.081	1.037	1.646	0.973	3.604	37.91	30.247	17.418	39.622	0.712	0.78	0.856	2.032
20.00661	0.387	37.478	5.969	1.095	9.54	1.307	36.674	22.284	0.394	36.484	7.575	37.604	9.619	0.993	37.419	33.683	0.513	37.067	7.557	20.175	11.115	0.918	32.957	24.437	35.612	37.276	18.096	35.162	0.878	2.944	1.189	9.04	37.007	40.726	14.205	39.906	0.931	1.732	0.963	3.496	37.031	29.892	17.787	40.267	0.606	0.868	1.01	2.315
20.17329	0.471	36.733	5.893	1.177	9.632	1.29	37.194	22.882	0.313	37.043	7.601	36.372	9.814	0.945	38.982	35.991	0.439	37.725	7.618	22.077	11.085	1.067	34.288	27.058	36.66	38.13	19.213	36.172	0.865	3.13	1.11	9.591	36.786	40.739	14.764	41.021	1.012	1.754	1.177	3.908	37.295	30.504	18.87	42.456	0.689	0.789	0.93	2.268
20.34002	0.361	37.078	6.269	1.198	9.906	1.377	36.793	23.826	0.367	36.411	8.266	37.302	10.085	0.934	39.228	33.217	0.521	36.896	8.281	23.18	12.654	0.957	34.765	29.165	34.954	37.853	20.58	36.906	0.982	3.244	1.293	10.252	36.446	40.2	15.615	40.516	1.034	1.772	1.165	4.25	37.022	31.147	19.426	40.519	0.677	0.874	0.918	2.614
20.50657	0.364	38.227	6.63	1.266	10.333	1.412	38.266	24.809	0.37	36.422	8.531	37.216	10.448	1.034	38.362	28.678	0.395	36.454	8.773	24.261	12.238	1.025	36.855	30.475	36.135	37.572	21.953	36.333	0.985	3.313	1.264	11.233	36.621	40.31	16.272	39.813	1.199	1.971	1.168	4.482	36.448	31.774	20.148	40.434	0.68	0.975	1.019	2.649
20.6734	0.536	36.945	6.895	1.278	10.3	1.264	38.22	27.509	0.384	35.854	8.758	37.169	10.474	1.015	38.899	27.412	0.4	37.538	8.966	25.463	13.006	1.002	37.295	32.382	35.466	37.487	22.707	36.025	1.059	3.318	1.339	11.29	34.559	40.61	16.515	38.786	1.083	1.913	1.146	4.552	36.369	31.735	21.815	40.898	0.659	0.855	0.9	2.79
20.84	0.461	37.479	7.215	1.266	10.431	1.477	38.299	27.733	0.402	36.617	9.116	36.599	11.13	1.034	37.648	28.386	0.59	38.306	9.098	28.095	12.823	0.96	36.888	33.757	34.771	38.092	23.22	35.456	0.952	3.573	1.361	12.63	35.386	41.155	18.579	39.358	1.102	1.971	1.298	5.034	35.798	31.774	22.39	41.377	0.777	0.877	0.921	2.909
21.00671	0.481	36.654	7.718	1.189	10.964	1.402	37.085	30.1	0.359	35.986	9.551	36.359	11.594	0.99	38.512	29.03	0.412	38.711	9.825	29.192	14.129	1.012	38.53	36.212	34.788	37.946	24.874	35.378	1.037	3.719	1.576	13.288	34.398	40.908	18.776	39.277	1.026	2.118	1.285	5.245	36.922	32.934	23.656	41.52	0.765	0.929	1.007	2.994
21.17332	0.474	36.34	7.905	1.183	11.246	1.267	36.998	31.574	0.354	36.644	10.288	36.142	11.68	1.18	39.332	28.297	0.469	37.647	9.944	30.957	13.888	1.038	39.416	32.62	34.083	38.505	26.901	35.387	1.062	4.101	1.342	13.178	34.148	40.168	19.508	40.323	1.021	2.208	1.344	5.497	34.953	33.432	22.926	41.365	0.759	0.956	1.033	3.117
21.33997	0.572	36.502	7.873	1.183	11.733	1.364	38.783	36.15	0.386	35.768	10.742	37.732	12.491	1.082	38.424	29.076	0.566	37.452	10.366	31.638	13.856	0.941	37.793	28.499	34.083	38.181	28.329	35.128	0.965	3.906	1.342	15.352	35.252	41.401	20.773	39.577	1.086	2.208	1.344	5.432	36.024	33.14	23.38	41.17	0.597	0.923	1.001	3.312
21.50668	0.572	37.054	8.522	0.989	12.446	1.559	39.237	36.701	0.451	36.547	10.483	37.245	12.426	1.082	38.618	29.076	0.372	37.517	10.821	31.703	14.018	1.038	38.507	29.797	34.764	38.31	29.205	35.355	0.965	4.198	1.634	15.45	35.349	41.174	21.065	40.226	1.215	2.435	1.344	5.919	34.985	33.14	25.457	41.397	0.694	0.956	1.001	3.669
21.6734	0.468	36.592	8.815	1.207	12.716	1.417	38.776	35.748	0.473	36.446	11.596	36.621	13.125	1.039	39.263	28.372	0.598	37.648	10.994	32.309	14.753	0.966	37.983	29.097	34.014	38.865	31.397	35.348	1.057	4.329	1.79	16.868	35.116	40.141	23.178	39.643	1.205	2.433	1.466	6.407	35.17	33.908	25.462	40.622	0.816	1.176	1.057	3.728
21.84013	0.383	37.434	9.212	1.254	13.041	1.499	38.091	33.412	0.554	36.213	12.181	36.002	13.607	1.12	38.414	28.088	0.607	37.769	11.546	32.633	15.817	1.109	37.524	29.038	33.165	38.011	31.887	35.28	0.939	4.726	1.576	17.735	32.937	40.551	24.62	40.251	1.286	2.443	1.642	6.771	34.228	34.363	26.448	41.098	0.668	1.124	1.007	3.903
22.00671	0.579	38.069	9.874	1.218	13.453	1.492	38.008	29.739	0.484	35.907	13.244	36.601	13.475	1.05	38.464	28.605	0.516	36.981	12.708	33.069	15.626	1.142	39.754	30.048	33.54	39.241	32.512	36.402	1.07	4.964	1.771	19.011	34.512	42.242	24.839	40.213	1.216	2.579	1.414	6.522	34.628	34.374	27.32	41.324	0.795	0.994	1.134	3.807
