	MG1655-1	HEXA1-1_1	HEXA2-9_1	HEXA4-10_1	HEXA6-9_1	mdtK-1	ompR-1	proQ-1	MG1655-2	HEXA1-1_2	HEXA2-9_2	HEXA4-10_2	HEXA6-9_2	mdtK-2	ompR-2	proQ-2	MG1655-3	HEXA1-1_3	HEXA2-9_3	HEXA4-10_3	HEXA6-9_3	mdtK-3	ompR-3	proQ-3	ptrA-1	mdtK_ompR-1	mdtK_proQ-1	mdtK_ptrA-1	ompR_ptrA-1	bioAB-1	ptrA-2	mdtK_ompR-2	mdtK_proQ-2	mdtK_ptrA-2	ompR_ptrA-2	bioAB-2	ptrA-3	mdtK_ompR-3	mdtK_proQ-3	mdtK_ptrA-3	ompR_ptrA-3	bioAB-3
12.67237	3.281	16.22	15.208	12.215	7.874	6.406	4.291	2.996	3.628	16.952	20.053	12.726	7.845	5.049	2.34	3.059	3.471	17.408	19.721	11.397	7.906	5.321	2.673	3.388	7.61	5.089	3.894	7.365	3.31	4.246	7.992	5.788	4.326	8.532	4.059	4.416	7.597	6.136	4.186	8.379	2.833	4.091
12.83898	3.191	16.272	16.463	12.584	7.525	6.372	4.46	3.165	3.881	17.031	20.305	13.209	7.783	5.821	2.451	3.285	3.465	16.942	19.226	12.167	7.96	5.318	2.898	3.384	7.69	5.516	3.861	8.337	3.364	4.128	7.901	6.186	4.495	8.269	4.257	4.872	7.535	6.132	4.614	9.178	3.03	4.49
13.00575	3.711	16.838	15.055	12.152	7.703	6.254	4.697	3.343	3.963	16.245	20.666	13.263	8.074	5.596	2.659	3.406	3.861	17.736	19.241	11.935	7.848	5.497	3.076	3.556	8.541	5.694	4.042	7.852	3.517	4.593	8.127	6.735	4.387	8.242	4.15	5.022	8.826	6.768	4.619	9.492	3.147	4.64
13.17243	3.625	16.321	15.772	12.41	7.502	6.541	4.611	3.142	4.278	17.766	20.322	13.12	7.529	6.084	2.516	3.664	3.947	16.818	19.356	12.48	7.79	6.701	3.334	3.7	8.197	5.694	4.214	8.139	3.804	4.65	8.327	6.85	4.559	8.386	4.637	5.338	9.658	6.395	4.791	10.009	3.262	4.726
13.33922	3.887	17.102	15.065	12.817	7.592	7.263	4.643	3.375	4.571	17.313	20.615	13.613	7.533	5.887	2.663	3.438	4.096	16.767	20.568	11.854	7.709	6.103	3.338	4.221	8.634	6.243	4.39	8.861	3.951	4.912	8.993	7.514	4.793	9.165	4.498	5.37	9.261	7.059	5.14	9.842	3.353	4.787
13.50579	4.068	16.196	14.912	12.655	7.858	7.016	4.995	3.641	4.668	16.982	19.825	13.767	7.599	6.555	2.957	3.676	4.194	17.497	19.807	12.152	7.975	6.254	3.346	4.173	9.737	6.395	4.712	8.353	3.986	5.207	8.487	7.466	4.8	9.203	5.021	5.292	9.415	7.469	5.434	10.024	3.447	5.254
13.67249	4.282	16.674	14.567	12.354	7.64	7.665	5.35	3.538	4.8	17.519	20.19	13.582	7.755	6.625	3.054	3.687	4.585	17.23	18.91	11.564	7.73	6.639	3.789	3.987	9.442	6.665	4.982	9.486	4.255	5.305	9.71	7.708	5.012	9.044	5.118	5.648	10.292	7.941	5.734	10.212	3.633	5.84
13.83908	4.23	16.378	15.563	12.422	7.815	7.624	5.38	3.829	5.162	17.43	20.445	13.539	7.615	7.003	3.199	4.179	4.805	17.224	19.339	11.605	7.678	6.67	3.851	4.371	9.985	7.072	4.665	9.264	4.281	5.567	9.497	7.858	5.272	9.599	5.032	5.765	10.823	7.947	5.335	10.772	3.754	5.814
14.00582	4.447	16.532	15.994	11.976	7.631	8.125	5.426	3.845	5.174	17.697	19.907	13.695	7.43	7.278	3.331	4.109	4.931	17.636	19.778	12.107	7.665	7.004	3.896	4.529	10.655	7.117	4.914	9.826	4.587	5.584	10.142	8.161	5.433	9.987	5.366	6.242	10.663	8.078	5.84	10.669	4.057	5.889
14.17251	4.487	16.68	14.835	12.014	7.558	8.274	5.756	3.628	5.409	17.296	20.771	14.018	7.299	6.974	3.604	4.036	5.165	16.891	18.83	12.632	7.734	6.815	4.253	4.509	10.282	7.732	5.071	9.462	4.919	5.912	10.377	7.914	5.82	10.744	5.438	6.14	10.498	8.089	6.054	10.648	3.896	6.102
14.3392	4.872	16.131	14.316	12.864	7.592	8.182	6.02	4.24	5.692	17.012	20.891	13.089	7.508	7.386	3.551	4.273	5.594	17.294	19.698	12.133	7.83	7.628	4.377	4.467	10.949	7.771	5.479	9.504	4.72	6.093	10.804	8.443	5.654	10.184	5.471	6.809	11.122	8.445	5.659	11.272	4.022	6.341
14.50583	5.104	16.698	14.432	12.46	7.627	8.234	5.94	4.186	6.117	16.972	21.137	13.747	7.398	7.791	3.644	4.335	5.299	18.06	18.449	12.533	7.833	7.833	4.466	4.811	10.906	8.234	5.6	10.367	5.015	6.356	10.912	9.278	5.516	10.299	5.909	6.756	11.319	8.677	6.152	11.843	4.398	6.891
14.6725	5.117	17.062	14.288	12.935	7.725	8.568	6.239	4.285	6.077	17.25	19.748	14.31	7.352	8.063	3.972	4.693	5.749	17.534	18.987	12.721	7.501	7.846	4.652	5.171	11.963	8.506	5.467	10.64	5.026	6.714	10.757	9.954	6.102	11.09	6.15	7.199	11.537	9.294	6.51	11.802	4.526	6.817
14.83917	5.708	16.612	15.323	12.747	7.713	9.039	6.227	4.215	6.232	16.54	19.642	13.747	7.57	7.878	3.788	4.45	5.644	17.802	20.173	12.245	7.804	8.408	4.811	4.754	11.338	8.924	5.542	10.367	5.418	6.96	11.688	9.767	5.86	11.765	5.995	7.388	12.871	9.309	6.353	12.418	4.57	6.948
15.00582	5.453	16.532	14.442	12.867	8.119	8.93	6.576	4.478	6.755	17.323	20.08	13.753	7.574	8.313	4.395	4.799	6.11	17.779	19.261	12.711	7.722	8.24	4.787	4.759	12.754	9.015	5.776	10.688	5.68	7.28	12.528	9.8	6.267	11.971	6.66	7.91	12.963	9.86	6.933	11.676	4.517	7.499
15.17257	5.553	16.407	14.039	12.624	7.498	9.321	6.588	4.375	6.773	17.257	19.812	13.366	7.241	8.442	4.091	4.467	6.186	18.173	19.886	12.209	7.937	8.713	5.433	5.349	12.488	9.374	5.96	11.307	5.317	7.121	11.857	10.592	6.308	10.951	6.672	8.067	12.549	10.392	6.457	12.814	4.847	7.656
15.33923	5.952	16.077	14.375	12.761	7.644	9.48	6.762	4.576	7.047	18.187	19.852	14.65	7.328	8.41	4.494	4.898	6.573	18.098	18.601	13.12	7.648	8.568	5.574	5.342	12.465	9.37	5.962	11.617	6.068	7.751	12.244	10.356	6.337	11.835	6.673	8.467	13.17	9.669	6.973	12.429	4.959	7.625
15.50582	5.626	16.791	14.902	13.414	7.889	9.562	6.835	5.312	6.496	17.927	19.649	13.753	7.143	8.428	4.539	4.914	6.8	17.434	19.232	13.056	7.665	9.217	5.592	5.535	12.15	9.791	6.121	11.292	6.341	7.74	12.614	10.72	6.526	11.626	7.005	8.485	12.618	9.803	7.163	11.704	5.495	7.844
15.67265	6.12	16.76	14.423	12.986	7.698	9.876	7.246	4.744	7.242	17.261	20.563	13.295	7.554	8.119	4.921	5.152	6.768	18.034	18.163	12.34	8.247	8.908	5.943	5.48	12.544	9.767	6.475	11.899	6.322	8.321	12.611	10.695	6.678	12.003	6.841	8.491	13.509	10.296	7.141	12.337	5.672	8.568
15.83931	6.522	16.415	13.849	13.302	7.698	9.819	7.332	5.204	7.356	17.548	20.046	13.668	7.123	9.267	5.036	5.21	6.94	17.258	18.996	12.943	7.558	9.109	5.742	5.566	13.808	9.681	6.446	11.554	6.524	8.005	12.151	10.437	7.137	12.003	7.588	8.29	12.762	10.612	7.859	11.504	5.586	8.31
16.00598	6.465	16.321	14.596	13.07	8.076	9.667	7.68	5.58	8.008	17.163	19.519	14.095	7.472	9.469	5.155	5.442	7.246	18.137	18.122	13.111	7.446	9.513	6.002	5.822	13.159	9.767	6.423	11.581	6.587	8.81	13.347	10.665	6.395	12.172	7.563	8.636	13.043	10.583	7.201	11.127	5.528	8.369
16.17256	6.656	17.15	14.175	13.148	8.006	9.864	7.554	5.626	7.688	16.845	19.746	13.859	7.546	8.741	5.487	5.775	7.616	17.418	17.719	12.674	7.894	9.473	6.364	6.188	13.046	10.389	6.352	11.286	7.033	8.398	13.029	11.03	6.928	12.021	7.666	9.085	13.899	10.459	7.247	12.01	5.835	9.306
16.33922	7.369	16.311	14.797	13.544	7.715	10.719	7.894	5.421	8.027	17.269	19.452	14.083	7.57	9.454	5.54	5.943	7.753	18.358	18.745	12.324	7.602	9.899	6.676	6.269	13.871	10.987	6.635	11.424	7.086	8.652	13.281	10.709	6.924	11.585	7.863	9.741	15.73	10.598	7.157	12.091	6.088	8.641
16.50596	7.341	16.893	13.992	12.828	8.083	10.47	8.264	5.562	8.151	17.31	19.003	14.633	7.508	9.914	5.767	5.711	7.735	17.364	18.241	12.872	7.541	9.64	6.474	6.3	14.176	10.557	6.659	11.138	7.11	9.484	13.693	11.515	7.408	12.047	8.233	9.941	14.59	10.541	7.959	11.435	6.434	8.898
16.67267	7.733	17.168	13.887	12.933	8.075	10.543	8.428	5.381	8.512	18.158	18.818	14.133	7.558	10.076	5.902	5.961	8.584	18.27	17.997	13.379	7.878	9.63	6.838	6.548	14.85	11.007	6.967	11.53	7.217	9.618	13.881	11.476	7.113	12.18	8.138	9.788	14.692	10.1	7.433	11.654	6.74	10.124
16.83931	7.6	16.692	13.36	12.915	7.91	10.757	8.81	5.993	8.324	17.051	18.342	13.799	7.595	10.029	5.997	5.854	7.822	17.967	17.982	12.556	7.915	10.099	7.02	6.473	14.808	10.989	6.544	12.144	7.455	9.283	13.981	11.17	7.064	12.737	8.319	9.884	14.676	10.397	7.413	11.837	6.836	9.703
17.00605	7.777	16.555	13.742	13.84	7.972	10.533	8.757	6.17	8.934	17.316	19.527	14.322	7.57	10.321	6.231	5.801	8.978	18.06	18.506	12.303	8.006	10.334	7.168	6.565	15.304	11.08	7.267	11.632	7.89	10.093	14.821	11.52	7.068	11.678	8.64	10.147	13.705	10.948	7.417	12.418	6.611	10.311
17.17266	8.318	17.066	13.877	13.288	8.169	10.383	9.184	5.849	9.099	17.224	19.894	14.23	7.796	10.115	6.284	6.199	8.655	17.45	17.206	12.901	7.656	9.984	7.422	6.818	14.176	11.362	7.062	11.454	7.828	9.657	14.24	11.343	7.035	11.788	8.549	10.056	14.187	10.656	7.528	11.521	6.549	9.674
17.33943	8.341	17.128	13.625	13.858	8.295	10.36	9.142	6.325	9.886	17.752	18.175	13.997	7.607	10.452	6.673	6.417	8.925	17.573	17.56	13.387	8.016	11.01	8.018	7.016	14.686	11.154	7.218	10.583	8.388	9.504	14.451	11.797	7.422	11.379	8.621	10.508	14.997	11.194	7.889	11.749	7.261	10.673
17.50606	8.86	16.927	12.876	13.772	8.468	10.619	9.488	5.98	9.511	18.097	18.492	14.458	7.751	10.048	6.788	6.157	9.357	17.429	17.704	13.531	8.131	10.636	8.278	7.333	14.974	11.471	7.275	11.015	8.359	10.138	14.537	11.769	6.904	11.926	9.457	10.681	15.112	10.935	7.543	11.374	7.146	11.047
17.6727	8.645	16.888	13.019	13.528	8.163	11.099	9.761	6.339	9.992	17.657	18.742	14.878	7.763	10.351	7.09	6.661	9.493	18.486	18.012	13.144	8.144	10.42	8.206	7.263	15.257	11.573	7.115	11.866	8.227	10.297	14.558	11.64	7.291	12.0	9.153	11.156	14.526	10.949	7.211	11.593	7.594	11.034
17.83942	9.035	16.464	13.492	14.033	8.649	10.875	9.81	6.763	10.139	17.804	18.23	14.43	7.529	9.305	7.054	6.624	9.408	17.828	18.476	13.705	8.023	10.756	8.195	7.334	15.768	10.784	7.082	11.566	8.194	10.4	14.849	11.627	7.171	11.728	9.031	10.397	16.059	11.428	7.463	12.555	7.897	10.734
18.00597	9.493	16.754	13.452	13.599	8.381	10.82	9.747	6.498	10.433	17.608	18.175	14.89	7.636	10.164	7.393	7.223	9.53	18.696	17.099	12.868	7.843	10.78	8.796	7.535	16.097	10.809	7.131	11.188	8.704	11.117	15.142	11.049	7.076	12.157	9.716	11.285	13.816	11.021	7.543	12.152	8.269	10.875
18.1728	9.477	16.822	12.992	13.871	8.657	10.485	9.906	7.031	9.693	18.249	18.214	14.614	7.652	10.206	7.495	6.777	9.365	18.33	17.367	13.342	8.089	10.362	8.896	6.798	14.835	11.398	6.946	11.518	8.951	11.188	14.603	11.523	7.323	11.997	9.126	11.472	14.835	10.891	7.53	11.473	8.023	11.09
18.33937	9.769	17.666	12.5	13.644	8.653	10.206	10.251	6.598	10.598	17.916	19.088	14.705	7.821	10.985	8.041	6.891	10.098	18.198	16.6	13.288	8.317	10.852	8.552	7.033	15.603	11.141	6.855	11.088	9.438	11.19	13.866	11.871	6.945	11.913	9.816	11.243	14.699	11.295	7.384	11.679	8.199	10.342
18.5061	9.929	17.051	13.219	14.034	8.348	11.003	10.409	7.16	11.051	17.649	17.839	14.924	7.862	10.539	7.796	7.453	9.918	18.852	16.937	12.641	8.503	11.212	8.74	7.482	14.589	11.502	7.214	11.016	9.307	10.139	15.212	12.06	7.476	11.41	9.859	11.864	14.112	10.733	7.137	11.177	8.157	11.741
18.67281	9.811	17.624	12.462	14.2	8.56	10.564	10.848	7.016	10.574	17.891	18.034	15.013	8.08	10.607	7.738	7.135	10.575	19.298	17.053	13.329	8.264	11.22	9.018	7.453	14.806	11.953	6.849	11.113	9.038	10.846	14.994	11.819	7.406	11.684	9.887	11.59	14.796	11.031	7.215	11.231	8.412	11.239
18.83954	9.695	17.566	13.274	14.345	8.995	10.419	10.5	7.481	11.038	18.007	18.15	15.274	7.905	10.462	7.855	7.251	10.778	18.775	17.082	13.329	8.555	10.872	9.163	7.831	15.183	11.663	6.936	11.954	9.212	11.746	14.529	11.674	7.493	10.988	9.365	11.59	14.332	11.727	7.534	11.231	8.586	10.716
19.00614	10.821	17.614	13.364	14.11	8.593	10.816	11.37	7.22	10.648	18.139	18.982	14.776	8.025	10.519	8.348	6.875	10.734	19.111	17.014	14.079	8.528	10.988	9.479	7.767	14.497	11.805	7.52	11.489	9.273	11.192	14.778	11.787	7.119	12.436	9.801	11.878	15.309	10.653	7.16	11.72	8.785	10.483
19.17275	10.385	17.388	13.021	14.309	9.099	10.967	11.333	7.064	11.067	18.557	18.67	15.239	8.445	10.975	8.077	7.415	10.982	19.529	17.748	14.048	8.108	10.572	9.475	7.65	15.622	11.538	7.127	11.394	9.404	10.983	15.254	11.521	7.336	11.327	9.819	11.582	14.327	10.702	7.146	11.456	9.101	11.463
19.33959	10.972	17.62	12.764	14.434	8.858	10.359	10.911	7.109	11.264	17.943	18.177	15.97	8.058	9.973	8.353	7.054	10.916	18.741	17.745	13.997	8.242	10.442	9.049	7.425	15.375	11.579	7.234	11.436	9.306	11.603	14.756	12.459	7.471	12.151	10.299	11.565	14.011	10.658	7.164	11.058	8.558	11.415
19.50616	10.252	17.398	12.355	14.99	9.028	10.28	11.231	7.166	11.22	18.681	17.866	15.541	8.171	11.25	8.672	7.401	11.57	19.16	16.218	13.77	8.646	10.645	9.255	8.272	14.64	11.348	7.434	11.553	9.681	10.968	14.304	11.824	7.265	11.864	10.182	11.77	14.396	10.948	7.365	11.352	9.317	10.982
19.67289	11.181	17.543	12.79	14.786	8.825	10.135	11.231	7.428	11.684	17.898	18.505	16.528	8.258	10.234	8.556	7.692	11.947	19.392	17.524	13.857	8.617	10.296	10.184	7.923	15.249	11.232	6.679	10.421	9.855	11.142	15.233	11.737	7.323	11.225	10.415	11.741	14.744	11.181	6.871	11.41	9.172	11.215
19.83949	11.378	17.244	11.952	14.521	9.177	11.025	11.578	7.457	11.438	18.291	17.829	15.332	8.116	10.756	8.701	7.779	11.901	19.002	17.02	14.229	8.59	10.268	9.774	7.947	14.244	11.202	7.524	10.711	9.857	11.719	15.365	11.705	7.384	11.282	10.212	13.072	14.359	10.687	7.425	10.971	9.631	11.502
20.00629	11.557	17.502	12.636	14.994	9.177	10.299	11.97	7.506	12.928	18.396	18.203	15.339	8.52	10.801	8.719	7.712	11.247	18.935	16.842	14.352	8.817	11.271	9.699	7.809	15.088	11.159	6.945	11.018	9.591	10.864	14.342	12.037	7.152	12.165	10.088	11.753	15.053	11.023	6.785	10.722	9.638	11.978
20.17286	11.773	17.817	11.85	15.378	9.124	10.293	11.763	7.495	11.873	18.608	17.879	16.017	8.499	10.477	9.06	7.498	11.555	19.145	16.579	14.187	8.916	10.887	9.818	8.283	14.569	11.01	7.093	11.099	9.865	11.588	13.882	12.183	7.535	12.136	9.756	11.751	15.163	10.0	6.793	10.753	9.88	11.312
20.3395	11.239	18.356	12.413	14.99	9.348	10.513	11.608	7.341	12.381	18.769	18.215	15.802	8.606	10.96	9.398	7.401	12.44	19.682	16.537	14.263	8.965	10.122	10.242	7.836	14.727	11.523	7.114	10.653	9.536	11.055	14.217	11.824	7.352	11.167	10.357	11.508	14.918	10.861	7.133	10.307	9.956	11.65
20.50631	11.256	17.736	12.731	14.977	9.302	10.677	11.594	7.587	12.403	18.47	18.002	16.313	8.416	10.482	9.064	7.706	12.405	19.355	17.022	14.309	8.747	10.485	9.562	8.26	14.867	11.451	7.272	10.581	9.898	10.983	14.382	12.072	7.597	10.717	10.022	11.785	14.531	10.702	6.971	10.788	9.973	11.23
20.67291	11.594	18.137	12.339	15.255	9.569	10.35	11.635	8.004	12.462	18.323	17.47	15.896	8.713	10.231	8.813	7.483	12.089	19.964	17.074	14.355	9.045	10.902	10.07	7.987	14.029	11.318	7.247	10.882	9.731	11.549	14.466	11.795	7.195	10.845	9.885	11.624	13.882	10.421	7.53	10.977	9.321	11.534
20.83958	11.96	18.241	11.419	15.592	9.706	9.901	11.799	7.849	12.505	18.833	17.109	16.146	8.733	10.279	9.065	6.949	12.51	18.757	16.625	14.256	9.152	10.776	9.681	8.208	15.439	11.482	7.5	10.698	9.722	11.364	13.609	11.785	7.216	10.573	9.527	12.049	14.132	10.324	6.823	10.21	9.717	10.825
21.00635	12.162	17.827	11.997	15.971	9.605	10.187	11.864	7.249	12.257	18.703	16.96	16.464	8.602	9.823	9.19	7.716	11.823	20.023	16.124	14.577	9.338	10.466	9.569	8.527	14.226	11.924	7.255	10.648	9.503	11.369	15.226	11.674	6.738	10.61	9.916	11.823	14.593	10.595	6.867	9.431	9.95	11.558
21.17288	11.181	18.65	11.848	15.541	9.776	10.428	11.43	7.597	12.301	19.356	17.927	17.11	8.686	10.259	9.162	7.832	11.491	20.095	16.86	14.931	9.221	10.872	10.27	8.475	13.837	11.113	7.484	10.62	10.053	11.749	14.948	11.793	7.518	11.105	10.119	11.709	13.933	10.712	6.835	10.188	9.694	11.066
21.33962	12.046	18.233	12.084	15.797	9.895	10.361	11.748	7.423	13.68	19.052	17.396	16.522	8.863	10.171	9.48	7.484	12.346	19.385	16.008	15.448	9.425	10.93	10.092	8.179	13.413	10.705	6.82	10.939	9.415	11.108	13.6	11.906	7.319	10.872	9.568	12.113	13.316	10.015	6.635	9.867	9.34	11.035
21.50632	12.034	18.365	11.718	16.075	9.915	10.407	11.651	7.848	12.359	19.124	16.6	16.191	8.68	10.597	9.615	7.503	12.185	19.69	15.734	15.0	9.329	10.282	9.965	7.819	14.645	11.594	7.45	10.058	9.784	11.881	13.703	11.46	7.165	10.194	9.965	11.203	13.884	10.614	6.51	9.769	9.938	11.228
21.67294	11.889	18.8	11.602	16.046	9.886	10.465	11.941	7.848	12.185	19.211	16.716	16.452	9.145	9.813	9.383	8.141	12.098	20.27	15.444	14.971	9.184	10.833	9.82	8.428	13.949	11.42	6.841	10.203	9.203	11.271	14.196	11.315	7.136	10.281	9.994	11.841	13.449	10.411	6.539	9.189	9.822	11.808
21.83971	12.375	18.847	11.664	15.838	9.889	10.253	11.968	7.993	13.01	19.545	16.738	16.561	9.118	10.016	9.613	7.446	11.937	20.401	16.131	15.284	9.504	10.804	10.367	7.843	13.264	11.012	7.222	10.116	10.278	11.587	14.301	11.371	7.053	10.397	10.285	11.375	14.688	9.948	6.485	9.651	10.136	11.023
22.00641	12.84	18.446	11.419	16.244	9.882	10.081	11.994	7.582	12.438	19.552	17.116	16.939	9.372	10.795	9.842	7.15	12.497	20.988	15.902	15.43	9.585	10.8	10.568	8.423	14.289	11.241	6.837	9.589	10.098	11.092	13.842	11.368	7.132	10.364	9.815	11.807	13.762	10.058	6.535	9.619	10.02	11.194
22.17287	12.342	19.343	11.193	16.064	10.335	10.019	11.782	7.863	13.019	18.798	17.17	17.138	9.419	10.263	9.746	7.256	12.179	19.973	15.115	15.018	9.807	10.471	10.242	7.749	14.233	11.436	6.911	10.566	9.449	11.316	13.723	11.969	7.091	9.715	9.747	11.131	13.438	10.281	7.191	9.436	10.043	11.244
22.33958	12.469	18.713	11.312	16.714	10.38	10.755	12.144	7.558	12.997	19.908	16.339	17.322	9.29	9.784	9.267	7.677	12.504	20.212	15.502	15.581	9.706	10.369	10.342	7.732	14.21	11.855	7.015	10.319	10.19	11.271	13.5	11.721	6.788	10.194	10.342	11.551	13.42	10.44	6.452	9.682	9.909	10.532
22.50628	12.15	18.887	10.616	15.785	10.351	10.639	11.767	7.558	12.359	19.473	16.31	17.757	9.464	9.9	9.47	7.706	12.069	20.473	15.27	15.494	9.706	10.63	10.139	8.254	14.268	11.043	6.725	9.333	9.697	11.01	13.587	11.547	6.788	10.252	9.965	12.102	14.232	9.57	6.713	9.595	10.17	11.025
22.673	12.342	18.385	10.99	16.644	10.19	10.28	11.956	7.311	12.09	19.872	16.531	17.515	9.651	9.799	9.717	8.04	12.557	20.582	14.157	15.773	10.127	10.471	9.72	7.807	13.885	11.174	7.085	9.811	9.594	11.113	13.462	11.127	7.003	10.18	9.747	11.567	13.989	9.932	6.61	9.814	10.101	11.302
22.8396	12.168	18.907	11.193	16.819	10.799	10.658	12.043	7.95	11.452	20.133	16.415	17.428	9.768	10.321	9.456	7.227	11.947	21.018	14.883	15.802	10.04	10.064	10.01	7.894	14.146	10.71	6.853	9.289	10.117	10.939	14.536	11.505	6.829	9.512	10.095	11.567	13.612	10.194	6.262	9.059	10.014	11.476
23.00645	13.31	18.945	10.355	17.439	10.699	9.275	11.1	6.746	12.591	19.676	16.484	17.264	9.58	9.523	9.441	7.242	12.446	20.473	15.27	16.509	10.054	10.456	9.791	7.558	13.136	10.985	6.841	9.449	9.697	10.923	14.254	10.793	6.788	9.527	10.168	11.725	14.29	10.353	6.713	9.015	10.345	10.677
23.17308	13.238	18.985	11.163	16.556	10.493	9.725	11.181	7.206	12.539	20.03	15.689	17.656	9.751	9.229	9.087	7.499	12.798	20.771	14.908	16.553	10.166	9.641	9.84	7.692	13.46	10.747	6.696	9.301	10.158	11.003	13.048	11.424	6.846	9.031	9.758	11.428	13.841	10.146	6.393	9.124	10.333	10.844
23.3398	12.722	20.122	10.911	17.113	10.874	9.818	11.476	7.269	12.865	19.893	15.926	17.981	9.668	10.103	9.411	6.866	12.458	20.778	14.827	16.356	10.431	10.37	9.874	7.669	13.641	10.433	7.483	9.595	9.496	11.269	13.837	11.458	6.879	9.122	9.676	11.723	13.761	10.122	6.137	8.985	9.875	11.487
23.50647	12.462	19.108	10.708	17.229	10.932	9.499	11.389	7.211	12.72	19.951	16.824	18.183	9.929	9.958	9.497	7.185	12.98	20.865	15.233	16.125	10.344	9.935	10.454	8.133	14.858	10.925	6.642	9.16	9.293	10.631	13.634	11.284	6.966	9.238	9.792	11.288	13.558	10.324	6.05	9.332	9.817	10.936
23.67313	12.89	19.362	11.105	17.483	10.928	9.87	11.615	7.438	13.09	20.03	15.92	18.38	9.896	9.866	9.579	7.093	12.277	21.263	14.792	16.379	10.542	9.67	10.622	8.04	13.691	10.92	6.783	9.329	9.462	11.09	13.483	10.844	7.02	9.031	10.541	11.602	13.233	10.146	5.959	8.748	9.521	10.67
23.8397	12.271	19.382	10.726	17.212	11.057	10.178	11.544	7.075	13.141	20.719	15.967	18.457	10.199	9.707	9.595	7.397	12.735	21.285	14.985	16.832	10.267	10.263	10.059	7.854	13.222	10.443	6.911	9.227	9.679	11.424	13.822	11.178	7.032	9.682	10.381	11.038	13.831	10.218	6.348	8.908	10.089	10.483
24.00636	12.528	19.444	10.485	17.295	10.896	9.422	11.705	6.885	12.831	20.467	16.514	18.37	9.98	9.17	9.234	6.888	13.182	20.771	15.795	16.598	10.485	9.435	10.34	7.935	13.116	10.894	6.6	9.879	9.4	10.891	13.62	11.399	6.663	9.435	10.686	11.577	14.234	9.68	6.444	8.808	9.851	11.545
24.17317	12.121	19.99	10.877	17.352	11.018	9.565	11.854	7.007	12.243	21.068	15.962	18.222	10.189	9.9	9.383	7.039	13.201	21.402	15.009	17.438	10.693	10.021	10.342	7.268	12.991	10.434	6.638	9.362	9.581	10.111	13.007	10.764	6.817	8.57	9.559	11.725	16.437	10.092	5.988	9.044	9.822	10.706
24.33982	12.869	19.519	10.781	17.984	11.1	9.298	11.501	6.915	12.99	21.003	16.42	18.012	10.387	9.721	9.726	6.802	12.236	21.133	15.583	16.677	10.485	9.146	10.307	6.653	13.39	10.255	6.547	8.98	9.605	10.773	13.784	11.136	6.784	8.884	10.163	11.488	12.747	10.0	5.81	8.343	9.991	10.498
24.50647	12.69	19.894	10.816	17.689	11.467	9.467	11.956	6.586	13.019	20.656	16.821	19.199	10.145	9.45	9.775	7.053	12.034	21.163	15.144	17.311	10.678	9.948	10.068	7.314	13.014	10.565	7.027	8.766	9.623	10.59	13.433	11.389	6.655	9.077	9.805	11.16	13.699	10.513	6.087	9.291	10.304	10.692
24.67322	12.692	19.638	10.424	18.301	11.2	8.946	12.069	6.725	12.563	20.809	16.038	19.232	10.256	9.358	9.074	6.35	12.682	21.374	14.797	17.256	10.645	9.158	10.125	7.226	13.023	10.648	6.757	8.411	9.704	11.081	12.943	11.066	7.024	8.664	9.334	11.156	12.974	9.549	5.963	8.793	10.043	10.369
24.83985	12.028	19.983	10.868	17.694	11.274	10.023	11.211	7.031	12.264	20.8	16.333	18.563	10.561	10.302	9.9	6.976	12.758	22.12	14.829	17.518	10.949	9.755	9.901	6.624	13.506	10.11	6.489	8.197	9.228	10.106	13.087	10.875	6.871	8.826	9.902	10.937	12.747	9.652	6.419	8.749	10.542	10.411
25.00653	11.61	20.323	11.068	18.003	11.549	8.736	11.516	6.668	12.431	20.677	16.322	18.844	10.46	9.417	9.625	6.729	12.026	21.707	15.109	17.537	11.051	9.711	9.976	6.815	12.803	10.473	6.559	9.197	9.444	10.324	13.513	11.151	6.651	8.666	9.8	10.284	12.532	9.666	6.112	8.154	10.211	9.99
25.17316	12.016	20.114	10.734	18.639	11.7	9.547	12.013	6.848	11.96	20.553	16.379	18.898	10.61	8.987	9.107	6.967	11.496	21.119	15.02	17.795	11.084	9.572	10.035	6.787	13.403	10.274	6.539	8.333	9.683	10.647	13.335	10.662	7.152	9.397	9.719	11.043	13.17	9.991	6.178	8.768	10.356	10.343
25.33994	12.548	20.528	10.853	18.533	11.396	8.862	11.389	6.544	12.286	20.936	16.564	20.154	10.798	9.118	9.7	6.2	11.705	21.995	14.798	18.066	11.098	9.095	10.396	7.032	12.772	10.172	7.048	8.378	10.162	10.515	13.46	10.733	6.85	8.543	9.792	10.506	12.659	10.556	5.789	8.811	10.136	10.299
25.50647	12.009	21.057	10.595	18.456	11.556	9.336	11.547	6.444	12.437	21.261	16.661	19.033	10.726	9.104	9.482	6.013	12.262	22.088	15.533	17.554	11.054	9.4	9.829	6.957	12.46	10.476	6.949	8.712	9.019	9.747	14.309	10.805	6.693	8.761	9.575	10.462	12.266	9.847	6.038	8.304	9.944	10.052
