,strain,compound,slope,replicate
79,MG1655,hexanoate,0.2283260991218476,MG1655-3
80,mdtK_proQ,hexanoate,0.2513136960153568,mdtK_proQ-1
81,ompR_ptrA,hexanoate,0.2296944902247724,ompR_ptrA-2
82,MG1655,hexanoate,0.2023890224112841,MG1655-1
83,mdtK_ompR,hexanoate,0.3418931846390847,mdtK_ompR-3
84,mdtK_ptrA,hexanoate,0.2599944317585186,mdtK_ptrA-3
85,ompR_ptrA,hexanoate,0.2244995445082163,ompR_ptrA-3
86,ompR_ptrA,hexanoate,0.2432819798548213,ompR_ptrA-1
87,metJ_purT,"2,3-butanediol",0.1493190670518096,metJ_purT-1
88,relA,"2,3-butanediol",0.0,relA-1
89,relA,"2,3-butanediol",0.0,relA-3
90,metJ_acrB,"2,3-butanediol",0.1858696364361702,metJ_acrB-3
91,metJ_relA,"2,3-butanediol",0.0582395630797919,metJ_relA-2
92,purT,"2,3-butanediol",0.0,purT-1
93,metJ,"2,3-butanediol",0.1522153881630423,metJ-3
95,yfgF,"2,3-butanediol",0.0257269390024939,yfgF-3
97,relA_purT,"2,3-butanediol",0.0,relA_purT-2
98,yfgF,"2,3-butanediol",0.0,yfgF-1
99,metJ,"2,3-butanediol",0.136142310708833,metJ-2
102,fabR,"2,3-butanediol",0.0,fabR-1
103,metJ_relA,"2,3-butanediol",0.0597036349930489,metJ_relA-1
105,purT,"2,3-butanediol",0.0,purT-3
107,metJ_acrB,"2,3-butanediol",0.2060064956429085,metJ_acrB-2
108,metJ_purT,"2,3-butanediol",0.0330210689893967,metJ_purT-3
110,metJ_relA,"2,3-butanediol",0.033336369055984,metJ_relA-3
111,fabR,"2,3-butanediol",0.0,fabR-2
112,metJ_purT,"2,3-butanediol",0.1511730125940152,metJ_purT-2
113,relA_purT,"2,3-butanediol",0.0226654812001863,relA_purT-1
114,MG1655,"2,3-butanediol",0.0,MG1655-2
115,fabR_yfgF,"2,3-butanediol",0.0349023925596694,fabR_yfgF-3
116,metJ,"2,3-butanediol",0.1689507001237207,metJ-1
121,relA_purT,"2,3-butanediol",0.0493984661803207,relA_purT-3
122,fabR_yfgF,"2,3-butanediol",0.0,fabR_yfgF-2
123,yfgF,"2,3-butanediol",0.0749925354088602,yfgF-2
124,fabR,"2,3-butanediol",0.0,fabR-3
126,fabR_yfgF,"2,3-butanediol",0.0,fabR_yfgF-1
127,metJ_acrB,"2,3-butanediol",0.2096615161892011,metJ_acrB-1
128,relA,"2,3-butanediol",0.0,relA-2
129,MG1655,"2,3-butanediol",0.0,MG1655-3
130,MG1655,"2,3-butanediol",0.0,MG1655-1
131,purT,"2,3-butanediol",0.0,purT-2
132,sspA,"1,2-propanediol",0.5030630461423522,sspA-3
133,sspA,"1,2-propanediol",0.2851598718584377,sspA-1
134,sspA,"1,2-propanediol",0.2484822136048356,sspA-2
135,MG1655,"1,2-propanediol",0.1815852131329633,MG1655-3
136,MG1655,"1,2-propanediol",0.2953594260544004,MG1655-2
137,rph,"1,2-propanediol",0.0,rph-1
138,rph,"1,2-propanediol",0.4313497144051484,rph-3
139,MG1655,"1,2-propanediol",0.0,MG1655-1
140,rph,"1,2-propanediol",0.2441382916831183,rph-2
141,proV_ptsP_wbbK,putrescine,0.0725833108642746,proV_ptsP_wbbK-3
142,proV_yobF,putrescine,0.1589837164736554,proV_yobF-1
143,proV_ptsP,putrescine,0.087577384649195,proV_ptsP-1
145,proV_ptsP,putrescine,0.1142181765252568,proV_ptsP-2
147,yeaR,putrescine,0.0929090666954134,yeaR-1
149,proV_yobF,putrescine,0.1055543069407654,proV_yobF-2
151,proV_yobF,putrescine,0.0509066580832945,proV_yobF-3
154,proV_wbbK,putrescine,0.1020507419551666,proV_wbbK-1
155,proV_ptsP_wbbK,putrescine,0.0337068451090883,proV_ptsP_wbbK-2
156,yeaR,putrescine,0.0,yeaR-3
158,cspC,putrescine,0.1186067203863073,cspC-2
159,yeaR,putrescine,0.0587895357499184,yeaR-2
160,proV,putrescine,0.1110940397800706,proV-2
161,proV_nagC,putrescine,0.0333341606084817,proV_nagC-3
162,proV_ptsP,putrescine,0.0623328686810958,proV_ptsP-3
164,pstS,putrescine,0.0724098945593376,pstS-2
165,proV_wbbK,putrescine,0.101072028655141,proV_wbbK-2
166,proV,putrescine,0.1236899539778358,proV-3
168,cspC,putrescine,0.0952494684829276,cspC-3
169,proV_nagC,putrescine,0.1260290647583929,proV_nagC-1
170,MG1655,putrescine,0.1190389641991423,MG1655-2
171,pstS,putrescine,0.0741491300350906,pstS-1
173,cspC,putrescine,0.0959406792642403,cspC-1
174,proV_ptsP_wbbK,putrescine,0.294992580920552,proV_ptsP_wbbK-1
175,proV_cspC,putrescine,0.0589771947078876,proV_cspC-3
177,proV_cspC,putrescine,0.1778834990209424,proV_cspC-1
180,pstS,putrescine,0.0576993243960129,pstS-3
181,proV_cspC,putrescine,0.1249047020129369,proV_cspC-2
182,proV_wbbK,putrescine,0.1416406520379437,proV_wbbK-3
183,proV,putrescine,0.1451565545484712,proV-1
184,proV_nagC,putrescine,0.1237469346589766,proV_nagC-2
185,MG1655,putrescine,0.0905764968137934,MG1655-3
186,MG1655,putrescine,0.0467685793915861,MG1655-1
189,nusA_sspA_ybeX_mpl,HMDA,0.4525249461173821,nusA_sspA_ybeX_mpl-1
190,nusA_sspA,HMDA,0.3892888179127857,nusA_sspA-2
191,nusA_sspA_mpl,HMDA,0.3306803136488077,nusA_sspA_mpl-2
193,proV_ptsP,HMDA,0.213299842515182,proV_ptsP-2
194,rpsG1_mpl,HMDA,0.3027121587900217,rpsG1_mpl-3
196,proV_ptsP_mpl,HMDA,0.3022963851099494,proV_ptsP_mpl-1
197,rpsG1_ybeX_mpl,HMDA,0.3072691671141819,rpsG1_ybeX_mpl-3
198,ybeX,HMDA,0.1665862139159443,ybeX-3
199,proV_ptsP_mpl,HMDA,0.3082740053145563,proV_ptsP_mpl-2
200,nusA_sspA_ybeX_mpl,HMDA,0.3916513010372281,nusA_sspA_ybeX_mpl-2
201,nusA_sspA_ybeX,HMDA,0.2571485807712517,nusA_sspA_ybeX-3
202,nusA_sspA_mpl,HMDA,0.3207914660746977,nusA_sspA_mpl-3
203,mpl,HMDA,0.1423392373373799,mpl-1
204,nusA_sspA_mpl,HMDA,0.3711095021455161,nusA_sspA_mpl-1
205,nusA_sspA,HMDA,0.2654037975151952,nusA_sspA-3
206,rpsG1,HMDA,0.2523039168125143,rpsG1-1
207,proV_ptsP_ybeX_mpl,HMDA,0.3276239261894362,proV_ptsP_ybeX_mpl-3
208,nusA_sspA,HMDA,0.2971068564478167,nusA_sspA-1
209,rpsG1_ybeX,HMDA,0.2748827186627853,rpsG1_ybeX-1
210,ybeX,HMDA,0.1760448892369204,ybeX-2
211,nusA_sspA_ybeX,HMDA,0.3007436102608755,nusA_sspA_ybeX-1
212,proV_ptsP,HMDA,0.1204629183100716,proV_ptsP-1
213,MG1655,HMDA,0.1192210518226053,MG1655-2
214,ybeX,HMDA,0.169246526465291,ybeX-1
215,rpsG1,HMDA,0.2540185588952173,rpsG1-2
216,rpsG1_mpl,HMDA,0.2643054974776117,rpsG1_mpl-1
217,proV_ptsP_ybeX_mpl,HMDA,0.3407551557361148,proV_ptsP_ybeX_mpl-2
218,nusA_sspA_ybeX,HMDA,0.3181385931601129,nusA_sspA_ybeX-2
219,proV_ptsP_ybeX,HMDA,0.2570410142429833,proV_ptsP_ybeX-2
220,proV_ptsP_ybeX,HMDA,0.2071330031120411,proV_ptsP_ybeX-3
221,rpsG1,HMDA,0.2403170955981431,rpsG1-3
222,rpsG1_ybeX,HMDA,0.2905961419695391,rpsG1_ybeX-2
223,rpsG1_ybeX_mpl,HMDA,0.317587474375912,rpsG1_ybeX_mpl-2
224,proV_ptsP_ybeX_mpl,HMDA,0.3515938436717856,proV_ptsP_ybeX_mpl-1
225,proV_ptsP,HMDA,0.1581902205388827,proV_ptsP-3
227,rpsG1_ybeX_mpl,HMDA,0.319626032734061,rpsG1_ybeX_mpl-1
228,rpsG1_mpl,HMDA,0.2931756238202652,rpsG1_mpl-2
229,proV_ptsP_ybeX,HMDA,0.2639240926201895,proV_ptsP_ybeX-1
230,nusA_sspA_ybeX_mpl,HMDA,0.3850359495734186,nusA_sspA_ybeX_mpl-3
231,MG1655,HMDA,0.1021320277673599,MG1655-3
232,MG1655,HMDA,0.0533593034093737,MG1655-1
233,mpl,HMDA,0.1271669900394205,mpl-2
234,rpsG1_ybeX,HMDA,0.2735425951003257,rpsG1_ybeX-3
235,mpl,HMDA,0.1223525406934239,mpl-3
236,proV_ptsP_mpl,HMDA,0.3076463573809401,proV_ptsP_mpl-3
237,proV_cspC_mpl,HMDA,0.2567528005710874,proV_cspC_mpl-2
238,ygaC_ybeX_mpl,HMDA,0.3828227013649697,ygaC_ybeX_mpl-2
239,ygaC,HMDA,0.2618309081945938,ygaC-1
240,ygaC_ybeX,HMDA,0.3953152439714539,ygaC_ybeX-3
241,rpsG1_mreB,HMDA,0.3541299050778247,rpsG1_mreB-1
244,rpsG1_mreB_ybeX_mpl,HMDA,0.4190610707427225,rpsG1_mreB_ybeX_mpl-2
245,rpsG1_mreB,HMDA,0.3504897289732637,rpsG1_mreB-3
246,ygaC_mpl,HMDA,0.2642162967770082,ygaC_mpl-2
247,ygaC_ybeX,HMDA,0.3806411771690625,ygaC_ybeX-2
250,rpsG1_mreB_ybeX_mpl,HMDA,0.3909775750690475,rpsG1_mreB_ybeX_mpl-1
251,proV_cspC_mpl,HMDA,0.22719231710524,proV_cspC_mpl-3
252,proV_cspC_ybeX_mpl,HMDA,0.3686673224338337,proV_cspC_ybeX_mpl-1
254,rpsG1_mreB_ybeX,HMDA,0.4176028451941538,rpsG1_mreB_ybeX-2
255,ygaC_mpl,HMDA,0.2490866915607341,ygaC_mpl-1
256,ygaC_mpl,HMDA,0.2649298388393973,ygaC_mpl-3
257,ygaC_ybeX,HMDA,0.3955462919179574,ygaC_ybeX-1
258,proV_cspC_ybeX,HMDA,0.2996896521599704,proV_cspC_ybeX-2
259,rpsG1_mreB,HMDA,0.3588709280673173,rpsG1_mreB-2
260,ygaC,HMDA,0.2528815185847907,ygaC-2
261,MG1655,HMDA,0.1296655404697417,MG1655-2
262,proV_cspC_ybeX,HMDA,0.3037716313920371,proV_cspC_ybeX-1
263,proV_cspC_mpl,HMDA,0.2590277654284089,proV_cspC_mpl-1
264,rpsG1_mreB_mpl,HMDA,0.3240361292939442,rpsG1_mreB_mpl-1
265,proV_cspC,HMDA,0.0548660353504265,proV_cspC-3
266,rpsG1_mreB_mpl,HMDA,0.3075461909244274,rpsG1_mreB_mpl-3
267,ygaC_ybeX_mpl,HMDA,0.3010107304002511,ygaC_ybeX_mpl-3
268,rpsG1_mreB_ybeX,HMDA,0.4264812253580552,rpsG1_mreB_ybeX-3
269,proV_cspC_ybeX_mpl,HMDA,0.3511348589323341,proV_cspC_ybeX_mpl-2
270,proV_cspC_ybeX,HMDA,0.2265873059183281,proV_cspC_ybeX-3
271,rpsG1_mreB_mpl,HMDA,0.3242492295106746,rpsG1_mreB_mpl-2
272,ygaC_ybeX_mpl,HMDA,0.3845278183705379,ygaC_ybeX_mpl-1
273,rpsG1_mreB_ybeX_mpl,HMDA,0.4024914142600439,rpsG1_mreB_ybeX_mpl-3
274,proV_cspC,HMDA,0.1432572553036851,proV_cspC-2
275,rpsG1_mreB_ybeX,HMDA,0.4111086508284586,rpsG1_mreB_ybeX-1
276,proV_cspC_ybeX_mpl,HMDA,0.3353935310920408,proV_cspC_ybeX_mpl-3
277,proV_cspC,HMDA,0.207828521817824,proV_cspC-1
278,ygaC,HMDA,0.2536660721987988,ygaC-3
279,MG1655,HMDA,0.1509769705261399,MG1655-3
280,MG1655,HMDA,0.1500918246943511,MG1655-1
282,proV_cspC_mpl,putrescine,0.1893899722590039,proV_cspC_mpl-2
283,ygaC_ybeX_mpl,putrescine,0.1360876502258525,ygaC_ybeX_mpl-2
284,ygaC,putrescine,0.2051412289875731,ygaC-1
285,ygaC_ybeX,putrescine,0.1738766554850304,ygaC_ybeX-3
286,rpsG1_mreB,putrescine,0.2762379642284692,rpsG1_mreB-1
289,rpsG1_mreB_ybeX_mpl,putrescine,0.2349625536562318,rpsG1_mreB_ybeX_mpl-2
290,rpsG1_mreB,putrescine,0.2797897586729676,rpsG1_mreB-3
291,ygaC_mpl,putrescine,0.2294771298090198,ygaC_mpl-2
292,ygaC_ybeX,putrescine,0.1289236866864631,ygaC_ybeX-2
295,rpsG1_mreB_ybeX_mpl,putrescine,0.2523195648792019,rpsG1_mreB_ybeX_mpl-1
296,proV_cspC_mpl,putrescine,0.1765625494586049,proV_cspC_mpl-3
297,proV_cspC_ybeX_mpl,putrescine,0.1980696981634019,proV_cspC_ybeX_mpl-1
299,rpsG1_mreB_ybeX,putrescine,0.2631579287103381,rpsG1_mreB_ybeX-2
300,ygaC_mpl,putrescine,0.2116459086639241,ygaC_mpl-1
301,ygaC_mpl,putrescine,0.2303248510559915,ygaC_mpl-3
302,ygaC_ybeX,putrescine,0.1517514935378777,ygaC_ybeX-1
303,proV_cspC_ybeX,putrescine,0.1202346282864374,proV_cspC_ybeX-2
304,rpsG1_mreB,putrescine,0.2841660818657384,rpsG1_mreB-2
305,ygaC,putrescine,0.2351211150890341,ygaC-2
306,MG1655,putrescine,0.2633750570900574,MG1655-2
307,proV_cspC_ybeX,putrescine,0.1891139327774862,proV_cspC_ybeX-1
308,proV_cspC_mpl,putrescine,0.2095677423200068,proV_cspC_mpl-1
309,rpsG1_mreB_mpl,putrescine,0.2671949954705594,rpsG1_mreB_mpl-1
310,proV_cspC,putrescine,0.0,proV_cspC-3
311,rpsG1_mreB_mpl,putrescine,0.2776043772613324,rpsG1_mreB_mpl-3
312,ygaC_ybeX_mpl,putrescine,0.1275415363419676,ygaC_ybeX_mpl-3
313,rpsG1_mreB_ybeX,putrescine,0.2635071479283346,rpsG1_mreB_ybeX-3
314,proV_cspC_ybeX_mpl,putrescine,0.1935684925281513,proV_cspC_ybeX_mpl-2
315,proV_cspC_ybeX,putrescine,0.0919022891775536,proV_cspC_ybeX-3
316,rpsG1_mreB_mpl,putrescine,0.273190268594963,rpsG1_mreB_mpl-2
317,ygaC_ybeX_mpl,putrescine,0.1240868927438593,ygaC_ybeX_mpl-1
318,rpsG1_mreB_ybeX_mpl,putrescine,0.2396864325863693,rpsG1_mreB_ybeX_mpl-3
319,proV_cspC,putrescine,0.1266388881610619,proV_cspC-2
320,rpsG1_mreB_ybeX,putrescine,0.2809385573801015,rpsG1_mreB_ybeX-1
321,proV_cspC_ybeX_mpl,putrescine,0.1665840376829463,proV_cspC_ybeX_mpl-3
322,proV_cspC,putrescine,0.1918990398638823,proV_cspC-1
323,ygaC,putrescine,0.2458278471708763,ygaC-3
324,MG1655,putrescine,0.0412505451175974,MG1655-3
325,MG1655,putrescine,0.141116489412918,MG1655-1
328,metJ_purT,"1,2-propanediol",0.3417496310997268,metJ_purT-1
329,metJ_acrB,"1,2-propanediol",0.1389915623006387,metJ_acrB-3
330,relA,"1,2-propanediol",0.2814810677047983,relA-3
331,metJ_relA,"1,2-propanediol",0.1263039853971367,metJ_relA-2
332,purT,"1,2-propanediol",0.2872171390300035,purT-1
334,metJ,"1,2-propanediol",0.3459947614218722,metJ-3
335,yfgF,"1,2-propanediol",0.2349697645410274,yfgF-3
336,relA_purT,"1,2-propanediol",0.1174259767151401,relA_purT-2
337,yfgF,"1,2-propanediol",0.1640190640831025,yfgF-1
338,metJ,"1,2-propanediol",0.1390880840854352,metJ-2
340,metJ_relA,"1,2-propanediol",0.2729379210485846,metJ_relA-1
341,purT,"1,2-propanediol",0.3145539169441232,purT-3
342,relA,"1,2-propanediol",0.0917454027587183,relA-2
343,metJ_acrB,"1,2-propanediol",0.1412809286978661,metJ_acrB-2
345,metJ_purT,"1,2-propanediol",0.0960874418695354,metJ_purT-3
347,metJ_relA,"1,2-propanediol",0.0814494992952192,metJ_relA-3
348,fabR,"1,2-propanediol",0.1705001150645209,fabR-2
349,metJ_purT,"1,2-propanediol",0.3173614531800371,metJ_purT-2
350,relA_purT,"1,2-propanediol",0.1449568525120643,relA_purT-1
351,MG1655,"1,2-propanediol",0.1820346959083928,MG1655-2
355,metJ,"1,2-propanediol",0.1909387256444919,metJ-1
356,fabR_yfgF,"1,2-propanediol",0.1602203131088735,fabR_yfgF-3
361,relA_purT,"1,2-propanediol",0.053636250808588,relA_purT-3
362,fabR_yfgF,"1,2-propanediol",0.125957894252793,fabR_yfgF-2
363,yfgF,"1,2-propanediol",0.1204331110308861,yfgF-2
364,fabR,"1,2-propanediol",0.2416277698918265,fabR-3
365,relA,"1,2-propanediol",0.0882977604880088,relA-1
366,fabR_yfgF,"1,2-propanediol",0.1399007185903054,fabR_yfgF-1
367,metJ_acrB,"1,2-propanediol",0.1347631778231549,metJ_acrB-1
368,fabR,"1,2-propanediol",0.1622772357599978,fabR-1
369,MG1655,"1,2-propanediol",0.2498649287599589,MG1655-3
370,MG1655,"1,2-propanediol",0.183556136924826,MG1655-1
371,purT,"1,2-propanediol",0.3083209134867402,purT-2
372,acrB,"2,3-butanediol",0.0242686444625216,acrB-2
373,metJ_relA_yeaR,"2,3-butanediol",0.1122710221920796,metJ_relA_yeaR-1
375,metJ_relA_acrB,"2,3-butanediol",0.0930747686677661,metJ_relA_acrB-3
376,metJ_relA_purT,"2,3-butanediol",0.1109796409170013,metJ_relA_purT-2
377,acrB,"2,3-butanediol",0.0921139792725303,acrB-3
379,metJ,"2,3-butanediol",0.1582251271404623,metJ-3
380,metJ_relA_rnb,"2,3-butanediol",0.0694136326394175,metJ_relA_rnb-1
381,metJ,"2,3-butanediol",0.1647330763086375,metJ-2
382,MG1655,"2,3-butanediol",0.0,MG1655-2
383,metJ_relA_rnb,"2,3-butanediol",0.0837244557969367,metJ_relA_rnb-2
385,acrB,"2,3-butanediol",0.0797900029860668,acrB-1
386,metJ_relA_clsA,"2,3-butanediol",0.0,metJ_relA_clsA-3
387,metJ_relA_yeaR,"2,3-butanediol",0.1033948048178039,metJ_relA_yeaR-2
389,metJ_relA_acrB,"2,3-butanediol",0.051721100133875,metJ_relA_acrB-1
390,metJ_relA_treA,"2,3-butanediol",0.1201671821281731,metJ_relA_treA-1
393,metJ_relA_clsA,"2,3-butanediol",0.6993441575825825,metJ_relA_clsA-2
394,metJ_acrB,"2,3-butanediol",0.2088283151574278,metJ_acrB-2
396,metJ_relA_purT,"2,3-butanediol",0.1079325667670449,metJ_relA_purT-1
397,metJ_relA_treR,"2,3-butanediol",0.0698994352463682,metJ_relA_treR-3
398,metJ_relA_treR,"2,3-butanediol",0.1051603043504283,metJ_relA_treR-1
399,metJ_relA_clsA,"2,3-butanediol",0.0353556382067992,metJ_relA_clsA-1
400,metJ,"2,3-butanediol",0.1279046486396065,metJ-1
402,metJ_relA_treA,"2,3-butanediol",0.1337612097016799,metJ_relA_treA-2
404,metJ_relA_acrB,"2,3-butanediol",0.0414915573914583,metJ_relA_acrB-2
407,metJ_acrB,"2,3-butanediol",0.1861071678154646,metJ_acrB-3
408,metJ_relA_rnb,"2,3-butanediol",0.1637670296922488,metJ_relA_rnb-3
410,metJ_acrB,"2,3-butanediol",0.2061820184632044,metJ_acrB-1
411,MG1655,"2,3-butanediol",0.0,MG1655-3
412,metJ_relA_treA,"2,3-butanediol",0.1776326561963945,metJ_relA_treA-3
413,MG1655,"2,3-butanediol",0.0,MG1655-1
414,metJ_relA_treR,"2,3-butanediol",0.111129548885619,metJ_relA_treR-2
415,metJ_relA_yeaR,"2,3-butanediol",0.0448002163065006,metJ_relA_yeaR-3
416,metJ_relA_purT,"2,3-butanediol",0.1380994301370199,metJ_relA_purT-3
418,proV_ptsP,HMDA,0.1471304777459663,proV_ptsP-1
419,proV_nagC,HMDA,0.0202650017799795,proV_nagC-1
420,MG1655,HMDA,0.1199856745118335,MG1655-2
422,proV_nagC_ptsP,HMDA,0.0936693744864659,proV_nagC_ptsP-3
423,proV_wbbK,HMDA,0.1306190600401694,proV_wbbK-3
427,proV_nagC_ptsP,HMDA,0.2447502272791926,proV_nagC_ptsP-2
428,wbbK,HMDA,0.0696932650211022,wbbK-1
429,proV_ptsP_wbbK,HMDA,0.1804979150669338,proV_ptsP_wbbK-1
430,ptsP,HMDA,0.16373840526747,ptsP-2
431,proV_ptsP,HMDA,0.162219665944535,proV_ptsP-2
434,proV,HMDA,0.1290268725136556,proV-1
435,wbbK,HMDA,0.0970714404099133,wbbK-3
436,proV_wbbK,HMDA,0.1149613590012214,proV_wbbK-1
438,proV_ptsP_wbbK,HMDA,0.1499637695578931,proV_ptsP_wbbK-2
441,proV_nagC_ptsP,HMDA,0.2087556773205266,proV_nagC_ptsP-1
442,proV,HMDA,0.1436778210628528,proV-2
443,proV_nagC,HMDA,0.0986083663865152,proV_nagC-3
445,ptsP,HMDA,0.1407300207402486,ptsP-3
446,wbbK,HMDA,0.0901464435374039,wbbK-2
447,proV_nagC,HMDA,0.0,proV_nagC-2
448,proV_ptsP,HMDA,0.1109952396804861,proV_ptsP-3
449,MG1655,HMDA,0.0870974917861136,MG1655-3
450,proV_wbbK,HMDA,0.126985152860365,proV_wbbK-2
451,proV_ptsP_wbbK,HMDA,0.1544881481828245,proV_ptsP_wbbK-3
452,MG1655,HMDA,0.1349659277894594,MG1655-1
454,ptsP,HMDA,0.151654391406604,ptsP-1
455,proV,HMDA,0.1244044968956607,proV-3
457,phoU,isobutyrate,0.0,phoU-1
458,MG1655,isobutyrate,0.1180193643971738,MG1655-2
462,rph,isobutyrate,0.0,rph-2
464,phoU,isobutyrate,0.1018277029178815,phoU-2
465,MG1655,isobutyrate,0.0580423294663293,MG1655-3
466,rph,isobutyrate,0.1283426672276212,rph-1
467,rph,isobutyrate,0.0330173348481826,rph-3
468,MG1655,isobutyrate,0.1191107189057337,MG1655-1
470,phoU,isobutyrate,0.0729920517318204,phoU-3
471,acrB,"2,3-butanediol",0.1253488414679051,acrB-2
472,clsA,"2,3-butanediol",0.0,clsA-3
473,relA,"2,3-butanediol",0.0300559295853143,relA-1
474,relA,"2,3-butanediol",0.0,relA-3
475,treA,"2,3-butanediol",0.0893381866645443,treA-1
477,purT,"2,3-butanediol",0.0,purT-1
478,acrB,"2,3-butanediol",0.0538344483962597,acrB-3
479,metJ,"2,3-butanediol",0.1490714841823259,metJ-3
480,yfgF,"2,3-butanediol",0.0,yfgF-3
482,treA,"2,3-butanediol",0.0,treA-3
483,acrB,"2,3-butanediol",0.1488102241605874,acrB-1
484,yfgF,"2,3-butanediol",0.0446306565775053,yfgF-1
485,metJ,"2,3-butanediol",0.170202664390709,metJ-2
488,fabR,"2,3-butanediol",0.0183498330927543,fabR-1
489,treA,"2,3-butanediol",0.0641312072568455,treA-2
491,purT,"2,3-butanediol",0.0832654233965735,purT-3
493,fabR,"2,3-butanediol",0.0,fabR-2
495,clsA,"2,3-butanediol",0.0532066340797798,clsA-1
496,MG1655,"2,3-butanediol",0.0547319671111446,MG1655-2
498,metJ,"2,3-butanediol",0.1456161328882683,metJ-1
505,purT,"2,3-butanediol",0.0,purT-2
506,yfgF,"2,3-butanediol",0.0170153789066699,yfgF-2
509,fabR,"2,3-butanediol",0.0709371168597692,fabR-3
511,relA,"2,3-butanediol",0.0,relA-2
512,MG1655,"2,3-butanediol",0.0607312539069987,MG1655-3
513,MG1655,"2,3-butanediol",0.0,MG1655-1
515,clsA,"2,3-butanediol",0.0,clsA-2
516,kgtP_ybjL,adipate,0.236620155033732,kgtP_ybjL-2
519,ybjL,adipate,0.1978669731953995,ybjL-1
520,kgtP_proV,adipate,0.2704759082577825,kgtP_proV-1
