,strain,variable,value
121,IBUA1-7,4-methylvalerate,0.3282154913726667
122,IBUA1-9,4-methylvalerate,0.316691614245
123,IBUA2-1,4-methylvalerate,0.3105679571026666
124,IBUA2-6,4-methylvalerate,0.3811944075496667
125,IBUA2-9,4-methylvalerate,0.31171434087
126,IBUA3-10,4-methylvalerate,0.301786961725
127,IBUA3-2,4-methylvalerate,0.412972375327
128,IBUA3-4,4-methylvalerate,0.4876475072306667
129,IBUA4-1,4-methylvalerate,0.3924404714723333
130,IBUA4-8,4-methylvalerate,0.4311279933903333
131,IBUA4-9,4-methylvalerate,0.0647550137812333
132,IBUA5-2,4-methylvalerate,0.4237401865526666
133,IBUA5-5,4-methylvalerate,0.388088783647
134,IBUA5-6,4-methylvalerate,0.4152038743033333
135,IBUA6-10,4-methylvalerate,0.4549689652376666
136,IBUA6-7,4-methylvalerate,0.4175723705173333
137,IBUA6-9,4-methylvalerate,0.3839090738343333
138,IBUA7-6,4-methylvalerate,0.332314524765
139,IBUA7-7,4-methylvalerate,0.3070740937243333
140,IBUA7-9,4-methylvalerate,0.3907681651103333
141,IBUA8-10,4-methylvalerate,0.429106674361
142,IBUA8-3,4-methylvalerate,0.434668610093
143,IBUA8-4,4-methylvalerate,0.4234928127026666
144,IBUA1-5,2-methylhexanoate,0.2554304336683333
145,IBUA1-7,2-methylhexanoate,0.244730723912
146,IBUA1-9,2-methylhexanoate,0.2094780749303333
147,IBUA2-1,2-methylhexanoate,0.3079689586146666
148,IBUA2-6,2-methylhexanoate,0.2055147864826666
149,IBUA2-9,2-methylhexanoate,0.2864543841203333
150,IBUA3-10,2-methylhexanoate,0.2624880411353333
151,IBUA3-2,2-methylhexanoate,0.2300510428763333
152,IBUA3-4,2-methylhexanoate,0.3594307384233333
153,IBUA4-1,2-methylhexanoate,0.3244178702346666
154,IBUA4-8,2-methylhexanoate,0.456540882209
155,IBUA4-9,2-methylhexanoate,0.2707032175573333
156,IBUA5-2,2-methylhexanoate,0.3516902564253333
157,IBUA5-5,2-methylhexanoate,0.3505881687406667
158,IBUA5-6,2-methylhexanoate,0.1855835131696666
159,IBUA6-10,2-methylhexanoate,0.1534165363083333
160,IBUA6-7,2-methylhexanoate,0.417909157065
161,IBUA6-9,2-methylhexanoate,0.230221696817
162,IBUA7-6,2-methylhexanoate,0.152359638554
163,IBUA7-7,2-methylhexanoate,0.2019651057733333
164,IBUA7-9,2-methylhexanoate,0.1887367432796667
165,IBUA8-10,2-methylhexanoate,0.2685003681316666
166,IBUA8-3,2-methylhexanoate,0.3010144442056666
167,IBUA8-4,2-methylhexanoate,0.296438506105
